Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000187730,GABRD,5,-2.0722,4,-2.3917,9,-1.4841,12,-1.0204,35,0.69259,27,0.28471,36,0.72375,46,1.18706,44,1.08884
ENSG00000067606,PRKCZ,167,0.31754,207,0.67177,201,0.72666,128,-0.1068,56,-1.3675,133,-0.0516,139,0.01932,63,-1.2031,77,-0.8927
ENSG00000162585,FAAP20,24,-1.0481,35,-0.4649,43,-0.1416,49,0.07698,49,0.06518,55,0.26851,57,0.30225,72,0.70056,42,-0.1817
ENSG00000157933,SKI,5,-2.4531,5,-2.3871,12,-1.4271,39,0.54344,42,0.66517,25,-0.2112,30,0.08208,42,0.65418,69,1.53407
ENSG00000157916,RER1,43,-0.6985,97,0.57961,91,0.53282,96,0.56902,54,-0.3700,38,-0.9044,54,-0.3648,74,0.13755,43,-0.7284
ENSG00000157911,PEX10,22,-0.4419,23,-0.3476,32,0.14828,29,0.00389,26,-0.2060,9,-1.6886,32,0.15666,54,1.01925,33,0.17836
ENSG00000197921,HES5,38,1.36151,5,-1.7663,15,-0.1701,1,-3.6057,26,0.68879,13,-0.4197,41,1.48675,0,-6.2123,15,-0.2053
ENSG00000157870,PRXL2B,56,0.02553,62,0.17060,98,1.12086,26,-1.1306,40,-0.4876,36,-0.6877,58,0.06920,36,-0.6836,44,-0.3597
ENSG00000158109,TPRG1L,211,0.39533,269,0.79847,265,0.91234,82,-1.0914,64,-1.4516,105,-0.7139,152,-0.1334,120,-0.5107,123,-0.4709
ENSG00000116213,WRAP73,8,-1.0068,21,0.38761,19,0.28120,17,0.12501,7,-1.1762,16,-0.0519,10,-0.7502,41,1.58637,3,-2.1888
ENSG00000130764,LRRC47,66,-0.1734,87,0.26448,96,0.50146,61,-0.3011,41,-0.8994,67,-0.1454,93,0.37895,57,-0.4013,71,-0.0472
ENSG00000116198,CEP104,37,0.58531,23,-0.1459,14,-1.0042,53,1.22779,23,-0.1526,30,0.27174,11,-1.3097,23,-0.1285,27,0.06657
ENSG00000198912,C1orf174,10,-0.4449,15,0.16840,17,0.48440,10,-0.3439,9,-0.6377,16,0.27254,22,0.83100,7,-0.8738,9,-0.6362
ENSG00000196581,AJAP1,0,-7.0045,15,-0.1971,25,0.66513,28,0.76228,15,-0.2401,14,-0.3940,20,0.24375,2,-2.8171,31,0.90859
ENSG00000069424,KCNAB2,121,0.89577,100,0.56695,101,0.67794,56,-0.3683,30,-1.2908,60,-0.2587,83,0.25721,29,-1.3513,24,-1.6142
ENSG00000116254,CHD5,43,-0.5474,64,0.06057,98,0.88115,41,-0.6504,32,-1.0169,99,0.77788,89,0.59563,18,-1.8514,36,-0.8412
ENSG00000116251,RPL22,180,-1.2961,201,-1.1270,250,-0.8740,453,0.13566,856,1.21983,336,-0.3397,335,-0.3451,422,0.02041,881,1.27119
ENSG00000116237,ICMT,52,0.58369,29,-0.3452,43,0.30503,23,-0.6902,39,0.09395,33,-0.1667,35,-0.0554,41,0.19783,26,-0.5462
ENSG00000097021,ACOT7,882,1.31381,718,0.94428,742,1.19666,146,-1.5768,130,-1.7435,234,-0.8646,242,-0.8126,119,-1.8818,117,-1.9033
ENSG00000162408,NOL9,14,-0.8962,31,0.38400,24,-0.0632,17,-0.5794,15,-0.7749,35,0.56984,35,0.56533,32,0.41247,20,-0.3119
ENSG00000162413,KLHL21,40,-0.1668,20,-1.1830,58,0.47849,41,-0.1083,30,-0.6172,24,-0.9257,25,-0.8612,126,1.81222,22,-1.0663
ENSG00000116273,PHF13,10,-0.5991,8,-0.8863,15,0.13535,4,-1.6727,14,-0.0612,16,0.21558,8,-0.8028,49,2.16990,3,-2.2961
ENSG00000041988,THAP3,17,-0.1254,33,0.98983,25,0.61284,7,-1.3161,8,-1.1604,17,-0.1023,28,0.69241,16,-0.1968,4,-2.0719
ENSG00000007923,DNAJC11,41,0.54419,25,-0.2195,28,-0.0738,22,-0.4036,16,-0.9320,34,0.22987,37,0.39117,24,-0.2707,36,0.32534
ENSG00000171735,CAMTA1,73,-1.5195,239,0.30786,228,0.26696,162,-0.3168,153,-0.3977,280,0.57376,298,0.67736,130,-0.6598,182,-0.1268
ENSG00000049245,VAMP3,39,-0.3850,40,-0.3342,14,-1.9994,165,2.13073,51,0.01397,27,-0.9565,25,-1.0793,77,0.69858,48,-0.0542
ENSG00000049246,PER3,2,-3.5110,4,-2.5692,15,-0.8522,42,0.89580,32,0.41611,19,-0.4062,29,0.27119,54,1.32783,33,0.50515
ENSG00000116288,PARK7,363,-0.0929,500,0.42541,464,0.34482,286,-0.4686,377,-0.0358,237,-0.7570,423,0.15072,419,0.13612,317,-0.3072
ENSG00000116285,ERRFI1,12,-0.8779,28,0.44065,24,0.17742,26,0.27801,17,-0.3835,24,0.14414,20,-0.1043,14,-0.6324,27,0.35477
ENSG00000162426,SLC45A1,61,1.16664,44,0.59787,48,0.86696,19,-0.6982,16,-0.9874,21,-0.5731,29,-0.0687,11,-1.5722,7,-2.1287
ENSG00000142599,RERE,41,-1.1144,91,0.11220,86,0.03124,75,-0.1967,87,0.03535,84,-0.0201,100,0.27396,115,0.49664,82,-0.0460
ENSG00000074800,ENO1,824,0.23319,795,0.17542,821,0.25890,362,-1.0540,603,-0.2655,438,-0.7642,706,-0.0157,1307,1.01359,454,-0.7082
ENSG00000142583,SLC2A5,1,-3.5113,0,-7.8173,5,-1.4897,4,-1.4675,36,1.83189,14,0.21409,15,0.31992,13,0.12246,31,1.52409
ENSG00000171612,SLC25A33,40,-0.3102,38,-0.4147,46,-0.1095,36,-0.5061,69,0.55456,32,-0.6431,90,1.00825,71,0.60242,23,-1.1912
ENSG00000188807,TMEM201,11,-0.8187,24,0.41038,27,0.75279,19,0.04266,8,-1.2891,24,0.45569,15,-0.2936,20,0.15137,8,-1.2614
ENSG00000171603,CLSTN1,208,-0.8203,356,0.01670,477,0.57182,244,-0.5772,191,-0.9549,290,-0.3049,339,-0.0615,623,0.95057,316,-0.1716
ENSG00000178585,CTNNBIP1,44,0.36142,31,-0.2183,49,0.58846,48,0.48367,41,0.24040,34,-0.0824,21,-0.8164,28,-0.3672,10,-1.8172
ENSG00000162441,LZIC,29,-0.6764,30,-0.5973,31,-0.6430,66,0.64667,67,0.66001,44,-0.0260,32,-0.4904,50,0.17246,66,0.64580
ENSG00000130939,UBE4B,63,0.49511,81,0.93482,58,0.42596,42,-0.1419,16,-1.6027,45,-0.0405,53,0.22981,26,-0.8916,19,-1.3443
ENSG00000054523,KIF1B,334,0.23322,306,0.08787,248,-0.2728,358,0.34370,231,-0.3547,289,0.00067,288,-0.0062,344,0.27932,247,-0.2505
ENSG00000142657,PGD,87,0.17170,122,0.73436,95,0.37316,53,-0.6037,65,-0.2901,52,-0.6408,56,-0.5220,90,0.23144,65,-0.2959
ENSG00000160049,DFFA,50,-0.0447,35,-0.5993,52,-0.0020,69,0.46841,57,0.14612,62,0.27689,27,-0.9898,59,0.21068,55,0.09904
ENSG00000142655,PEX14,23,0.17478,20,-0.0845,33,0.89623,20,-0.0752,7,-1.6606,28,0.45474,26,0.34656,7,-1.6595,12,-0.8814
ENSG00000120948,TARDBP,34,-0.9772,72,0.20815,62,-0.0333,65,0.04377,71,0.18367,53,-0.2713,31,-1.1144,110,0.90771,74,0.24097
ENSG00000116649,SRM,94,0.51314,85,0.34955,89,0.48387,36,-1.0028,53,-0.4033,57,-0.2773,61,-0.1906,63,-0.1167,58,-0.2699
ENSG00000171824,EXOSC10,16,-0.6083,21,-0.2222,18,-0.5169,28,0.25387,19,-0.3653,24,-0.0238,27,0.16754,42,0.93892,28,0.22458
ENSG00000198793,MTOR,43,-0.0909,52,0.20569,65,0.66561,40,-0.2051,20,-1.2813,41,-0.1959,42,-0.1408,38,-0.2842,52,0.19422
ENSG00000120942,UBIAD1,14,-0.0325,17,0.21812,11,-0.4843,16,0.20269,16,0.20576,17,0.28102,14,-0.0912,16,0.16041,12,-0.2560
ENSG00000116661,FBXO2,544,0.86974,379,0.26363,465,0.69806,123,-1.4811,309,-0.0648,179,-0.9109,183,-0.8825,335,0.06490,238,-0.4771
ENSG00000132879,FBXO44,119,0.48248,132,0.64309,151,1.03341,54,-0.7625,44,-1.0981,84,-0.0960,57,-0.6962,60,-0.6222,38,-1.3137
ENSG00000116670,MAD2L2,21,0.12797,13,-0.5327,17,-0.1566,22,0.22958,12,-0.7227,9,-1.1890,16,-0.2961,29,0.70006,34,0.94791
ENSG00000177674,AGTRAP,2,-2.9625,5,-1.9459,8,-1.5762,24,0.25963,32,0.72360,1,-3.5759,9,-1.2573,83,2.56794,33,0.74851
ENSG00000177000,MTHFR,14,-0.3782,23,0.39947,25,0.66159,22,0.36485,11,-0.7090,16,-0.2133,14,-0.4082,15,-0.2644,13,-0.5217
ENSG00000011021,CLCN6,107,0.35619,100,0.23829,155,1.16371,55,-0.7026,25,-1.8553,60,-0.5567,81,-0.0893,64,-0.4719,58,-0.6083
ENSG00000116685,KIAA2013,21,-1.1596,31,-0.5301,39,-0.2298,68,0.72598,42,-0.0706,26,-0.8267,29,-0.6650,69,0.72926,77,0.92827
ENSG00000083444,PLOD1,58,0.35112,80,0.90802,46,-0.0093,33,-0.5208,31,-0.6331,19,-1.3492,34,-0.5031,40,-0.2168,76,0.81911
ENSG00000116688,MFN2,160,0.57836,144,0.40080,152,0.56627,68,-0.7702,94,-0.2836,96,-0.2500,103,-0.1303,65,-0.8585,89,-0.3642
ENSG00000116691,MIIP,3,-1.9076,11,-0.1260,7,-0.8879,21,0.86355,16,0.45122,4,-1.5529,24,1.12607,11,-0.1592,17,0.52207
ENSG00000048707,VPS13D,35,-0.3821,30,-0.6417,41,-0.1680,48,0.09596,52,0.22715,48,0.10390,40,-0.1620,53,0.25659,62,0.52115
ENSG00000162496,DHRS3,28,-0.1711,4,-2.9436,7,-2.2625,24,-0.3987,56,0.94436,23,-0.4464,29,-0.1161,75,1.48529,59,1.04875
ENSG00000162493,PDPN,1,-3.9410,5,-1.8519,3,-2.7366,7,-1.2886,47,1.80023,14,-0.3052,5,-1.8207,39,1.41964,44,1.67710
ENSG00000116731,PRDM2,17,-1.1411,21,-0.7681,32,-0.1641,52,0.63040,27,-0.3893,40,0.22479,38,0.13567,63,0.96863,28,-0.3321
ENSG00000189337,KAZN,36,-0.4815,55,0.20301,66,0.55196,91,1.04167,27,-0.9329,39,-0.3345,45,-0.1277,34,-0.5767,29,-0.7768
ENSG00000142634,EFHD2,11,-1.9153,36,-0.0876,52,0.56080,21,-0.9077,26,-0.6199,25,-0.6754,42,0.13344,73,1.06660,47,0.31577
ENSG00000132906,CASP9,11,-0.2537,16,0.35382,14,0.15784,16,0.34887,9,-0.5836,6,-1.0378,9,-0.5502,25,1.11252,8,-0.7060
ENSG00000116138,DNAJC16,17,-0.6082,41,0.76394,23,-0.1619,36,0.54345,16,-0.7169,21,-0.3399,23,-0.1314,43,0.85514,12,-1.1446
ENSG00000197312,DDI2,9,-0.9790,27,0.78186,17,-0.0110,18,0.12355,8,-1.1054,17,-0.0080,9,-1.0205,26,0.69221,21,0.38555
ENSG00000116786,PLEKHM2,57,0.34360,42,-0.1474,41,-0.2064,46,-0.0077,33,-0.5054,54,0.25298,46,-0.0190,49,0.10185,52,0.19432
ENSG00000065526,SPEN,15,-1.5935,28,-0.6284,26,-0.8070,62,0.62866,61,0.59190,53,0.36677,32,-0.4128,81,1.08633,38,-0.1835
ENSG00000116809,ZBTB17,7,-0.8956,15,0.33260,13,0.02056,19,0.67994,12,-0.0586,14,0.23542,10,-0.3367,2,-2.6631,20,0.74859
ENSG00000185519,FAM131C,17,-0.4330,21,-0.1353,30,0.46474,66,1.81591,12,-0.9473,16,-0.5374,16,-0.5750,0,-6.7071,23,-0.0271
ENSG00000037637,FBXO42,21,-0.1151,26,0.19823,31,0.57512,13,-0.8646,9,-1.4223,31,0.44969,34,0.62757,17,-0.4743,17,-0.4992
ENSG00000055070,SZRD1,19,-0.8516,12,-1.4704,14,-1.4041,38,0.24732,63,1.06981,29,-0.2037,34,0.04969,37,0.20334,69,1.23173
ENSG00000157191,NECAP2,5,-2.0336,3,-2.8711,7,-1.7637,31,0.64003,23,0.17213,19,-0.1113,26,0.39119,65,2.00481,21,0.03705
ENSG00000219481,NBPF1,13,-0.9238,12,-1.0387,21,-0.1641,44,1.02013,17,-0.5176,19,-0.3079,34,0.60322,28,0.25664,26,0.16911
ENSG00000058453,CROCC,6,-2.1520,2,-3.7538,10,-1.3797,6,-1.9763,15,-0.7158,5,-2.2740,5,-2.3562,175,4.40172,10,-1.2748
ENSG00000238142,BX284668.5,8,-0.6406,17,0.48993,9,-0.5869,3,-1.9152,18,0.55629,2,-2.5157,10,-0.3410,17,0.45038,33,1.62495
ENSG00000159363,ATP13A2,359,1.09690,322,0.90834,298,0.90400,71,-1.4870,91,-1.1190,130,-0.5622,168,-0.1663,66,-1.5824,63,-1.6557
ENSG00000117118,SDHB,137,0.67739,136,0.67258,114,0.42496,71,-0.3808,62,-0.5896,50,-0.9225,71,-0.3840,63,-0.5720,87,-0.0551
ENSG00000117115,PADI2,23,-2.3501,20,-2.5096,31,-2.0418,388,2.30688,172,0.75614,104,-0.0676,105,-0.0632,86,-0.3640,129,0.26918
ENSG00000179051,RCC2,9,-1.2222,21,-0.0492,25,0.30778,38,0.95334,22,0.01207,18,-0.3010,17,-0.3805,16,-0.4498,23,0.10655
ENSG00000074964,ARHGEF10L,32,0.08839,16,-0.9529,30,-0.0009,9,-1.7636,18,-0.8222,24,-0.3555,38,0.36888,66,1.31985,38,0.38654
ENSG00000117154,IGSF21,3,-2.6753,13,-0.7486,21,0.00288,22,0.11837,31,0.66694,26,0.33847,22,0.11215,3,-2.9560,46,1.33088
ENSG00000159423,ALDH4A1,53,1.04493,15,-0.9212,23,-0.3337,9,-1.6347,38,0.47893,32,0.21488,49,0.91017,35,0.32519,4,-2.8914
ENSG00000127481,UBR4,23,0.69790,18,0.29290,15,0.03382,9,-0.7758,20,0.49597,17,0.17224,5,-1.6061,3,-2.3395,24,0.77033
ENSG00000127463,EMC1,19,-1.2377,66,0.73254,59,0.62818,24,-0.8331,38,-0.1603,32,-0.4192,44,0.05336,39,-0.1172,41,-0.0275
ENSG00000053372,MRTO4,40,0.38362,26,-0.2988,45,0.67039,25,-0.3674,27,-0.2192,29,-0.1358,30,-0.0826,24,-0.4200,24,-0.4333
ENSG00000053371,AKR7A2,73,-0.1531,107,0.45809,51,-0.7714,57,-0.5484,90,0.17972,53,-0.6440,76,-0.0940,185,1.42080,62,-0.4205
ENSG00000040487,SLC66A1,33,1.65700,8,-0.7438,19,0.82776,5,-1.2498,8,-0.6243,4,-1.5564,8,-0.7049,8,-0.6862,12,-0.0942
ENSG00000077549,CAPZB,218,0.22892,200,0.08798,226,0.33229,184,-0.0405,124,-0.6667,160,-0.2612,141,-0.4591,228,0.30436,183,-0.0557
ENSG00000173436,MICOS10,223,-0.0004,288,0.41778,275,0.38758,182,-0.3230,246,0.15694,162,-0.4977,257,0.22821,133,-0.8068,189,-0.2639
ENSG00000158747,NBL1,66,-1.3137,37,-2.1766,304,1.36253,71,-1.2053,77,-1.0770,139,-0.1694,173,0.17165,136,-0.2095,244,0.74643
ENSG00000225986,UBXN10-AS1,8,-0.1862,2,-2.3926,7,-0.4316,4,-1.1738,34,2.27389,5,-0.9779,18,1.01986,1,-2.5403,8,-0.3254
ENSG00000162545,CAMK2N1,297,-0.5448,344,-0.3153,468,0.19836,665,0.76019,359,-0.2475,391,-0.1142,570,0.49858,151,-1.5712,485,0.23374
ENSG00000090432,MUL1,37,0.31033,38,0.34914,38,0.39590,39,0.39292,11,-1.5610,30,-0.0136,30,-0.0420,21,-0.5812,24,-0.3912
ENSG00000183114,FAM43B,39,0.18858,38,0.14969,69,1.38290,16,-1.1555,10,-1.7783,37,0.12566,30,-0.2394,17,-1.0733,21,-0.7988
ENSG00000158828,PINK1,527,0.71184,488,0.58327,505,0.74441,203,-0.8121,296,-0.2319,267,-0.3915,285,-0.2868,153,-1.2478,191,-0.9075
ENSG00000244038,DDOST,19,-0.6695,36,0.35276,26,-0.1726,17,-0.8404,21,-0.5033,14,-1.0494,27,-0.1160,69,1.47070,34,0.27373
ENSG00000189410,SH2D5,1,-3.5542,21,1.14286,13,0.45934,10,-0.0971,5,-1.1961,11,0.05937,27,1.59224,1,-2.7871,2,-2.0067
ENSG00000127483,HP1BP3,51,-1.6828,151,-0.0196,131,-0.2660,187,0.32621,154,0.01665,145,-0.0787,166,0.13391,181,0.27354,229,0.66826
ENSG00000075151,EIF4G3,74,-0.7773,165,0.48104,186,0.79334,93,-0.4276,74,-0.7866,134,0.14559,84,-0.5857,115,-0.1088,115,-0.0998
ENSG00000117298,ECE1,11,-0.8927,2,-2.9726,19,-0.0819,9,-1.1313,22,0.20057,19,-0.0430,22,0.17211,11,-0.8497,62,2.01784
ENSG00000076864,RAP1GAP,100,0.36046,124,0.70687,150,1.24020,43,-0.9506,30,-1.5165,72,-0.1801,75,-0.1168,22,-1.9236,38,-1.1434
ENSG00000090686,USP48,50,-0.2993,82,0.49727,67,0.17928,52,-0.2564,46,-0.4464,45,-0.4646,48,-0.3758,72,0.26481,79,0.41882
ENSG00000218510,LINC00339,7,-1.2352,22,0.55934,20,0.44708,18,0.16553,5,-1.5419,16,-0.0287,21,0.48242,18,0.16135,11,-0.5761
ENSG00000070831,CDC42,350,0.38095,351,0.38408,361,0.49484,266,-0.0636,172,-0.7451,172,-0.7426,208,-0.4537,232,-0.2818,297,0.11084
ENSG00000173372,C1QA,31,-1.4211,6,-3.8536,10,-3.2507,31,-1.4079,132,0.86175,62,-0.3835,29,-1.5218,129,0.82286,346,2.81475
ENSG00000159189,C1QC,6,-2.9568,6,-3.1162,10,-2.4898,38,-0.3410,76,0.76877,25,-1.0083,19,-1.4122,58,0.33180,227,3.02961
ENSG00000173369,C1QB,11,-3.3643,23,-2.3284,27,-2.1997,65,-0.7824,194,0.98744,100,-0.1129,58,-0.9542,176,0.81642,392,2.36367
ENSG00000004487,KDM1A,28,-0.7082,60,0.52108,46,0.09036,24,-0.9240,37,-0.2667,39,-0.1806,50,0.22476,54,0.32604,54,0.32618
ENSG00000169641,LUZP1,14,-1.6516,57,0.53053,56,0.55164,27,-0.6620,15,-1.5049,67,0.79928,67,0.79721,16,-1.4336,38,-0.1207
ENSG00000125944,HNRNPR,43,-1.2055,89,-0.0884,92,-0.0314,100,0.09349,100,0.09202,78,-0.2992,95,0.01570,147,0.72820,105,0.17946
ENSG00000088280,ASAP3,5,-1.6189,15,0.03221,5,-1.8383,13,-0.1807,20,0.46947,14,-0.0514,17,0.20685,29,1.11333,26,0.89064
ENSG00000117318,ID3,11,-3.0687,1,-6.0117,8,-3.6642,27,-1.7634,85,0.00182,20,-2.1681,12,-2.8899,277,2.11754,400,2.99578
ENSG00000142676,RPL11,183,-1.5341,260,-1.0051,258,-1.1067,589,0.27808,1033,1.24075,414,-0.2870,366,-0.4800,492,-0.0141,1110,1.37329
ENSG00000011007,ELOA,13,-0.9828,30,0.23548,25,-0.0440,33,0.40072,17,-0.6089,17,-0.6051,20,-0.3542,26,0.03891,49,1.07438
ENSG00000057757,PITHD1,573,1.14253,506,0.92109,460,0.88992,133,-1.2081,152,-1.0052,148,-1.0460,193,-0.6422,154,-0.9871,127,-1.2831
ENSG00000011009,LYPLA2,18,-1.0587,19,-0.9619,39,0.13911,12,-1.6781,13,-1.4865,18,-1.0512,38,0.10938,94,1.66659,68,1.07003
ENSG00000117308,GALE,8,-0.8778,22,0.78786,19,0.65107,7,-1.0390,3,-2.1945,8,-0.8568,16,0.26160,19,0.54198,15,0.16124
ENSG00000117305,HMGCL,35,0.48869,17,-0.6132,32,0.40145,22,-0.2840,31,0.25848,14,-0.9846,16,-0.6996,31,0.29368,29,0.17055
ENSG00000179163,FUCA1,21,-0.0294,25,0.25827,26,0.37091,15,-0.5274,10,-1.0712,16,-0.4220,13,-0.6688,37,0.91772,22,0.04782
ENSG00000189266,PNRC2,35,-0.7702,55,-0.0440,50,-0.2461,59,0.04735,63,0.16209,38,-0.6334,63,0.14945,65,0.20768,94,0.81598
ENSG00000188529,SRSF10,67,0.23467,63,0.14023,54,-0.1446,51,-0.2144,50,-0.2375,44,-0.4304,40,-0.5860,80,0.51652,79,0.49142
ENSG00000001461,NIPAL3,52,-0.7613,86,0.01644,104,0.36463,181,1.27860,45,-0.9841,102,0.29189,84,-0.0250,55,-0.6771,38,-1.2283
ENSG00000117602,RCAN3,43,0.76665,38,0.57114,27,0.02682,10,-1.4903,22,-0.3232,18,-0.5809,31,0.23197,30,0.18570,21,-0.3543
ENSG00000133226,SRRM1,12,-2.4851,67,0.08317,39,-0.8335,100,0.74996,72,0.20878,102,0.78250,40,-0.7297,99,0.72636,65,0.03853
ENSG00000169504,CLIC4,32,-1.1617,30,-1.2292,16,-2.2417,178,1.69091,109,0.79864,41,-0.7753,52,-0.3901,53,-0.3789,144,1.28789
ENSG00000117614,SYF2,26,-1.5918,63,-0.2707,57,-0.4563,61,-0.3067,126,0.86706,67,-0.1564,40,-0.9701,127,0.88535,120,0.78228
ENSG00000117616,RSRP1,13,-2.1343,28,-1.0132,30,-0.9831,89,0.83967,29,-0.9478,41,-0.4040,32,-0.8141,142,1.69457,102,1.06971
ENSG00000183726,TMEM50A,31,-1.1356,59,-0.1532,46,-0.6068,110,0.87860,84,0.42019,48,-0.4841,44,-0.6120,78,0.30637,103,0.76457
ENSG00000204178,MACO1,17,-0.6750,26,-0.0213,29,0.12032,35,0.43880,27,0.01629,32,0.25757,23,-0.2064,31,0.24138,18,-0.5734
ENSG00000157978,LDLRAP1,2,-2.7744,8,-1.0155,2,-3.0255,81,3.31812,9,-0.8045,10,-0.5818,1,-3.8229,22,0.62834,14,-0.1125
ENSG00000117643,MAN1C1,19,-0.8243,8,-2.1140,31,-0.1083,17,-0.9745,19,-0.8430,18,-0.9519,19,-0.8423,142,2.74428,25,-0.4258
ENSG00000162430,SELENON,9,-2.1221,10,-2.0405,22,-0.9126,46,0.32165,35,-0.1386,17,-1.1989,16,-1.3150,139,2.37557,62,0.81313
ENSG00000117640,MTFR1L,49,-0.4212,72,0.18010,87,0.56288,62,-0.0581,35,-0.9250,51,-0.3600,78,0.30778,78,0.30347,44,-0.5844
ENSG00000182749,PAQR7,17,0.29150,7,-1.0048,11,-0.5086,4,-1.8752,9,-0.7552,16,0.20467,21,0.60733,40,1.76670,8,-0.9447
ENSG00000117632,STMN1,779,0.14983,857,0.30572,1110,0.86394,1143,0.78827,530,-0.4613,379,-0.9793,502,-0.5467,266,-1.5095,422,-0.8118
