Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6
ENSG00000070831,CDC42,209,-0.6412,264,-0.2523,364,0.39108,301,-0.0306,336,0.16173
ENSG00000173372,C1QA,107,1.72026,62,0.59530,13,-2.1441,14,-1.8638,58,0.47080
ENSG00000173369,C1QB,177,1.62084,155,1.32775,32,-1.6021,40,-1.0526,25,-1.7648
ENSG00000169641,LUZP1,64,0.11242,49,-0.3546,44,-0.6013,134,1.55406,25,-1.4299
ENSG00000125944,HNRNPR,100,0.37386,112,0.57734,53,-0.8348,114,0.60232,55,-0.6580
ENSG00000142676,RPL11,701,0.93675,596,0.62249,295,-0.7170,154,-1.6262,490,0.26395
ENSG00000057757,PITHD1,171,-1.3118,311,-0.3486,606,1.16480,345,-0.1728,253,-0.6871
ENSG00000001461,NIPAL3,203,0.59326,65,-1.3059,134,-0.1799,218,0.72683,121,-0.3154
ENSG00000133226,SRRM1,126,0.76073,96,0.26575,59,-0.6839,81,-0.0235,75,-0.1661
ENSG00000117614,SYF2,80,-0.0179,93,0.25586,39,-1.3845,101,0.40425,132,0.90353
ENSG00000183726,TMEM50A,92,0.93346,55,-0.0074,52,-0.1453,28,-1.1289,54,-0.0432
ENSG00000117640,MTFR1L,53,-0.7000,43,-1.0325,99,0.44130,85,0.07596,109,0.51973
ENSG00000117632,STMN1,851,-0.1546,661,-0.5755,1256,0.70589,744,-0.3811,822,-0.2144
ENSG00000142669,SH3BGRL3,158,-0.9867,261,-0.1675,415,0.88942,236,-0.3362,241,-0.3021
ENSG00000198830,HMGN2,160,0.68406,123,0.19801,100,-0.1843,110,0.01201,63,-0.8999
ENSG00000117713,ARID1A,63,0.30634,56,0.08814,32,-0.9828,76,0.64046,60,0.19993
ENSG00000090273,NUDC,142,-0.0608,148,0.01590,173,0.36542,120,-0.3424,126,-0.2627
ENSG00000253368,TRNP1,14,-2.8370,74,-0.2623,115,0.65041,87,0.00263,116,0.52288
ENSG00000186501,TMEM222,67,-0.3012,89,0.17509,88,0.18502,90,0.20339,61,-0.4651
ENSG00000158195,WASF2,147,2.70774,55,0.43362,7,-3.0896,22,-1.0758,20,-1.2266
ENSG00000126709,IFI6,314,0.39104,157,-0.7853,315,0.51194,241,-0.0784,170,-0.6539
ENSG00000117758,STX12,76,-1.2713,143,-0.2452,168,0.02461,234,0.62045,206,0.38256
ENSG00000126698,DNAJC8,160,0.26964,97,-0.5686,129,-0.1251,126,-0.1469,181,0.49231
ENSG00000130770,ATP5IF1,181,-1.7203,495,-0.1134,588,0.23343,701,0.50129,622,0.28477
ENSG00000198492,YTHDF2,48,-0.9592,66,-0.4580,96,0.22617,93,0.12760,120,0.58920
ENSG00000162511,LAPTM5,133,1.57039,105,1.05700,26,-1.5262,16,-2.0053,49,-0.3192
ENSG00000162512,SDC3,104,-0.0212,151,0.64928,71,-0.7883,83,-0.4073,153,0.66719
ENSG00000134644,PUM1,126,-0.4583,131,-0.4002,121,-0.6385,164,-0.0108,331,1.31716
ENSG00000121766,ZCCHC17,132,-0.2184,140,-0.1282,191,0.55014,69,-1.2598,180,0.31175
ENSG00000121769,FABP3,57,-1.2180,64,-1.0539,193,1.17183,139,0.23313,82,-0.6522
ENSG00000162517,PEF1,31,-1.3740,50,-0.6196,119,1.28519,49,-0.6593,66,-0.1632
ENSG00000121753,ADGRB2,59,-0.8305,121,0.38044,76,-0.5224,164,0.95746,90,-0.1315
ENSG00000184007,PTP4A2,435,1.47919,174,-0.2582,110,-1.1721,183,-0.1671,201,-0.0072
ENSG00000121774,KHDRBS1,94,-0.3617,142,0.34720,94,-0.4324,186,0.85723,88,-0.4695
ENSG00000025800,KPNA6,82,0.35591,63,-0.1111,59,-0.2726,60,-0.1992,80,0.31172
ENSG00000084623,EIF3I,65,-1.0648,133,0.11512,137,0.21253,87,-0.5935,188,0.74332
ENSG00000175130,MARCKSL1,463,1.53110,205,-0.0465,93,-1.5346,140,-0.6724,269,0.43469
ENSG00000160058,BSDC1,62,0.02053,49,-0.3664,47,-0.5556,58,-0.0974,106,1.00007
ENSG00000162521,RBBP4,105,0.20882,84,-0.1849,66,-0.6844,117,0.39699,122,0.46965
ENSG00000134684,YARS,64,-1.0090,119,0.00031,120,0.01812,166,0.60493,124,0.07031
ENSG00000134686,PHC2,65,0.02166,51,-0.3963,46,-0.6534,113,1.05241,64,-0.0180
ENSG00000163866,SMIM12,46,-1.0806,98,0.16115,95,0.13022,102,0.22001,101,0.21328
ENSG00000116560,SFPQ,208,0.41073,150,-0.1670,98,-1.0107,231,0.60097,205,0.38609
ENSG00000142687,KIAA0319L,66,-0.4057,63,-0.4858,53,-0.9050,181,1.48988,87,0.06921
ENSG00000020129,NCDN,140,-1.8647,362,-0.3685,361,-0.4574,916,1.35701,563,0.39399
ENSG00000126067,PSMB2,114,-0.6804,89,-1.0776,240,0.81357,178,0.06487,166,-0.0517
ENSG00000142686,C1orf216,20,-2.0149,75,0.10942,55,-0.4943,141,1.31856,76,0.14018
ENSG00000054116,TRAPPC3,39,-0.8311,86,0.49612,37,-1.0659,93,0.64883,97,0.71702
ENSG00000116871,MAP7D1,272,0.20106,130,-1.0203,278,0.30795,220,-0.1651,275,0.22649
ENSG00000054118,THRAP3,84,-0.3003,126,0.39541,84,-0.3653,82,-0.3441,143,0.62947
ENSG00000116898,MRPS15,39,-0.6537,69,0.29623,87,0.97092,12,-2.4408,56,-0.0751
ENSG00000163875,MEAF6,87,-0.6521,111,-0.2388,132,0.07365,176,0.56765,130,0.02160
ENSG00000197982,C1orf122,251,0.14090,274,0.29890,243,0.10444,132,-0.9312,246,0.10803
ENSG00000116954,RRAGC,85,-0.3484,81,-0.4307,123,0.37068,97,-0.1259,117,0.20642
ENSG00000174574,AKIRIN1,123,-0.0473,65,-1.1001,186,0.93799,118,-0.1155,81,-0.7327
ENSG00000168653,NDUFS5,272,-0.7749,459,0.09968,513,0.38024,341,-0.4060,503,0.26250
ENSG00000127603,MACF1,292,0.71888,141,-0.5542,155,-0.4863,162,-0.3281,274,0.59513
ENSG00000090621,PABPC4,180,1.48798,81,-0.0453,58,-0.7062,48,-0.9056,74,-0.2120
ENSG00000116983,HPCAL4,107,-0.9823,200,0.05546,221,0.29259,207,0.11352,207,0.11761
ENSG00000131236,CAP1,136,-0.3546,78,-1.2362,227,0.72349,217,0.46722,118,-0.5847
ENSG00000131238,PPT1,91,-0.7248,57,-1.4726,131,-0.1580,184,0.46773,254,1.09071
ENSG00000084073,ZMPSTE24,35,-0.8405,62,0.10437,66,0.26884,58,0.00604,63,0.12825
ENSG00000049089,COL9A2,145,2.91335,38,-0.0742,14,-1.8770,9,-2.2964,19,-1.1947
ENSG00000084070,SMAP2,92,-0.5771,159,0.35750,141,0.19148,96,-0.5040,149,0.23727
ENSG00000117016,RIMS3,57,-1.2500,75,-0.8279,143,0.31609,139,0.19476,187,0.74658
ENSG00000198815,FOXJ3,30,-1.2382,25,-1.5570,71,0.18975,81,0.39434,112,1.00825
ENSG00000177181,RIMKLA,46,-0.7071,54,-0.4369,62,-0.2718,110,0.81058,88,0.40709
ENSG00000127125,PPCS,47,-0.4458,63,0.07302,63,0.06949,42,-0.5992,87,0.63837
ENSG00000065978,YBX1,138,1.33373,86,0.39830,39,-1.0663,47,-0.6336,61,-0.1884
ENSG00000117394,SLC2A1,208,1.80212,123,0.68884,46,-1.1448,27,-1.8242,54,-0.7324
ENSG00000117395,EBNA1BP2,40,-0.9021,88,0.42189,62,-0.2363,70,0.01353,94,0.54642
ENSG00000066322,ELOVL1,216,3.05377,14,-2.1464,10,-2.8911,75,0.47631,17,-1.8724
ENSG00000142949,PTPRF,140,-0.0432,140,-0.0520,134,-0.1517,205,0.63262,111,-0.4375
ENSG00000117408,IPO13,118,1.42153,37,-0.6993,30,-1.1974,65,0.25482,57,0.03258
ENSG00000117410,ATP6V0B,353,-1.0451,405,-0.8260,953,0.86452,825,0.37695,510,-0.4520
ENSG00000117411,B4GALT2,55,0.07303,54,0.04739,58,0.22927,24,-1.2487,65,0.39073
ENSG00000117419,ERI3,139,-0.8686,136,-0.9042,389,1.30880,178,-0.4625,175,-0.4895
ENSG00000187147,RNF220,117,-0.3274,135,-0.0838,161,0.29081,71,-1.1230,204,0.66015
ENSG00000142937,RPS8,803,0.73183,589,0.16180,394,-0.6268,360,-0.6666,681,0.42205
ENSG00000126088,UROD,60,-0.9532,134,0.40658,125,0.35811,86,-0.3628,110,0.05122
ENSG00000117450,PRDX1,498,-0.3903,574,-0.1515,801,0.56813,544,-0.2430,545,-0.2409
ENSG00000117448,AKR1A1,48,-0.3829,42,-0.6111,70,0.31971,52,-0.2385,81,0.51312
ENSG00000132780,NASP,125,2.40202,44,0.15953,11,-2.2554,16,-1.4438,34,-0.2938
ENSG00000085998,POMGNT1,108,0.32841,53,-0.8823,69,-0.5384,87,-0.0591,154,0.98965
ENSG00000173660,UQCRH,241,-1.2537,450,-0.2474,680,0.62544,521,0.00185,550,0.09612
ENSG00000123472,ATPAF1,107,-0.6300,184,0.29300,143,-0.1757,180,0.25969,176,0.21804
ENSG00000159658,EFCAB14,116,0.86854,95,0.48711,48,-0.8177,53,-0.5183,74,0.03488
ENSG00000162368,CMPK1,105,-1.1008,200,-0.0522,284,0.76713,168,-0.3420,194,-0.1029
ENSG00000162374,ELAVL4,96,-1.8187,159,-1.0466,487,1.23208,273,-0.1646,300,-0.0014
ENSG00000123091,RNF11,216,-0.9835,327,-0.3051,461,0.36948,459,0.28069,425,0.14314
ENSG00000085832,EPS15,90,-0.9556,114,-0.5703,244,1.03809,191,0.31141,79,-1.1555
ENSG00000078618,NRDC,72,-1.0004,115,-0.2335,120,-0.2061,201,0.75913,165,0.39714
ENSG00000169213,RAB3B,168,-0.9903,267,-0.2337,343,0.25577,417,0.55485,298,-0.0461
ENSG00000134717,BTF3L4,46,-0.8097,62,-0.3209,86,0.28439,34,-1.2726,138,1.13138
ENSG00000162378,ZYG11B,80,-1.3019,173,-0.0433,176,-0.0225,330,1.16124,132,-0.5052
ENSG00000116171,SCP2,114,0.00733,133,0.27616,122,0.17042,48,-1.4020,141,0.38616
ENSG00000116209,TMEM59,260,-0.2710,236,-0.4374,333,0.19125,372,0.34932,298,-0.0419
ENSG00000116221,MRPL37,49,-0.3173,30,-1.0807,73,0.48043,33,-0.9327,95,0.88362
ENSG00000157216,SSBP3,108,0.14606,99,-0.0188,27,-2.3048,168,0.96436,169,0.96894
ENSG00000116133,DHCR24,667,1.07059,113,-1.9104,394,0.10567,496,0.49618,189,-1.1277
ENSG00000162407,PLPP3,81,0.82608,73,0.62345,33,-0.8460,11,-2.3693,77,0.72008
ENSG00000162599,NFIA,203,1.78487,119,0.65883,6,-4.2045,58,-0.5798,103,0.38953
ENSG00000162604,TM2D1,58,-0.0712,20,-1.7695,74,0.48475,78,0.47570,56,-0.1201
ENSG00000162434,JAK1,59,-0.8516,83,-0.2973,95,-0.0811,191,1.23859,70,-0.5706
ENSG00000162433,AK4,55,-0.8438,40,-1.3520,178,1.84727,50,-0.9969,51,-0.9594
ENSG00000116675,DNAJC6,326,-0.7172,249,-1.1453,617,0.47542,687,0.56487,512,0.03670
ENSG00000184588,PDE4B,106,0.83926,90,0.52132,21,-2.0912,99,0.71226,65,-0.0530
ENSG00000118473,SGIP1,39,-1.3707,86,-0.0881,94,0.09335,121,0.53092,107,0.30211
ENSG00000142864,SERBP1,192,0.76541,159,0.40948,52,-1.6540,148,0.28569,154,0.35143
ENSG00000162595,DIRAS3,69,-1.3514,124,-0.4289,20,-3.4920,512,2.50937,214,0.52099
ENSG00000116754,SRSF11,256,0.95301,121,-0.3963,97,-0.8898,120,-0.4103,225,0.70342
ENSG00000132485,ZRANB2,133,0.12358,70,-0.9520,135,0.19287,95,-0.4472,176,0.62555
ENSG00000172260,NEGR1,123,-1.1224,143,-0.8830,242,-0.0247,208,-0.2733,509,1.40663
ENSG00000117054,ACADM,27,-1.3787,59,-0.1086,64,0.02282,111,1.04321,54,-0.2568
ENSG00000137955,RABGGTB,56,-0.6911,54,-0.7446,90,0.12814,125,0.69467,94,0.18505
ENSG00000077254,USP33,77,-0.7027,103,-0.2261,90,-0.5464,169,0.65058,177,0.74134
ENSG00000180488,MIGA1,94,-0.5509,114,-0.2344,134,0.06191,142,0.14469,165,0.41547
ENSG00000162613,FUBP1,42,-0.5021,72,0.42731,43,-0.5328,56,-0.0144,82,0.67633
ENSG00000162616,DNAJB4,46,-0.4045,60,0.03053,46,-0.4843,111,1.18484,43,-0.5086
ENSG00000137941,TTLL7,355,1.10220,57,-1.9567,187,-0.1068,107,-1.0019,286,0.68053
ENSG00000142875,PRKACB,272,-0.7571,284,-0.6835,506,0.37734,591,0.57799,410,-0.0726
ENSG00000162642,C1orf52,56,-0.6994,40,-1.2359,118,0.74991,72,-0.3146,112,0.46867
ENSG00000153904,DDAH1,145,-0.6855,267,0.34452,219,-3.8723,204,-0.1229,261,0.30734
ENSG00000183291,SELENOF,93,-0.8308,99,-0.7368,171,0.23170,245,0.84575,146,-0.0979
ENSG00000143013,LMO4,130,0.92062,71,-0.1715,36,-1.4633,100,0.42660,99,0.40374
ENSG00000189195,BTBD8,44,-0.4203,43,-0.4450,44,-0.5022,70,0.39208,92,0.90958
ENSG00000067208,EVI5,63,0.15059,52,-0.1827,45,-0.5038,65,0.21341,76,0.49254
ENSG00000122406,RPL5,327,0.07172,410,0.47581,317,0.02470,220,-0.5917,291,-0.1314
ENSG00000067334,DNTTIP2,71,-0.0003,34,-1.2057,77,0.17514,44,-0.7836,123,1.02075
ENSG00000023909,GCLM,21,-1.7929,50,-0.4496,80,0.46655,130,1.30821,30,-1.2438
ENSG00000117519,CNN3,114,0.56365,129,0.80418,86,0.06661,12,-3.0180,72,-0.2351
ENSG00000117569,PTBP2,42,-0.5610,74,0.40760,60,0.05433,26,-1.2977,90,0.76727
ENSG00000156875,MFSD14A,61,-0.0303,48,-0.4472,49,-0.4866,37,-0.8381,129,1.39516
ENSG00000137996,RTCA,34,-1.3754,83,0.06952,106,0.67577,77,-0.0631,72,-0.1778
ENSG00000162694,EXTL2,44,-0.8745,49,-0.6942,69,-0.1544,116,0.80156,100,0.52244
ENSG00000134186,PRPF38B,151,1.39170,29,-1.4574,41,-1.0983,46,-0.7615,128,1.05188
ENSG00000085433,WDR47,40,-1.7314,80,-0.6392,167,0.84480,162,0.57615,89,-0.4648
ENSG00000197780,TAF13,112,-0.6067,104,-0.7172,217,0.70249,170,0.09836,145,-0.1752
ENSG00000215717,TMEM167B,49,-0.2953,44,-0.4807,66,0.27297,85,0.66961,41,-0.6002
ENSG00000031698,SARS,141,-1.2503,329,0.14428,330,0.18844,417,0.56963,272,-0.1853
ENSG00000143126,CELSR2,101,0.48983,65,-0.2959,27,-1.8868,110,0.64146,131,0.98607
ENSG00000134243,SORT1,435,1.73525,118,-0.7186,148,-0.4188,118,-0.7129,120,-0.6801
ENSG00000143106,PSMA5,59,-0.1864,52,-0.4085,91,0.76676,72,0.16042,30,-1.2571
ENSG00000181754,AMIGO1,33,-0.9688,24,-1.4311,45,-0.5897,115,1.23702,97,0.87584
ENSG00000116337,AMPD2,41,-1.5147,78,-0.5105,142,0.68656,107,0.01990,126,0.29466
ENSG00000134202,GSTM3,96,-0.7735,128,-0.3054,166,0.18212,209,0.55781,153,-0.0010
ENSG00000168710,AHCYL1,250,0.10254,509,1.49058,89,-1.7917,145,-0.8027,332,0.61416
ENSG00000197106,SLC6A17,42,-1.7634,87,-0.6352,96,-0.5792,277,1.49425,168,0.48892
ENSG00000116396,KCNC4,68,-1.3881,143,-0.2023,150,-0.1469,217,0.53832,236,0.69624
ENSG00000134248,LAMTOR5,154,-0.5314,194,-0.1486,282,0.67590,187,-0.2113,170,-0.3672
ENSG00000177301,KCNA2,41,-1.5157,81,-0.4299,33,-2.0844,274,1.94529,167,0.84867
ENSG00000116459,ATP5PB,85,-1.4733,180,-0.2654,215,0.03910,305,0.66909,265,0.40601
ENSG00000116473,RAP1A,144,1.05951,62,-0.4549,63,-0.5225,67,-0.3393,90,0.17082
ENSG00000171385,KCND3,30,-1.3756,103,0.67519,21,-2.1860,148,1.41433,102,0.65634
ENSG00000116489,CAPZA1,92,-0.6635,116,-0.2833,189,0.76346,81,-0.8642,155,0.21734
ENSG00000155366,RHOC,80,0.35531,128,1.28921,46,-0.6856,18,-1.9809,71,0.15950
ENSG00000163349,HIPK1,42,-0.5929,52,-0.2381,46,-0.5352,53,-0.1858,119,1.31263
ENSG00000116752,BCAS2,64,-1.3791,121,-0.3698,158,0.10064,211,0.60061,193,0.43520
ENSG00000009307,CSDE1,341,-0.1770,301,-0.3880,390,0.06685,357,-0.0987,491,0.46236
ENSG00000177551,NHLH2,17,-2.0854,55,-0.2855,73,0.24496,21,-1.8072,152,1.66392
ENSG00000163399,ATP1A1,212,-1.9957,352,-1.2170,1595,2.33635,390,-1.0591,307,-1.4293
ENSG00000198162,MAN1A2,285,1.22316,199,0.51591,64,-1.5691,100,-0.6605,181,0.34704
ENSG00000092621,PHGDH,81,0.85628,86,0.96524,22,-1.5091,11,-2.3326,81,0.85569
ENSG00000265808,SEC22B,59,-0.5371,82,-0.0036,119,0.91683,75,-0.1565,36,-1.3063
ENSG00000265491,RNF115,54,-0.0027,55,-0.0022,72,0.64557,9,-2.7987,66,0.32484
ENSG00000265241,RBM8A,75,-0.4743,109,0.16526,120,0.42223,76,-0.4392,96,-0.0572
ENSG00000265972,TXNIP,152,2.62930,28,-0.7821,27,-1.0340,15,-1.7194,24,-1.0292
ENSG00000178104,PDE4DIP,111,-0.5438,168,0.16384,177,0.32831,181,0.29478,104,-0.6413
ENSG00000159164,SV2A,182,-1.8632,416,-0.5642,344,-1.0255,1516,1.93766,691,0.30171
ENSG00000143401,ANP32E,177,0.97566,76,-0.5296,114,0.19044,60,-0.9054,85,-0.3420
ENSG00000117362,APH1A,79,0.77958,52,0.03577,33,-0.8363,53,0.07278,56,0.15100
ENSG00000266472,MRPS21,73,-1.6023,149,-0.4727,231,0.35078,211,0.10982,291,0.70109
ENSG00000143420,ENSA,80,-0.8631,142,0.08710,114,-0.3637,153,0.20875,210,0.79895
ENSG00000143418,CERS2,140,2.41095,12,-1.9985,21,-1.4268,43,-0.0779,32,-0.5415
ENSG00000213190,MLLT11,255,-1.4325,456,-0.5119,911,0.95175,716,0.25966,456,-0.5094
ENSG00000159352,PSMD4,116,-0.7246,138,-0.4432,231,0.58626,202,0.21093,158,-0.2143
ENSG00000143393,PI4KB,42,-0.7536,49,-0.5023,73,0.23895,71,0.12954,87,0.49282
ENSG00000159377,PSMB4,185,-0.6921,238,-0.2736,321,0.30692,363,0.45924,252,-0.1797
ENSG00000143376,SNX27,71,-0.0472,80,0.15151,39,-1.2094,84,0.23388,127,1.01523
ENSG00000143436,MRPL9,27,-1.1903,64,0.24104,59,0.11153,50,-0.1728,76,0.55277
ENSG00000197747,S100A10,77,-1.2561,114,-0.6331,321,1.84426,128,-0.4425,38,-2.3414
ENSG00000197956,S100A6,269,-0.4861,324,-0.1738,578,1.21218,148,-1.4295,255,-0.5712
ENSG00000189171,S100A13,177,0.68058,229,1.19874,53,-1.5508,87,-0.5577,129,0.10697
ENSG00000160678,S100A1,368,1.85613,208,0.64331,41,-2.2669,41,-2.0028,175,0.32517
ENSG00000160679,CHTOP,50,-0.4055,59,-0.1067,46,-0.6561,82,0.45008,98,0.78823
ENSG00000143621,ILF2,96,-0.3634,67,-0.9456,142,0.41345,116,-0.0321,148,0.39344
ENSG00000143614,GATAD2B,81,0.99399,75,0.84716,21,-1.4775,28,-0.8398,56,0.30211
ENSG00000143543,JTB,99,-0.7082,111,-0.5297,161,0.13027,108,-0.5758,272,1.08068
ENSG00000177954,RPS27,1382,0.99162,1240,0.77725,446,-1.1518,404,-1.1387,938,0.26014
ENSG00000143549,TPM3,170,-0.4943,237,0.06544,291,0.56149,205,-0.1815,175,-0.4448
ENSG00000143612,C1orf43,92,-0.6366,142,0.08866,151,0.24026,83,-0.8049,192,0.63208
ENSG00000143575,HAX1,49,-0.8716,83,-0.0068,66,-0.4706,91,0.15892,144,1.01452
ENSG00000160714,UBE2Q1,137,-0.2202,107,-0.6259,149,-0.0983,180,0.25192,213,0.56263
ENSG00000160710,ADAR,145,-0.8255,225,-0.1024,211,-0.2651,275,0.24474,368,0.78405
ENSG00000143603,KCNN3,46,-0.2438,103,1.25436,46,-0.2795,52,-0.0253,24,-1.2714
ENSG00000163344,PMVK,85,-0.2238,113,0.28347,113,0.35301,37,-1.5452,118,0.35911
ENSG00000163346,PBXIP1,127,0.35440,227,1.50511,70,-0.7888,14,-3.0544,116,0.19505
ENSG00000163463,KRTCAP2,130,0.07810,114,-0.1475,131,0.12375,132,0.10562,106,-0.2614
ENSG00000177628,GBA,99,-0.3894,93,-0.4857,161,0.60274,132,0.10621,100,-0.3723
ENSG00000116521,SCAMP3,110,0.33115,79,-0.2387,104,0.28799,103,0.22104,47,-1.0891
ENSG00000160752,FDPS,112,-1.6301,124,-1.4728,543,1.49456,327,0.09635,206,-0.6786
ENSG00000160753,RUSC1,46,-1.6044,116,-0.1324,108,-0.3125,220,1.04724,154,0.36207
ENSG00000116539,ASH1L,152,0.67647,136,0.46264,28,-2.3013,88,-0.2874,194,1.15967
ENSG00000163374,YY1AP1,83,0.97492,43,-0.2010,29,-1.0165,35,-0.5503,74,0.74689
ENSG00000132676,DAP3,40,-0.7372,44,-0.5819,117,1.72169,34,-1.0072,23,-1.5972
ENSG00000132718,SYT11,489,-0.3889,408,-0.6884,643,0.09458,880,0.64411,631,0.04366
ENSG00000116586,LAMTOR2,48,-0.8829,50,-0.8366,135,1.25116,28,-1.7069,100,0.32472
ENSG00000160785,SLC25A44,41,-0.8250,44,-0.6982,54,-0.4351,51,-0.4703,159,1.69293
