Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000157870,PRXL2B,83,0.68523,20,-1.5197,57,0.06084,81,0.74349,84,0.80551,13,-2.1562,24,-1.2395,21,-1.4585
ENSG00000158109,TPRG1L,83,-0.9817,12,-3.8409,104,-0.6447,274,1.09820,284,1.18042,71,-1.2280,90,-0.8714,94,-0.8038
ENSG00000130764,LRRC47,83,0.03075,117,0.58842,28,-1.6059,111,0.58086,95,0.28262,71,-0.2288,60,-0.4755,44,-0.9682
ENSG00000116198,CEP104,83,1.58640,0,-6.2893,42,0.39583,26,-0.4351,17,-1.1233,62,1.03643,21,-0.7035,37,0.18836
ENSG00000069424,KCNAB2,83,0.19773,38,-1.0391,38,-1.0383,96,0.50308,146,1.39238,21,-1.9112,52,-0.5521,20,-1.9812
ENSG00000116254,CHD5,83,0.09642,0,-7.5272,104,0.45720,78,-0.0160,133,1.03411,18,-2.1760,64,-0.3249,93,0.27561
ENSG00000116251,RPL22,83,-2.3937,667,0.83051,910,1.38594,281,-0.6307,199,-1.1926,499,0.34249,350,-0.2300,573,0.57060
ENSG00000116237,ICMT,83,0.89813,94,1.11323,11,-2.2278,56,0.25970,43,-0.1859,48,-0.0269,28,-0.8368,21,-1.2691
ENSG00000097021,ACOT7,83,-2.2683,47,-3.1039,306,-0.3054,830,1.69126,588,0.88917,163,-1.2747,162,-1.2818,116,-1.7767
ENSG00000162408,NOL9,83,1.41912,11,-1.7315,50,0.53310,28,-0.4274,34,-0.0888,18,-1.0736,32,-0.1959,41,0.21718
ENSG00000162413,KLHL21,83,0.57790,241,2.64316,10,-2.6737,30,-1.1303,51,-0.2412,43,-0.4655,25,-1.2707,20,-1.6007
ENSG00000007923,DNAJC11,83,1.66751,20,-0.6754,12,-1.4589,37,0.28518,37,0.26114,20,-0.7423,24,-0.4030,10,-1.7779
ENSG00000171735,CAMTA1,640,1.41909,31,-3.2998,341,0.32663,164,-0.9085,402,0.69201,124,-1.2580,238,-0.2501,286,0.03838
ENSG00000049245,VAMP3,83,0.90233,7,-2.7388,23,-1.1631,28,-0.9025,22,-1.3308,164,2.20010,61,0.38024,44,-0.1384
ENSG00000049246,PER3,83,1.38652,50,0.50463,14,-1.4938,12,-1.7828,23,-0.8104,77,1.23113,30,-0.3128,44,0.28565
ENSG00000116288,PARK7,83,-2.0590,486,0.67787,343,0.10178,412,0.45748,341,0.10475,297,-0.1315,261,-0.3304,244,-0.4366
ENSG00000116285,ERRFI1,83,1.39167,27,-0.5004,39,0.09733,17,-1.2738,45,0.36989,44,0.30835,14,-1.4907,36,-0.0266
ENSG00000162426,SLC45A1,83,1.30522,0,-6.5056,7,-2.5817,46,0.31361,77,1.39959,9,-2.2257,11,-1.8451,30,-0.4044
ENSG00000142599,RERE,83,-0.4316,227,1.23290,154,0.55891,78,-0.5929,124,0.22758,53,-1.1175,64,-0.8452,110,0.00927
ENSG00000074800,ENO1,403,-0.7529,1321,1.19084,515,-0.3738,957,0.73003,635,-0.0499,312,-1.1450,426,-0.6701,366,-0.9026
ENSG00000171612,SLC25A33,83,0.75582,38,-0.5164,43,-0.3326,35,-0.6992,61,0.28352,60,0.21226,53,0.01463,56,0.11143
ENSG00000171603,CLSTN1,663,0.89934,530,0.51664,332,-0.2383,335,-0.2501,577,0.77094,146,-1.4997,213,-0.9231,151,-1.4449
ENSG00000178585,CTNNBIP1,83,1.13051,22,-0.9832,17,-1.4043,59,0.61119,40,-0.1090,45,0.09531,36,-0.2508,23,-0.9384
ENSG00000162441,LZIC,83,0.69211,111,1.19583,83,0.68982,35,-0.7427,16,-1.9682,76,0.53574,43,-0.3563,46,-0.2713
ENSG00000130939,UBE4B,83,0.62581,49,-0.2329,1,-5.8010,61,0.14498,90,0.88548,61,0.11336,33,-0.8418,38,-0.6272
ENSG00000054523,KIF1B,83,-2.0387,366,0.22646,216,-0.6024,333,0.08437,358,0.21808,436,0.51549,285,-0.1755,410,0.41464
ENSG00000142657,PGD,83,0.05710,106,0.45061,54,-0.6153,103,0.46729,109,0.57986,48,-0.8091,45,-0.9126,42,-0.9985
ENSG00000160049,DFFA,83,0.68365,52,-0.0958,65,0.27770,50,-0.1542,38,-0.6270,103,1.05588,37,-0.6302,32,-0.8443
ENSG00000120948,TARDBP,874,3.44900,133,-0.2791,102,-0.6957,62,-1.5446,57,-1.6961,92,-0.8484,55,-1.6329,96,-0.7883
ENSG00000116649,SRM,83,0.35583,90,0.48640,48,-0.5030,74,0.17729,79,0.31722,53,-0.3662,47,-0.5526,40,-0.7883
ENSG00000198793,MTOR,83,0.99070,24,-0.9812,4,-3.6383,53,0.25445,76,0.98555,20,-1.2580,23,-1.0810,47,0.03003
ENSG00000116661,FBXO2,83,-1.7815,841,2.04416,200,-0.4568,351,0.51304,220,-0.3431,111,-1.3528,132,-1.0909,162,-0.7819
ENSG00000132879,FBXO44,83,0.35860,0,-7.2945,85,0.39226,97,0.70472,94,0.63783,34,-1.0484,39,-0.8322,45,-0.6057
ENSG00000011021,CLCN6,83,-0.2342,35,-1.5332,56,-0.8403,183,1.28335,123,0.44129,38,-1.4467,81,-0.2775,61,-0.7143
ENSG00000116685,KIAA2013,83,0.93419,95,1.16743,27,-0.8428,45,-0.1081,30,-0.7776,69,0.61110,29,-0.7654,21,-1.2437
ENSG00000083444,PLOD1,83,0.92446,97,1.19811,52,0.14090,48,-0.0031,35,-0.5207,39,-0.3120,26,-0.9533,14,-1.8903
ENSG00000116688,MFN2,83,-0.5445,121,0.04805,25,-2.3379,156,0.52057,179,0.80045,61,-1.0114,103,-0.2067,115,-0.0435
ENSG00000048707,VPS13D,83,0.36997,108,0.80873,117,0.94487,42,-0.7816,68,0.04855,39,-0.8180,27,-1.3858,68,0.04502
ENSG00000162496,DHRS3,83,1.10767,132,1.97918,102,1.47180,8,-2.5591,3,-3.8977,17,-1.3899,26,-0.7831,46,0.12528
ENSG00000116731,PRDM2,83,0.94153,82,0.91546,4,-3.4355,41,-0.2600,45,-0.0975,60,0.38230,22,-1.1575,49,0.07296
ENSG00000189337,KAZN,83,0.78714,0,-6.9270,48,-0.1121,48,-0.1398,57,0.17191,107,1.22207,31,-0.7844,38,-0.4787
ENSG00000142634,EFHD2,83,0.98578,14,-1.8339,128,1.77826,37,-0.3827,48,0.08859,24,-0.9769,15,-1.6987,26,-0.9044
ENSG00000116138,DNAJC16,83,1.37523,43,0.22999,13,-1.5408,33,-0.2065,44,0.33622,46,0.35165,16,-1.3129,14,-1.4440
ENSG00000116786,PLEKHM2,83,1.05532,0,-6.7053,41,-0.1043,47,0.11600,58,0.49246,28,-0.7116,50,0.19894,30,-0.6148
ENSG00000065526,SPEN,83,0.78739,26,-1.0602,70,0.48717,19,-1.6150,55,0.12879,76,0.64137,48,-0.1294,64,0.34535
ENSG00000185519,FAM131C,83,1.44882,20,-0.8430,13,-1.4789,26,-0.5301,12,-1.7336,122,2.21829,18,-1.0139,21,-0.7960
ENSG00000037637,FBXO42,83,1.73522,34,0.18740,17,-0.8860,38,0.40556,27,-0.1897,11,-1.5046,22,-0.5262,7,-2.2335
ENSG00000055070,SZRD1,83,1.39895,46,0.37559,98,1.70297,22,-0.8609,7,-2.5973,38,0.06022,36,-0.0224,6,-2.5470
ENSG00000219481,NBPF1,83,1.48839,8,-2.2583,21,-0.8044,24,-0.6106,37,0.09498,61,0.91851,24,-0.5495,29,-0.2719
ENSG00000159363,ATP13A2,83,-1.0371,48,-1.8504,141,-0.2308,294,1.17310,270,0.99145,47,-1.8960,108,-0.6425,72,-1.2614
ENSG00000117118,SDHB,83,0.04726,28,-1.6356,91,0.18158,103,0.44290,107,0.51384,54,-0.6339,58,-0.5185,77,-0.0806
ENSG00000117115,PADI2,786,2.79320,79,-1.2805,61,-1.6534,30,-2.8554,62,-1.7514,422,1.45714,153,-0.2604,119,-0.6551
ENSG00000117154,IGSF21,83,1.79338,0,-6.1368,32,0.13319,0,-6.1298,51,1.07390,5,-2.7152,29,-0.0354,44,0.65533
ENSG00000159423,ALDH4A1,83,1.96149,28,0.02843,7,-2.0380,22,-0.3961,16,-0.8478,21,-0.3892,40,0.62926,17,-0.7157
ENSG00000127481,UBR4,83,1.53191,0,-6.3305,3,-3.4225,29,-0.2567,47,0.60135,22,-0.6552,23,-0.5892,55,0.80421
ENSG00000127463,EMC1,83,0.98022,50,0.12768,32,-0.5643,52,0.21381,58,0.42111,27,-0.7985,39,-0.2783,10,-2.2683
ENSG00000053372,MRTO4,83,1.31722,70,1.01127,21,-0.9125,41,0.13895,29,-0.4502,25,-0.6323,27,-0.5621,14,-1.5307
ENSG00000053371,AKR7A2,83,0.33249,202,1.92159,61,-0.1694,56,-0.3227,56,-0.3219,35,-1.0264,55,-0.3381,17,-2.0951
ENSG00000077549,CAPZB,83,-1.0983,255,0.67353,133,-0.3767,247,0.71631,180,0.11499,157,-0.1188,99,-0.8290,111,-0.6672
ENSG00000173436,MICOS10,83,-1.4228,124,-0.8240,315,0.66513,249,0.31205,231,0.17421,241,0.22325,205,-0.0352,172,-0.3178
ENSG00000158747,NBL1,83,-0.8167,120,-0.2463,188,0.46775,235,0.99830,141,0.00390,55,-1.4410,106,-0.4436,103,-0.4864
ENSG00000162545,CAMK2N1,83,-2.2102,58,-2.7392,473,0.45944,343,-0.0727,536,0.78036,411,0.22700,370,0.05851,415,0.24569
ENSG00000090432,MUL1,83,1.47029,14,-1.3566,20,-0.8786,48,0.60116,44,0.41802,27,-0.3895,12,-1.6381,9,-1.9459
ENSG00000183114,FAM43B,83,1.29248,0,-6.5156,41,0.09332,52,0.56289,56,0.69744,14,-1.5690,15,-1.4371,17,-1.2309
ENSG00000158828,PINK1,83,-2.2017,286,-0.3432,434,0.32604,548,0.83677,491,0.61210,150,-1.3255,270,-0.4322,248,-0.5632
ENSG00000127483,HP1BP3,83,-1.1789,371,1.23464,363,1.19447,98,-1.0203,166,-0.1349,113,-0.7109,120,-0.6286,210,0.25977
ENSG00000075151,EIF4G3,83,-0.6269,92,-0.4797,94,-0.4439,129,0.06921,172,0.60782,156,0.36908,65,-1.0134,152,0.32582
ENSG00000076864,RAP1GAP,83,0.30318,12,-2.5538,65,-0.0874,83,0.34011,134,1.34059,7,-3.2800,47,-0.5910,40,-0.8487
ENSG00000090686,USP48,83,0.35480,40,-0.8009,31,-1.2014,54,-0.3651,75,0.19898,121,0.98548,44,-0.6353,92,0.51393
ENSG00000070831,CDC42,433,0.51285,137,-1.2974,403,0.39360,461,0.71821,347,0.16650,279,-0.1992,154,-1.1158,142,-1.2378
ENSG00000173372,C1QA,83,-0.3272,554,3.39439,210,1.20691,8,-3.9853,9,-3.6831,27,-2.0397,53,-1.0282,64,-0.7226
ENSG00000159189,C1QC,83,0.65733,279,3.15542,79,0.56097,6,-3.3796,8,-3.0856,40,-0.5243,33,-0.8059,16,-1.8933
ENSG00000173369,C1QB,83,-0.5795,633,3.30519,198,0.82122,21,-2.7773,13,-3.4346,75,-0.7484,70,-0.8480,79,-0.6691
ENSG00000004487,KDM1A,83,1.18844,1,-5.2264,32,-0.3798,39,-0.0648,73,1.12473,9,-2.3216,24,-0.8375,37,-0.1626
ENSG00000169641,LUZP1,83,0.87991,0,-6.8496,33,-0.6052,33,-0.6609,90,1.22108,23,-1.1570,41,-0.2687,61,0.35693
ENSG00000125944,HNRNPR,83,-0.3904,168,0.74524,216,1.18337,59,-0.9998,116,0.15811,106,-0.0167,64,-0.7988,80,-0.4519
ENSG00000142676,RPL11,83,-2.7372,886,0.91771,1378,1.73188,252,-1.1885,252,-1.1865,643,0.37462,500,-0.0352,608,0.28167
ENSG00000057757,PITHD1,83,-1.7215,77,-1.8404,186,-0.5068,586,1.74530,318,0.39616,144,-0.8993,157,-0.7663,112,-1.2811
ENSG00000189266,PNRC2,83,0.58588,32,-0.8975,143,1.54785,32,-1.0004,45,-0.4391,78,0.46982,41,-0.5610,50,-0.2508
ENSG00000188529,SRSF10,83,0.33518,124,1.01470,42,-0.7528,64,-0.1038,59,-0.2308,66,-0.0442,42,-0.7540,73,0.13042
ENSG00000001461,NIPAL3,83,-0.2573,0,-7.8475,37,-1.4827,84,-0.2783,168,1.06196,189,1.09689,87,-0.1969,80,-0.3150
ENSG00000117602,RCAN3,83,1.21663,0,-6.5756,16,-1.4402,63,0.85245,47,0.28532,37,-0.1317,12,-1.8319,35,-0.2142
ENSG00000133226,SRRM1,83,0.28385,96,0.51466,75,0.11480,19,-2.1039,53,-0.4895,116,0.83586,48,-0.5967,138,1.13727
ENSG00000169504,CLIC4,83,-0.3415,177,0.88958,207,1.16442,31,-1.9671,33,-1.8717,245,1.47880,69,-0.6408,127,0.32613
ENSG00000117614,SYF2,83,0.40615,50,-0.4102,108,0.83924,46,-0.5727,48,-0.5214,54,-0.2904,81,0.35148,84,0.41463
ENSG00000117616,RSRP1,83,0.62192,53,-0.1234,129,1.39684,29,-1.1232,37,-0.7139,100,0.92826,32,-0.8718,39,-0.6049
ENSG00000183726,TMEM50A,887,3.69828,85,-0.8879,82,-0.9328,72,-1.2324,27,-2.7323,147,-0.0291,39,-2.0232,60,-1.3934
ENSG00000204178,MACO1,83,1.67636,28,-0.1943,8,-2.0785,30,-0.1121,31,-0.0190,13,-1.3206,23,-0.5004,39,0.33096
ENSG00000162430,SELENON,83,1.24942,126,2.05371,16,-1.3898,19,-1.2060,41,0.05434,10,-1.9851,18,-1.1612,22,-0.9001
ENSG00000117640,MTFR1L,83,0.39897,63,-0.0525,51,-0.3802,55,-0.3094,108,0.99259,51,-0.3687,47,-0.5153,29,-1.2250
ENSG00000117632,STMN1,2329,1.67762,217,-2.1450,532,-0.8010,1110,0.41592,591,-0.7022,1366,0.71061,389,-1.2753,641,-0.5125
ENSG00000142684,ZNF593,83,0.96441,0,-6.7796,60,0.40385,66,0.64450,33,-0.6145,39,-0.2598,29,-0.7315,58,0.34480
ENSG00000142669,SH3BGRL3,83,-1.4033,246,0.27697,206,-0.0120,374,1.17117,148,-0.5887,227,0.14697,120,-0.8473,148,-0.5326
ENSG00000198830,HMGN2,809,1.81127,566,1.13665,392,0.50269,99,-1.7559,121,-1.4376,315,0.14355,127,-1.2604,230,-0.3527
ENSG00000117713,ARID1A,83,0.39648,98,0.67340,62,-0.0668,44,-0.6689,42,-0.7321,130,1.15507,63,-0.0459,41,-0.7062
ENSG00000090273,NUDC,1688,3.35899,230,-0.5034,181,-0.8670,109,-1.7486,198,-0.8046,153,-1.1310,106,-1.6823,193,-0.7745
ENSG00000253368,TRNP1,83,0.63237,0,-7.0575,8,-2.8356,80,0.66487,113,1.39317,18,-1.7446,40,-0.5310,30,-0.9837
ENSG00000142784,WDTC1,83,1.83418,0,-6.1075,44,0.67700,14,-1.2428,29,-0.0085,36,0.33176,30,0.04699,12,-1.2877
ENSG00000186501,TMEM222,83,0.39330,133,1.19455,14,-2.2834,80,0.37712,66,0.02665,56,-0.2312,42,-0.6732,31,-1.1429
ENSG00000158195,WASF2,83,0.56952,123,1.24794,22,-1.4936,19,-1.7891,26,-1.3719,130,1.34752,61,0.06985,77,0.44380
ENSG00000126705,AHDC1,83,1.25610,98,1.54978,30,-0.4089,27,-0.6600,37,-0.1242,3,-3.7613,30,-0.4395,24,-0.7853
ENSG00000126709,IFI6,667,2.18630,228,0.22310,371,1.05108,152,-0.4600,104,-1.0867,86,-1.2867,61,-1.7904,56,-1.9255
ENSG00000117758,STX12,83,-0.6914,167,0.41166,102,-0.3756,192,0.74509,138,0.10665,94,-0.5132,71,-0.9250,121,-0.1144
ENSG00000117751,PPP1R8,83,1.66598,0,-6.2299,17,-0.9666,22,-0.5915,36,0.20766,46,0.61569,22,-0.5495,32,0.02671
ENSG00000117748,RPA2,83,0.69927,41,-0.4503,122,1.37506,49,-0.1750,52,-0.0615,38,-0.5752,17,-1.7399,39,-0.5162
ENSG00000126698,DNAJC8,83,-0.7754,156,0.21345,179,0.43118,126,-0.1422,133,-0.0506,146,0.10718,101,-0.4802,185,0.48806
ENSG00000130770,ATP5IF1,83,-2.3541,169,-1.3024,450,0.21549,661,1.01709,586,0.76281,230,-0.8354,279,-0.5430,228,-0.8501
ENSG00000198492,YTHDF2,83,0.21771,56,-0.4141,57,-0.3915,92,0.42580,90,0.38284,78,0.12014,63,-0.2388,28,-1.4347
ENSG00000116350,SRSF4,83,0.67571,21,-1.4902,81,0.62773,22,-1.4735,80,0.70246,52,-0.1013,36,-0.6559,74,0.46783
ENSG00000116353,MECR,83,1.57211,0,-5.7275,8,-2.0923,37,0.17291,46,0.60306,22,-0.6304,18,-0.9621,36,0.12638
ENSG00000162511,LAPTM5,83,0.19451,321,2.78312,84,0.19894,13,-2.7361,36,-1.1830,42,-0.8642,65,-0.1941,44,-0.8172
ENSG00000162512,SDC3,83,-1.0097,576,2.33798,143,-0.1799,114,-0.5801,100,-0.7962,93,-0.8351,145,-0.1515,128,-0.3534
ENSG00000134644,PUM1,83,-1.0116,235,0.63310,172,0.12038,153,-0.0821,233,0.71664,114,-0.5289,110,-0.5880,112,-0.5523
ENSG00000121766,ZCCHC17,83,-0.2146,6,-4.1270,40,-1.3262,205,1.58061,84,-0.2275,120,0.37656,78,-0.3134,49,-1.0201
ENSG00000121769,FABP3,83,0.24804,7,-3.3511,11,-2.7194,138,1.32713,88,0.39190,105,0.63073,40,-0.8788,14,-2.4576
ENSG00000162517,PEF1,83,0.36448,0,-7.2898,56,-0.2693,118,1.13445,69,0.07253,90,0.48589,31,-1.1571,30,-1.2339
ENSG00000084636,COL16A1,83,0.85018,225,2.87459,12,-2.0970,7,-3.1195,21,-1.4142,101,1.18233,12,-2.1795,9,-2.4619
ENSG00000121753,ADGRB2,876,3.39323,85,-1.0096,46,-1.9249,94,-0.9276,155,-0.0844,26,-2.7617,52,-1.7311,41,-2.1040
ENSG00000184007,PTP4A2,83,-1.1575,22,-3.0752,95,-0.9540,118,-0.6896,139,-0.4143,408,1.43850,292,0.83746,346,1.13391
ENSG00000121774,KHDRBS1,83,-0.6225,155,0.36615,133,0.10737,107,-0.2615,170,0.59315,92,-0.4762,94,-0.4432,130,0.07213
ENSG00000025800,KPNA6,83,0.42672,0,-7.2354,38,-0.8008,75,0.29817,85,0.53946,66,0.04247,60,-0.0938,71,0.16462
ENSG00000084652,TXLNA,83,1.36923,0,-6.4552,29,-0.3792,59,0.90136,24,-0.7383,34,-0.1217,26,-0.5504,32,-0.2548
ENSG00000084623,EIF3I,83,-0.3857,87,-0.3233,168,0.75201,147,0.60832,115,0.14321,57,-0.9669,73,-0.5937,72,-0.6120
ENSG00000175130,MARCKSL1,83,-1.7739,364,0.51543,82,-1.8003,57,-2.4715,147,-1.0083,1349,3.20992,204,-0.4198,168,-0.7180
ENSG00000160058,BSDC1,83,0.58414,49,-0.2650,72,0.33758,53,-0.1758,73,0.42809,62,0.10404,36,-0.7401,27,-1.1557
ENSG00000176261,ZBTB8OS,83,1.25063,0,-6.5486,80,1.17119,44,0.18267,33,-0.3012,35,-0.1988,21,-0.9581,23,-0.8645
ENSG00000162521,RBBP4,83,-0.4162,290,1.71141,100,-0.1286,90,-0.3255,90,-0.3279,98,-0.1611,46,-1.3214,107,-0.0204
ENSG00000134684,YARS,83,-0.1697,28,-1.8303,71,-0.4119,115,0.39811,176,1.28254,61,-0.6611,52,-0.9096,51,-0.9258
ENSG00000116497,S100PBP,83,1.26834,13,-1.6952,58,0.64835,30,-0.4805,41,0.08250,54,0.52155,24,-0.7833,19,-1.1428
ENSG00000160097,FNDC5,83,1.52744,0,-6.3338,40,0.27408,13,-1.5048,58,1.03303,22,-0.6800,30,-0.1772,22,-0.7039
ENSG00000121900,TMEM54,83,0.90814,168,2.25969,18,-1.5148,47,-0.0399,30,-0.8134,11,-2.2071,23,-1.0961,24,-1.0875
ENSG00000004455,AK2,83,0.84823,43,-0.2383,58,0.23882,55,0.19402,36,-0.5661,40,-0.3400,35,-0.5525,56,0.20231
ENSG00000134686,PHC2,83,1.00597,38,-0.2972,17,-1.5306,36,-0.4111,40,-0.2260,86,1.06083,40,-0.2074,40,-0.2161
ENSG00000163866,SMIM12,83,0.52260,0,-7.1524,107,0.94503,86,0.66376,77,0.45332,19,-1.7565,36,-0.8186,33,-0.9176
ENSG00000116560,SFPQ,83,-1.1424,430,1.55396,243,0.53929,122,-0.6211,152,-0.2481,168,-0.0550,103,-0.8242,170,-0.0374
ENSG00000146463,ZMYM4,83,0.66051,90,0.79528,90,0.79198,34,-0.8254,40,-0.5470,8,-2.8093,32,-0.8653,103,1.02855
ENSG00000142687,KIAA0319L,83,0.59234,16,-1.9429,31,-0.9784,81,0.64224,69,0.32072,48,-0.2788,49,-0.2584,51,-0.2118
ENSG00000020129,NCDN,83,-1.5775,27,-3.2410,182,-0.3881,384,0.97628,517,1.67013,85,-1.5450,79,-1.6591,71,-1.8060
ENSG00000126067,PSMB2,83,-0.5181,62,-0.9793,133,0.22045,203,1.10028,126,0.14757,97,-0.2800,78,-0.6107,49,-1.3221
ENSG00000142686,C1orf216,83,0.85397,0,-6.8712,6,-2.9838,70,0.64084,82,0.96310,33,-0.6148,27,-0.9158,43,-0.2299
ENSG00000092847,AGO1,83,1.67815,0,-6.2210,49,0.71856,9,-1.9166,37,0.27801,25,-0.3540,29,-0.1399,36,0.23048
ENSG00000126070,AGO3,83,1.14650,34,-0.3200,17,-1.3379,28,-0.6993,37,-0.2262,61,0.61461,31,-0.4605,63,0.65770
ENSG00000054116,TRAPPC3,83,0.50399,50,-0.3098,68,0.18312,45,-0.5249,99,0.93182,55,-0.1663,26,-1.3028,40,-0.6654
ENSG00000116871,MAP7D1,83,-0.9767,73,-1.1780,88,-0.9002,173,0.18725,178,0.23888,344,1.34389,129,-0.2974,143,-0.1457
ENSG00000054118,THRAP3,83,0.23461,103,0.58126,105,0.61710,63,-0.2413,50,-0.6265,73,0.01998,69,-0.0617,61,-0.2615
ENSG00000181817,LSM10,83,0.98319,20,-1.2782,40,-0.2332,60,0.47871,64,0.63308,31,-0.5969,15,-1.6859,23,-1.0727
ENSG00000116898,MRPS15,83,0.67138,26,-1.1277,71,0.41367,79,0.66748,43,-0.4237,56,0.03241,30,-0.9241,41,-0.4825
ENSG00000163875,MEAF6,83,-0.6914,112,-0.2381,139,0.11019,188,0.70510,187,0.69755,44,-1.6343,98,-0.4394,70,-0.9571
ENSG00000185090,MANEAL,83,1.21994,0,-6.5729,28,-0.5884,72,1.15276,56,0.61902,17,-1.3343,16,-1.4388,3,-3.7582
ENSG00000197982,C1orf122,83,-1.4364,246,0.23740,213,0.00493,217,0.04436,160,-0.4851,428,1.18350,220,0.05722,175,-0.2995
ENSG00000183431,SF3A3,881,4.23479,121,-0.1116,10,-3.8106,45,-1.7497,59,-1.3030,25,-2.4688,14,-3.3338,39,-1.8178
ENSG00000183520,UTP11,83,1.39916,0,-6.4214,13,-1.5365,36,-0.0333,51,0.62587,46,0.35833,21,-0.8371,28,-0.4087
ENSG00000116954,RRAGC,83,0.40318,50,-0.3956,38,-0.8173,82,0.42857,77,0.31454,39,-0.8088,33,-1.0545,88,0.49439
ENSG00000174574,AKIRIN1,83,-0.6831,191,0.64756,62,-1.1351,167,0.47857,151,0.29181,176,0.50440,77,-0.8102,65,-1.0643
ENSG00000168653,NDUFS5,618,0.52857,118,-2.0348,669,0.65981,541,0.34927,537,0.33497,182,-1.3852,327,-0.4967,407,-0.1495
ENSG00000127603,MACF1,734,1.50425,480,0.74220,189,-0.7566,150,-1.2040,152,-1.1812,246,-0.3454,206,-0.6211,603,1.14208
ENSG00000090621,PABPC4,83,0.82448,0,-6.8957,97,1.08883,45,-0.1904,36,-0.5695,62,0.33830,58,0.22424,41,-0.3233
