Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000162426,SLC45A1,5,-2.7133,73,1.91120,19,-0.8735,26,-0.3603,10,-1.7822,27,-0.3261
ENSG00000142599,RERE,21,-2.1384,97,0.20602,70,-0.3507,95,0.15334,107,0.34400,104,0.35930
ENSG00000074800,ENO1,290,-1.4931,962,0.49940,538,-0.5381,492,-0.6765,1045,0.56020,858,0.26371
ENSG00000171612,SLC25A33,5,-3.1115,17,-1.5372,73,0.91910,19,-1.2720,49,0.22812,81,1.40498
ENSG00000171603,CLSTN1,176,-1.2693,537,0.63772,173,-1.2974,361,-0.1402,808,1.27264,277,-0.6393
ENSG00000178585,CTNNBIP1,5,-2.8412,42,0.32358,47,0.44850,39,0.13717,59,0.87094,25,-0.6023
ENSG00000162441,LZIC,5,-2.7205,21,-0.7973,61,1.02807,9,-1.9734,64,1.11138,43,0.50606
ENSG00000130939,UBE4B,5,-2.9700,78,1.56856,14,-1.5564,58,0.66334,19,-1.1487,30,-0.4736
ENSG00000054523,KIF1B,38,-2.9430,343,0.54259,245,-0.1130,263,0.00486,304,0.24699,281,0.13475
ENSG00000142657,PGD,5,-3.8752,127,1.20809,36,-1.1217,76,0.07834,73,0.00502,69,-0.0998
ENSG00000160049,DFFA,5,-2.8609,43,0.36731,38,0.08239,36,-0.0086,28,-0.3922,47,0.53796
ENSG00000120948,TARDBP,5,-3.6913,53,-0.3654,32,-1.1013,41,-0.7207,144,1.44396,93,0.76379
ENSG00000116649,SRM,5,-3.8476,105,0.81111,26,-1.5382,101,0.59440,72,0.00720,77,0.15949
ENSG00000198793,MTOR,5,-2.8756,47,0.49273,24,-0.6915,41,0.20362,77,1.31061,26,-0.6277
ENSG00000116661,FBXO2,5,-6.1131,544,0.92824,191,-0.9652,257,-0.4994,509,0.63516,376,0.13733
ENSG00000132879,FBXO44,115,0.12384,205,1.46533,25,-2.2387,126,0.28269,75,-0.5587,51,-1.2869
ENSG00000011021,CLCN6,63,-0.6373,206,1.85234,47,-1.0809,88,-0.1014,32,-1.6668,55,-0.9649
ENSG00000116685,KIAA2013,68,0.39977,45,-0.3066,25,-1.1906,35,-0.6744,118,1.40431,46,-0.2946
ENSG00000083444,PLOD1,208,2.17693,57,-0.2805,16,-2.2009,66,0.00863,51,-0.4210,37,-1.0339
ENSG00000116688,MFN2,5,-4.1996,150,1.01658,72,-0.4079,106,0.21655,92,-0.0143,84,-0.1907
ENSG00000048707,VPS13D,5,-3.1176,36,-0.3344,45,0.05797,27,-0.7553,72,0.88312,62,0.74676
ENSG00000162496,DHRS3,5,-3.0237,4,-3.6615,19,-1.2144,30,-0.4980,134,2.26847,66,0.99718
ENSG00000116731,PRDM2,5,-2.6768,43,0.58576,34,0.11355,30,-0.0691,38,0.31463,30,-0.0771
ENSG00000189337,KAZN,9,-2.4928,56,0.33767,40,-0.2587,29,-0.7425,119,1.68897,33,-0.6205
ENSG00000142634,EFHD2,5,-3.2375,68,0.78193,34,-0.5188,76,0.82376,67,0.61027,28,-0.9263
ENSG00000116786,PLEKHM2,5,-3.4017,71,0.60704,44,-0.2755,63,0.31947,65,0.35326,50,-0.0880
ENSG00000065526,SPEN,72,0.73267,24,-1.1822,42,-0.1793,46,-0.0465,69,0.64592,49,0.10465
ENSG00000055070,SZRD1,35,-0.5562,18,-1.7539,52,0.04193,21,-1.3860,122,1.58834,69,0.63429
ENSG00000159363,ATP13A2,9,-4.5256,438,2.14582,83,-1.2502,167,-0.1566,84,-1.2323,125,-0.6997
ENSG00000117118,SDHB,116,0.92560,97,0.72884,33,-1.1361,51,-0.4626,51,-0.4617,49,-0.5853
ENSG00000117115,PADI2,12,-3.7954,33,-2.4654,297,1.21824,91,-0.7738,276,1.07929,223,0.84467
ENSG00000159423,ALDH4A1,6,-2.8335,34,-0.2786,55,0.54816,37,-0.0900,67,0.89607,42,0.10316
ENSG00000127463,EMC1,5,-2.9030,63,1.11182,25,-0.6511,23,-0.7703,60,0.81151,30,-0.4024
ENSG00000053372,MRTO4,5,-2.6047,36,0.34254,16,-1.0226,46,0.69582,47,0.75779,28,-0.1437
ENSG00000053371,AKR7A2,49,-0.9845,80,-0.2563,85,-0.1409,48,-1.0445,249,1.82607,73,-0.4260
ENSG00000077549,CAPZB,111,-0.6953,272,0.96880,74,-1.3244,144,-0.2868,155,-0.1658,174,0.01809
ENSG00000173436,MICOS10,12,-3.9776,244,0.79672,159,-0.0717,61,-1.5735,117,-0.5711,247,0.82409
ENSG00000158747,NBL1,6,-4.5630,177,0.60639,91,-0.5978,179,0.51880,164,0.37150,129,-0.0371
ENSG00000162545,CAMK2N1,5,-5.8489,470,1.05159,336,0.26187,186,-0.6932,163,-0.9045,334,0.29734
ENSG00000090432,MUL1,5,-2.6440,47,0.87679,25,-0.3775,22,-0.5715,31,-0.0076,36,0.27056
ENSG00000183114,FAM43B,63,0.68109,80,1.41468,9,-2.3738,54,0.40759,3,-3.8578,25,-0.9492
ENSG00000158828,PINK1,233,-0.5016,505,0.98340,203,-0.7187,207,-0.6816,225,-0.5559,331,0.08258
ENSG00000244038,DDOST,5,-2.3976,30,0.23064,13,-1.0959,25,-0.0667,58,1.40821,25,-0.1189
ENSG00000127483,HP1BP3,5,-4.7655,119,-0.2910,116,-0.2968,118,-0.2635,201,0.63129,216,0.93330
ENSG00000075151,EIF4G3,5,-4.2147,142,0.90861,102,0.17579,77,-0.2960,85,-0.1320,92,-0.0079
ENSG00000117298,ECE1,5,-2.8772,19,-1.1704,43,0.26789,11,-1.8054,53,0.63195,71,1.49637
ENSG00000076864,RAP1GAP,12,-2.6444,147,1.78775,19,-1.9492,121,0.98351,40,-0.8451,31,-1.3877
ENSG00000090686,USP48,5,-2.9791,48,0.40466,19,-1.1163,43,0.13726,47,0.28761,52,0.56297
ENSG00000070831,CDC42,100,-1.3672,398,1.09980,125,-1.0230,189,-0.3744,276,0.24180,211,-0.2295
ENSG00000173372,C1QA,842,4.59371,13,-3.7596,3,-5.4796,13,-3.5421,30,-2.2875,85,-0.8398
ENSG00000173369,C1QB,373,3.06553,10,-3.4434,4,-4.4701,27,-1.7512,58,-0.6173,100,0.31658
ENSG00000004487,KDM1A,5,-3.0588,62,0.84345,24,-0.8828,33,-0.3713,30,-0.4928,57,0.66239
ENSG00000169641,LUZP1,5,-2.6643,41,0.52814,17,-0.9387,76,1.57006,22,-0.5518,25,-0.4392
ENSG00000125944,HNRNPR,164,0.95206,73,-0.4786,53,-0.9115,48,-1.0606,75,-0.3653,135,0.72925
ENSG00000117318,ID3,1199,3.96522,11,-4.6001,88,-1.4107,44,-2.4402,61,-1.9515,159,-0.5671
ENSG00000142676,RPL11,1508,1.58216,214,-1.8392,505,-0.3572,240,-1.5075,589,-0.1083,881,0.69190
ENSG00000057757,PITHD1,5,-5.5881,591,2.28385,63,-2.0522,217,-0.1550,163,-0.6143,139,-0.9646
ENSG00000011009,LYPLA2,61,0.62778,24,-0.9806,17,-1.3563,37,-0.1944,121,1.95800,26,-0.8738
ENSG00000117305,HMGCL,67,1.33849,31,-0.0246,18,-0.8396,22,-0.5883,29,-0.0922,26,-0.3358
ENSG00000189266,PNRC2,203,1.97239,41,-0.9712,50,-0.5356,39,-0.9475,73,0.05709,58,-0.3492
ENSG00000188529,SRSF10,22,-1.2879,52,0.03200,59,0.23645,31,-0.7928,112,1.37977,41,-0.4212
ENSG00000001461,NIPAL3,70,-0.0607,114,0.94637,83,0.21964,58,-0.3534,43,-0.8201,49,-0.6988
ENSG00000117602,RCAN3,5,-2.5216,56,1.51453,12,-1.3061,34,0.29217,30,0.07528,17,-0.8770
ENSG00000133226,SRRM1,38,-0.8187,52,-0.3696,97,0.70949,48,-0.4536,123,1.14488,50,-0.4503
ENSG00000169504,CLIC4,19,-2.0126,11,-2.9771,134,1.15155,46,-0.6371,71,0.04215,131,1.42280
ENSG00000117614,SYF2,83,0.07209,49,-0.8662,94,0.28338,52,-0.6735,61,-0.4289,124,0.93104
ENSG00000117616,RSRP1,27,-0.6340,32,-0.4361,17,-1.3623,33,-0.3226,92,1.46276,45,0.22497
ENSG00000183726,TMEM50A,5,-3.7558,43,-0.7928,34,-1.0766,57,-0.2544,118,0.97507,118,1.22851
ENSG00000204178,MACO1,5,-2.3534,35,0.65021,19,-0.4247,18,-0.5629,22,-0.2383,34,0.60849
ENSG00000162430,SELENON,227,1.81955,29,-1.7979,45,-0.9837,20,-2.2351,155,1.05054,85,0.01651
ENSG00000117640,MTFR1L,71,-0.1755,95,0.35442,59,-0.4739,57,-0.5373,129,0.83617,64,-0.3898
ENSG00000117632,STMN1,150,-1.9033,918,1.29231,345,-0.6283,269,-1.0155,430,-0.2784,526,0.05933
ENSG00000142684,ZNF593,5,-3.2658,51,0.12693,51,0.11630,36,-0.4656,64,0.49980,62,0.51479
ENSG00000142669,SH3BGRL3,112,-1.1998,373,0.93645,175,-0.5070,189,-0.3825,272,0.21310,210,-0.2426
ENSG00000117682,DHDDS,5,-2.2178,46,1.52355,16,-0.6274,30,0.44095,9,-1.4728,17,-0.5559
ENSG00000198830,HMGN2,5,-5.2148,72,-1.6200,127,-0.5914,84,-1.2387,573,2.15990,268,0.78613
ENSG00000117713,ARID1A,16,-1.9516,40,-0.6729,27,-1.2063,64,0.16334,150,1.74678,63,0.15859
ENSG00000204160,ZDHHC18,57,0.71643,72,1.45339,3,-3.6219,30,-0.3357,14,-1.4663,25,-0.6988
ENSG00000090273,NUDC,117,-0.7125,182,-0.0122,162,-0.1993,91,-1.1024,378,1.28127,176,-0.0730
ENSG00000253368,TRNP1,5,-2.9963,90,1.96397,20,-1.0887,50,0.38964,5,-3.1299,28,-0.5981
ENSG00000142784,WDTC1,5,-2.2577,32,0.55996,26,0.15369,29,0.33110,20,-0.2549,23,-0.0377
ENSG00000186501,TMEM222,5,-4.0421,92,0.22665,60,-0.4829,98,0.30766,176,1.35967,65,-0.4190
ENSG00000158195,WASF2,29,-1.3994,7,-3.5881,80,0.18706,59,-0.3209,221,2.12432,85,0.33045
ENSG00000126705,AHDC1,37,-0.5587,37,-0.6368,11,-2.3384,52,0.00764,163,2.15783,40,-0.4818
ENSG00000126709,IFI6,565,1.29274,224,-0.3641,93,-1.6740,111,-1.4063,560,1.27683,200,-0.5647
ENSG00000117758,STX12,26,-2.0362,172,1.26225,53,-0.9503,82,-0.2633,30,-1.8005,119,0.41331
ENSG00000117751,PPP1R8,5,-2.3142,23,-0.1251,40,0.81252,14,-0.8904,17,-0.6225,38,0.88455
ENSG00000117748,RPA2,6,-2.9222,48,0.35021,31,-0.4331,47,0.27703,67,0.87284,37,-0.1363
ENSG00000126698,DNAJC8,148,0.20594,129,-0.0326,91,-0.5750,115,-0.2117,155,0.27819,140,0.13368
ENSG00000130770,ATP5IF1,39,-3.2202,636,1.51507,216,-0.6586,123,-1.5289,334,0.03914,311,-0.0870
ENSG00000198492,YTHDF2,47,-0.3924,84,0.69248,46,-0.4003,48,-0.3324,56,-0.1050,56,-0.1183
ENSG00000116350,SRSF4,5,-3.0778,39,-0.1160,31,-0.4691,32,-0.4467,84,1.21062,52,0.43904
ENSG00000060656,PTPRU,5,-2.3214,51,1.62529,4,-2.5483,45,1.00482,27,0.12486,8,-1.8655
ENSG00000162511,LAPTM5,209,2.30138,1,-5.7249,15,-2.1952,24,-1.5183,69,0.13847,93,0.79788
ENSG00000162512,SDC3,33,-2.9061,140,-0.8411,189,-0.2697,258,0.23980,313,0.57078,357,0.99451
ENSG00000134644,PUM1,207,0.47658,213,0.63812,67,-1.3175,198,0.40647,155,-0.0090,96,-0.8630
ENSG00000121766,ZCCHC17,31,-1.6190,159,1.25959,70,-0.3885,115,0.42816,30,-1.6753,75,-0.3328
ENSG00000121769,FABP3,5,-3.4244,110,1.66232,71,0.47358,48,-0.1591,31,-0.8645,26,-1.2655
ENSG00000162517,PEF1,213,1.07604,154,0.59446,39,-1.6762,98,-0.2605,120,0.07020,70,-0.8729
ENSG00000084636,COL16A1,45,-0.3140,0,-9.0093,32,-0.8398,23,-1.3656,293,3.81070,22,-1.5427
ENSG00000121753,ADGRB2,5,-3.8058,100,0.75302,33,-1.1429,94,0.50868,52,-0.4622,85,0.40733
ENSG00000184007,PTP4A2,7,-4.2414,103,-0.4520,264,1.22569,105,-0.3623,111,-0.2833,180,0.63498
ENSG00000121774,KHDRBS1,49,-1.2828,111,0.01480,71,-0.7049,85,-0.4103,234,1.34224,110,-0.0070
ENSG00000025800,KPNA6,5,-3.1888,74,1.04469,44,-0.0405,41,-0.1618,39,-0.2352,42,-0.1283
ENSG00000084652,TXLNA,94,1.41433,33,-0.4374,27,-0.7219,32,-0.4643,52,0.32358,34,-0.4014
ENSG00000084623,EIF3I,5,-4.5782,178,0.85031,84,-0.5486,116,-0.0350,183,0.74795,101,-0.2933
ENSG00000175130,MARCKSL1,83,-1.8603,93,-1.8511,474,0.94188,87,-1.7865,258,-0.1034,556,1.61441
ENSG00000160058,BSDC1,5,-3.3887,90,1.12864,34,-0.7105,58,0.15183,57,0.09981,46,-0.2839
ENSG00000176261,ZBTB8OS,5,-2.2794,14,-0.9218,16,-0.6077,19,-0.3862,37,0.70364,44,1.28853
ENSG00000162521,RBBP4,5,-4.0391,83,0.03525,72,-0.2108,42,-1.0559,170,1.29833,99,0.38046
ENSG00000134684,YARS,5,-4.0439,166,1.54253,35,-1.3667,78,-0.1152,76,-0.1751,73,-0.2626
ENSG00000121900,TMEM54,5,-3.6588,21,-1.8326,54,-0.2482,30,-1.1611,207,2.28326,82,0.53490
ENSG00000004455,AK2,13,-1.5196,23,-0.7983,23,-0.7216,55,0.70797,66,1.06273,42,0.31375
ENSG00000134686,PHC2,100,0.93695,71,0.39917,47,-0.3438,39,-0.6518,29,-1.0855,54,-0.1396
ENSG00000163866,SMIM12,78,0.31403,98,0.88505,20,-1.8039,49,-0.4380,67,0.06668,52,-0.3853
ENSG00000116560,SFPQ,326,1.21583,117,-0.6136,65,-1.4366,140,-0.2554,281,0.93606,131,-0.4123
ENSG00000146463,ZMYM4,185,2.00764,37,-0.9471,32,-1.0759,36,-0.8977,30,-1.1816,74,0.31975
ENSG00000142687,KIAA0319L,109,0.76690,92,0.56829,32,-1.1970,60,-0.2310,41,-0.8437,65,-0.1356
ENSG00000020129,NCDN,5,-5.7652,713,2.47368,94,-1.6656,268,-0.0385,108,-1.4526,146,-1.1163
ENSG00000126067,PSMB2,174,0.56315,220,1.23609,23,-2.5888,103,-0.3137,113,-0.1647,73,-0.9568
ENSG00000142686,C1orf216,92,1.17621,88,1.39823,10,-2.3242,55,0.27346,4,-3.6461,19,-1.5531
ENSG00000092847,AGO1,5,-2.2242,19,-0.3552,12,-0.9684,50,1.34981,17,-0.4670,31,0.59570
ENSG00000126070,AGO3,5,-2.5735,27,-0.1934,35,0.29371,15,-1.0345,55,1.05367,37,0.41660
ENSG00000054116,TRAPPC3,289,2.11943,65,-0.6642,39,-1.3686,43,-1.2300,109,0.23995,71,-0.5159
ENSG00000116871,MAP7D1,135,-0.4629,303,1.13177,141,-0.3862,140,-0.3962,92,-1.0570,160,-0.2135
ENSG00000054118,THRAP3,5,-3.7311,72,0.16626,72,0.14779,46,-0.5577,133,1.23562,63,-0.0756
ENSG00000181817,LSM10,5,-2.8571,46,0.48828,33,-0.1220,25,-0.5827,37,0.04537,48,0.56623
ENSG00000116898,MRPS15,9,-2.5449,83,1.06735,37,-0.4978,37,-0.4768,28,-0.9217,62,0.42901
ENSG00000163875,MEAF6,14,-3.0943,185,1.18922,88,-0.3147,92,-0.2451,133,0.36581,79,-0.5482
ENSG00000185090,MANEAL,5,-2.7761,82,2.14077,21,-0.7339,38,0.17254,19,-0.9235,13,-1.6401
ENSG00000197982,C1orf122,159,-0.5368,205,-0.1586,266,0.29694,147,-0.6604,174,-0.3989,312,0.69479
ENSG00000183431,SF3A3,7,-2.2680,30,-0.1710,19,-0.8669,39,0.27776,78,1.56462,29,-0.1955
ENSG00000116954,RRAGC,60,-0.0154,92,0.88829,34,-0.9025,47,-0.3970,32,-0.9906,62,0.06587
ENSG00000174574,AKIRIN1,62,-0.5115,106,0.42767,45,-1.0302,52,-0.7851,155,1.02565,80,-0.1410
ENSG00000168653,NDUFS5,840,1.00938,593,0.46530,310,-0.6703,224,-1.1745,320,-0.6169,441,-0.1228
ENSG00000127603,MACF1,5,-4.9283,108,-0.6053,213,0.59001,97,-0.7054,218,0.62619,228,0.86281
ENSG00000090621,PABPC4,5,-3.3684,41,-0.4008,33,-0.6931,42,-0.3306,62,0.31975,93,1.29697
ENSG00000116983,HPCAL4,9,-3.7355,184,1.13662,52,-1.1594,126,0.25194,107,-0.0235,103,-0.0958
ENSG00000084072,PPIE,196,2.11172,39,-0.8717,42,-0.6570,25,-1.4834,103,0.82108,33,-1.1452
ENSG00000131236,CAP1,5,-4.5905,198,1.06600,73,-0.7922,112,-0.1136,79,-0.6711,148,0.41648
ENSG00000131238,PPT1,42,-1.8938,158,0.18071,86,-0.8252,106,-0.4945,235,0.83788,184,0.48881
ENSG00000084073,ZMPSTE24,5,-2.9228,57,0.84621,25,-0.6714,20,-1.0027,41,0.14467,49,0.50776
ENSG00000049089,COL9A2,5,-2.5724,5,-2.9141,44,0.65263,19,-0.6734,70,1.54522,45,0.84400
ENSG00000084070,SMAP2,32,-1.2757,143,1.53549,19,-2.0493,90,0.35851,53,-0.5075,50,-0.6683
ENSG00000117016,RIMS3,5,-3.8574,156,1.82348,35,-1.1244,52,-0.5251,64,-0.1891,53,-0.5462
ENSG00000198815,FOXJ3,5,-2.9253,71,1.41646,20,-0.9825,41,0.12336,21,-0.9446,36,-0.0817
ENSG00000177181,RIMKLA,68,1.24503,58,1.16167,21,-0.7333,25,-0.4639,19,-0.8689,10,-2.0531
ENSG00000127125,PPCS,5,-3.2800,51,0.09263,37,-0.4088,36,-0.4618,43,-0.1918,81,1.12513
ENSG00000186409,CCDC30,5,-2.5739,9,-1.9033,8,-1.9795,14,-1.1163,104,2.43217,43,0.77126
ENSG00000065978,YBX1,929,3.19398,34,-2.9192,118,-0.8735,40,-2.5098,143,-0.5774,169,-0.3525
ENSG00000117394,SLC2A1,1479,3.95866,38,-3.1444,60,-2.3068,83,-1.8241,115,-1.3269,164,-0.8794
ENSG00000117395,EBNA1BP2,5,-3.2777,70,0.76794,32,-0.6735,30,-0.7393,126,1.74612,26,-1.0532
ENSG00000066322,ELOVL1,37,-0.3901,16,-1.7748,99,1.31711,18,-1.4611,33,-0.5716,78,1.08022
ENSG00000142949,PTPRF,5,-4.5133,107,-0.0988,66,-0.8553,103,-0.1564,329,1.99790,93,-0.3587
ENSG00000126091,ST3GAL3,84,1.26929,41,0.02509,16,-1.4316,48,0.28839,33,-0.3303,31,-0.5096
ENSG00000117408,IPO13,5,-3.2936,45,-0.1411,37,-0.4364,38,-0.4132,103,1.33335,58,0.33824
ENSG00000117410,ATP6V0B,116,-2.0555,1004,1.99289,179,-1.4141,403,-0.1415,376,-0.2542,218,-1.2349
ENSG00000117411,B4GALT2,5,-3.5128,73,0.50555,43,-0.4568,82,0.63597,85,0.68006,46,-0.3771
ENSG00000196517,SLC6A9,140,1.81487,3,-4.4112,43,-0.3038,12,-2.2625,110,1.32677,53,0.02785
ENSG00000178028,DMAP1,5,-2.9084,40,0.14596,20,-0.9444,30,-0.3329,76,1.25622,43,0.26855
ENSG00000117419,ERI3,36,-2.2803,319,1.58896,68,-1.3221,147,-0.1332,88,-0.9392,148,-0.1410
ENSG00000187147,RNF220,210,0.94406,181,0.82643,62,-1.0529,75,-0.7634,90,-0.4745,86,-0.6259
ENSG00000142937,RPS8,1536,0.99054,441,-1.1963,727,-0.2877,240,-1.9962,799,-0.1358,1380,0.98509
ENSG00000070785,EIF2B3,5,-2.3810,59,1.92551,20,-0.4453,3,-3.1224,14,-0.9667,24,-0.1149
ENSG00000126088,UROD,243,1.69367,82,-0.2839,54,-0.9070,44,-1.2353,94,-0.0369,84,-0.2512
ENSG00000117450,PRDX1,447,-0.5930,704,0.16783,466,-0.5262,308,-1.1707,712,0.16144,913,0.71322
ENSG00000117448,AKR1A1,53,0.07783,46,-0.1592,45,-0.1964,22,-1.2932,87,0.94403,52,0.05776
ENSG00000132780,NASP,5,-2.8254,9,-2.2184,38,0.13498,30,-0.2771,111,2.15554,40,0.24679
ENSG00000159592,GPBP1L1,5,-2.6861,44,0.63172,17,-0.9564,35,0.12487,38,0.29436,37,0.25999
ENSG00000086015,MAST2,5,-2.9346,63,1.07767,34,-0.1777,39,0.03140,22,-0.8362,39,0.03858
ENSG00000117461,PIK3R3,136,1.84362,58,0.28436,36,-0.5366,23,-1.1907,34,-0.6022,27,-1.0610
ENSG00000085998,POMGNT1,5,-3.5820,96,1.02593,62,0.06949,37,-0.7598,72,0.32084,53,-0.2050
ENSG00000132128,LRRC41,5,-3.2628,65,0.61834,33,-0.5746,20,-1.3747,119,1.65805,37,-0.4481
ENSG00000173660,UQCRH,85,-2.2080,632,1.24572,299,-0.2900,237,-0.6635,287,-0.3567,345,-0.0715
ENSG00000117480,FAAH,5,-3.1131,27,-0.8025,62,0.61724,35,-0.3169,65,0.69476,61,0.71009
ENSG00000123472,ATPAF1,41,-1.5114,166,0.91807,117,0.14049,53,-1.0947,103,-0.0706,106,-0.0204
ENSG00000159658,EFCAB14,5,-3.7815,41,-0.9120,110,0.81767,29,-1.3373,117,0.92795,101,0.82246
ENSG00000162368,CMPK1,11,-3.7224,227,1.17282,67,-1.0699,109,-0.3067,129,-0.0317,143,0.15271
ENSG00000162374,ELAVL4,5,-4.9914,391,2.29650,56,-1.6134,243,0.74150,24,-2.8290,74,-1.3231
ENSG00000185104,FAF1,137,1.84620,63,0.44079,15,-1.8699,23,-1.2417,26,-1.0390,38,-0.5110
ENSG00000123091,RNF11,7,-5.2011,502,1.50706,139,-0.9831,256,-0.0125,145,-0.9099,255,-0.0191
ENSG00000085831,TTC39A,5,-2.1569,59,2.49577,7,-1.7160,34,0.72436,2,-3.4525,6,-2.1321
ENSG00000085832,EPS15,5,-4.4103,130,0.42386,64,-0.7919,106,0.01589,73,-0.5894,167,0.97103
ENSG00000117859,OSBPL9,232,2.81068,46,-0.4260,25,-1.3294,18,-1.7469,49,-0.2653,23,-1.5881
ENSG00000078618,NRDC,187,1.28565,117,0.52010,38,-1.3413,69,-0.4243,78,-0.2308,58,-0.8056
ENSG00000169213,RAB3B,5,-4.3121,240,2.22349,29,-1.8956,148,0.70061,41,-1.3495,41,-1.4988
ENSG00000117862,TXNDC12,69,0.58091,25,-1.1796,21,-1.3033,29,-0.8229,95,1.16535,63,0.52108
