Tested Domain	Other Domain	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ENO1	0.125	-0.142	0.028	-2.197	ENSG00000074800
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC25A33	0.362	-0.263	0.168	-1.381	ENSG00000171612
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLSTN1	0.017	-0.232	0.001	-3.199	ENSG00000171603
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LZIC	0.438	0.205	0.231	1.198	ENSG00000162441
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE4B	0.44	-0.222	0.233	-1.194	ENSG00000130939
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KIF1B	0.057	0.169	0.009	2.638	ENSG00000054523
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PGD	0.175	-0.319	0.048	-1.978	ENSG00000142657
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DFFA	0.521	-0.191	0.314	-1.008	ENSG00000160049
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TARDBP	0.678	-0.106	0.494	-0.685	ENSG00000120948
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRM	0.484	-0.183	0.276	-1.091	ENSG00000116649
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FBXO2	0.125	-0.252	0.028	-2.199	ENSG00000116661
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FBXO44	0.665	-0.117	0.476	-0.713	ENSG00000132879
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLCN6	0.407	-0.209	0.202	-1.277	ENSG00000011021
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KIAA2013	0.4	-0.24	0.197	-1.292	ENSG00000116685
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MFN2	0.808	-0.052	0.678	-0.415	ENSG00000116688
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VPS13D	0.637	-0.129	0.445	-0.765	ENSG00000048707
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KAZN	0.563	-0.152	0.364	-0.908	ENSG00000189337
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PLEKHM2	0.836	-0.061	0.725	-0.351	ENSG00000116786
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPEN	0.229	0.3	0.076	1.776	ENSG00000065526
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM131C	0.204	-0.361	0.062	-1.87	ENSG00000185519
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SZRD1	0.947	0.026	0.895	0.132	ENSG00000055070
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NBPF1	0.335	-0.288	0.144	-1.462	ENSG00000219481
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP13A2	0.145	-0.248	0.036	-2.106	ENSG00000159363
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SDHB	0.376	-0.214	0.179	-1.346	ENSG00000117118
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PADI2	0	0.506	0	4.552	ENSG00000117115
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AKR7A2	0.457	-0.203	0.248	-1.156	ENSG00000053371
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAPZB	0.97	-0.009	0.938	-0.078	ENSG00000077549
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MICOS10	0.353	-0.159	0.161	-1.404	ENSG00000173436
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NBL1	0.65	-0.101	0.458	-0.743	ENSG00000158747
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAMK2N1	0.753	-0.039	0.597	-0.529	ENSG00000162545
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PINK1	0.238	-0.133	0.081	-1.748	ENSG00000158828
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HP1BP3	0.704	-0.064	0.531	-0.626	ENSG00000127483
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EIF4G3	0.283	-0.209	0.109	-1.605	ENSG00000075151
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAP1GAP	0.155	-0.356	0.039	-2.067	ENSG00000076864
ACHE_SERT_LC_WM	ACHE_SERT_Npep	USP48	0.396	-0.238	0.193	-1.302	ENSG00000090686
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDC42	0.03	-0.212	0.003	-2.951	ENSG00000070831
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1QA	0.592	-0.176	0.392	-0.857	ENSG00000173372
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1QB	0.687	0.135	0.506	0.666	ENSG00000173369
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LUZP1	0.602	-0.166	0.405	-0.834	ENSG00000169641
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HNRNPR	0.454	-0.176	0.245	-1.163	ENSG00000125944
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ID3	0.666	0.136	0.478	0.71	ENSG00000117318
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL11	0.087	0.15	0.016	2.423	ENSG00000142676
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PITHD1	0.089	-0.225	0.017	-2.403	ENSG00000057757
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PNRC2	0.416	-0.209	0.21	-1.255	ENSG00000189266
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRSF10	0.402	-0.233	0.199	-1.286	ENSG00000188529
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NIPAL3	0.62	0.115	0.424	0.8	ENSG00000001461
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRRM1	0.043	0.416	0.006	2.778	ENSG00000133226
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLIC4	0.033	0.45	0.004	2.898	ENSG00000169504
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SYF2	0.431	0.175	0.222	1.221	ENSG00000117614
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RSRP1	0.994	-0.002	0.991	-0.012	ENSG00000117616
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM50A	0.855	0.045	0.751	0.318	ENSG00000183726
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LDLRAP1	0.431	0.233	0.222	1.222	ENSG00000157978
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SELENON	0.509	-0.192	0.301	-1.036	ENSG00000162430
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MTFR1L	0.629	-0.126	0.436	-0.779	ENSG00000117640
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STMN1	0.03	-0.188	0.003	-2.944	ENSG00000117632
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SH3BGRL3	0.022	-0.249	0.002	-3.069	ENSG00000142669
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HMGN2	0.955	0.012	0.913	0.11	ENSG00000198830
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARID1A	0.65	0.13	0.458	0.742	ENSG00000117713
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NUDC	0.491	-0.111	0.283	-1.074	ENSG00000090273
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TRNP1	0.1	-0.442	0.02	-2.34	ENSG00000253368
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM222	0.545	-0.149	0.34	-0.955	ENSG00000186501
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WASF2	0.028	0.481	0.003	2.979	ENSG00000158195
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IFI6	0.993	-0.002	0.986	-0.018	ENSG00000126709
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STX12	0.52	-0.143	0.313	-1.01	ENSG00000117758
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNAJC8	0.835	-0.045	0.721	-0.357	ENSG00000126698
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5IF1	0	-0.54	0	-5.57	ENSG00000130770
ACHE_SERT_LC_WM	ACHE_SERT_Npep	YTHDF2	0.507	-0.162	0.299	-1.04	ENSG00000198492
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LAPTM5	0.637	0.158	0.444	0.765	ENSG00000162511
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SDC3	0.323	0.219	0.135	1.497	ENSG00000162512
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PUM1	0.961	-0.013	0.925	-0.095	ENSG00000134644
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZCCHC17	0.933	0.021	0.874	0.159	ENSG00000121766
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FABP3	0.368	-0.226	0.172	-1.368	ENSG00000121769
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PEF1	0.126	-0.364	0.028	-2.195	ENSG00000162517
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COL16A1	0.764	0.101	0.611	0.509	ENSG00000084636
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ADGRB2	0.368	-0.207	0.171	-1.369	ENSG00000121753
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTP4A2	0	0.396	0	5.012	ENSG00000184007
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KHDRBS1	0.491	-0.151	0.284	-1.072	ENSG00000121774
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KPNA6	0.985	0.006	0.968	0.04	ENSG00000025800
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EIF3I	0.154	-0.233	0.039	-2.072	ENSG00000084623
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MARCKSL1	0.28	0.134	0.107	1.613	ENSG00000175130
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BSDC1	0.752	0.091	0.595	0.532	ENSG00000160058
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RBBP4	0.414	-0.195	0.208	-1.259	ENSG00000162521
ACHE_SERT_LC_WM	ACHE_SERT_Npep	YARS	0.202	-0.284	0.06	-1.881	ENSG00000134684
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AK2	0.98	0.009	0.958	0.053	ENSG00000004455
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PHC2	0.843	0.056	0.735	0.339	ENSG00000134686
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SMIM12	0.138	-0.38	0.033	-2.136	ENSG00000163866
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SFPQ	0.806	0.051	0.675	0.419	ENSG00000116560
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KIAA0319L	0.718	-0.091	0.551	-0.597	ENSG00000142687
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NCDN	0.02	-0.307	0.002	-3.124	ENSG00000020129
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PSMB2	0.207	-0.245	0.064	-1.857	ENSG00000126067
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1orf216	0.336	-0.277	0.146	-1.457	ENSG00000142686
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TRAPPC3	0.152	-0.353	0.038	-2.077	ENSG00000054116
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAP7D1	0.88	-0.029	0.785	-0.273	ENSG00000116871
ACHE_SERT_LC_WM	ACHE_SERT_Npep	THRAP3	0.226	0.263	0.074	1.79	ENSG00000054118
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPS15	0.33	-0.255	0.14	-1.477	ENSG00000116898
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MEAF6	0.134	-0.337	0.031	-2.156	ENSG00000163875
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1orf122	0.923	-0.014	0.855	-0.183	ENSG00000197982
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RRAGC	0.807	-0.072	0.676	-0.418	ENSG00000116954
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AKIRIN1	0.474	-0.156	0.266	-1.112	ENSG00000174574
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFS5	0.017	-0.277	0.001	-3.188	ENSG00000168653
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MACF1	0.003	0.353	0	3.792	ENSG00000127603
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PABPC4	0.409	0.22	0.204	1.272	ENSG00000090621
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HPCAL4	0.643	-0.106	0.45	-0.755	ENSG00000116983
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MFSD2A	0.6	0.161	0.401	0.84	ENSG00000168389
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAP1	0.905	-0.025	0.829	-0.216	ENSG00000131236
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPT1	0.399	-0.195	0.196	-1.294	ENSG00000131238
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZMPSTE24	0.461	-0.199	0.252	-1.146	ENSG00000084073
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COL9A2	0.331	0.251	0.141	1.475	ENSG00000049089
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SMAP2	0.669	-0.113	0.481	-0.705	ENSG00000084070
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RIMS3	0.532	-0.156	0.327	-0.981	ENSG00000117016
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FOXJ3	0.715	-0.102	0.547	-0.602	ENSG00000198815
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RIMKLA	0.485	-0.205	0.276	-1.089	ENSG00000177181
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPCS	0.983	-0.007	0.966	-0.043	ENSG00000127125
ACHE_SERT_LC_WM	ACHE_SERT_Npep	YBX1	0.56	0.124	0.359	0.917	ENSG00000065978
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC2A1	0.096	0.352	0.018	2.364	ENSG00000117394
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EBNA1BP2	0.026	-0.543	0.003	-3.015	ENSG00000117395
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM125	0.953	0.023	0.909	0.115	ENSG00000179178
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ELOVL1	0.177	0.289	0.049	1.969	ENSG00000066322
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTPRF	0.641	-0.095	0.448	-0.759	ENSG00000142949
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IPO13	0.358	0.226	0.164	1.393	ENSG00000117408
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP6V0B	0.033	-0.23	0.004	-2.904	ENSG00000117410
ACHE_SERT_LC_WM	ACHE_SERT_Npep	B4GALT2	0.375	0.242	0.177	1.35	ENSG00000117411
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC6A9	0.907	0.039	0.833	0.21	ENSG00000196517
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ERI3	0.666	0.093	0.478	0.711	ENSG00000117419
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RNF220	0.438	-0.144	0.231	-1.2	ENSG00000187147
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPS8	0.487	0.065	0.279	1.083	ENSG00000142937
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UROD	0.334	-0.243	0.143	-1.465	ENSG00000126088
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRDX1	0.848	-0.02	0.742	-0.33	ENSG00000117450
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AKR1A1	0.749	-0.094	0.592	-0.537	ENSG00000117448
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NASP	0.559	0.173	0.358	0.92	ENSG00000132780
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPBP1L1	0.728	0.108	0.566	0.575	ENSG00000159592
ACHE_SERT_LC_WM	ACHE_SERT_Npep	POMGNT1	0.863	-0.046	0.762	-0.304	ENSG00000085998
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UQCRH	0.005	-0.337	0	-3.67	ENSG00000173660
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATPAF1	0.382	-0.162	0.183	-1.334	ENSG00000123472
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EFCAB14	0.983	0.006	0.966	0.043	ENSG00000159658
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CMPK1	0.377	-0.134	0.179	-1.345	ENSG00000162368
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ELAVL4	0.317	0.21	0.131	1.513	ENSG00000162374
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RNF11	0.093	-0.156	0.018	-2.38	ENSG00000123091
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EPS15	0.848	-0.038	0.741	-0.33	ENSG00000085832
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NRDC	0.659	-0.109	0.468	-0.727	ENSG00000078618
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB3B	0.434	0.178	0.226	1.213	ENSG00000169213
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BTF3L4	0.442	-0.192	0.235	-1.189	ENSG00000134717
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZYG11B	0.948	-0.018	0.901	-0.125	ENSG00000162378
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCP2	0.694	-0.09	0.514	-0.653	ENSG00000116171
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CZIB	0.43	-0.229	0.221	-1.226	ENSG00000162384
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM59	0.084	-0.23	0.015	-2.441	ENSG00000116209
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL37	0.458	-0.208	0.249	-1.153	ENSG00000116221
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SSBP3	0.385	-0.189	0.185	-1.328	ENSG00000157216
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DHCR24	0.36	0.111	0.166	1.388	ENSG00000116133
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PLPP3	0.264	0.209	0.098	1.659	ENSG00000162407
ACHE_SERT_LC_WM	ACHE_SERT_Npep	JUN	0.977	0.011	0.951	0.061	ENSG00000177606
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NFIA	0	0.559	0	5.218	ENSG00000162599
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TM2D1	0.104	-0.407	0.021	-2.316	ENSG00000162604
ACHE_SERT_LC_WM	ACHE_SERT_Npep	JAK1	0.461	-0.161	0.254	-1.143	ENSG00000162434
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AK4	0.553	-0.16	0.349	-0.938	ENSG00000162433
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNAJC6	0.036	-0.242	0.004	-2.866	ENSG00000116675
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LEPROT	0.734	-0.104	0.574	-0.563	ENSG00000213625
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PDE4B	0.79	0.074	0.653	0.449	ENSG00000184588
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SGIP1	0.508	-0.176	0.3	-1.037	ENSG00000118473
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SERBP1	0.805	0.053	0.674	0.421	ENSG00000142864
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DIRAS3	0.002	-0.733	0	-3.976	ENSG00000162595
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WLS	0.515	0.187	0.307	1.023	ENSG00000116729
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRSF11	0.006	0.367	0	3.609	ENSG00000116754
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZRANB2	0.815	-0.053	0.688	-0.401	ENSG00000132485
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NEGR1	0.585	0.116	0.384	0.871	ENSG00000172260
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACADM	0.411	-0.226	0.206	-1.265	ENSG00000117054
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RABGGTB	0.967	-0.014	0.934	-0.083	ENSG00000137955
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AK5	0.181	-0.337	0.051	-1.951	ENSG00000154027
ACHE_SERT_LC_WM	ACHE_SERT_Npep	USP33	0.259	-0.255	0.094	-1.679	ENSG00000077254
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MIGA1	0.786	0.069	0.649	0.456	ENSG00000180488
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FUBP1	0.343	-0.265	0.152	-1.432	ENSG00000162613
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNAJB4	0.835	-0.064	0.72	-0.359	ENSG00000162616
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TTLL7	0.53	0.115	0.325	0.986	ENSG00000137941
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRKACB	0.107	-0.199	0.022	-2.295	ENSG00000142875
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GNG5	0.314	0.282	0.128	1.525	ENSG00000174021
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1orf52	0.343	-0.255	0.152	-1.433	ENSG00000162642
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DDAH1	0.864	-0.033	0.763	-0.301	ENSG00000153904
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SH3GLB1	0.331	-0.266	0.141	-1.473	ENSG00000097033
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SELENOF	0.121	-0.263	0.026	-2.225	ENSG00000183291
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LMO4	0.224	0.272	0.073	1.793	ENSG00000143013
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LRRC8D	0.703	-0.115	0.529	-0.63	ENSG00000171492
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF326	0.078	0.428	0.013	2.484	ENSG00000162664
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF644	0.183	0.356	0.052	1.947	ENSG00000122482
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BTBD8	0.685	-0.131	0.503	-0.67	ENSG00000189195
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EVI5	0.461	0.193	0.251	1.148	ENSG00000067208
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL5	0.596	-0.063	0.398	-0.847	ENSG00000122406
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMED5	0.593	-0.145	0.393	-0.854	ENSG00000117500
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNTTIP2	0.958	-0.019	0.917	-0.104	ENSG00000067334
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GCLM	0.558	-0.175	0.355	-0.926	ENSG00000023909
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ABCD3	0.749	-0.092	0.591	-0.537	ENSG00000117528
ACHE_SERT_LC_WM	ACHE_SERT_Npep	F3	0.993	0.003	0.988	0.015	ENSG00000117525
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CNN3	0.521	0.14	0.313	1.009	ENSG00000117519
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTBP2	0.368	-0.232	0.171	-1.37	ENSG00000117569
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MFSD14A	0.169	-0.366	0.045	-2.005	ENSG00000156875
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RTCA	0.296	-0.285	0.117	-1.571	ENSG00000137996
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EXTL2	0.34	-0.274	0.15	-1.442	ENSG00000162694
ACHE_SERT_LC_WM	ACHE_SERT_Npep	S1PR1	0.46	0.219	0.25	1.15	ENSG00000170989
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM102B	0.002	-0.795	0	-3.996	ENSG00000162636
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRPF38B	0.178	0.36	0.05	1.962	ENSG00000134186
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STXBP3	0.865	0.05	0.766	0.297	ENSG00000116266
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPSM2	0.446	0.204	0.237	1.183	ENSG00000121957
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WDR47	0.35	-0.233	0.158	-1.414	ENSG00000085433
