Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000158109,TPRG1L,172,0.04889,116,-0.5745,127,-0.4232,64,-1.4664,279,1.00676,162,-0.0474,153,-0.1384,139,-0.2912,177,0.09255
ENSG00000130764,LRRC47,172,1.51543,105,0.63170,95,0.47022,33,-1.1810,68,-0.0775,56,-0.3712,60,-0.2689,8,-3.2244,46,-0.6733
ENSG00000116198,CEP104,172,2.24314,90,0.98220,30,-0.7683,23,-1.1786,32,-0.7586,33,-0.6354,11,-2.2554,71,0.58406,3,-4.1398
ENSG00000069424,KCNAB2,172,0.82104,13,-3.0476,96,-0.1331,52,-1.0776,163,0.85310,100,-0.0746,149,0.58031,21,-2.3883,116,0.16629
ENSG00000116254,CHD5,172,0.53908,1,-6.4940,100,-0.3331,107,-0.2313,118,-0.0889,152,0.33148,347,1.80984,10,-3.6679,111,-0.1635
ENSG00000116251,RPL22,172,-1.4760,419,-0.1061,796,0.95734,444,-0.0164,230,-1.1251,182,-1.3873,224,-1.0778,993,1.35462,793,0.95013
ENSG00000116237,ICMT,172,2.18654,50,-0.0172,41,-0.3474,13,-2.0046,46,-0.1909,53,0.05347,10,-2.3739,60,0.25768,18,-1.5474
ENSG00000097021,ACOT7,172,-0.8268,59,-2.4110,153,-1.0067,101,-1.6241,677,1.78715,526,0.98281,225,-0.4109,212,-0.5072,118,-1.3950
ENSG00000162408,NOL9,172,2.59714,43,0.02260,37,-0.2070,18,-1.2907,38,-0.1919,33,-0.4051,25,-0.8389,7,-2.5519,13,-1.7835
ENSG00000162413,KLHL21,172,1.66224,210,2.06242,21,-1.7374,24,-1.5249,52,-0.4034,45,-0.6066,13,-2.3740,15,-2.1965,54,-0.3187
ENSG00000007923,DNAJC11,172,2.26697,26,-0.9873,10,-2.2891,25,-1.0035,45,-0.1672,49,-0.0118,56,0.21229,36,-0.4952,27,-0.9252
ENSG00000171735,CAMTA1,172,-0.4039,132,-0.8070,223,0.00414,236,0.09481,175,-0.4152,203,-0.1415,523,1.47067,127,-0.8659,254,0.21453
ENSG00000049245,VAMP3,172,1.17127,123,0.58765,66,-0.4124,51,-0.8168,27,-1.8687,12,-2.9030,32,-1.4963,233,1.74224,114,0.46275
ENSG00000116288,PARK7,172,-0.3675,367,0.87184,336,0.71960,174,-0.3523,285,0.51216,155,-0.5291,132,-0.7779,158,-0.4958,106,-1.1154
ENSG00000162426,SLC45A1,172,2.38114,0,-7.2901,35,-0.4288,21,-1.1903,70,0.78436,40,-0.2246,23,-1.0512,21,-1.2105,11,-2.0872
ENSG00000142599,RERE,172,0.70006,177,0.74685,137,0.32441,96,-0.2478,93,-0.3302,76,-0.6105,169,0.66721,11,-3.4658,99,-0.1927
ENSG00000074800,ENO1,172,-2.0650,1212,1.00079,507,-0.4309,600,-0.1653,987,0.75321,542,-0.3272,482,-0.5090,511,-0.4183,659,-0.0169
ENSG00000171612,SLC25A33,172,2.09682,53,-0.0148,43,-0.3209,54,0.02310,22,-1.4295,8,-2.8555,9,-2.6578,123,1.42745,25,-1.1344
ENSG00000171603,CLSTN1,172,-0.8158,639,1.34686,269,-0.1171,157,-0.9540,375,0.48177,178,-0.7641,380,0.44163,164,-0.8841,188,-0.6756
ENSG00000178585,CTNNBIP1,172,2.62260,28,-0.6473,27,-0.6626,25,-0.7723,40,-0.0979,32,-0.4394,26,-0.7153,29,-0.5519,0,-5.8738
ENSG00000162441,LZIC,172,1.92938,133,1.42269,34,-0.8231,27,-1.1674,27,-1.2304,16,-1.9635,22,-1.4903,111,1.09221,7,-3.0380
ENSG00000130939,UBE4B,172,2.33411,18,-1.4895,47,-0.0331,17,-1.5754,71,0.75417,49,0.05753,25,-0.9595,4,-3.4205,2,-4.6535
ENSG00000054523,KIF1B,172,-1.1094,578,0.82416,337,-0.0682,227,-0.6834,353,0.00947,491,0.54760,391,0.17354,434,0.34126,178,-1.0602
ENSG00000142657,PGD,172,1.34908,44,-0.8792,71,-0.1458,31,-1.4273,113,0.71029,80,0.04943,125,0.78278,10,-3.0828,19,-2.1368
ENSG00000160049,DFFA,172,1.75067,129,1.21637,22,-1.5684,39,-0.7402,42,-0.7077,22,-1.6158,62,-0.0332,99,0.74764,0,-6.4532
ENSG00000142655,PEX14,172,2.19266,49,-0.0662,41,-0.3414,26,-1.0489,45,-0.2175,48,-0.0796,28,-0.8942,15,-1.8130,39,-0.4245
ENSG00000120948,TARDBP,172,1.90256,69,0.27267,57,-0.0234,40,-0.5987,43,-0.5210,23,-1.4050,42,-0.4999,82,0.55686,11,-2.4977
ENSG00000116649,SRM,172,1.04776,96,0.07258,79,-0.2351,48,-0.9938,146,0.89634,53,-0.8544,85,-0.1307,49,-0.9653,44,-1.1383
ENSG00000198793,MTOR,172,2.27992,42,-0.2402,28,-0.8391,18,-1.5269,35,-0.5445,58,0.27569,52,0.11686,27,-0.9306,19,-1.3986
ENSG00000116661,FBXO2,172,-1.0477,523,0.72236,314,-0.1135,205,-0.7787,603,1.15331,418,0.34760,208,-0.7543,153,-1.2256,174,-1.0259
ENSG00000132879,FBXO44,172,0.62473,21,-2.5664,66,-0.9009,44,-1.4850,168,0.67946,169,0.59675,234,1.15867,38,-1.7211,94,-0.3565
ENSG00000011021,CLCN6,172,0.62102,78,-0.6371,80,-0.6124,42,-1.5703,211,1.15602,145,0.34186,87,-0.4649,27,-2.2405,123,0.07636
ENSG00000116685,KIAA2013,172,1.81882,140,1.42265,52,-0.2309,28,-1.1746,47,-0.4327,36,-0.8197,15,-2.1049,64,0.08033,5,-3.5037
ENSG00000083444,PLOD1,172,2.07734,84,0.73181,52,-0.0399,17,-1.7053,56,0.08520,33,-0.7502,34,-0.6914,21,-1.4127,9,-2.5604
ENSG00000116688,MFN2,172,1.33321,79,0.01803,48,-0.7578,67,-0.2438,126,0.92333,63,-0.3511,55,-0.5616,47,-0.8018,0,-6.7679
ENSG00000048707,VPS13D,172,1.81373,100,0.82281,24,-1.4380,44,-0.4948,32,-1.0536,47,-0.3890,37,-0.7744,41,-0.6319,79,0.41171
ENSG00000162496,DHRS3,172,1.98046,250,2.83428,44,-0.3867,54,-0.0570,3,-4.3246,27,-1.1251,1,-5.0431,4,-3.7232,3,-4.2606
ENSG00000116731,PRDM2,172,1.82786,72,0.28556,22,-1.5632,29,-1.1278,37,-0.8509,38,-0.7163,54,-0.1853,72,0.28095,73,0.29805
ENSG00000189337,KAZN,172,1.72596,47,-0.4839,52,-0.3042,27,-1.3363,86,0.56251,67,0.08782,40,-0.7253,51,-0.3428,9,-2.9544
ENSG00000142634,EFHD2,172,1.68342,89,0.51126,43,-0.6298,19,-1.8764,51,-0.4162,48,-0.4715,94,0.59946,77,0.26305,6,-3.4319
ENSG00000116786,PLEKHM2,172,1.42111,69,-0.1233,64,-0.2485,43,-0.8535,46,-0.8380,68,-0.1423,95,0.38422,110,0.63941,34,-1.1940
ENSG00000065526,SPEN,172,1.74875,134,1.27851,57,-0.1671,53,-0.2813,10,-2.8089,13,-2.3853,83,0.43911,55,-0.2161,43,-0.5954
ENSG00000055070,SZRD1,172,2.15129,119,1.42579,33,-0.7043,48,-0.1041,13,-2.1661,33,-0.6882,44,-0.2513,0,-6.4228,40,-0.3898
ENSG00000219481,NBPF1,172,2.39160,72,0.72047,13,-1.8557,23,-1.0994,50,0.13060,16,-1.5986,20,-1.2901,36,-0.4080,12,-2.0089
ENSG00000159363,ATP13A2,172,0.05733,68,-1.3749,194,0.25208,93,-0.9034,354,1.57270,192,0.23798,197,0.27555,16,-3.4389,18,-3.2793
ENSG00000117118,SDHB,172,1.02923,51,-0.9129,73,-0.3740,45,-1.1193,123,0.52604,87,-0.1052,63,-0.6097,77,-0.3008,114,0.33434
ENSG00000117115,PADI2,172,0.76687,88,-0.3157,75,-0.5723,149,0.52650,7,-4.0882,17,-2.7576,64,-0.8120,390,2.33925,110,0.02352
ENSG00000127463,EMC1,172,2.25291,62,0.37207,57,0.24206,20,-1.3696,47,-0.0874,21,-1.2959,34,-0.5882,3,-4.0022,30,-0.7694
ENSG00000053372,MRTO4,172,2.18168,82,0.77759,16,-1.7227,31,-0.7529,44,-0.2608,35,-0.5625,52,0.02762,1,-5.3382,32,-0.7160
ENSG00000053371,AKR7A2,172,1.27138,184,1.39209,29,-1.5789,62,-0.4272,55,-0.6740,46,-0.8920,55,-0.6039,107,0.44692,48,-0.8271
ENSG00000077549,CAPZB,172,-0.3783,240,0.15219,207,-0.0821,151,-0.5833,321,0.73736,247,0.19801,165,-0.4459,229,0.07708,130,-0.8056
ENSG00000173436,MICOS10,172,-0.2732,199,-0.0381,325,0.76745,175,-0.2492,257,0.42581,75,-1.5376,213,0.07025,189,-0.1234,180,-0.1978
ENSG00000158747,NBL1,172,-0.0136,141,-0.3272,212,0.32936,120,-0.5797,204,0.30344,114,-0.6604,149,-0.2366,91,-1.0027,326,1.05557
ENSG00000162545,CAMK2N1,172,-0.9472,56,-2.6084,346,0.14512,318,0.01024,310,-0.0314,174,-0.9271,687,1.31989,484,0.70362,301,-0.0747
ENSG00000090432,MUL1,172,2.20489,43,-0.2632,30,-0.7900,18,-1.5396,46,-0.1721,42,-0.2852,30,-0.8070,52,0.03852,26,-1.0170
ENSG00000183114,FAM43B,172,1.97868,34,-0.7892,13,-2.2069,29,-1.0203,80,0.67070,60,0.10599,44,-0.3696,0,-6.4239,49,-0.2099
ENSG00000158828,PINK1,172,-0.6000,207,-0.3104,224,-0.1840,224,-0.1832,410,0.94618,221,-0.2106,173,-0.5934,229,-0.1507,249,-0.0164
ENSG00000127483,HP1BP3,172,0.22723,229,0.70209,144,-0.0572,144,-0.0625,125,-0.3158,61,-1.3859,162,0.13525,204,0.50894,128,-0.2427
ENSG00000075151,EIF4G3,172,0.58197,148,0.33791,32,-2.0061,63,-1.0007,128,0.10914,99,-0.3056,176,0.62414,68,-0.8975,190,0.74915
ENSG00000076864,RAP1GAP,172,0.95531,5,-4.4101,90,-0.1213,34,-1.5814,191,1.38195,71,-0.4920,128,0.44931,27,-1.9381,59,-0.7634
ENSG00000090686,USP48,172,2.20444,41,-0.3108,41,-0.3308,37,-0.4963,46,-0.1786,45,-0.1734,26,-1.0136,0,-6.4512,51,0.01434
ENSG00000070831,CDC42,172,-0.6763,223,-0.2723,235,-0.1878,120,-1.2229,329,0.40298,254,-0.0679,293,0.16619,372,0.55560,320,0.30796
ENSG00000004487,KDM1A,172,1.67600,37,-0.8828,41,-0.7150,36,-0.9253,90,0.59352,35,-0.9650,95,0.61847,57,-0.2074,0,-6.5080
ENSG00000169641,LUZP1,172,2.23270,9,-2.4596,27,-0.9178,38,-0.4273,37,-0.5245,25,-1.0488,96,1.08961,1,-5.3031,56,0.18556
ENSG00000125944,HNRNPR,172,1.44382,71,-0.0501,83,0.19742,54,-0.5003,67,-0.1603,61,-0.3113,108,0.61604,25,-1.6685,30,-1.3829
ENSG00000117318,ID3,172,0.97019,198,1.22642,216,1.38440,34,-1.5986,2,-5.4140,12,-3.0611,5,-4.2396,14,-2.8540,303,2.04721
ENSG00000142676,RPL11,172,-1.6833,611,0.27767,877,0.88486,482,-0.1051,204,-1.5366,165,-1.7421,253,-1.1007,1012,1.13669,1169,1.40136
ENSG00000057757,PITHD1,172,-0.3775,68,-1.7840,152,-0.5677,94,-1.3029,529,1.90917,334,0.69792,183,-0.2828,60,-1.9738,63,-1.8978
ENSG00000011009,LYPLA2,172,1.95524,172,1.96241,37,-0.6683,13,-2.1841,34,-0.8765,31,-0.9371,29,-1.0264,4,-3.8340,41,-0.4894
ENSG00000117305,HMGCL,172,2.35187,28,-0.7827,5,-3.3593,22,-1.1639,39,-0.3341,20,-1.3148,32,-0.6187,96,1.19300,19,-1.3720
ENSG00000189266,PNRC2,172,1.65400,90,0.50677,69,0.07111,40,-0.7864,42,-0.7531,22,-1.6379,49,-0.4791,32,-1.1285,102,0.70887
ENSG00000188529,SRSF10,172,2.16262,82,0.77199,37,-0.5242,25,-1.0907,45,-0.2173,43,-0.2925,10,-2.4279,54,0.07975,0,-6.1628
ENSG00000001461,NIPAL3,172,0.86812,71,-0.5532,58,-0.8677,45,-1.2412,82,-0.3820,59,-0.8522,89,-0.2032,232,1.40872,126,0.34882
ENSG00000117602,RCAN3,172,2.44579,20,-1.2503,13,-1.9041,11,-2.0847,55,0.35150,82,0.98097,25,-0.8947,20,-1.2786,0,-5.7529
ENSG00000133226,SRRM1,172,1.15096,176,1.18956,42,-1.1172,78,-0.1587,50,-0.9303,38,-1.2542,90,0.06678,147,0.87796,22,-2.0365
ENSG00000169504,CLIC4,172,1.30667,104,0.44295,186,1.45335,54,-0.6120,2,-5.3369,12,-2.8304,34,-1.3196,67,-0.2675,162,1.20104
ENSG00000117614,SYF2,172,1.00613,83,-0.2009,100,0.10166,50,-0.9664,51,-1.0377,44,-1.1543,116,0.33546,61,-0.6641,212,1.38149
ENSG00000183726,TMEM50A,172,1.31217,84,0.09843,66,-0.2901,46,-0.8372,57,-0.5807,38,-1.1287,52,-0.6607,64,-0.3251,156,1.14177
ENSG00000162430,SELENON,172,1.66246,236,2.32305,72,0.14773,35,-0.9922,7,-3.4780,6,-3.5231,51,-0.4012,11,-2.7042,62,-0.0973
ENSG00000117640,MTFR1L,172,1.39890,141,1.04581,53,-0.5416,46,-0.7811,78,0.05830,64,-0.2680,39,-1.0201,34,-1.2322,50,-0.6289
ENSG00000117632,STMN1,172,-1.5862,142,-1.8736,342,-0.5430,197,-1.3797,802,0.99242,309,-0.6990,449,-0.1167,1387,1.85792,226,-1.1787
ENSG00000142684,ZNF593,172,2.56026,17,-1.4505,46,0.10794,13,-1.7937,47,0.14327,21,-1.1096,32,-0.4715,21,-1.1053,16,-1.4754
ENSG00000142669,SH3BGRL3,172,-0.5386,304,0.37101,194,-0.3495,120,-1.0884,422,1.09508,293,0.31134,85,-1.6008,227,-0.0997,181,-0.4577
ENSG00000117682,DHDDS,172,2.75672,0,-7.0633,10,-2.0216,12,-1.8287,29,-0.5398,63,0.76063,40,0.01431,15,-1.4663,27,-0.5929
ENSG00000198830,HMGN2,172,0.75335,382,2.27553,127,0.25101,67,-0.7502,52,-1.2251,24,-2.2547,51,-1.1583,86,-0.3717,74,-0.6102
ENSG00000117713,ARID1A,172,1.44061,169,1.40933,48,-0.6798,35,-1.1463,60,-0.3579,37,-1.0532,94,0.38222,56,-0.4234,7,-3.3604
ENSG00000204160,ZDHHC18,172,2.03995,23,-1.3419,11,-2.4305,14,-2.0672,70,0.47491,121,1.35496,21,-1.4351,43,-0.3880,0,-6.2481
ENSG00000090273,NUDC,172,-0.2963,534,1.64166,213,0.04415,106,-1.0423,184,-0.2150,133,-0.6901,202,-0.0422,186,-0.1691,159,-0.4206
ENSG00000253368,TRNP1,172,2.15117,8,-2.7550,19,-1.5300,30,-0.8526,64,0.38572,48,-0.1301,51,-0.0355,23,-1.2682,40,-0.3919
ENSG00000142784,WDTC1,172,1.88704,68,0.23532,24,-1.3385,26,-1.2593,53,-0.1950,89,0.68581,41,-0.5409,26,-1.2419,35,-0.8016
ENSG00000186501,TMEM222,172,0.77587,96,-0.1792,75,-0.5533,70,-0.6761,91,-0.2921,110,0.03306,154,0.59419,102,-0.0846,113,0.08280
ENSG00000158195,WASF2,172,1.07761,181,1.16842,65,-0.5129,60,-0.6403,12,-3.1053,18,-2.4093,44,-1.0956,169,1.05107,168,1.04157
ENSG00000126705,AHDC1,172,1.86850,129,1.31040,6,-3.3324,33,-0.9125,32,-1.0494,22,-1.5143,52,-0.1936,50,-0.2617,65,0.15535
ENSG00000126709,IFI6,172,-0.2385,449,1.38041,224,0.18161,83,-1.3556,197,-0.0259,193,-0.0560,111,-0.9197,87,-1.2902,287,0.59143
ENSG00000117758,STX12,172,0.71139,80,-0.5123,47,-1.3339,68,-0.7626,181,0.94009,103,-0.1230,81,-0.5047,86,-0.4170,116,0.06191
ENSG00000117748,RPA2,172,1.87885,85,0.59182,27,-1.1683,17,-1.9020,58,-0.0217,45,-0.4327,39,-0.6391,43,-0.4887,45,-0.4161
ENSG00000126698,DNAJC8,172,0.56966,138,0.20234,122,0.01141,119,-0.0323,119,-0.0394,128,0.08759,108,-0.1837,47,-1.4531,142,0.25414
ENSG00000130770,ATP5IF1,172,-0.4649,195,-0.2647,267,0.23265,127,-0.9313,453,1.36705,108,-1.1751,230,-0.0062,247,0.10940,57,-2.1316
ENSG00000198492,YTHDF2,172,1.38359,46,-0.7986,82,0.11375,42,-0.9103,82,0.13030,87,0.21536,69,-0.1589,48,-0.7293,53,-0.5697
ENSG00000116350,SRSF4,172,2.10548,126,1.48345,26,-1.1104,39,-0.4770,42,-0.3880,34,-0.6896,24,-1.2181,21,-1.3919,2,-4.3108
ENSG00000060656,PTPRU,172,2.13969,33,-0.7001,31,-0.7934,17,-1.6645,53,0.03679,34,-0.6708,92,0.94298,34,-0.6474,0,-6.1300
ENSG00000162512,SDC3,172,-0.0659,347,1.10911,250,0.54518,247,0.52131,106,-0.9014,122,-0.6075,280,0.73671,112,-0.7326,51,-1.9092
ENSG00000134644,PUM1,172,0.33235,199,0.57312,151,0.11678,85,-0.7776,137,-0.0400,160,0.21250,260,1.03545,56,-1.3955,44,-1.7797
ENSG00000121766,ZCCHC17,172,0.22892,65,-1.2861,100,-0.6257,98,-0.6566,168,0.21832,256,0.89709,117,-0.3856,204,0.51213,144,-0.0608
ENSG00000121769,FABP3,172,1.02908,6,-3.8813,36,-1.4632,42,-1.2360,145,0.85841,198,1.27883,77,-0.3003,45,-1.1086,63,-0.6092
ENSG00000162517,PEF1,172,0.94690,51,-0.9899,67,-0.5856,33,-1.6272,157,0.92643,113,0.23783,120,0.34076,26,-1.9709,76,-0.3913
ENSG00000084636,COL16A1,172,1.71877,291,2.89750,17,-2.0086,22,-1.6338,23,-1.6760,13,-2.3993,47,-0.4735,10,-2.7914,22,-1.6250
ENSG00000121753,ADGRB2,172,1.18111,156,1.01297,64,-0.4384,59,-0.5654,87,0.02845,43,-1.0471,146,0.89283,32,-1.5074,6,-3.9498
ENSG00000184007,PTP4A2,172,0.01243,117,-0.5906,156,-0.1376,181,0.09700,138,-0.3773,146,-0.2420,175,0.03910,275,0.78891,208,0.31934
ENSG00000121774,KHDRBS1,172,0.59623,221,1.02895,111,-0.1161,71,-0.8159,109,-0.1633,68,-0.8682,175,0.62400,57,-1.1337,101,-0.2630
ENSG00000025800,KPNA6,172,1.42192,72,-0.0654,49,-0.6609,56,-0.4373,83,0.18597,123,0.82839,45,-0.7949,53,-0.5307,11,-2.8396
ENSG00000084652,TXLNA,172,2.21222,79,0.75197,9,-2.5775,15,-1.7863,27,-1.0402,53,0.07468,17,-1.6114,38,-0.4286,65,0.40857
ENSG00000084623,EIF3I,172,0.35468,198,0.59039,99,-0.5210,69,-1.0741,189,0.59301,98,-0.5454,84,-0.7742,54,-1.4519,229,0.83766
ENSG00000175130,MARCKSL1,172,-0.8633,154,-1.0261,154,-1.0298,217,-0.5059,61,-2.5482,35,-3.2240,132,-1.2639,1815,3.79126,190,-0.7117
ENSG00000160058,BSDC1,172,1.82527,44,-0.5116,49,-0.3301,54,-0.1944,54,-0.2145,49,-0.3465,68,0.19692,41,-0.5942,22,-1.5596
ENSG00000176261,ZBTB8OS,172,2.18495,57,0.17232,57,0.19537,29,-0.8553,33,-0.7172,20,-1.4010,29,-0.8695,29,-0.8590,48,-0.0831
ENSG00000162521,RBBP4,172,0.73055,304,1.77027,68,-0.7604,64,-0.8557,77,-0.6216,65,-0.8193,81,-0.4779,100,-0.1590,95,-0.2272
ENSG00000134684,YARS,172,0.50611,63,-1.0630,72,-0.8689,73,-0.8565,229,1.18829,113,-0.1697,136,0.12848,95,-0.4444,77,-0.7639
ENSG00000116497,S100PBP,172,2.27406,70,0.59591,15,-1.8195,22,-1.2340,38,-0.4492,27,-0.8946,28,-0.8695,26,-0.9577,53,0.13022
ENSG00000121900,TMEM54,172,2.09103,136,1.62282,62,0.24663,42,-0.3605,23,-1.3716,15,-1.8872,7,-2.9495,47,-0.2072,4,-3.7138
ENSG00000004455,AK2,172,2.18386,59,0.23404,22,-1.3076,24,-1.1231,32,-0.7908,12,-2.2098,22,-1.2573,67,0.44236,67,0.45461
ENSG00000134686,PHC2,172,1.13867,100,0.22725,113,0.42294,33,-1.4737,62,-0.5884,63,-0.5111,46,-0.9918,147,0.86783,73,-0.2798
ENSG00000163866,SMIM12,172,1.67848,14,-2.3384,57,-0.2143,36,-0.9092,98,0.78653,61,-0.1060,46,-0.5559,28,-1.2874,42,-0.6953
ENSG00000116560,SFPQ,172,0.36857,229,0.84852,199,0.60818,110,-0.3509,78,-0.9460,106,-0.4093,147,0.11556,126,-0.1292,125,-0.1482
ENSG00000146463,ZMYM4,172,2.40451,35,-0.4262,50,0.14496,32,-0.5856,40,-0.2577,29,-0.6899,23,-1.0427,6,-2.8659,33,-0.5326
ENSG00000142687,KIAA0319L,172,1.32890,111,0.56565,58,-0.4800,36,-1.1952,80,0.02529,54,-0.5797,99,0.37582,38,-1.1276,58,-0.4737
ENSG00000020129,NCDN,172,-0.6006,26,-3.4049,198,-0.3811,120,-1.1524,540,1.58027,316,0.36457,422,0.85608,114,-1.2284,74,-1.8706
ENSG00000126067,PSMB2,172,0.17916,113,-0.4808,73,-1.1435,59,-1.4786,263,1.05725,251,0.80741,66,-1.3080,113,-0.4857,164,0.10607
ENSG00000142686,C1orf216,172,1.53295,0,-7.8798,29,-1.3642,28,-1.3851,116,0.96816,72,0.04469,92,0.44259,53,-0.4576,26,-1.5428
ENSG00000054116,TRAPPC3,172,1.34106,117,0.66918,84,0.12184,39,-1.0645,80,0.05697,46,-0.8268,93,0.28348,43,-0.9095,24,-1.7691
ENSG00000116871,MAP7D1,172,-0.2450,61,-1.8269,139,-0.5750,114,-0.8843,286,0.66913,233,0.24234,83,-1.3628,459,1.41233,175,-0.2132
ENSG00000054118,THRAP3,172,1.13323,166,1.07471,56,-0.7084,65,-0.4583,82,-0.1127,57,-0.6583,73,-0.2786,65,-0.4706,56,-0.6954
ENSG00000181817,LSM10,172,2.29847,19,-1.4494,45,-0.1134,20,-1.3359,63,0.49569,37,-0.4245,22,-1.2041,42,-0.2137,0,-6.0624
ENSG00000116898,MRPS15,172,1.96248,43,-0.4151,52,-0.1426,34,-0.7771,82,0.69959,58,0.04984,23,-1.3537,3,-3.9917,15,-1.9452
ENSG00000163875,MEAF6,172,0.63291,117,0.00395,85,-0.5035,63,-0.9612,203,1.09132,102,-0.2138,150,0.40105,62,-0.9930,12,-3.4132
ENSG00000185090,MANEAL,172,2.26197,0,-7.3667,24,-1.0809,18,-1.5162,80,0.93828,46,-0.1170,38,-0.4131,1,-4.8997,33,-0.6339
