Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000049245,VAMP3,28,-2.1781,54,-0.7059,245,1.91601,52,-0.7481,90,0.10242,206,1.56874
ENSG00000116288,PARK7,461,0.68465,209,-0.8742,385,0.08994,543,0.66725,90,-2.1406,206,-0.8941
ENSG00000162426,SLC45A1,75,0.09480,18,-2.1485,17,-2.1689,20,-1.9208,90,0.35460,206,1.87958
ENSG00000142599,RERE,72,-0.6074,70,-0.4586,87,-0.1135,97,0.06472,90,-0.0540,206,1.38159
ENSG00000074800,ENO1,1073,1.01730,339,-1.2817,327,-1.3386,925,0.29796,853,0.16335,206,-2.0256
ENSG00000171603,CLSTN1,448,0.99690,172,-0.9897,271,-0.2869,382,0.27028,90,-1.9647,206,-0.7111
ENSG00000178585,CTNNBIP1,44,-0.8893,27,-1.3322,48,-0.4776,35,-0.9398,90,0.54717,206,2.12647
ENSG00000162441,LZIC,17,-2.5615,32,-1.1022,93,0.60864,89,0.54874,90,0.55865,206,2.14150
ENSG00000130939,UBE4B,69,-0.0829,26,-1.5198,3,-4.6898,38,-0.9560,90,0.39023,206,1.92457
ENSG00000054523,KIF1B,314,0.39888,284,0.07309,359,0.46103,250,-0.1337,90,-1.7046,206,-0.4387
ENSG00000142657,PGD,110,0.22537,48,-1.1596,70,-0.5845,56,-0.9208,90,-0.1883,206,1.22402
ENSG00000160049,DFFA,51,-0.7878,42,-0.8349,58,-0.3499,47,-0.6611,90,0.36360,206,1.89092
ENSG00000120948,TARDBP,51,-0.9128,51,-0.6235,57,-0.4561,75,-0.0089,90,0.27889,206,1.78491
ENSG00000116649,SRM,100,-1.3283,36,-2.4940,69,-1.5200,89,-1.1463,861,3.09931,206,0.18294
ENSG00000198793,MTOR,62,-0.2740,14,-2.3969,17,-2.1525,49,-0.5434,90,0.42521,206,1.96903
ENSG00000116661,FBXO2,467,1.02435,174,-1.0253,118,-1.6196,559,0.86232,90,-2.0160,206,-0.7645
ENSG00000132879,FBXO44,150,0.60857,52,-1.3123,99,-0.3306,45,-1.5328,90,-0.4773,206,0.89265
ENSG00000011021,CLCN6,187,1.10997,30,-2.2425,64,-1.1234,42,-1.7540,90,-0.5959,206,0.75921
ENSG00000116685,KIAA2013,50,-0.9847,30,-1.4851,91,0.25634,83,0.09889,90,0.23486,206,1.73041
ENSG00000083444,PLOD1,90,0.21414,49,-0.8249,24,-1.8943,17,-2.4088,90,0.13747,206,1.61121
ENSG00000116688,MFN2,177,0.84995,61,-1.2153,76,-0.8762,56,-1.3502,90,-0.6152,206,0.73768
ENSG00000048707,VPS13D,44,-0.8728,37,-0.8585,20,-1.7916,53,-0.3249,90,0.54162,206,2.11922
ENSG00000189337,KAZN,62,-0.7101,38,-1.2220,117,0.53141,60,-0.5369,90,0.10058,206,1.56651
ENSG00000142634,EFHD2,46,-0.8378,29,-1.2877,27,-1.3931,60,-0.1600,90,0.50819,206,2.07573
ENSG00000116786,PLEKHM2,64,-0.4636,54,-0.5747,50,-0.6750,40,-1.0111,90,0.24669,206,1.74502
ENSG00000219481,NBPF1,43,-1.2626,28,-1.5348,173,1.41536,20,-2.0144,90,0.26266,206,1.76477
ENSG00000159363,ATP13A2,447,1.78948,137,-1.0605,89,-1.7170,122,-1.2389,90,-1.6956,206,-0.4292
ENSG00000117118,SDHB,98,0.03195,28,-1.9011,53,-0.9341,102,0.08778,90,-0.1198,206,1.30411
ENSG00000117115,PADI2,21,-3.4584,175,0.35509,590,2.79437,122,-0.2354,90,-0.7059,206,0.63671
ENSG00000127463,EMC1,53,-0.6194,18,-2.0501,31,-1.2311,65,-0.0946,90,0.42741,206,1.97185
ENSG00000053371,AKR7A2,57,-0.9675,41,-1.1828,40,-1.2351,186,1.28743,90,0.03584,206,1.48865
ENSG00000077549,CAPZB,265,0.71595,120,-0.8579,172,-0.3056,219,0.08439,90,-1.3000,206,-0.0097
ENSG00000173436,MICOS10,285,0.52328,156,-0.6581,168,-0.5488,371,0.75174,90,-1.4991,206,-0.2217
ENSG00000158747,NBL1,216,-1.0111,76,-2.2762,74,-2.3210,158,-1.1877,1669,3.26932,206,-0.7826
ENSG00000162545,CAMK2N1,372,0.33191,356,0.12874,597,1.01027,227,-0.5893,90,-1.9910,206,-0.7385
ENSG00000158828,PINK1,595,1.69513,194,-0.9957,114,-1.7969,312,-0.2572,90,-2.1483,206,-0.9020
ENSG00000127483,HP1BP3,114,-0.4115,106,-0.3851,121,-0.1663,233,0.92864,90,-0.6359,206,0.71454
ENSG00000075151,EIF4G3,131,0.25258,78,-0.6655,68,-0.8853,106,-0.1805,90,-0.4457,206,0.92846
ENSG00000076864,RAP1GAP,134,-0.8127,18,-3.5307,10,-4.3730,55,-1.8985,889,3.10119,206,0.13121
ENSG00000090686,USP48,57,-0.6960,39,-1.0653,72,-0.1132,57,-0.4756,90,0.25667,206,1.75736
ENSG00000070831,CDC42,418,0.33419,101,-1.9964,368,-0.0084,262,-0.5511,722,1.14327,206,-0.9193
ENSG00000173372,C1QA,7,-3.9222,15,-2.1987,32,-1.0810,214,2.18912,90,0.53697,206,2.11316
ENSG00000173369,C1QB,2,-5.8227,24,-1.6930,26,-1.5551,290,2.70425,90,0.37759,206,1.90858
ENSG00000004487,KDM1A,63,-0.2033,20,-1.8779,10,-2.9060,36,-0.9884,90,0.45766,206,2.01055
ENSG00000125944,HNRNPR,86,-1.5773,39,-2.3413,81,-1.2570,112,-0.7631,855,3.11786,206,0.20324
ENSG00000117318,ID3,9,-3.4763,16,-2.0861,29,-1.2470,198,2.05709,90,0.56257,206,2.14663
ENSG00000142676,RPL11,267,-1.2780,548,0.22002,847,0.96550,1553,2.16847,90,-2.5437,206,-1.3128
ENSG00000057757,PITHD1,599,0.96358,151,-1.6404,160,-1.5585,136,-1.7980,881,1.20797,206,-1.1713
ENSG00000189266,PNRC2,50,-0.7235,22,-1.7713,38,-0.9133,62,-0.1784,90,0.44050,206,1.98857
ENSG00000188529,SRSF10,53,-0.7856,57,-0.4084,53,-0.5264,49,-0.6498,90,0.31903,206,1.83495
ENSG00000001461,NIPAL3,126,-1.0669,121,-0.8041,132,-0.6740,23,-3.2732,836,2.75773,206,0.03208
ENSG00000117602,RCAN3,78,0.14160,21,-1.9049,24,-1.7132,11,-2.7843,90,0.32298,206,1.83988
ENSG00000133226,SRRM1,46,-1.2217,67,-0.3030,74,-0.1308,104,0.41959,90,0.17701,206,1.65938
ENSG00000169504,CLIC4,11,-3.6404,70,-0.2278,212,1.71168,107,0.45764,90,0.17446,206,1.65627
ENSG00000117614,SYF2,55,-1.2352,60,-0.7545,118,0.31459,178,1.03402,90,-0.1197,206,1.30421
ENSG00000117616,RSRP1,31,-1.6246,29,-1.2922,105,0.74986,50,-0.4544,90,0.48099,206,2.04057
ENSG00000183726,TMEM50A,60,-0.8416,28,-1.7174,117,0.50756,96,0.16562,90,0.06878,206,1.52818
ENSG00000117640,MTFR1L,85,-0.1238,37,-1.3867,56,-0.7395,77,-0.2473,90,0.00424,206,1.45089
ENSG00000117632,STMN1,1143,1.09162,425,-1.0056,1518,1.08253,441,-0.9495,90,-3.3069,206,-2.0903
ENSG00000142669,SH3BGRL3,421,0.21090,107,-1.9814,234,-0.8054,431,0.16538,841,1.33594,206,-0.9957
ENSG00000198830,HMGN2,91,-1.3323,151,-0.1726,234,0.54532,470,1.84090,90,-0.9826,206,0.33272
ENSG00000117713,ARID1A,31,-1.7448,59,-0.3227,82,0.19385,92,0.38053,90,0.34921,206,1.87280
ENSG00000090273,NUDC,181,0.13759,86,-1.0847,104,-0.7863,336,1.14759,90,-1.0120,206,0.30077
ENSG00000253368,TRNP1,90,0.36315,35,-1.2565,9,-3.2718,8,-3.3574,90,0.22266,206,1.71538
ENSG00000186501,TMEM222,85,-0.2853,67,-0.5581,63,-0.6425,90,-0.0830,90,-0.0881,206,1.34136
ENSG00000158195,WASF2,14,-3.0490,81,0.16270,136,1.04971,88,0.31007,90,0.34166,206,1.86331
ENSG00000126709,IFI6,163,0.42112,63,-1.2424,74,-0.9943,174,0.35866,90,-0.6956,206,0.64817
ENSG00000117758,STX12,191,0.67170,74,-1.1214,121,-0.3512,107,-0.5545,90,-0.8173,206,0.51366
ENSG00000117748,RPA2,70,-0.1790,12,-2.6813,21,-1.9088,65,-0.2315,90,0.30047,206,1.81177
ENSG00000126698,DNAJC8,149,-0.0350,81,-0.9742,165,0.13772,222,0.63959,90,-0.8161,206,0.51491
ENSG00000130770,ATP5IF1,845,1.19434,197,-1.6692,285,-1.1108,609,0.07750,546,-0.0973,206,-1.6005
ENSG00000198492,YTHDF2,106,0.11240,61,-0.8085,52,-1.0431,82,-0.3475,90,-0.1976,206,1.21326
ENSG00000116350,SRSF4,36,-1.2812,20,-1.7998,62,-0.0749,65,-0.0050,90,0.52460,206,2.09705
ENSG00000162511,LAPTM5,7,-4.0207,32,-1.2149,37,-1.0003,244,2.29803,90,0.38963,206,1.92382
ENSG00000162512,SDC3,89,-0.8424,108,-0.2742,159,0.36127,233,1.02005,90,-0.5577,206,0.80207
ENSG00000134644,PUM1,165,-0.6541,131,-0.7992,81,-1.5242,88,-1.3962,789,2.43496,206,-0.0814
ENSG00000121766,ZCCHC17,185,0.47296,126,-0.3421,166,0.09752,78,-1.0830,90,-0.8696,206,0.45615
ENSG00000121769,FABP3,182,0.93324,39,-1.8841,107,-0.3543,34,-2.1058,90,-0.6300,206,0.72111
ENSG00000162517,PEF1,157,0.70051,45,-1.5657,89,-0.5194,52,-1.3330,90,-0.5005,206,0.86640
ENSG00000084636,COL16A1,3,-5.2323,32,-1.2748,138,1.08902,177,1.55853,90,0.34728,206,1.87037
ENSG00000121753,ADGRB2,104,0.29333,70,-0.4636,11,-3.1898,48,-1.0308,90,-0.0653,206,1.36824
ENSG00000184007,PTP4A2,127,-0.8507,261,0.58389,439,1.52804,150,-0.3270,90,-1.1147,206,0.18945
ENSG00000121774,KHDRBS1,112,-0.2577,56,-1.2337,108,-0.2229,210,0.88396,90,-0.5141,206,0.85107
ENSG00000025800,KPNA6,73,-0.5078,69,-0.4122,114,0.38781,38,-1.3120,90,0.00202,206,1.44824
ENSG00000084623,EIF3I,159,0.49356,70,-1.0023,65,-1.1235,133,-0.0037,90,-0.6246,206,0.72723
ENSG00000175130,MARCKSL1,63,-3.0847,297,-0.1453,1959,4.01060,124,-1.4918,90,-1.9725,206,-0.7192
ENSG00000160058,BSDC1,78,-0.1119,41,-1.0885,57,-0.5624,28,-1.6266,90,0.15777,206,1.63591
ENSG00000162521,RBBP4,65,-0.7974,50,-0.9542,97,0.08955,122,0.46932,90,-0.0262,206,1.41462
ENSG00000134684,YARS,144,0.44395,58,-1.1720,68,-0.9331,108,-0.2130,90,-0.4961,206,0.87138
ENSG00000121900,TMEM54,46,-1.0716,22,-1.8686,74,-0.0292,98,0.43675,90,0.29656,206,1.80689
ENSG00000004455,AK2,33,-1.4007,26,-1.3618,42,-0.6563,78,0.32462,90,0.56298,206,2.14717
ENSG00000134686,PHC2,44,-1.2051,41,-0.9744,116,0.70196,57,-0.4531,90,0.26809,206,1.77150
ENSG00000163866,SMIM12,115,0.53143,36,-1.5082,15,-2.7350,50,-1.0140,90,-0.0919,206,1.33690
ENSG00000116560,SFPQ,102,-0.5459,120,-0.1143,112,-0.2175,219,0.89961,90,-0.5631,206,0.79596
ENSG00000142687,KIAA0319L,100,0.12723,44,-1.2149,48,-1.0667,70,-0.4872,90,-0.0945,206,1.33388
ENSG00000020129,NCDN,569,1.14593,103,-2.0591,79,-2.4602,171,-1.3048,724,1.03043,206,-1.0194
ENSG00000126067,PSMB2,245,1.11359,59,-1.6553,93,-0.9648,117,-0.6027,90,-1.0124,206,0.30037
ENSG00000142686,C1orf216,97,0.32363,36,-1.3490,22,-2.0955,35,-1.4133,90,0.06358,206,1.52193
ENSG00000054116,TRAPPC3,84,0.07051,23,-1.9339,15,-2.5138,64,-0.3850,90,0.16119,206,1.64008
ENSG00000116871,MAP7D1,280,0.46977,155,-0.6651,394,0.85878,164,-0.5816,90,-1.4960,206,-0.2183
ENSG00000054118,THRAP3,65,-0.7878,39,-1.3302,83,-0.1662,147,0.78651,90,-0.0301,206,1.40994
ENSG00000181817,LSM10,56,-0.4832,35,-1.0653,17,-2.0915,45,-0.6565,90,0.44429,206,1.99342
ENSG00000116898,MRPS15,79,-1.5673,39,-2.1961,33,-2.4371,54,-1.7287,846,3.37228,206,0.35480
ENSG00000163875,MEAF6,142,0.48515,38,-1.7473,40,-1.6726,130,0.14662,90,-0.4438,206,0.93053
ENSG00000185090,MANEAL,107,0.64567,9,-3.2627,19,-2.3144,18,-2.3688,90,0.07833,206,1.53967
ENSG00000197982,C1orf122,310,0.12165,203,-0.6023,542,1.02540,386,0.43402,90,-1.8346,206,-0.5751
ENSG00000116954,RRAGC,102,0.15621,38,-1.4164,92,-0.0670,31,-1.7391,90,-0.1093,206,1.31647
ENSG00000174574,AKIRIN1,144,0.25582,58,-1.2636,154,0.26802,93,-0.5362,90,-0.5911,206,0.76461
ENSG00000168653,NDUFS5,657,0.91059,324,-0.6423,349,-0.5247,674,0.54374,192,-1.4451,206,-1.3328
ENSG00000127603,MACF1,94,-1.1923,208,0.41628,266,0.83942,308,1.09825,90,-0.9186,206,0.40257
ENSG00000090621,PABPC4,20,-2.3667,70,0.07484,57,-0.2556,99,0.65401,90,0.48820,206,2.04987
ENSG00000116983,HPCAL4,174,0.71438,73,-0.9779,55,-1.3991,104,-0.4220,90,-0.6520,206,0.69663
ENSG00000131236,CAP1,220,0.46491,144,-0.4173,233,0.36401,125,-0.6348,90,-1.1384,206,0.16391
ENSG00000131238,PPT1,136,-0.0325,71,-1.0386,102,-0.4701,225,0.82748,90,-0.6695,206,0.67711
ENSG00000084073,ZMPSTE24,54,-0.5540,19,-1.9651,41,-0.7858,41,-0.7919,90,0.45719,206,2.00995
ENSG00000084070,SMAP2,99,-0.0143,85,-0.2407,68,-0.6029,49,-1.0932,90,-0.1585,206,1.25875
ENSG00000117016,RIMS3,142,0.97018,49,-1.1631,5,-4.3195,11,-3.3233,90,-0.2220,206,1.18492
ENSG00000198815,FOXJ3,48,-0.7375,45,-0.6141,55,-0.3003,9,-3.0024,90,0.49689,206,2.06110
ENSG00000177181,RIMKLA,62,-0.2027,22,-1.7028,32,-1.1402,8,-3.2184,90,0.47362,206,2.03106
ENSG00000127125,PPCS,73,-0.3208,47,-0.8829,15,-2.6017,99,0.28550,90,0.12290,206,1.59352
ENSG00000065978,YBX1,54,-1.6951,76,-0.7375,154,0.39549,348,1.90411,90,-0.4688,206,0.90222
ENSG00000177868,SVBP,46,-0.8497,21,-1.7364,37,-0.9363,62,-0.1160,90,0.49321,206,2.05634
ENSG00000117394,SLC2A1,19,-2.6089,64,-0.2147,103,0.54948,124,0.87712,90,0.32707,206,1.84501
ENSG00000117395,EBNA1BP2,62,-0.7055,31,-1.5304,87,0.07752,89,0.11187,90,0.12359,206,1.59436
ENSG00000066322,ELOVL1,15,-3.7777,92,-0.5181,685,3.55940,11,-3.5782,90,-0.5499,206,0.81087
ENSG00000142949,PTPRF,132,-0.0513,71,-0.9968,135,0.00869,180,0.48182,90,-0.6335,206,0.71729
ENSG00000117408,IPO13,40,-1.4441,49,-0.7450,172,1.36479,28,-1.5913,90,0.22940,206,1.72367
ENSG00000117410,ATP6V0B,1089,0.98395,192,-2.1711,343,-1.3006,392,-1.0988,1620,1.23823,206,-2.0612
ENSG00000117411,B4GALT2,77,-0.1872,42,-1.0515,64,-0.4109,37,-1.2461,90,0.12601,206,1.59729
ENSG00000178028,DMAP1,48,-0.8047,32,-1.1819,39,-0.8703,55,-0.3475,90,0.45324,206,2.00488
ENSG00000117419,ERI3,353,1.61857,66,-1.8462,95,-1.3027,114,-1.0254,90,-1.3897,206,-0.1054
ENSG00000187147,RNF220,180,0.39771,65,-1.3591,244,0.75081,77,-1.0936,90,-0.8632,206,0.46320
ENSG00000142937,RPS8,499,-0.6882,703,0.08019,1163,0.93815,1860,1.83825,90,-3.0346,206,-1.8131
ENSG00000070785,EIF2B3,65,-0.1383,15,-2.3158,6,-3.5289,42,-0.7804,90,0.43851,206,1.98602
ENSG00000126088,UROD,110,0.24257,56,-0.9243,25,-2.1270,87,-0.2225,90,-0.1760,206,1.23840
ENSG00000117450,PRDX1,714,0.63559,378,-0.6595,755,0.45636,869,0.69676,90,-2.8073,206,-1.5808
ENSG00000117448,AKR1A1,65,-0.5415,22,-1.9611,100,0.34130,53,-0.6781,90,0.16946,206,1.65016
ENSG00000086015,MAST2,69,-0.1479,29,-1.4261,46,-0.7237,13,-2.6069,90,0.32833,206,1.84659
ENSG00000085998,POMGNT1,79,-0.6290,36,-1.6171,210,1.21695,71,-0.5944,90,-0.2209,206,1.18617
ENSG00000173660,UQCRH,638,1.36522,234,-0.9216,181,-1.3130,525,0.36324,90,-2.3550,206,-1.1159
ENSG00000117480,FAAH,23,-2.0510,39,-0.7942,111,0.90283,44,-0.6037,90,0.54036,206,2.11758
ENSG00000123472,ATPAF1,136,0.34693,67,-0.9075,56,-1.1989,117,-0.0490,90,-0.4599,206,0.91233
ENSG00000159658,EFCAB14,38,-1.5972,62,-0.4243,119,0.64261,98,0.32261,90,0.17825,206,1.66090
ENSG00000162368,CMPK1,224,0.85388,102,-0.7864,69,-1.3743,151,-0.1781,90,-0.9804,206,0.33516
ENSG00000162374,ELAVL4,362,1.78371,120,-0.9471,28,-3.1098,80,-1.5563,90,-1.3817,206,-0.0969
ENSG00000123091,RNF11,436,0.50793,211,-0.8594,159,-1.2877,252,-0.5822,703,1.12725,206,-0.8919
ENSG00000085832,EPS15,180,0.44539,84,-0.9457,180,0.26174,99,-0.6873,90,-0.8341,206,0.49514
ENSG00000078618,NRDC,117,0.20296,50,-1.2057,82,-0.4465,79,-0.4922,90,-0.2965,206,1.09886
ENSG00000169213,RAB3B,312,1.70732,96,-1.0818,35,-2.5830,49,-2.0781,90,-1.1794,206,0.11969
ENSG00000134717,BTF3L4,83,-0.0277,42,-1.0581,31,-1.5353,51,-0.7629,90,0.12292,206,1.59355
ENSG00000162378,ZYG11B,155,0.63035,59,-1.1663,69,-0.9316,76,-0.7822,90,-0.5125,206,0.85286
ENSG00000116171,SCP2,95,-0.3824,66,-0.8132,125,0.20353,130,0.25836,90,-0.3291,206,1.06135
ENSG00000162384,CZIB,50,-0.8519,27,-1.5318,43,-0.8161,83,0.24206,90,0.36756,206,1.89591
ENSG00000116209,TMEM59,314,0.21044,158,-0.9564,584,1.20198,319,0.15066,90,-1.8037,206,-0.5427
ENSG00000116221,MRPL37,106,0.31333,42,-1.2583,46,-1.1125,42,-1.2626,90,-0.0793,206,1.35177
ENSG00000157216,SSBP3,48,-1.2860,56,-0.6758,90,0.05561,145,0.87125,90,0.06206,206,1.52010
ENSG00000116133,DHCR24,436,0.13542,232,-0.9112,1389,2.24377,68,-2.7333,90,-2.3317,206,-1.0919
ENSG00000162407,PLPP3,10,-3.9857,99,-0.0151,149,0.65578,316,2.10311,90,-0.1733,206,1.24152
ENSG00000162599,NFIA,13,-3.6899,123,0.28705,140,0.51089,314,2.03169,90,-0.2131,206,1.19526
ENSG00000162604,TM2D1,91,0.08771,22,-2.0966,62,-0.5646,49,-0.9144,90,0.03017,206,1.48186
ENSG00000079739,PGM1,56,-0.7147,53,-0.5641,33,-1.2736,76,0.00464,90,0.28273,206,1.78968
ENSG00000162434,JAK1,96,-0.0920,35,-1.6038,54,-0.9587,127,0.39650,90,-0.1630,206,1.25355
ENSG00000162433,AK4,106,0.11523,51,-1.0567,61,-0.7890,79,-0.3886,90,-0.1903,206,1.22168
ENSG00000116675,DNAJC6,606,-0.1347,168,-2.0543,439,-0.5957,98,-2.8476,2415,2.53335,206,-1.7442
ENSG00000184588,PDE4B,30,-1.9287,45,-0.8224,176,1.44246,55,-0.5339,90,0.25780,206,1.75876
ENSG00000118473,SGIP1,93,-1.3897,50,-1.9411,16,-3.5765,49,-1.9603,897,3.36691,206,0.25559
ENSG00000142864,SERBP1,74,-1.2056,124,-0.0652,169,0.44616,273,1.29515,90,-0.5684,206,0.79012
ENSG00000162595,DIRAS3,279,1.30006,42,-2.2744,15,-3.7562,212,0.20765,90,-1.1415,206,0.16062
ENSG00000116729,WLS,5,-4.3051,30,-1.2372,10,-2.8452,244,2.43367,90,0.48928,206,2.05126
ENSG00000116754,SRSF11,95,-0.6267,110,-0.1890,178,0.60484,150,0.31301,90,-0.5066,206,0.85961
ENSG00000132485,ZRANB2,67,-0.7156,72,-0.3693,60,-0.6587,121,0.47693,90,-0.0110,206,1.43262
ENSG00000172260,NEGR1,197,0.66372,102,-0.6824,136,-0.2291,87,-0.9221,90,-0.8687,206,0.45718
ENSG00000116791,CRYZ,99,0.55092,15,-2.5329,10,-3.0752,16,-2.4117,90,0.15583,206,1.63354
ENSG00000117054,ACADM,74,-0.2584,42,-1.0601,56,-0.6077,49,-0.8032,90,0.14898,206,1.62521
ENSG00000137955,RABGGTB,62,-0.4640,44,-0.8244,58,-0.4112,29,-1.4663,90,0.29814,206,1.80887
ENSG00000142892,PIGK,54,-0.6559,20,-1.9354,96,0.49540,13,-2.5803,90,0.38562,206,1.91874
ENSG00000154027,AK5,33,-1.6622,74,0.03735,117,0.79324,35,-1.1151,90,0.35120,206,1.87530
ENSG00000077254,USP33,138,0.51899,48,-1.3376,42,-1.5374,94,-0.3157,90,-0.3897,206,0.99211
ENSG00000180488,MIGA1,206,0.51220,92,-0.9847,271,0.76086,63,-1.5438,90,-1.0122,206,0.30053
ENSG00000162613,FUBP1,37,-1.2567,41,-0.7343,45,-0.5954,60,-0.1356,90,0.52418,206,2.09649
ENSG00000162616,DNAJB4,62,-0.5301,26,-1.6884,81,0.07155,45,-0.8411,90,0.24829,206,1.74699
ENSG00000137941,TTLL7,146,-0.3011,157,-0.0817,390,1.50453,58,-1.6124,90,-0.9508,206,0.36742
ENSG00000142875,PRKACB,546,0.72955,228,-0.9773,457,0.11753,188,-1.2750,566,0.47054,206,-1.1317
ENSG00000162642,C1orf52,84,0.11495,33,-1.3745,33,-1.3735,25,-1.7656,90,0.18281,206,1.66647
ENSG00000153904,DDAH1,244,0.53280,128,-0.7196,92,-1.2172,325,0.79922,90,-1.2573,206,0.03604
ENSG00000097033,SH3GLB1,25,-2.0723,44,-0.7713,143,1.18940,58,-0.3313,90,0.37988,206,1.91147
ENSG00000183291,SELENOF,163,0.18424,44,-1.8979,185,0.32087,191,0.37343,90,-0.8222,206,0.50822
ENSG00000143013,LMO4,42,-1.5161,92,0.10890,90,0.06763,130,0.67883,90,0.06526,206,1.52395
ENSG00000189195,BTBD8,52,-0.6951,51,-0.5033,53,-0.4565,25,-1.5880,90,0.39843,206,1.93498
ENSG00000067208,EVI5,30,-1.6856,35,-1.0134,40,-0.8089,110,0.83917,90,0.49832,206,2.06294
ENSG00000122406,RPL5,350,-0.2305,336,-0.2160,448,0.25132,976,1.65179,90,-2.2194,206,-0.9757
ENSG00000154511,DIPK1A,51,-0.8246,11,-2.7753,95,0.43161,50,-0.6030,90,0.34628,206,1.86911
ENSG00000117500,TMED5,49,-0.8289,30,-1.2993,43,-0.7649,69,-0.0331,90,0.39456,206,1.93006
ENSG00000117505,DR1,42,-0.9585,24,-1.5053,25,-1.4390,64,-0.0105,90,0.56130,206,2.14496
ENSG00000137942,FNBP1L,56,-0.4745,22,-1.7225,8,-3.1549,60,-0.1826,90,0.47024,206,2.02672
ENSG00000067334,DNTTIP2,80,-0.1321,23,-2.0018,38,-1.2168,81,-0.0611,90,0.10630,206,1.57343
ENSG00000023909,GCLM,83,0.09501,20,-2.0910,31,-1.4721,41,-1.0418,90,0.19107,206,1.67659
ENSG00000117528,ABCD3,62,-0.5560,32,-1.3951,103,0.46631,23,-1.8479,90,0.23491,206,1.73047
ENSG00000117519,CNN3,22,-2.7713,56,-0.7941,81,-0.2155,316,2.27236,90,-0.0493,206,1.38718
ENSG00000117569,PTBP2,74,-0.3228,31,-1.5519,115,0.50669,21,-2.0848,90,0.10561,206,1.57259
