gene_id	rn	source	type	gene_version	gene_name	gene_type	gene_search	chr	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000101439	ENSG00000101439	HAVANA	gene	9	CST3	protein_coding	CST3; ENSG00000101439	chr20	-0.733032966072122	9.77575181818452	-13.7931562107995	1.05781168828427e-27	5.17025805181403e-25	52.2112015092709
ENSG00000159176	ENSG00000159176	HAVANA	gene	14	CSRP1	protein_coding	CSRP1; ENSG00000159176	chr1	-0.666911129451258	7.3209844627197	-12.9437524091072	1.3891880387312e-27	6.30492914149861e-25	52.0428194481619
ENSG00000137154	ENSG00000137154	HAVANA	gene	13	RPS6	protein_coding	RPS6; ENSG00000137154	chr9	-0.494762332653751	8.5320647240547	-12.9167600635608	1.66798473860268e-27	7.06558335272095e-25	51.7863870105385
ENSG00000156508	ENSG00000156508	HAVANA	gene	18	EEF1A1	protein_coding	EEF1A1; ENSG00000156508	chr6	-0.39620820484793	10.1482292350561	-12.7710159993763	4.47690101694992e-27	1.77788931635624e-24	50.5819622151601
ENSG00000160781	ENSG00000160781	HAVANA	gene	17	PAQR6	protein_coding	PAQR6; ENSG00000160781	chr1	-0.871531389057883	6.68024134303335	-12.7522285428374	5.08436889048338e-27	1.90035764294891e-24	50.7499430599173
ENSG00000130203	ENSG00000130203	HAVANA	gene	10	APOE	protein_coding	APOE; ENSG00000130203	chr19	-0.763563354102759	9.92669478568534	-13.4736945408541	7.53411277182318e-27	2.65954180845358e-24	50.2416416358105
ENSG00000266964	ENSG00000266964	HAVANA	gene	5	FXYD1	protein_coding	FXYD1; ENSG00000266964	chr19	-0.959768774354965	5.84885641241046	-12.5599370624621	1.8689447194581e-26	6.2501446039141e-24	49.3608679623346
ENSG00000177954	ENSG00000177954	HAVANA	gene	14	RPS27	protein_coding	RPS27; ENSG00000177954	chr1	-0.611480632168259	9.02146200164955	-12.886858659557	2.7158869961005e-26	8.62837298661128e-24	49.019415800109
ENSG00000168710	ENSG00000168710	HAVANA	gene	18	AHCYL1	protein_coding	AHCYL1; ENSG00000168710	chr1	-0.695244425707763	7.47638313365802	-12.4642800364703	3.56991821658581e-26	1.08015525467553e-23	48.8279678409469
ENSG00000129538	ENSG00000129538	HAVANA	gene	14	RNASE1	protein_coding	RNASE1; ENSG00000129538	chr14	-0.965498322221898	5.71060879211379	-12.3456679708726	7.96098812762054e-26	2.20976664144753e-23	47.9295799414576
ENSG00000175899	ENSG00000175899	HAVANA	gene	14	A2M	protein_coding	A2M; ENSG00000175899	chr12	-0.917917559112731	6.35106661250709	-12.3449661983689	7.99884053404048e-26	2.20976664144753e-23	48.0051945052606
ENSG00000172247	ENSG00000172247	HAVANA	gene	4	C1QTNF4	protein_coding	C1QTNF4; ENSG00000172247	chr11	-0.944083858834527	6.21534476038843	-12.2802026268934	1.6968830968817e-25	4.49249799899429e-23	47.285969184035
ENSG00000185432	ENSG00000185432	HAVANA	gene	12	METTL7A	protein_coding	METTL7A; ENSG00000185432	chr12	-0.922380042854428	6.44681271793963	-12.0187777941121	1.08980526966194e-24	2.76984907337278e-22	45.4609635329157
ENSG00000165424	ENSG00000165424	HAVANA	gene	7	ZCCHC24	protein_coding	ZCCHC24; ENSG00000165424	chr10	-0.962182665871088	5.22906925387448	-11.9074051544974	1.53280336208802e-24	3.74593560104125e-22	44.8920853901227
ENSG00000152932	ENSG00000152932	HAVANA	gene	8	RAB3C	protein_coding	RAB3C; ENSG00000152932	chr5	0.386762794837022	9.16192301311068	11.8390668099615	2.42861211767996e-24	5.71533385027351e-22	44.4730621983219
ENSG00000168314	ENSG00000168314	HAVANA	gene	17	MOBP	protein_coding	MOBP; ENSG00000168314	chr3	-0.947795252943819	7.4982815349224	-12.3710339474236	2.55417356750274e-24	5.79614958854014e-22	44.6818449676019
ENSG00000237949	ENSG00000237949	HAVANA	gene	2	LINC00844	lncRNA	LINC00844; ENSG00000237949	chr10	-0.980927062885311	5.53683571053545	-11.8250161823864	2.66953877846088e-24	5.84905151666911e-22	44.4725900337422
ENSG00000142534	ENSG00000142534	HAVANA	gene	7	RPS11	protein_coding	RPS11; ENSG00000142534	chr19	-0.438985776245557	8.48281668867069	-11.8112235386611	2.92923709298846e-24	6.11765408895271e-22	44.3775970923457
ENSG00000148180	ENSG00000148180	HAVANA	gene	19	GSN	protein_coding	GSN; ENSG00000148180	chr9	-0.834528262376037	6.17233001583661	-11.804249919611	3.06999389715155e-24	6.11765408895271e-22	44.418529921048
ENSG00000170075	ENSG00000170075	HAVANA	gene	9	GPR37L1	protein_coding	GPR37L1; ENSG00000170075	chr1	-0.9183481516431	6.23325720291196	-11.803719540011	3.08097152732903e-24	6.11765408895271e-22	44.3994490819644
ENSG00000166710	ENSG00000166710	HAVANA	gene	20	B2M	protein_coding	B2M; ENSG00000166710	chr15	-0.665056431232216	8.22244804555612	-11.9923697236242	3.93013648245838e-24	7.56729915440623e-22	44.1574263630443
ENSG00000228253	ENSG00000228253	ENSEMBL	gene	1	MT-ATP8	protein_coding	MT-ATP8; ENSG00000228253	chrMT	-0.751460394119599	10.2802495035125	-12.3010498452912	7.40155547782976e-24	1.31909640356873e-21	43.3135231610423
ENSG00000162599	ENSG00000162599	HAVANA	gene	17	NFIA	protein_coding	NFIA; ENSG00000162599	chr1	-1.02684574197595	5.65841687100841	-11.6726446137551	7.43920533735316e-24	1.31909640356873e-21	43.4672914151802
ENSG00000068078	ENSG00000068078	HAVANA	gene	18	FGFR3	protein_coding	FGFR3; ENSG00000068078	chr4	-0.865875233772499	6.36554127652338	-11.6719575677	7.47363401455371e-24	1.31909640356873e-21	43.5486347854699
ENSG00000173786	ENSG00000173786	HAVANA	gene	17	CNP	protein_coding	CNP; ENSG00000173786	chr17	-0.613823499407066	7.64166807933264	-11.5940285910918	1.26148507854495e-23	2.16634491596612e-21	43.0110655281477
ENSG00000131095	ENSG00000131095	HAVANA	gene	13	GFAP	protein_coding	GFAP; ENSG00000131095	chr17	-0.867182591177029	11.2993931996948	-12.1919549662212	1.40757509203349e-23	2.34011246184329e-21	42.4565794898272
ENSG00000087250	ENSG00000087250	HAVANA	gene	8	MT3	protein_coding	MT3; ENSG00000087250	chr16	-0.45231108800929	10.2898043444647	-11.9836426577774	1.43632965080089e-23	2.34011246184329e-21	42.5944024210529
ENSG00000143772	ENSG00000143772	HAVANA	gene	9	ITPKB	protein_coding	ITPKB; ENSG00000143772	chr1	-0.920117859354183	5.73143789274465	-11.5696570456622	1.48573622865958e-23	2.36009199922575e-21	42.7938688014217
ENSG00000113140	ENSG00000113140	HAVANA	gene	11	SPARC	protein_coding	SPARC; ENSG00000113140	chr5	-0.871004697318844	9.37249810870357	-12.175450279994	1.53536656826524e-23	2.37944370116032e-21	42.7496580586501
ENSG00000120885	ENSG00000120885	HAVANA	gene	22	CLU	protein_coding	CLU; ENSG00000120885	chr8	-0.490671235110421	10.8248367229779	-12.1077242432876	1.9106345807547e-23	2.89051717288462e-21	42.2544230263711
ENSG00000163346	ENSG00000163346	HAVANA	gene	17	PBXIP1	protein_coding	PBXIP1; ENSG00000163346	chr1	-0.835288872729492	6.16976596375389	-11.4995262802852	2.37850633596714e-23	3.46596008363582e-21	42.4009683431345
ENSG00000064787	ENSG00000064787	HAVANA	gene	13	BCAS1	protein_coding	BCAS1; ENSG00000064787	chr20	-1.01935448006301	6.54522029216341	-11.8404099452032	2.40009826377048e-23	3.46596008363582e-21	42.4570931097185
ENSG00000152583	ENSG00000152583	HAVANA	gene	12	SPARCL1	protein_coding	SPARCL1; ENSG00000152583	chr4	-0.84260702131618	8.50291494294447	-12.0400871294775	2.91230405852455e-23	4.11217333063667e-21	42.2027916827888
ENSG00000087086	ENSG00000087086	HAVANA	gene	15	FTL	protein_coding	FTL; ENSG00000087086	chr19	-0.416708249847815	9.57466705132497	-11.4468468849026	3.38607133512969e-23	4.67719505726393e-21	41.8045554842391
ENSG00000018625	ENSG00000018625	HAVANA	gene	15	ATP1A2	protein_coding	ATP1A2; ENSG00000018625	chr1	-0.876487437534162	7.9105829131542	-11.9481299920456	3.96419027502563e-23	5.35924787393891e-21	41.9472316216189
ENSG00000091513	ENSG00000091513	HAVANA	gene	16	TF	protein_coding	TF; ENSG00000091513	chr3	-1.03725233488275	7.31532135283019	-11.9563206979607	4.72256797214945e-23	6.20472661871479e-21	41.8077454589783
ENSG00000010278	ENSG00000010278	HAVANA	gene	14	CD9	protein_coding	CD9; ENSG00000010278	chr12	-0.906797741243192	5.28758751515672	-11.3952373519845	4.78488517968248e-23	6.20472661871479e-21	41.5929463535957
ENSG00000106278	ENSG00000106278	HAVANA	gene	12	PTPRZ1	protein_coding	PTPRZ1; ENSG00000106278	chr7	-0.925675066944697	5.89504942638711	-11.3665903890156	5.79675758648541e-23	7.36651954090566e-21	41.4960490036923
ENSG00000112306	ENSG00000112306	HAVANA	gene	8	RPS12	protein_coding	RPS12; ENSG00000112306	chr6	-0.523894433937967	8.69956353448086	-11.4105590568989	6.3719898054862e-23	7.93874965177634e-21	41.2978291053557
ENSG00000008441	ENSG00000008441	HAVANA	gene	16	NFIX	protein_coding	NFIX; ENSG00000008441	chr19	-1.02438554636363	5.06089118210429	-11.2632353415094	1.15743785875027e-22	1.41430002971139e-20	40.6370398728165
ENSG00000167996	ENSG00000167996	HAVANA	gene	16	FTH1	protein_coding	FTH1; ENSG00000167996	chr11	-0.472544307423524	10.4409904532403	-11.7119646498216	1.50428788499671e-22	1.80344249457908e-20	40.251983379188
ENSG00000165478	ENSG00000165478	HAVANA	gene	7	HEPACAM	protein_coding	HEPACAM; ENSG00000165478	chr11	-0.910871231249224	5.48397008516998	-11.161895257882	2.27782091754102e-22	2.6802359463066e-20	40.1008715768685
ENSG00000251562	ENSG00000251562	HAVANA	gene	8	MALAT1	lncRNA	MALAT1; ENSG00000251562	chr11	-0.80281846278675	9.82630481148593	-11.7122801041587	2.3513863340789e-22	2.71649250304315e-20	39.9443149454808
ENSG00000135821	ENSG00000135821	HAVANA	gene	18	GLUL	protein_coding	GLUL; ENSG00000135821	chr1	-0.762817007733669	8.48392148668012	-11.6078320497614	3.0745982424243e-22	3.48857093435072e-20	39.8637082799266
ENSG00000079215	ENSG00000079215	HAVANA	gene	14	SLC1A3	protein_coding	SLC1A3; ENSG00000079215	chr5	-0.883561695690998	6.76705696365862	-11.2508606398789	3.34106540186312e-22	3.72440869534005e-20	39.8433313371647
ENSG00000187514	ENSG00000187514	HAVANA	gene	16	PTMA	protein_coding	PTMA; ENSG00000187514	chr2	-0.401479199109359	8.67259181144515	-10.9623544392085	8.6117716743125e-22	9.43434434803132e-20	38.7128011243741
ENSG00000155366	ENSG00000155366	HAVANA	gene	16	RHOC	protein_coding	RHOC; ENSG00000155366	chr1	-1.02804786177093	5.1839927324049	-10.9400210205157	9.99119801091227e-22	1.06791966820875e-19	38.6028738790855
ENSG00000126878	ENSG00000126878	HAVANA	gene	13	AIF1L	protein_coding	AIF1L; ENSG00000126878	chr9	-1.00184776597805	4.912851216678	-10.9386275804369	1.00842272729816e-21	1.06791966820875e-19	38.5055107334849
ENSG00000109099	ENSG00000109099	HAVANA	gene	15	PMP22	protein_coding	PMP22; ENSG00000109099	chr17	-0.948426052651528	5.41646471084562	-10.9072897405866	1.24204826126724e-21	1.29376633640853e-19	38.4327324427016
ENSG00000163041	ENSG00000163041	HAVANA	gene	11	H3F3A	protein_coding	H3F3A; ENSG00000163041	chr1	-0.629972463622765	6.73104880122557	-10.8677776277817	1.61498302529172e-21	1.6550971197909e-19	38.2679083356018
ENSG00000108828	ENSG00000108828	HAVANA	gene	16	VAT1	protein_coding	VAT1; ENSG00000108828	chr17	0.407140003067051	9.70802986660706	10.9099360637841	1.7193383136905e-21	1.73407549923642e-19	37.8806230280206
ENSG00000160307	ENSG00000160307	HAVANA	gene	10	S100B	protein_coding	S100B; ENSG00000160307	chr21	-0.519308749308307	9.07927247524959	-11.0535705852072	2.21969862022468e-21	2.20374453639182e-19	37.7667777395481
ENSG00000021300	ENSG00000021300	HAVANA	gene	14	PLEKHB1	protein_coding	PLEKHB1; ENSG00000021300	chr11	-0.536577008164258	8.00267002065478	-10.8042744215822	2.46185824631419e-21	2.40656112262774e-19	37.7557481519104
ENSG00000177600	ENSG00000177600	HAVANA	gene	9	RPLP2	protein_coding	RPLP2; ENSG00000177600	chr11	-0.418107699802684	8.57653515171533	-10.779235798508	2.9066729100956e-21	2.77697572310935e-19	37.5148709022623
ENSG00000101198	ENSG00000101198	HAVANA	gene	15	NKAIN4	protein_coding	NKAIN4; ENSG00000101198	chr20	-0.914781913932393	5.23538832563662	-10.7781235313794	2.92819284621225e-21	2.77697572310935e-19	37.5411463508105
ENSG00000166441	ENSG00000166441	HAVANA	gene	13	RPL27A	protein_coding	RPL27A; ENSG00000166441	chr11	-0.422278290657101	8.0336409774063	-10.6726689024701	5.88863647664813e-21	5.50241120185621e-19	36.8914749285688
ENSG00000123560	ENSG00000123560	HAVANA	gene	14	PLP1	protein_coding	PLP1; ENSG00000123560	chrX	-0.958692369907469	9.60454754505432	-11.1565645984306	6.17709968527872e-21	5.67341430137679e-19	36.7175631964972
ENSG00000132692	ENSG00000132692	HAVANA	gene	19	BCAN	protein_coding	BCAN; ENSG00000132692	chr1	-0.787526348640705	6.00854313121012	-10.6636637534246	6.25022035090297e-21	5.67341430137679e-19	36.930246774857
ENSG00000205364	ENSG00000205364	HAVANA	gene	4	MT1M	protein_coding	MT1M; ENSG00000205364	chr16	-0.930749508412748	6.11103518407576	-10.8324866874502	6.43718452484112e-21	5.76082682687894e-19	36.9375451163523
ENSG00000127561	ENSG00000127561	HAVANA	gene	15	SYNGR3	protein_coding	SYNGR3; ENSG00000127561	chr16	0.344548470006268	8.95571162108279	10.6516642964952	6.76665784730991e-21	5.971575550251e-19	36.6232373909486
ENSG00000189171	ENSG00000189171	HAVANA	gene	14	S100A13	protein_coding	S100A13; ENSG00000189171	chr1	-0.694294925715727	6.56969509913313	-10.6365788550527	7.47667390080332e-21	6.50777889941155e-19	36.7620653707245
ENSG00000150656	ENSG00000150656	HAVANA	gene	15	CNDP1	protein_coding	CNDP1; ENSG00000150656	chr18	-1.03056771900889	5.15620333871968	-10.5808232692225	1.08082438587956e-20	9.28048398361989e-19	36.3157024601484
ENSG00000163453	ENSG00000163453	HAVANA	gene	11	IGFBP7	protein_coding	IGFBP7; ENSG00000163453	chr4	-0.88323759706197	6.44510911337215	-10.6742706942262	1.10375273219771e-20	9.35099314717899e-19	36.3972135699392
ENSG00000242808	ENSG00000242808	HAVANA	gene	9	SOX2-OT	lncRNA	SOX2-OT; ENSG00000242808	chr3	-0.926436426859489	5.88825602446883	-10.5983967449089	1.17296852266551e-20	9.80663420133769e-19	36.3146202558019
ENSG00000105894	ENSG00000105894	HAVANA	gene	12	PTN	protein_coding	PTN; ENSG00000105894	chr7	-0.791964303252366	6.24174789715129	-10.5520688029058	1.30684023699952e-20	1.07839777479155e-18	36.2148210947141
ENSG00000142541	ENSG00000142541	HAVANA	gene	17	RPL13A	protein_coding	RPL13A; ENSG00000142541	chr19	-0.411464831407731	8.7487709459264	-10.5370912048316	1.44264069270679e-20	1.17519730275115e-18	35.9104555088626
ENSG00000142676	ENSG00000142676	HAVANA	gene	14	RPL11	protein_coding	RPL11; ENSG00000142676	chr1	-0.467817099885429	7.92057832935886	-10.5292387630037	1.51936803744416e-20	1.22203348226838e-18	35.9579844847462
ENSG00000171766	ENSG00000171766	HAVANA	gene	16	GATM	protein_coding	GATM; ENSG00000171766	chr15	-0.86482988761957	5.53636221449443	-10.4623493253839	2.36162493265659e-20	1.8757206027625e-18	35.5817812095672
ENSG00000109846	ENSG00000109846	HAVANA	gene	9	CRYAB	protein_coding	CRYAB; ENSG00000109846	chr11	-0.837150894731878	7.416738561164	-10.8398168575328	2.39635101556823e-20	1.8798042411013e-18	35.6349152131904
ENSG00000135744	ENSG00000135744	HAVANA	gene	8	AGT	protein_coding	AGT; ENSG00000135744	chr1	-0.820728636255066	7.21242777363272	-10.7400311427715	2.73190717962063e-20	2.11689490479384e-18	35.5117506619772
ENSG00000167641	ENSG00000167641	HAVANA	gene	11	PPP1R14A	protein_coding	PPP1R14A; ENSG00000167641	chr19	-0.882828914496783	5.58903398925192	-10.4304348031114	2.91409553374261e-20	2.23086301462658e-18	35.3960007105193
ENSG00000099194	ENSG00000099194	HAVANA	gene	6	SCD	protein_coding	SCD; ENSG00000099194	chr10	-0.598758015503575	9.22038455707912	-10.7601765216576	5.00230242007897e-20	3.78388447347402e-18	34.6874086853778
ENSG00000070214	ENSG00000070214	HAVANA	gene	16	SLC44A1	protein_coding	SLC44A1; ENSG00000070214	chr9	-0.736154307187571	5.80681367891748	-10.3007784771639	6.83454789701173e-20	5.10902556913089e-18	34.5786648510881
ENSG00000282885	ENSG00000282885	HAVANA	gene	2	AL627171.2	lncRNA	AL627171.2; ENSG00000282885	chr14	-0.999891764637156	7.26485263583049	-10.7108404059688	8.07302325914916e-20	5.96464997542253e-18	34.4438953550406
ENSG00000148671	ENSG00000148671	HAVANA	gene	14	ADIRF	protein_coding	ADIRF; ENSG00000148671	chr10	-1.01064416068327	5.46995649746264	-10.3098432480554	9.8772203809303e-20	7.21377681614151e-18	34.2089431795508
ENSG00000160678	ENSG00000160678	HAVANA	gene	11	S100A1	protein_coding	S100A1; ENSG00000160678	chr1	-0.937309610057595	5.62025843098002	-10.2351733286655	1.05099492345409e-19	7.58866107230374e-18	34.1425716730408
ENSG00000115468	ENSG00000115468	HAVANA	gene	12	EFHD1	protein_coding	EFHD1; ENSG00000115468	chr2	-0.957365726677105	5.0245064718938	-10.2175218959787	1.17986879627762e-19	8.42346778825615e-18	33.927991009326
ENSG00000092621	ENSG00000092621	HAVANA	gene	12	PHGDH	protein_coding	PHGDH; ENSG00000092621	chr1	-1.0007068612318	5.11803896905257	-10.1984694400749	1.3366857346263e-19	9.31282076620107e-18	33.8170712759248
ENSG00000105193	ENSG00000105193	HAVANA	gene	9	RPS16	protein_coding	RPS16; ENSG00000105193	chr19	-0.472330374821923	7.77362006579655	-10.1982121186219	1.33893995203485e-19	9.31282076620107e-18	33.8198973636531
ENSG00000184221	ENSG00000184221	HAVANA	gene	13	OLIG1	protein_coding	OLIG1; ENSG00000184221	chr21	-0.866548697841285	5.80357085906444	-10.1971358323988	1.34840967971435e-19	9.31282076620107e-18	33.9151031153778
ENSG00000198695	ENSG00000198695	ENSEMBL	gene	2	MT-ND6	protein_coding	MT-ND6; ENSG00000198695	chrMT	-0.883534349809598	7.55023204574757	-10.5709440173492	1.52316916283244e-19	1.04066847963842e-17	33.817450370218
ENSG00000256045	ENSG00000256045	HAVANA	gene	3	MTRNR2L10	protein_coding	MTRNR2L10; ENSG00000256045	chrX	-0.789422251855116	6.76491320370413	-10.286137016664	1.54175479993877e-19	1.04216063817138e-17	33.8026080744813
ENSG00000145555	ENSG00000145555	HAVANA	gene	15	MYO10	protein_coding	MYO10; ENSG00000145555	chr5	-0.876070878882915	5.17292922664517	-10.1574519422448	1.74830796367937e-19	1.16934197907566e-17	33.5803075496862
ENSG00000117115	ENSG00000117115	HAVANA	gene	13	PADI2	protein_coding	PADI2; ENSG00000117115	chr1	-0.906608940507901	5.48862449848205	-10.1540064119604	1.78815869905445e-19	1.18353753893667e-17	33.595600026348
ENSG00000125148	ENSG00000125148	HAVANA	gene	7	MT2A	protein_coding	MT2A; ENSG00000125148	chr16	-0.850824122565602	9.31952876088581	-10.513598541121	2.68556447643924e-19	1.75918316322628e-17	33.0115500999604
ENSG00000078804	ENSG00000078804	HAVANA	gene	13	TP53INP2	protein_coding	TP53INP2; ENSG00000078804	chr20	-0.735620417459626	6.00044484853637	-10.0854167363204	2.79947718410787e-19	1.81508959467566e-17	33.2073902904338
ENSG00000008394	ENSG00000008394	HAVANA	gene	13	MGST1	protein_coding	MGST1; ENSG00000008394	chr12	-0.876697322671022	6.03309362128014	-10.1084509569698	3.21692689591904e-19	2.06468217138077e-17	33.0779242224947
ENSG00000175130	ENSG00000175130	HAVANA	gene	7	MARCKSL1	protein_coding	MARCKSL1; ENSG00000175130	chr1	-0.637821259393992	6.69142151017828	-10.0544791555091	3.42586402020445e-19	2.17679399843791e-17	32.9926950766165
ENSG00000196091	ENSG00000196091	HAVANA	gene	14	MYBPC1	protein_coding	MYBPC1; ENSG00000196091	chr12	-1.03022093172006	4.64600510482425	-10.0083081437037	4.62922945540843e-19	2.91228950095694e-17	32.5299640506898
ENSG00000185650	ENSG00000185650	HAVANA	gene	9	ZFP36L1	protein_coding	ZFP36L1; ENSG00000185650	chr14	-0.960538497967762	5.49360779537869	-9.97240570715991	5.8486816857116e-19	3.64338465009917e-17	32.4403069542364
ENSG00000070756	ENSG00000070756	HAVANA	gene	16	PABPC1	protein_coding	PABPC1; ENSG00000070756	chr8	-0.618150895580012	6.88512872762397	-9.94877703386605	6.82082105397995e-19	4.16925546449656e-17	32.3085462378041
ENSG00000100427	ENSG00000100427	HAVANA	gene	15	MLC1	protein_coding	MLC1; ENSG00000100427	chr22	-0.791238483288763	5.94289790191032	-9.94870341915039	6.82408826420589e-19	4.16925546449656e-17	32.3327846932726
ENSG00000167526	ENSG00000167526	HAVANA	gene	13	RPL13	protein_coding	RPL13; ENSG00000167526	chr16	-0.281903841911541	9.42962069827862	-9.94253786206619	7.10333563061538e-19	4.29853281875525e-17	31.9331975585696
ENSG00000167191	ENSG00000167191	HAVANA	gene	12	GPRC5B	protein_coding	GPRC5B; ENSG00000167191	chr16	-0.500509164136457	7.54144845277126	-9.93153625461622	7.63017421718775e-19	4.57378556377462e-17	32.1375325775963
ENSG00000178695	ENSG00000178695	HAVANA	gene	6	KCTD12	protein_coding	KCTD12; ENSG00000178695	chr13	-0.937613156983643	5.04667849862229	-9.88338490027912	1.04331780538116e-18	6.19555264989894e-17	31.8343881111854
ENSG00000116251	ENSG00000116251	HAVANA	gene	11	RPL22	protein_coding	RPL22; ENSG00000116251	chr1	-0.433492635233075	7.78331238262488	-9.8682441304065	1.1510792122114e-18	6.77218269851039e-17	31.6932700351551
ENSG00000189058	ENSG00000189058	HAVANA	gene	9	APOD	protein_coding	APOD; ENSG00000189058	chr3	-0.840915072170026	6.85584534440627	-10.155132966722	1.28689050164273e-18	7.50174518113572e-17	31.7287826336664
ENSG00000134769	ENSG00000134769	HAVANA	gene	21	DTNA	protein_coding	DTNA; ENSG00000134769	chr18	-0.557565248283117	6.84969779464957	-9.81987006088272	1.57531913893873e-18	9.09961618983335e-17	31.4780702669174
ENSG00000144713	ENSG00000144713	HAVANA	gene	13	RPL32	protein_coding	RPL32; ENSG00000144713	chr3	-0.399587608563825	9.02037209605012	-9.80668503960017	1.71583578969356e-18	9.82200054748908e-17	31.1216755184792
ENSG00000135916	ENSG00000135916	HAVANA	gene	16	ITM2C	protein_coding	ITM2C; ENSG00000135916	chr2	-0.478870314324417	8.48927244237581	-9.83034369317908	1.88836645610563e-18	1.07131075554421e-16	31.1232364121593
ENSG00000169851	ENSG00000169851	HAVANA	gene	15	PCDH7	protein_coding	PCDH7; ENSG00000169851	chr4	-0.876209027964067	5.2299376282512	-9.77667139762737	2.08396595290635e-18	1.1718158995369e-16	31.1840445715838
ENSG00000168913	ENSG00000168913	HAVANA	gene	7	ENHO	protein_coding	ENHO; ENSG00000168913	chr9	-0.562534564502818	7.10786626272814	-9.76140097038139	2.30043822098416e-18	1.28219161895907e-16	31.085702433839
ENSG00000212907	ENSG00000212907	ENSEMBL	gene	2	MT-ND4L	protein_coding	MT-ND4L; ENSG00000212907	chrMT	-0.675689169421638	10.4513152166249	-10.1203700290402	2.67472800360293e-18	1.47784536825156e-16	30.5305738727965
ENSG00000213741	ENSG00000213741	HAVANA	gene	10	RPS29	protein_coding	RPS29; ENSG00000213741	chr14	-0.503219409979154	8.62918823191813	-9.91048377054711	2.72614396876705e-18	1.49326886013326e-16	30.7581743664559
ENSG00000148411	ENSG00000148411	HAVANA	gene	8	NACC2	protein_coding	NACC2; ENSG00000148411	chr9	-0.749004577249177	5.62332727089366	-9.70576420995518	3.29624541094555e-18	1.79011481548274e-16	30.7801243659366
ENSG00000092820	ENSG00000092820	HAVANA	gene	18	EZR	protein_coding	EZR; ENSG00000092820	chr6	-0.948298772049641	5.18930047449285	-9.68641774767916	3.73487169871215e-18	2.01113345539127e-16	30.6088524485537
ENSG00000164929	ENSG00000164929	HAVANA	gene	17	BAALC	protein_coding	BAALC; ENSG00000164929	chr8	-0.517326514390319	7.45539070070787	-9.6828675169411	3.82145378812601e-18	2.04046364451703e-16	30.5450211047842
ENSG00000147862	ENSG00000147862	HAVANA	gene	17	NFIB	protein_coding	NFIB; ENSG00000147862	chr9	-1.02677372956596	5.01548105228147	-9.64645885155143	4.83320773089102e-18	2.5591834935068e-16	30.3121697395864
