ensg	gene_name	chr	Outcome	Region	SxG_beta	SxG_SE	SxG_p	fem_beta	fem_SE	fem_p	fem_fdr	male_beta	male_SE	male_p	male_fdr	model
ENSG00000117305	HMGCL	1	Tangles	DLPFC	-0.147379346	0.070528792	0.037064359	-0.046273007	0.052209831	0.376164595	0.593657009	-0.19445533	0.047355618	5.17E-05	0.00777477	e4adj
ENSG00000117614	SYF2	1	Tangles	DLPFC	-0.17777663	0.071464517	0.013126066	0.161711472	0.049821984	0.001302426	0.027783459	-0.015534862	0.050783063	0.75988532	0.907340229	e4adj
ENSG00000117691	NENF	1	Tangles	DLPFC	-0.21356638	0.07080718	0.002666453	0.064772136	0.053400053	0.226089856	0.439199337	-0.148784364	0.046764311	0.001616157	0.041526719	e4adj
ENSG00000117697	NSL1	1	Tangles	DLPFC	-0.150672934	0.07139158	0.035220534	0.168081208	0.051591226	0.001249719	0.02727196	0.010683953	0.049569604	0.82949526	0.935687175	e4adj
ENSG00000118473	SGIP1	1	Tangles	DLPFC	0.17238006	0.070435189	0.014671751	-0.242744744	0.050607641	2.54E-06	0.002611149	-0.069276243	0.049571599	0.163282695	0.461456215	e4adj
ENSG00000122406	RPL5	1	Tangles	DLPFC	-0.170665278	0.071880478	0.017891091	0.167079956	0.052641794	0.001658608	0.030877598	-0.00803958	0.049418404	0.870875392	0.954156542	e4adj
ENSG00000127423	AUNIP	1	Tangles	DLPFC	0.172431389	0.070837243	0.015210973	-0.166676528	0.054241106	0.002312693	0.036794207	0.005023984	0.046411788	0.913870372	0.970256185	e4adj
ENSG00000134684	YARS1	1	Tangles	DLPFC	0.144778351	0.071258405	0.042613163	-0.151597999	0.050643128	0.002985496	0.041968232	-0.006678901	0.049999071	0.893822684	0.962682141	e4adj
ENSG00000135823	STX6	1	Tangles	DLPFC	0.172327974	0.071853048	0.016768976	-0.001048823	0.050158092	0.983330933	0.993388652	0.171478303	0.050996945	0.000871147	0.030565257	e4adj
ENSG00000137947	GTF2B	1	Tangles	DLPFC	0.142055638	0.071314503	0.046820803	-0.160057275	0.050028987	0.001523622	0.029719317	-0.012258336	0.050796202	0.809466807	0.926841807	e4adj
ENSG00000143257	NR1I3	1	Tangles	DLPFC	0.156186634	0.070814512	0.02778603	0.021335323	0.053975098	0.692913767	0.837644161	0.176838598	0.046200326	0.00015708	0.012426082	e4adj
ENSG00000143363	PRUNE1	1	Tangles	DLPFC	0.182393003	0.070898843	0.010329677	0.007731809	0.051431073	0.880601595	0.943848918	0.190844386	0.04899637	0.000120751	0.010826845	e4adj
ENSG00000143376	SNX27	1	Tangles	DLPFC	0.140559672	0.070919769	0.047932847	0.035246056	0.052999739	0.506541501	0.703636531	0.175751582	0.047448984	0.000252007	0.01643527	e4adj
ENSG00000143436	MRPL9	1	Tangles	DLPFC	0.164794268	0.071903234	0.022251799	-0.161003959	0.050305682	0.00151739	0.029699475	0.006828901	0.051127768	0.893834621	0.962682141	e4adj
ENSG00000143457	GOLPH3L	1	Tangles	DLPFC	0.181116339	0.071150415	0.011155784	-0.013962667	0.053215302	0.79320626	0.898119102	0.166939371	0.047774155	0.000545891	0.024074064	e4adj
ENSG00000143612	C1orf43	1	Tangles	DLPFC	0.152188895	0.070912913	0.03225581	4.80E-05	0.053316826	0.999282152	0.999626513	0.162390346	0.04808276	0.000827241	0.029716237	e4adj
ENSG00000143811	PYCR2	1	Tangles	DLPFC	-0.15769869	0.070285702	0.025210909	-0.080450759	0.051019334	0.115869322	0.296697003	-0.238546871	0.048132044	1.20E-06	0.000973787	e4adj
ENSG00000152763	DNAI4	1	Tangles	DLPFC	-0.179277279	0.071367263	0.012260666	0.167154915	0.049968473	0.000925659	0.023311593	-0.014381213	0.050661451	0.776704045	0.914382399	e4adj
ENSG00000153363	LINC00467	1	Tangles	DLPFC	-0.151142081	0.070724721	0.032991219	-0.03605089	0.052644291	0.493992673	0.694218856	-0.188440618	0.047647305	9.53E-05	0.009992135	e4adj
ENSG00000155367	PPM1J	1	Tangles	DLPFC	0.177843192	0.071126245	0.012667051	-0.213265728	0.050490322	3.18E-05	0.005099641	-0.034925814	0.050008057	0.485458636	0.754474912	e4adj
ENSG00000157191	NECAP2	1	Tangles	DLPFC	-0.191177666	0.071198902	0.007447524	0.162111105	0.050853093	0.001583238	0.030024899	-0.028497939	0.049711649	0.566889213	0.805793706	e4adj
ENSG00000160753	RUSC1	1	Tangles	DLPFC	0.17992098	0.070796756	0.01128824	-0.168511975	0.05165739	0.001232116	0.027084029	0.010092899	0.048724571	0.836037741	0.938099349	e4adj
ENSG00000162576	MXRA8	1	Tangles	DLPFC	-0.172012043	0.071396548	0.016280645	-0.016216112	0.053234612	0.760867781	0.880226661	-0.190263093	0.048047645	9.34E-05	0.009992135	e4adj
ENSG00000162599	NFIA	1	Tangles	DLPFC	-0.161586526	0.071090013	0.023374025	0.156083641	0.052276821	0.003059874	0.042341613	-0.005159446	0.04850636	0.915361815	0.971175867	e4adj
ENSG00000162607	USP1	1	Tangles	DLPFC	-0.143911752	0.071362343	0.044171388	0.176950433	0.051746697	0.00071322	0.020439098	0.032690207	0.049081514	0.505891203	0.767116264	e4adj
ENSG00000162664	ZNF326	1	Tangles	DLPFC	-0.18166612	0.07010906	0.009793192	0.234805097	0.05076958	5.56E-06	0.002877796	0.050913794	0.048619191	0.29584134	0.60954943	e4adj
ENSG00000162687	KCNT2	1	Tangles	DLPFC	0.161708854	0.070983675	0.023064823	-0.164809995	0.052484553	0.001855147	0.032567048	-0.001079367	0.048042819	0.982090352	0.992517337	e4adj
ENSG00000162728	KCNJ9	1	Tangles	DLPFC	0.165754436	0.071153248	0.020155881	0.019655615	0.051619355	0.703633372	0.845096321	0.190221637	0.049497335	0.000147958	0.011981806	e4adj
ENSG00000162757	C1orf74	1	Tangles	DLPFC	0.14668639	0.0714007	0.04036142	-0.167076378	0.053569383	0.001989956	0.033599196	-0.019067069	0.047560746	0.688775897	0.871979978	e4adj
ENSG00000162852	CNST	1	Tangles	DLPFC	0.143673632	0.070599809	0.042278394	0.023673699	0.052911582	0.654891532	0.814360789	0.16785785	0.04766256	0.000494365	0.022959565	e4adj
ENSG00000163875	MEAF6	1	Tangles	DLPFC	0.142614942	0.070662451	0.044001759	-0.189402767	0.050939129	0.000238969	0.012045049	-0.046385408	0.048951217	0.344093704	0.653498847	e4adj
ENSG00000169991	IFFO2	1	Tangles	DLPFC	0.15217775	0.071053413	0.032610034	0.001537742	0.052019625	0.976436779	0.990307653	0.162262892	0.049108455	0.001066432	0.033435099	e4adj
ENSG00000171385	KCND3	1	Tangles	DLPFC	0.144475161	0.070800754	0.041721837	0.032819803	0.052261297	0.53048061	0.722130897	0.175585843	0.047951575	0.000295371	0.017771146	e4adj
ENSG00000172456	FGGY	1	Tangles	DLPFC	-0.143678543	0.070966041	0.043342621	-0.018913411	0.055453842	0.733290403	0.864317912	-0.162119591	0.045621139	0.000440369	0.021873789	e4adj
ENSG00000182134	TDRKH	1	Tangles	DLPFC	0.185758961	0.070421257	0.008556784	-0.253813985	0.051951981	1.67E-06	0.002599677	-0.067144422	0.048009901	0.162966195	0.461071481	e4adj
ENSG00000183114	FAM43B	1	Tangles	DLPFC	0.144720122	0.071052437	0.042100613	0.008445275	0.055392744	0.878924225	0.943133488	0.158668549	0.045605922	0.000576589	0.024692162	e4adj
ENSG00000184007	PTP4A2	1	Tangles	DLPFC	-0.144558044	0.071258892	0.04292971	0.204747893	0.04861641	3.35E-05	0.005099641	0.061293916	0.051613479	0.235935293	0.553582397	e4adj
ENSG00000187961	KLHL17	1	Tangles	DLPFC	0.151954863	0.070794778	0.032233747	0.067137841	0.052874879	0.205148236	0.415377166	0.222325153	0.047695457	4.71E-06	0.001711654	e4adj
ENSG00000197245	FAM110D	1	Tangles	DLPFC	-0.165401811	0.071445591	0.020939875	0.146377045	0.050301239	0.003881921	0.047252629	-0.01934363	0.050881004	0.704081802	0.879575863	e4adj
ENSG00000197959	DNM3	1	Tangles	DLPFC	0.183126284	0.070852381	0.009979826	-0.208801305	0.049614431	3.39E-05	0.005099641	-0.026090515	0.050272236	0.60414909	0.827069352	e4adj
ENSG00000198837	DENND4B	1	Tangles	DLPFC	0.205598689	0.071060041	0.003948138	-0.047802273	0.052351958	0.361918924	0.5809948	0.159262196	0.047993817	0.001015418	0.03271533	e4adj
ENSG00000203666	EFCAB2	1	Tangles	DLPFC	-0.145182971	0.070553198	0.040035627	0.187916897	0.053107496	0.000465627	0.016602547	0.042623953	0.046827224	0.363417753	0.667861925	e4adj
ENSG00000204138	PHACTR4	1	Tangles	DLPFC	-0.225071703	0.071157761	0.001639133	0.163357141	0.051651916	0.001721885	0.031467217	-0.065418371	0.049150662	0.184194129	0.488866896	e4adj
ENSG00000229956	ZRANB2-DT	1	Tangles	DLPFC	-0.140352946	0.07071935	0.047631329	0.177764721	0.053156986	0.00092908	0.023311593	0.029606416	0.047622517	0.534612021	0.784180238	e4adj
ENSG00000230615		1	Tangles	DLPFC	-0.256498735	0.070853618	0.000318918	0.199699955	0.05149416	0.000129141	0.009081281	-0.056509496	0.049234822	0.251972269	0.568417765	e4adj
ENSG00000231365	WARS2-AS1	1	Tangles	DLPFC	-0.16030611	0.071252296	0.024814903	0.150717686	0.050544666	0.003097418	0.042613187	-0.009836078	0.050269329	0.845001086	0.942273125	e4adj
ENSG00000256029		1	Tangles	DLPFC	0.17301667	0.071038102	0.015154627	-0.16848574	0.053122663	0.001671186	0.030904282	0.013375176	0.048213992	0.781651746	0.91581964	e4adj
ENSG00000280378		1	Tangles	DLPFC	-0.171973204	0.071351726	0.016237876	0.152586613	0.051124251	0.003070491	0.042383029	-0.02593528	0.04997195	0.604140604	0.827069352	e4adj
ENSG00000285867		1	Tangles	DLPFC	-0.212231108	0.071317667	0.003037413	0.01124895	0.051971536	0.828786973	0.916541519	-0.202333774	0.048815739	4.41E-05	0.007182957	e4adj
ENSG00000052723	SIKE1	1	Tangles	PCC	0.209067516	0.087544889	0.017422558	-0.296078884	0.065574483	1.11E-05	0.01078461	-0.089133617	0.059122641	0.133325226	0.609115003	e4adj
ENSG00000134248	LAMTOR5	1	Tangles	PCC	0.231608722	0.08774721	0.008644696	-0.289777734	0.065299015	1.55E-05	0.012078283	-0.058971859	0.058839759	0.317506677	0.760643291	e4adj
ENSG00000134697	GNL2	1	Tangles	PCC	0.194666819	0.088995187	0.029323169	-0.248340384	0.064858504	0.00017519	0.03467532	-0.055572479	0.060282348	0.357771747	0.785948078	e4adj
ENSG00000135766	EGLN1	1	Tangles	PCC	-0.186439173	0.087551454	0.033856725	0.287721582	0.065799655	2.03E-05	0.012865589	0.10135567	0.057876594	0.081527217	0.539678413	e4adj
ENSG00000136643	RPS6KC1	1	Tangles	PCC	-0.221497236	0.087869282	0.01211879	0.295044565	0.063813976	7.00E-06	0.009486971	0.071114851	0.060098399	0.238173795	0.708248711	e4adj
ENSG00000143252	SDHC	1	Tangles	PCC	0.274880456	0.086141443	0.00153553	-0.371735973	0.067687359	1.28E-07	0.000637355	-0.097864398	0.054778926	0.075615788	0.529551082	e4adj
ENSG00000143742	SRP9	1	Tangles	PCC	0.315902045	0.088824137	0.00042332	-0.284280009	0.071747294	0.000105345	0.028747308	0.033250331	0.05432438	0.541226978	0.872712929	e4adj
ENSG00000159596	TMEM69	1	Tangles	PCC	0.278563538	0.086249791	0.001346949	-0.355581277	0.062916609	5.82E-08	0.000534804	-0.078570683	0.059712711	0.189831048	0.670723862	e4adj
ENSG00000160678	S100A1	1	Tangles	PCC	0.274050165	0.087860911	0.00195257	-0.288904413	0.069990293	5.50E-05	0.02215756	-0.009712067	0.055060126	0.86017726	0.975663221	e4adj
ENSG00000173409	ARV1	1	Tangles	PCC	0.228476741	0.087674975	0.009522125	-0.278062992	0.064656892	2.73E-05	0.014782155	-0.049231584	0.060049617	0.413335228	0.814878199	e4adj
ENSG00000228288	PCAT6	1	Tangles	PCC	0.339016378	0.088343194	0.000145526	-0.252975488	0.066567221	0.0001951	0.036976525	0.086806288	0.058375582	0.138673044	0.615045895	e4adj
ENSG00000078618	NRDC	1	Tangles	CN	0.178578676	0.079589379	0.025312338	-0.226734769	0.051498846	1.63E-05	0.012698226	-0.053372563	0.060325812	0.37720206	0.668630341	e4adj
ENSG00000116580	GON4L	1	Tangles	CN	0.167054173	0.079025742	0.035048171	-0.18294134	0.055264091	0.001080502	0.046562873	-0.023870592	0.056520416	0.67316612	0.861407202	e4adj
ENSG00000116830	TTF2	1	Tangles	CN	0.168676844	0.078007267	0.031096096	-0.219497109	0.05693162	0.00014947	0.020949603	-0.050393797	0.053996969	0.351638032	0.648073919	e4adj
ENSG00000117425	PTCH2	1	Tangles	CN	0.185197651	0.079594844	0.020401564	0.007514765	0.05894124	0.898657908	0.962982309	0.192995011	0.053459587	0.000374064	0.023656208	e4adj
ENSG00000117834	SLC5A9	1	Tangles	CN	0.163294532	0.078525226	0.038110233	-0.198998996	0.054938389	0.000358465	0.031250144	-0.035994927	0.055824065	0.519690738	0.771169262	e4adj
ENSG00000127603	MACF1	1	Tangles	CN	0.246209436	0.079203602	0.001993789	-0.222866351	0.057987266	0.000156563	0.020949603	0.040806563	0.054534626	0.4550462	0.728127682	e4adj
ENSG00000155363	MOV10	1	Tangles	CN	0.165951044	0.078582261	0.035228474	-0.206045156	0.05683007	0.000354012	0.031250144	-0.037128903	0.054171051	0.49376634	0.755391916	e4adj
ENSG00000157216	SSBP3	1	Tangles	CN	-0.20074629	0.080307785	0.012768588	0.186946827	0.05193665	0.000389439	0.031889083	-0.019733005	0.060752698	0.745614818	0.898467604	e4adj
ENSG00000159592	GPBP1L1	1	Tangles	CN	0.200368416	0.078120694	0.010630574	0.063360504	0.055355471	0.253544597	0.557226088	0.270820952	0.05437748	1.23E-06	0.001224246	e4adj
ENSG00000160094	ZNF362	1	Tangles	CN	-0.30551437	0.077790213	9.87E-05	0.233732224	0.058011851	7.58E-05	0.016785463	-0.081258124	0.052635366	0.123983949	0.402839731	e4adj
ENSG00000177614	PGBD5	1	Tangles	CN	-0.156502003	0.07880603	0.047622151	0.201550447	0.055250552	0.000326189	0.031013525	0.037995534	0.056138821	0.499189697	0.758481049	e4adj
ENSG00000181656	GPR88	1	Tangles	CN	-0.203988746	0.083916776	0.015438235	0.276704111	0.072118689	0.000161068	0.021090495	0.069266922	0.046044113	0.133831474	0.416855981	e4adj
ENSG00000185499	MUC1	1	Tangles	CN	0.177724055	0.078807774	0.024581661	-0.195343128	0.057914919	0.000870787	0.044433643	-0.018137692	0.053456988	0.734690467	0.893111407	e4adj
ENSG00000187961	KLHL17	1	Tangles	CN	0.166709338	0.078758012	0.034806649	0.060755924	0.058634002	0.301188042	0.603475508	0.237138265	0.052859221	1.13E-05	0.00432103	e4adj
ENSG00000275131	PDE4DIPP2	1	Tangles	CN	0.172912587	0.07964908	0.030435161	0.002139374	0.063349891	0.973088865	0.990155755	0.193968462	0.050632771	0.000163884	0.015967114	e4adj
ENSG00000003137	CYP26B1	2	Tangles	DLPFC	0.168088806	0.07038183	0.017232401	-0.179823544	0.052511366	0.00070091	0.020316413	-0.009717183	0.047298842	0.837364069	0.938956854	e4adj
ENSG00000008869	HEATR5B	2	Tangles	DLPFC	0.173903301	0.071383586	0.015128391	-0.191474386	0.049030511	0.00011611	0.008761962	-0.019180899	0.051582419	0.710263924	0.882413918	e4adj
ENSG00000040933	INPP4A	2	Tangles	DLPFC	0.216614711	0.070786351	0.00230965	-0.176615817	0.051541975	0.000695538	0.020299416	0.039934942	0.048662947	0.412492266	0.703780922	e4adj
ENSG00000071051	NCK2	2	Tangles	DLPFC	0.190518816	0.070656643	0.007202795	0.024349798	0.05323612	0.64771679	0.808912206	0.213155417	0.047020355	8.36E-06	0.00255164	e4adj
ENSG00000084731	KIF3C	2	Tangles	DLPFC	0.186380001	0.070889386	0.008775196	-0.043846848	0.054415915	0.42100594	0.635039591	0.143150169	0.046256638	0.002153448	0.048479528	e4adj
ENSG00000088179	PTPN4	2	Tangles	DLPFC	0.211280314	0.07063252	0.002890411	-0.017409774	0.053713403	0.746068189	0.872031514	0.199350904	0.047432122	3.47E-05	0.00605667	e4adj
ENSG00000091436	MAP3K20	2	Tangles	DLPFC	-0.177358711	0.071911488	0.013923748	0.160809283	0.051300997	0.001889394	0.032775708	-0.017069433	0.050397758	0.735073854	0.894931383	e4adj
ENSG00000115380	EFEMP1	2	Tangles	DLPFC	-0.153248353	0.070884768	0.031011237	-0.001507277	0.052711733	0.977206653	0.990364379	-0.155346242	0.04754725	0.0012105	0.035816781	e4adj
ENSG00000115840	SLC25A12	2	Tangles	DLPFC	0.19003724	0.071163605	0.007777444	-0.169666266	0.049743056	0.000735483	0.020680921	0.020624702	0.050624958	0.683999596	0.869370513	e4adj
ENSG00000115947	ORC4	2	Tangles	DLPFC	0.206710197	0.071260057	0.003856421	-0.182032471	0.05402271	0.000850333	0.022324429	0.026773532	0.047177287	0.57078731	0.80830787	e4adj
ENSG00000119041	GTF3C3	2	Tangles	DLPFC	0.250406588	0.070414816	0.000405582	-0.244360811	0.053167815	6.34E-06	0.003079972	0.007568567	0.046691629	0.871337251	0.954156542	e4adj
ENSG00000119203	CPSF3	2	Tangles	DLPFC	0.157907515	0.070656584	0.025787873	-0.213761621	0.052491532	5.95E-05	0.006812231	-0.056195123	0.047900965	0.241653146	0.558820855	e4adj
ENSG00000119782	FKBP1B	2	Tangles	DLPFC	0.16519337	0.071717218	0.021591815	-0.18287244	0.049880971	0.000290657	0.013495798	-0.019114056	0.051540616	0.711004387	0.882916567	e4adj
ENSG00000123600	METTL8	2	Tangles	DLPFC	-0.176353911	0.071896733	0.014450714	0.152122072	0.050335315	0.002723865	0.040296691	-0.027262608	0.051056657	0.593754078	0.822025391	e4adj
ENSG00000128683	GAD1	2	Tangles	DLPFC	0.143425053	0.071050809	0.043963117	-0.158072205	0.052088447	0.002616578	0.039495996	-0.015793641	0.048591499	0.745382769	0.899777844	e4adj
ENSG00000128708	HAT1	2	Tangles	DLPFC	-0.225224976	0.071237321	0.001646798	0.148020683	0.051093758	0.004041466	0.048205099	-0.080512574	0.049981837	0.108253104	0.376590958	e4adj
ENSG00000130414	NDUFA10	2	Tangles	DLPFC	0.139487268	0.070815269	0.049320836	-0.195438972	0.0509818	0.000153651	0.009713636	-0.053131591	0.04915274	0.280576694	0.594225167	e4adj
ENSG00000132321	IQCA1	2	Tangles	DLPFC	-0.209637839	0.0706148	0.003107476	0.165962609	0.052210306	0.001632106	0.030612297	-0.048246635	0.048038416	0.316016176	0.626344987	e4adj
ENSG00000136732	GYPC	2	Tangles	DLPFC	-0.173298322	0.070749115	0.014586531	0.204163648	0.051641926	9.59E-05	0.008098982	0.025853126	0.049690789	0.603247085	0.827057323	e4adj
ENSG00000143869	GDF7	2	Tangles	DLPFC	0.234339231	0.07058521	0.00095403	-0.186264083	0.053397431	0.000558222	0.018175569	0.047561323	0.04663775	0.308632724	0.621736731	e4adj
ENSG00000143947	RPS27A	2	Tangles	DLPFC	-0.168151873	0.071453786	0.018924288	0.170424903	0.051484353	0.001044809	0.024648348	0.003768821	0.050608348	0.940685112	0.979348188	e4adj
ENSG00000144036	EXOC6B	2	Tangles	DLPFC	-0.146581933	0.071801212	0.041631929	-0.00701069	0.050789244	0.890304495	0.949128582	-0.154997845	0.050147289	0.002181264	0.04859356	e4adj
ENSG00000144285	SCN1A	2	Tangles	DLPFC	0.269838935	0.070698852	0.000149025	-0.194255299	0.052788939	0.000276142	0.013070483	0.075177869	0.047333506	0.113267251	0.384591374	e4adj
ENSG00000144290	SLC4A10	2	Tangles	DLPFC	0.197161196	0.070898029	0.005588038	-0.149476954	0.051160127	0.003742488	0.046355941	0.046138844	0.049171833	0.348825602	0.657667417	e4adj
ENSG00000144451	SPAG16	2	Tangles	DLPFC	-0.270704593	0.070890648	0.000147918	0.044091434	0.050569515	0.383954639	0.601065774	-0.229313988	0.049307346	4.94E-06	0.001758778	e4adj
ENSG00000144579	CTDSP1	2	Tangles	DLPFC	-0.192823771	0.07173421	0.007383701	0.158282789	0.049357966	0.00148552	0.029480932	-0.033488023	0.051753006	0.518072358	0.774849423	e4adj
ENSG00000150540	HNMT	2	Tangles	DLPFC	-0.157443597	0.070953177	0.026855367	0.159487161	0.051360012	0.002080765	0.034219468	0.003730156	0.049333914	0.939778807	0.97914637	e4adj
ENSG00000152102	FAM168B	2	Tangles	DLPFC	0.144792992	0.070996477	0.041836627	0.023961489	0.055541641	0.666473537	0.822102517	0.171630029	0.045592045	0.000200307	0.014441573	e4adj
ENSG00000152128	TMEM163	2	Tangles	DLPFC	0.158939825	0.070636634	0.024797857	-0.191927187	0.050909293	0.000196246	0.010810323	-0.032883623	0.048968979	0.502399606	0.764766332	e4adj
ENSG00000153107	ANAPC1	2	Tangles	DLPFC	0.177818147	0.070814247	0.01229466	-0.19702505	0.052683684	0.00022021	0.011437907	-0.016392252	0.047770974	0.731728418	0.893265948	e4adj
ENSG00000153561	RMND5A	2	Tangles	DLPFC	0.143161614	0.070765393	0.043504123	0.069253019	0.051489555	0.179633775	0.384347898	0.214465047	0.049023652	1.67E-05	0.003862708	e4adj
ENSG00000163082	SGPP2	2	Tangles	DLPFC	0.195661691	0.071197945	0.006170779	-0.046223948	0.053120571	0.384896132	0.602003094	0.148030563	0.047743697	0.002112782	0.048070707	e4adj
ENSG00000163449	TMEM169	2	Tangles	DLPFC	0.167877881	0.070983213	0.018340288	-0.157917348	0.051424834	0.002328095	0.036936079	0.011737951	0.049566734	0.812962853	0.928771475	e4adj
ENSG00000169006	NTSR2	2	Tangles	DLPFC	-0.192821004	0.07137897	0.007097379	0.017122042	0.050525944	0.73493768	0.865442807	-0.176857725	0.050028441	0.000470995	0.022637754	e4adj
ENSG00000169554	ZEB2	2	Tangles	DLPFC	-0.1931554	0.071201529	0.006860058	0.189467992	0.050045346	0.000184613	0.010633549	-0.003527597	0.050887408	0.944779202	0.98117868	e4adj
ENSG00000170500	LONRF2	2	Tangles	DLPFC	0.169413112	0.071833076	0.018667035	-0.157722705	0.049298182	0.00152326	0.029719317	0.00997804	0.051760878	0.847266367	0.943572992	e4adj
ENSG00000172005	MAL	2	Tangles	DLPFC	-0.162571578	0.071006942	0.022390028	0.012952905	0.052932843	0.806850879	0.904859281	-0.148323075	0.047496793	0.00196386	0.046530095	e4adj
ENSG00000172428	COPS9	2	Tangles	DLPFC	-0.209202363	0.071774087	0.003690496	0.035344067	0.051034877	0.489124105	0.690202625	-0.173720894	0.049783564	0.000555444	0.024175101	e4adj
ENSG00000196290	NIF3L1	2	Tangles	DLPFC	0.157206555	0.070712057	0.026568418	-0.174774946	0.052488713	0.000976616	0.023771288	-0.015424386	0.047635494	0.746311897	0.900390552	e4adj
ENSG00000196504	PRPF40A	2	Tangles	DLPFC	-0.139971326	0.071142607	0.049581111	0.174653637	0.051019503	0.000703887	0.020316413	0.033455138	0.049449591	0.499205718	0.762544938	e4adj
ENSG00000204186	ZDBF2	2	Tangles	DLPFC	0.149509027	0.071218256	0.036200115	-0.152234831	0.050681538	0.002889147	0.041369772	-0.001106915	0.049962657	0.982338971	0.992517337	e4adj
ENSG00000221843	C2orf16	2	Tangles	DLPFC	0.139724068	0.070655508	0.048430366	-0.208907195	0.05260226	8.93E-05	0.00790638	-0.064548668	0.047986087	0.179578146	0.482536842	e4adj
ENSG00000233087	RAB6D	2	Tangles	DLPFC	0.195832992	0.070733821	0.005801008	-0.211662807	0.050220069	3.30E-05	0.005099641	-0.011668782	0.050070872	0.815883054	0.930376012	e4adj
ENSG00000233654	NEMP2-DT	2	Tangles	DLPFC	-0.156588235	0.07131705	0.028491881	0.1591629	0.050657007	0.001844079	0.032567048	0.000327484	0.049970067	0.99477531	0.998222089	e4adj
ENSG00000235072	ARNILA	2	Tangles	DLPFC	0.144378938	0.070967083	0.042338324	-0.001832244	0.05395833	0.972934079	0.989321771	0.14514589	0.047180593	0.002285836	0.049755526	e4adj
ENSG00000272944		2	Tangles	DLPFC	0.210660585	0.071281988	0.003244079	-0.155117484	0.052155771	0.003174441	0.043324014	0.056682252	0.048611209	0.244515262	0.561953387	e4adj
ENSG00000278962		2	Tangles	DLPFC	0.206998506	0.071409257	0.003881048	-0.162144276	0.052800645	0.002327803	0.036936079	0.044841348	0.048229202	0.353235569	0.660581828	e4adj
ENSG00000077044	DGKD	2	Tangles	PCC	-0.290866411	0.087605737	0.000986655	0.280848214	0.068070987	5.54E-05	0.02215756	-0.010627801	0.055864142	0.849322355	0.972938488	e4adj
ENSG00000115204	MPV17	2	Tangles	PCC	0.220716777	0.088225366	0.012778201	-0.265718765	0.069227825	0.00016911	0.034164037	-0.047977994	0.056217274	0.394496423	0.806810796	e4adj
