ens	zstat	p	fdr	symbol	dx	method	citation	method_stat_thresh	other_notes
ENSG00000247735				CTD-2574D22.2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149932				TMEM219	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149930				TAOK2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149929				HIRIP3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000169592				INO80E	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149927				DOC2A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000167194				C16orf92	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149926				FAM57B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149923				PPP4C	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000149922				TBX6	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000090238				YPEL3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000250616				RP11-455F5.3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000102886				GDPD3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000261367				RP11-455F5.4	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000275371				RP11-455F5.6	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000102882				MAPK3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000132207				SLX1A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000198064				NPIPB13	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000183604				SMG1P5	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000180209				MYLPF	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000278922				AC002310.14	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000169951				ZNF764	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000156853				ZNF689	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000156858				PRR14	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000080603				SRCAP	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000196118				CCDC189	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000102870				ZNF629	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000099381				SETD1A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000099377				HSD3B7	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000099365				STX1B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000178573				MAF	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000103241				FOXF1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000185324				CDK10	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000003249				DBNDD1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000126856				PRDM7	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000261812				TUBB8P7	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000260528				FAM157C	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000185561				TLCD2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000167716				WDR81	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000167711				SERPINF2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000171962				DRC3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000091536				MYO15A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000091542				ALKBH5	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000131899				LLGL1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000177427				MIEF2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000177302				TOP3A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000176974				SHMT1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000220161				FLJ35934	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000233327				USP32P2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000273018				CTD-2303H24.2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000213077				FAM106A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000154874				CCDC144B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000108309				RUNDC3A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000030582				GRN	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000161682				FAM171A2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000005961				ITGA2B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000131095				GFAP	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000161714				PLCD3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000182087				TMEM259	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000064666				CNN2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000064687				ABCA7	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000180448				HMHA1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000099817				POLR2E	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000071564				TCF3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000130270				ATP8B3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000079313				REXO1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000129911				KLF16	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000261526				CTB-31O20.2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000161640				SIGLEC11	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000161643				SIGLEC16	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000105053				VRK3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000179820				MYADM	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000131042				LILRB2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000125826				RBCK1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000258366				RTEL1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000203896				LIME1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000125520				SLC2A4RG	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000142192				APP	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000273492				AP000230.1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000232692				AP001596.6	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000197934				CYYR1-AS1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
		2.48e-19		MME	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		2.35e-20		IDUA	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		5.6e-25		TMEM106B	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		3.8e-22		ABCA1	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		2.35e-20		SLC26A1	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		0		DOC2A	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		3.15e-28		INO80E	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
		1.06e-23		MAF	AD	mQTL_haQTLoverlap	Bellenguez22	Authors	Suptab29
	-9.0572	1.34e-19		ABCA7	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.334	9.61e-08		ADAM17	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	4.879	1.07e-06		ANXA11	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.8788	4.13e-09		APH1B	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.1557	2.53e-07		CARF	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-7.6291	2.36e-14		CCDC189	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	7.8793	3.29e-15		CNN2	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.1152	3.13e-07		CSNK1G1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.1845	2.17e-07		CTSH	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.7255	1.03e-08		DGKQ	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.9048	5.03e-12		DOC2A	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.1011	1.05e-09		DYDC2	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.6067	2.06e-08		FAM213A	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.3086	2.81e-10		FAM57B	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.1	3.4e-07		FAM96A	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.0617	4.15e-07		HERC1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.2942	3.09e-10		HSD3B7	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.05	4.42e-07		ICA1L	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.0278	1.66e-09		IDUA	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	4.9528	7.31e-07		IGHG1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.6931	1.25e-08		IGHG3	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.6809	2.86e-06		IGHGP	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.3942	1.61e-10		INO80E	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.8691	1.12e-06		ITGA2B	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.23	1.7e-07		ITGB1BP1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.23	1.7e-07		ITGB1BP1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	4.9878	6.11e-07		KCTD13	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.9878	6.11e-07		KCTD13	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.8297	5.55e-09		MAPK3	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.3379	9.4e-08		MAZ	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.229	1.7e-07		NPIPB11	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.6936	1.24e-08		NPIPB12	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.061	1.35e-09		NPIPB13	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.0497	4.43e-07		OTULIN	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.8584	1.18e-06		POLR2E	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-7.0946	1.3e-12		PRR14	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.072	1.26e-09		RAB8B	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.9179	8.75e-07		SEZ6L2	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	7.1977	6.12e-13		SHARPIN	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.1401	2.75e-07		SLX1A	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.7791	1.21e-11		SMG1P2	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.0481	1.47e-09		SMG1P5	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.0765	3.84e-07		SNX1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.8851	5.77e-12		SRCAP	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.974	3.08e-12		TAOK2	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.5626	2.66e-08		TBX6	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.8454	1.26e-06		TCF3	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-4.8537	1.21e-06		TMEM106B	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.5882	4.45e-11		TMEM219	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-5.1089	3.24e-07		TMEM259	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	4.8167	1.46e-06		TPCN1	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	8.4192	3.79e-17		TSPAN14	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	5.4458	5.16e-08		IGHG4	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	6.624	3.5e-11		YPEL3	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	-6.8651	6.64e-12		ZNF629	AD	isoformTWAS	Bellenguez22	Authors	Suptab27
	0	-8.5126		ABCA7	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.283		AC002310.14	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.9043		AL928768.3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.7273		ANXA11	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.6322		AP000230.1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.6092		AP001596.6	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	9.4958		APH1B	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.1499		ASPHD1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.1979		ATP8B3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.3384		BLNK	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.7271		BMPR2	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.5383		CARF	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.2349		CCDC189	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.7336		CDK10	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.9121		CPSF3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.6264		CTB-31O20.2	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.1023		CTD-2574D22.2	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.6642		CTSH	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.0729		CYYR1-AS1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.6883		DDX54	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.1183		DGKQ	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.2186		DNTT	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.3258		DOC2A	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
