"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"57","TFAP2D","ENSMUSG00000042596","57.1.1","TFAP2D","ENSG00000008197","transcription factor AP-2 delta [Source:HGNC Symbol;Acc:HGNC:15581]"
"58","TFAP2B","ENSMUSG00000025927","58.1.1","TFAP2B","ENSG00000008196","transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]"
"59","6720483E21RIK","ENSMUSG00000097934","59.1.1","N/A","N/A","N/A"
"60","PAQR8","ENSMUSG00000025931","60.1.1","PAQR8","ENSG00000170915","progestin and adipoQ receptor family member 8 [Source:HGNC Symbol;Acc:HGNC:15708]"
"61","TMEM14A","ENSMUSG00000025933","61.1.1","TMEM14A","ENSG00000096092","transmembrane protein 14A [Source:HGNC Symbol;Acc:HGNC:21076]"
"62","GSTA3","ENSMUSG00000025934","62.1.1","GSTA5","ENSG00000182793","glutathione S-transferase alpha 5 [Source:HGNC Symbol;Acc:HGNC:19662]"
"63","GM28836","ENSMUSG00000099343","63.1.1","N/A","N/A","N/A"
"64","KCNQ5","ENSMUSG00000028033","64.1.1","KCNQ5","ENSG00000185760","potassium voltage-gated channel subfamily Q member 5 [Source:HGNC Symbol;Acc:HGNC:6299]"
"65","RIMS1","ENSMUSG00000041670","65.1.1","RIMS1","ENSG00000079841","regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]"
"66","OGFRL1","ENSMUSG00000026158","66.1.1","OGFRL1","ENSG00000119900","opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]"
"67","GM28822","ENSMUSG00000099503","67.1.1","N/A","N/A","N/A"
"68","B3GAT2","ENSMUSG00000026156","68.1.1","B3GAT2","ENSG00000112309","beta-1,3-glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:922]"
"69","SMAP1","ENSMUSG00000026155","69.1.1","SMAP1","ENSG00000112305","small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]"
"70","SDHAF4","ENSMUSG00000026154","70.1.1","SDHAF4","ENSG00000154079","succinate dehydrogenase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:20957]"
"71","FAM135A","ENSMUSG00000026153","71.1.1","FAM135A","ENSG00000082269","family with sequence similarity 135 member A [Source:HGNC Symbol;Acc:HGNC:21084]"
"72","COL9A1","ENSMUSG00000026147","72.1.1","COL9A1","ENSG00000112280","collagen type IX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2217]"
"73","COL19A1","ENSMUSG00000026141","73.1.1","COL19A1","ENSG00000082293","collagen type XIX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2196]"
"74","LMBRD1","ENSMUSG00000073725","74.1.1","LMBRD1","ENSG00000168216","LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]"
"75","ADGRB3","ENSMUSG00000033569","75.1.1","ADGRB3","ENSG00000135298","adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]"
"76","PHF3","ENSMUSG00000048874","76.1.1","PHF3","ENSG00000118482","PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]"
"77","PTP4A1","ENSMUSG00000026064","77.1.1","PTP4A1","ENSG00000112245","protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]"
"77","PTP4A1","ENSMUSG00000117310","77.2.1","PTP4A1","ENSG00000112245","protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]"
"78","KHDRBS2","ENSMUSG00000026058","78.1.1","KHDRBS2","ENSG00000112232","KH RNA binding domain containing, signal transduction associated 2 [Source:HGNC Symbol;Acc:HGNC:18114]"
"79","PRIM2","ENSMUSG00000026134","79.1.1","PRIM2","ENSG00000146143","DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]"
"80","RAB23","ENSMUSG00000004768","80.1.1","RAB23","ENSG00000112210","RAB23, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14263]"
"81","BAG2","ENSMUSG00000042215","81.1.1","BAG2","ENSG00000112208","BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]"
"82","ZFP451","ENSMUSG00000042197","82.1.1","ZNF451","ENSG00000112200","zinc finger protein 451 [Source:HGNC Symbol;Acc:HGNC:21091]"
"83","BEND6","ENSMUSG00000042182","83.1.1","BEND6","ENSG00000151917","BEN domain containing 6 [Source:HGNC Symbol;Acc:HGNC:20871]"
"84","DST","ENSMUSG00000026131","84.1.1","DST","ENSG00000151914","dystonin [Source:HGNC Symbol;Acc:HGNC:1090]"
"85","CCDC115","ENSMUSG00000042111","85.1.1","CCDC115","ENSG00000136710","coiled-coil domain containing 115 [Source:HGNC Symbol;Acc:HGNC:28178]"
"86","IMP4","ENSMUSG00000026127","86.1.1","IMP4","ENSG00000136718","IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]"
"87","PTPN18","ENSMUSG00000026126","87.1.1","PTPN18","ENSG00000072135","protein tyrosine phosphatase non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]"
"88","ARHGEF4","ENSMUSG00000037509","88.1.1","N/A","N/A","N/A"
"89","FAM168B","ENSMUSG00000037503","89.1.1","FAM168B","ENSG00000152102","family with sequence similarity 168 member B [Source:HGNC Symbol;Acc:HGNC:27016]"
"90","PLEKHB2","ENSMUSG00000026123","90.1.1","PLEKHB2","ENSG00000115762","pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]"
"91","HS6ST1","ENSMUSG00000045216","91.1.1","HS6ST1","ENSG00000136720","heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]"
"92","UGGT1","ENSMUSG00000037470","92.1.1","UGGT1","ENSG00000136731","UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]"
"93","ARID5A","ENSMUSG00000037447","93.1.1","ARID5A","ENSG00000196843","AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]"
"94","4930403P22RIK","ENSMUSG00000102762","94.1.1","N/A","N/A","N/A"
"95","KANSL3","ENSMUSG00000010453","95.1.1","KANSL3","ENSG00000114982","KAT8 regulatory NSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25473]"
"96","LMAN2L","ENSMUSG00000001143","96.1.1","LMAN2L","ENSG00000114988","lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]"
"97","CNNM4","ENSMUSG00000037408","97.1.1","CNNM4","ENSG00000158158","cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105]"
"98","CNNM3","ENSMUSG00000001138","98.1.1","CNNM3","ENSG00000168763","cyclin and CBS domain divalent metal cation transport mediator 3 [Source:HGNC Symbol;Acc:HGNC:104]"
"99","ANKRD39","ENSMUSG00000079610","99.1.1","ANKRD39","ENSG00000213337","ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]"
"100","SEMA4C","ENSMUSG00000026121","100.1.1","SEMA4C","ENSG00000168758","semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]"
"101","COX5B","ENSMUSG00000061518","101.1.1","COX5B","ENSG00000135940","cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]"
"102","ACTR1B","ENSMUSG00000037351","102.1.1","ACTR1B","ENSG00000115073","actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]"
"103","4933424G06RIK","ENSMUSG00000102416","103.1.1","C2orf92","ENSG00000228486","chromosome 2 open reading frame 92 [Source:HGNC Symbol;Acc:HGNC:49272]"
"104","GM33533","ENSMUSG00000104237","104.1.1","N/A","N/A","N/A"
"105","TMEM131","ENSMUSG00000026116","105.1.1","TMEM131","ENSG00000075568","transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]"
"106","VWA3B","ENSMUSG00000050122","106.1.1","VWA3B","ENSG00000168658","von Willebrand factor A domain containing 3B [Source:HGNC Symbol;Acc:HGNC:28385]"
"107","INPP4A","ENSMUSG00000026113","107.1.1","INPP4A","ENSG00000040933","inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]"
"108","COA5","ENSMUSG00000026112","108.1.1","COA5","ENSG00000183513","cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]"
"109","UNC50","ENSMUSG00000026111","109.1.1","UNC50","ENSG00000115446","unc-50 inner nuclear membrane RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16046]"
"110","MGAT4A","ENSMUSG00000026110","110.1.1","MGAT4A","ENSG00000071073","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]"
"111","2010300C02RIK","N/A","111.1.1","N/A","N/A","N/A"
"112","TSGA10","ENSMUSG00000060771","112.1.1","TSGA10","ENSG00000135951","testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]"
"113","MITD1","ENSMUSG00000026088","113.1.1","MITD1","ENSG00000158411","microtubule interacting and trafficking domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25207]"
"114","MRPL30","ENSMUSG00000026087","114.1.1","MRPL30","ENSG00000185414","mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]"
"115","TXNDC9","ENSMUSG00000058407","115.1.1","TXNDC9","ENSG00000115514","thioredoxin domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24110]"
"116","EIF5B","ENSMUSG00000026083","116.1.1","EIF5B","ENSG00000158417","eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]"
"117","REV1","ENSMUSG00000026082","117.1.1","REV1","ENSG00000135945","REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060]"
"118","AFF3","ENSMUSG00000037138","118.1.1","AFF3","ENSG00000144218","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]"
"119","GM16150","ENSMUSG00000085391","119.1.1","N/A","N/A","N/A"
"120","GM16152","ENSMUSG00000087131","120.1.1","N/A","N/A","N/A"
"121","LONRF2","ENSMUSG00000048814","121.1.1","LONRF2","ENSG00000170500","LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]"
"122","CHST10","ENSMUSG00000026080","122.1.1","CHST10","ENSG00000115526","carbohydrate sulfotransferase 10 [Source:HGNC Symbol;Acc:HGNC:19650]"
"123","PDCL3","ENSMUSG00000026078","123.1.1","PDCL3","ENSG00000115539","phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]"
"124","NPAS2","ENSMUSG00000026077","124.1.1","NPAS2","ENSG00000170485","neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]"
"125","RPL31","ENSMUSG00000073702","125.1.1","RPL31","ENSG00000071082","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
"126","TBC1D8","ENSMUSG00000003134","126.1.1","TBC1D8","ENSG00000204634","TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]"
"127","CNOT11","ENSMUSG00000003135","127.1.1","CNOT11","ENSG00000158435","CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217]"
"128","RNF149","ENSMUSG00000048234","128.1.1","RNF149","ENSG00000163162","ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]"
"129","CREG2","ENSMUSG00000050967","129.1.1","CREG2","ENSG00000175874","cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]"
"130","MAP4K4","ENSMUSG00000026074","130.1.1","MAP4K4","ENSG00000071054","mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]"
"131","IL1R2","ENSMUSG00000026073","131.1.1","IL1R2","ENSG00000115590","interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]"
"132","GM16894","ENSMUSG00000097899","132.1.1","N/A","N/A","N/A"
"133","IL1R1","ENSMUSG00000026072","133.1.1","IL1R1","ENSG00000115594","interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]"
"134","SLC9A2","ENSMUSG00000026062","134.1.1","SLC9A2","ENSG00000115616","solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072]"
"135","GM28175","ENSMUSG00000101299","135.1.1","N/A","N/A","N/A"
"136","PANTR1","ENSMUSG00000060424","136.1.1","N/A","N/A","N/A"
"137","POU3F3","ENSMUSG00000045515","137.1.1","POU3F3","ENSG00000198914","POU class 3 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9216]"
"138","MRPS9","ENSMUSG00000060679","138.1.1","MRPS9","ENSG00000135972","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]"
"139","GPR45","ENSMUSG00000041907","139.1.1","GPR45","ENSG00000135973","G protein-coupled receptor 45 [Source:HGNC Symbol;Acc:HGNC:4503]"
"140","TGFBRAP1","ENSMUSG00000070939","140.1.1","TGFBRAP1","ENSG00000135966","transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]"
"141","AI597479","ENSMUSG00000010290","141.1.1","C2orf49","ENSG00000135974","chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]"
"142","FHL2","ENSMUSG00000008136","142.1.1","FHL2","ENSG00000115641","four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]"
"143","NCK2","ENSMUSG00000066877","143.1.1","NCK2","ENSG00000071051","NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]"
"144","UXS1","ENSMUSG00000057363","144.1.1","UXS1","ENSG00000115652","UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729]"
"145","TPP2","ENSMUSG00000041763","145.1.1","TPP2","ENSG00000134900","tripeptidyl peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12016]"
"146","METTL21C","ENSMUSG00000047343","146.1.1","METTL21C","ENSG00000139780","methyltransferase 21C, AARS1 lysine [Source:HGNC Symbol;Acc:HGNC:33717]"
"147","TEX30","ENSMUSG00000026049","147.1.1","TEX30","ENSG00000151287","testis expressed 30 [Source:HGNC Symbol;Acc:HGNC:25188]"
"148","KDELC1","N/A","148.1.1","N/A","N/A","N/A"
"149","BIVM","ENSMUSG00000041684","149.1.1","BIVM","ENSG00000134897","basic, immunoglobulin-like variable motif containing [Source:HGNC Symbol;Acc:HGNC:16034]"
"150","ERCC5","ENSMUSG00000026048","150.1.1","ERCC5","ENSG00000134899","ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]"
"151","GULP1","ENSMUSG00000056870","151.1.1","GULP1","ENSG00000144366","GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]"
"152","COL5A2","ENSMUSG00000026042","152.1.1","COL5A2","ENSG00000204262","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]"
"153","WDR75","ENSMUSG00000025995","153.1.1","WDR75","ENSG00000115368","WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]"
"154","SLC40A1","ENSMUSG00000025993","154.1.1","SLC40A1","ENSG00000138449","solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]"
"155","DNAH7B","ENSMUSG00000041144","155.1.1","DNAH7","ENSG00000118997","dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]"
"156","DNAH7C","ENSMUSG00000101337","156.1.1","DNAH7","ENSG00000118997","dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]"
"157","SLC39A10","ENSMUSG00000025986","157.1.1","SLC39A10","ENSG00000196950","solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]"
"158","TMEFF2","ENSMUSG00000026109","158.1.1","TMEFF2","ENSG00000144339","transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]"
"159","GM28322","ENSMUSG00000100671","159.1.1","N/A","N/A","N/A"
"160","GM28319","ENSMUSG00000101242","160.1.1","N/A","N/A","N/A"
"161","9330175M20RIK","ENSMUSG00000101799","161.1.1","N/A","N/A","N/A"
"162","CAVIN2","ENSMUSG00000045954","162.1.1","CAVIN2","ENSG00000168497","caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]"
"163","NABP1","ENSMUSG00000026107","163.1.1","NABP1","ENSG00000173559","nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]"
"164","MYO1B","ENSMUSG00000018417","164.1.1","MYO1B","ENSG00000128641","myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]"
"165","STAT1","ENSMUSG00000026104","165.1.1","STAT1","ENSG00000115415","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]"
"166","GLS","ENSMUSG00000026103","166.1.1","GLS","ENSG00000115419","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]"
"167","NAB1","ENSMUSG00000002881","167.1.1","NAB1","ENSG00000138386","NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]"
"168","NEMP2","ENSMUSG00000043015","168.1.1","NEMP2","ENSG00000189362","nuclear envelope integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:33700]"
"169","MFSD6","ENSMUSG00000041439","169.1.1","MFSD6","ENSG00000151690","major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]"
"170","INPP1","ENSMUSG00000026102","170.1.1","INPP1","ENSG00000151689","inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]"
"171","HIBCH","ENSMUSG00000041426","171.1.1","HIBCH","ENSG00000198130","3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]"
"172","1700019D03RIK","ENSMUSG00000043629","172.1.1","C2orf88","ENSG00000187699","chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191]"
"173","PMS1","ENSMUSG00000026098","173.1.1","PMS1","ENSG00000064933","PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]"
"174","ORMDL1","ENSMUSG00000026097","174.1.1","ORMDL1","ENSG00000128699","ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]"
"175","OSGEPL1","ENSMUSG00000026096","175.1.1","OSGEPL1","ENSG00000128694","O-sialoglycoprotein endopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23075]"
"176","GM28551","ENSMUSG00000099913","176.1.1","N/A","N/A","N/A"
"177","DNAH7A","ENSMUSG00000096141","177.1.1","DNAH7","ENSG00000118997","dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]"
"178","HECW2","ENSMUSG00000042807","178.1.1","HECW2","ENSG00000138411","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]"
"179","CCDC150","ENSMUSG00000025983","179.1.1","CCDC150","ENSG00000144395","coiled-coil domain containing 150 [Source:HGNC Symbol;Acc:HGNC:26834]"
"180","GTF3C3","ENSMUSG00000041303","180.1.1","GTF3C3","ENSG00000119041","general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]"
