gene_id	rn	source	type	gene_version	gene_name	gene_type	gene_search	chr	dev_nobatch	rank_nobatch
ENSG00000205116	ENSG00000205116	HAVANA	gene	3	TMEM88B	protein_coding	TMEM88B; ENSG00000205116	chr1	1504.29286583627	17643
ENSG00000225285	ENSG00000225285	HAVANA	gene	1	LINC01770	lncRNA	LINC01770; ENSG00000225285	chr1	404.181790495602	21419
ENSG00000179403	ENSG00000179403	HAVANA	gene	12	VWA1	protein_coding	VWA1; ENSG00000179403	chr1	49469.1487797407	2846
ENSG00000215915	ENSG00000215915	HAVANA	gene	10	ATAD3C	protein_coding	ATAD3C; ENSG00000215915	chr1	9161.54379527571	12377
ENSG00000160072	ENSG00000160072	HAVANA	gene	20	ATAD3B	protein_coding	ATAD3B; ENSG00000160072	chr1	13864.586999125	10709
ENSG00000197785	ENSG00000197785	HAVANA	gene	14	ATAD3A	protein_coding	ATAD3A; ENSG00000197785	chr1	17903.2296130525	9377
ENSG00000205090	ENSG00000205090	HAVANA	gene	9	TMEM240	protein_coding	TMEM240; ENSG00000205090	chr1	24487.6217785652	7432
ENSG00000160075	ENSG00000160075	HAVANA	gene	12	SSU72	protein_coding	SSU72; ENSG00000160075	chr1	72248.5349303079	1183
ENSG00000215014	ENSG00000215014	HAVANA	gene	5	AL645728.1	lncRNA	AL645728.1; ENSG00000215014	chr1	5219.17801326373	14146
ENSG00000228594	ENSG00000228594	HAVANA	gene	4	FNDC10	protein_coding	FNDC10; ENSG00000228594	chr1	45254.519170562	3350
ENSG00000286989	ENSG00000286989	HAVANA	gene	1	AL691432.4	lncRNA	AL691432.4; ENSG00000286989	chr1	4691.53425335578	14429
ENSG00000272106	ENSG00000272106	HAVANA	gene	1	AL691432.2	lncRNA	AL691432.2; ENSG00000272106	chr1	20645.8288167829	8482
ENSG00000197530	ENSG00000197530	HAVANA	gene	12	MIB2	protein_coding	MIB2; ENSG00000197530	chr1	31271.9700473006	5839
ENSG00000189409	ENSG00000189409	HAVANA	gene	14	MMP23B	protein_coding	MMP23B; ENSG00000189409	chr1	2857.23337299863	15863
ENSG00000248333	ENSG00000248333	HAVANA	gene	8	CDK11B	protein_coding	CDK11B; ENSG00000248333	chr1	19420.4246355264	8859
ENSG00000272004	ENSG00000272004	HAVANA	gene	1	FO704657.1	lncRNA	FO704657.1; ENSG00000272004	chr1	1546.48616676935	17553
ENSG00000189339	ENSG00000189339	HAVANA	gene	12	SLC35E2B	protein_coding	SLC35E2B; ENSG00000189339	chr1	20819.0656052119	8417
ENSG00000008128	ENSG00000008128	HAVANA	gene	23	CDK11A	protein_coding	CDK11A; ENSG00000008128	chr1	17925.4151931451	9371
ENSG00000215790	ENSG00000215790	HAVANA	gene	7	SLC35E2A	protein_coding	SLC35E2A; ENSG00000215790	chr1	18550.4190184665	9140
ENSG00000008130	ENSG00000008130	HAVANA	gene	15	NADK	protein_coding	NADK; ENSG00000008130	chr1	26134.3537411957	7007
ENSG00000078369	ENSG00000078369	HAVANA	gene	18	GNB1	protein_coding	GNB1; ENSG00000078369	chr1	96387.9652008454	562
ENSG00000231050	ENSG00000231050	HAVANA	gene	1	AL109917.1	lncRNA	AL109917.1; ENSG00000231050	chr1	1983.34636782485	16847
ENSG00000169885	ENSG00000169885	HAVANA	gene	10	CALML6	protein_coding	CALML6; ENSG00000169885	chr1	623.126320244371	20161
ENSG00000178821	ENSG00000178821	HAVANA	gene	13	TMEM52	protein_coding	TMEM52; ENSG00000178821	chr1	3111.90179399526	15631
ENSG00000142609	ENSG00000142609	HAVANA	gene	18	CFAP74	protein_coding	CFAP74; ENSG00000142609	chr1	4665.0338078121	14450
ENSG00000233542	ENSG00000233542	HAVANA	gene	2	AL391845.2	lncRNA	AL391845.2; ENSG00000233542	chr1	475.816534096407	20923
ENSG00000187730	ENSG00000187730	HAVANA	gene	9	GABRD	protein_coding	GABRD; ENSG00000187730	chr1	24296.0005123221	7488
ENSG00000067606	ENSG00000067606	HAVANA	gene	17	PRKCZ	protein_coding	PRKCZ; ENSG00000067606	chr1	72203.9820687749	1185
ENSG00000271806	ENSG00000271806	HAVANA	gene	1	AL590822.2	lncRNA	AL590822.2; ENSG00000271806	chr1	2372.88772178765	16369
ENSG00000182873	ENSG00000182873	HAVANA	gene	5	PRKCZ-AS1	lncRNA	PRKCZ-AS1; ENSG00000182873	chr1	1729.56409938681	17233
ENSG00000162585	ENSG00000162585	HAVANA	gene	17	FAAP20	protein_coding	FAAP20; ENSG00000162585	chr1	45116.5041962298	3366
ENSG00000234396	ENSG00000234396	HAVANA	gene	3	AL590822.1	lncRNA	AL590822.1; ENSG00000234396	chr1	157.399121070027	24042
ENSG00000157933	ENSG00000157933	HAVANA	gene	10	SKI	protein_coding	SKI; ENSG00000157933	chr1	30205.3018486983	6060
ENSG00000287356	ENSG00000287356	HAVANA	gene	1	AL590822.3	lncRNA	AL590822.3; ENSG00000287356	chr1	571.592370812018	20395
ENSG00000116151	ENSG00000116151	HAVANA	gene	14	MORN1	protein_coding	MORN1; ENSG00000116151	chr1	8266.18639333945	12697
ENSG00000272161	ENSG00000272161	HAVANA	gene	1	AL589739.1	lncRNA	AL589739.1; ENSG00000272161	chr1	338.657490633571	21955
ENSG00000272420	ENSG00000272420	HAVANA	gene	1	AL513477.2	lncRNA	AL513477.2; ENSG00000272420	chr1	5052.84003035919	14235
ENSG00000157916	ENSG00000157916	HAVANA	gene	20	RER1	protein_coding	RER1; ENSG00000157916	chr1	49669.2857174441	2825
ENSG00000157911	ENSG00000157911	HAVANA	gene	10	PEX10	protein_coding	PEX10; ENSG00000157911	chr1	30490.7500205809	5997
ENSG00000149527	ENSG00000149527	HAVANA	gene	18	PLCH2	protein_coding	PLCH2; ENSG00000149527	chr1	17249.0750807347	9579
ENSG00000224387	ENSG00000224387	HAVANA	gene	1	AL139246.1	lncRNA	AL139246.1; ENSG00000224387	chr1	107.764898631612	25150
ENSG00000157881	ENSG00000157881	HAVANA	gene	15	PANK4	protein_coding	PANK4; ENSG00000157881	chr1	13040.7107419019	10974
ENSG00000197921	ENSG00000197921	HAVANA	gene	6	HES5	protein_coding	HES5; ENSG00000197921	chr1	20062.6000517535	8658
ENSG00000272449	ENSG00000272449	HAVANA	gene	2	AL139246.5	lncRNA	AL139246.5; ENSG00000272449	chr1	7345.33114095115	13087
ENSG00000238164	ENSG00000238164	HAVANA	gene	6	TNFRSF14-AS1	lncRNA	TNFRSF14-AS1; ENSG00000238164	chr1	906.625962343787	19116
ENSG00000157873	ENSG00000157873	HAVANA	gene	17	TNFRSF14	protein_coding	TNFRSF14; ENSG00000157873	chr1	9736.11009107752	12152
ENSG00000228037	ENSG00000228037	HAVANA	gene	1	AL139246.3	lncRNA	AL139246.3; ENSG00000228037	chr1	205.846090145709	23345
ENSG00000157870	ENSG00000157870	HAVANA	gene	16	PRXL2B	protein_coding	PRXL2B; ENSG00000157870	chr1	49164.7092758732	2887
ENSG00000142606	ENSG00000142606	HAVANA	gene	16	MMEL1	protein_coding	MMEL1; ENSG00000142606	chr1	6774.96439625679	13342
ENSG00000237058	ENSG00000237058	HAVANA	gene	1	AL831784.1	lncRNA	AL831784.1; ENSG00000237058	chr1	7574.61391349563	12970
ENSG00000215912	ENSG00000215912	HAVANA	gene	12	TTC34	protein_coding	TTC34; ENSG00000215912	chr1	4690.50229963071	14431
ENSG00000285945	ENSG00000285945	HAVANA	gene	1	AC242022.2	lncRNA	AC242022.2; ENSG00000285945	chr1	329.050698522139	22018
ENSG00000283259	ENSG00000283259	HAVANA	gene	1	AC242022.1	lncRNA	AC242022.1; ENSG00000283259	chr1	61.534217544579	26484
ENSG00000231630	ENSG00000231630	HAVANA	gene	1	AL592464.1	lncRNA	AL592464.1; ENSG00000231630	chr1	72.4609407286242	26160
ENSG00000284745	ENSG00000284745	HAVANA	gene	1	AL589702.1	lncRNA	AL589702.1; ENSG00000284745	chr1	72.8282824415174	26151
ENSG00000177133	ENSG00000177133	HAVANA	gene	11	PRDM16-DT	lncRNA	PRDM16-DT; ENSG00000177133	chr1	9883.00995925363	12102
ENSG00000142611	ENSG00000142611	HAVANA	gene	17	PRDM16	protein_coding	PRDM16; ENSG00000142611	chr1	11306.9202398581	11593
ENSG00000272235	ENSG00000272235	HAVANA	gene	1	AL590438.1	lncRNA	AL590438.1; ENSG00000272235	chr1	187.236151166834	23601
ENSG00000287828	ENSG00000287828	HAVANA	gene	1	AL354743.2	lncRNA	AL354743.2; ENSG00000287828	chr1	257.099783597508	22738
ENSG00000286518	ENSG00000286518	HAVANA	gene	1	AL354743.1	lncRNA	AL354743.1; ENSG00000286518	chr1	77.9906811390184	25959
ENSG00000130762	ENSG00000130762	HAVANA	gene	15	ARHGEF16	protein_coding	ARHGEF16; ENSG00000130762	chr1	6088.15751815408	13675
ENSG00000272088	ENSG00000272088	HAVANA	gene	1	AL512413.1	lncRNA	AL512413.1; ENSG00000272088	chr1	192.25519539749	23537
ENSG00000162591	ENSG00000162591	HAVANA	gene	16	MEGF6	protein_coding	MEGF6; ENSG00000162591	chr1	5429.56569457069	14030
ENSG00000238260	ENSG00000238260	HAVANA	gene	1	AL513320.1	lncRNA	AL513320.1; ENSG00000238260	chr1	295.955336787462	22337
ENSG00000158109	ENSG00000158109	HAVANA	gene	15	TPRG1L	protein_coding	TPRG1L; ENSG00000158109	chr1	70889.2432290081	1244
ENSG00000116213	ENSG00000116213	HAVANA	gene	16	WRAP73	protein_coding	WRAP73; ENSG00000116213	chr1	16328.9152325836	9869
ENSG00000078900	ENSG00000078900	HAVANA	gene	15	TP73	protein_coding	TP73; ENSG00000078900	chr1	4110.63157641463	14823
ENSG00000227589	ENSG00000227589	HAVANA	gene	1	AL136528.1	lncRNA	AL136528.1; ENSG00000227589	chr1	22.4815428004634	28782
ENSG00000235131	ENSG00000235131	HAVANA	gene	1	AL136528.2	lncRNA	AL136528.2; ENSG00000235131	chr1	76.7280916171477	26014
ENSG00000162592	ENSG00000162592	HAVANA	gene	10	CCDC27	protein_coding	CCDC27; ENSG00000162592	chr1	409.883476173572	21378
ENSG00000235169	ENSG00000235169	HAVANA	gene	8	SMIM1	protein_coding	SMIM1; ENSG00000235169	chr1	10005.8442730827	12059
ENSG00000130764	ENSG00000130764	HAVANA	gene	10	LRRC47	protein_coding	LRRC47; ENSG00000130764	chr1	50124.4781749256	2771
ENSG00000272153	ENSG00000272153	HAVANA	gene	1	AL365330.1	lncRNA	AL365330.1; ENSG00000272153	chr1	532.896735746739	20610
ENSG00000116198	ENSG00000116198	HAVANA	gene	13	CEP104	protein_coding	CEP104; ENSG00000116198	chr1	30384.3255252588	6018
ENSG00000169598	ENSG00000169598	HAVANA	gene	15	DFFB	protein_coding	DFFB; ENSG00000169598	chr1	6253.62266486673	13583
ENSG00000198912	ENSG00000198912	HAVANA	gene	11	C1orf174	protein_coding	C1orf174; ENSG00000198912	chr1	18545.0192904601	9144
ENSG00000236423	ENSG00000236423	HAVANA	gene	6	LINC01134	lncRNA	LINC01134; ENSG00000236423	chr1	743.744715697667	19647
ENSG00000233304	ENSG00000233304	HAVANA	gene	7	LINC01346	lncRNA	LINC01346; ENSG00000233304	chr1	1852.11334891346	17043
ENSG00000284668	ENSG00000284668	HAVANA	gene	2	LINC02780	lncRNA	LINC02780; ENSG00000284668	chr1	136.277772697115	24455
ENSG00000284703	ENSG00000284703	HAVANA	gene	1	AL805961.1	lncRNA	AL805961.1; ENSG00000284703	chr1	606.28096024824	20250
ENSG00000284694	ENSG00000284694	HAVANA	gene	1	AL355602.1	lncRNA	AL355602.1; ENSG00000284694	chr1	20.9838567959607	29411
ENSG00000232596	ENSG00000232596	HAVANA	gene	3	LINC01646	lncRNA	LINC01646; ENSG00000232596	chr1	45.3838222932245	27014
ENSG00000196581	ENSG00000196581	HAVANA	gene	11	AJAP1	protein_coding	AJAP1; ENSG00000196581	chr1	22158.4743292861	8026
ENSG00000287586	ENSG00000287586	HAVANA	gene	1	Z98886.1	lncRNA	Z98886.1; ENSG00000287586	chr1	609.122027073217	20238
ENSG00000231510	ENSG00000231510	HAVANA	gene	1	LINC02782	lncRNA	LINC02782; ENSG00000231510	chr1	23.3406064724672	28423
ENSG00000284692	ENSG00000284692	HAVANA	gene	2	Z98259.3	lncRNA	Z98259.3; ENSG00000284692	chr1	107.086907528933	25163
ENSG00000260972	ENSG00000260972	HAVANA	gene	1	Z98259.1	lncRNA	Z98259.1; ENSG00000260972	chr1	19.7327160967148	29680
ENSG00000236948	ENSG00000236948	HAVANA	gene	2	AL365255.1	lncRNA	AL365255.1; ENSG00000236948	chr1	665.557560836215	19969
ENSG00000131697	ENSG00000131697	HAVANA	gene	18	NPHP4	protein_coding	NPHP4; ENSG00000131697	chr1	11258.1526355039	11613
ENSG00000069424	ENSG00000069424	HAVANA	gene	15	KCNAB2	protein_coding	KCNAB2; ENSG00000069424	chr1	54598.0764702067	2301
ENSG00000116254	ENSG00000116254	HAVANA	gene	18	CHD5	protein_coding	CHD5; ENSG00000116254	chr1	60269.7895673074	1885
ENSG00000116251	ENSG00000116251	HAVANA	gene	11	RPL22	protein_coding	RPL22; ENSG00000116251	chr1	120660.989596185	285
ENSG00000226944	ENSG00000226944	HAVANA	gene	1	AL031847.1	lncRNA	AL031847.1; ENSG00000226944	chr1	2490.28304446141	16256
ENSG00000158286	ENSG00000158286	HAVANA	gene	13	RNF207	protein_coding	RNF207; ENSG00000158286	chr1	8076.914011116	12772
ENSG00000116237	ENSG00000116237	HAVANA	gene	16	ICMT	protein_coding	ICMT; ENSG00000116237	chr1	35855.6686816158	4844
ENSG00000225077	ENSG00000225077	HAVANA	gene	3	LINC00337	lncRNA	LINC00337; ENSG00000225077	chr1	456.236333238104	21038
ENSG00000158292	ENSG00000158292	HAVANA	gene	7	GPR153	protein_coding	GPR153; ENSG00000158292	chr1	11126.3902088815	11654
ENSG00000097021	ENSG00000097021	HAVANA	gene	19	ACOT7	protein_coding	ACOT7; ENSG00000097021	chr1	121553.87938589	277
ENSG00000271746	ENSG00000271746	HAVANA	gene	1	AL031848.2	lncRNA	AL031848.2; ENSG00000271746	chr1	867.538835355224	19238
ENSG00000069812	ENSG00000069812	HAVANA	gene	11	HES2	protein_coding	HES2; ENSG00000069812	chr1	1204.02086604065	18298
ENSG00000187017	ENSG00000187017	HAVANA	gene	17	ESPN	protein_coding	ESPN; ENSG00000187017	chr1	1401.78856778924	17850
ENSG00000231868	ENSG00000231868	HAVANA	gene	1	AL031848.1	lncRNA	AL031848.1; ENSG00000231868	chr1	42.7630706127029	27318
ENSG00000215788	ENSG00000215788	HAVANA	gene	10	TNFRSF25	protein_coding	TNFRSF25; ENSG00000215788	chr1	12488.9145892254	11167
ENSG00000171680	ENSG00000171680	HAVANA	gene	22	PLEKHG5	protein_coding	PLEKHG5; ENSG00000171680	chr1	13495.5169424454	10831
ENSG00000162408	ENSG00000162408	HAVANA	gene	11	NOL9	protein_coding	NOL9; ENSG00000162408	chr1	30639.7354711238	5964
ENSG00000173662	ENSG00000173662	HAVANA	gene	21	TAS1R1	protein_coding	TAS1R1; ENSG00000173662	chr1	484.283547540448	20873
ENSG00000204859	ENSG00000204859	HAVANA	gene	13	ZBTB48	protein_coding	ZBTB48; ENSG00000204859	chr1	12806.6382868406	11056
ENSG00000162413	ENSG00000162413	HAVANA	gene	16	KLHL21	protein_coding	KLHL21; ENSG00000162413	chr1	37503.683875057	4555
ENSG00000116273	ENSG00000116273	HAVANA	gene	6	PHF13	protein_coding	PHF13; ENSG00000116273	chr1	18574.9873590409	9130
ENSG00000041988	ENSG00000041988	HAVANA	gene	15	THAP3	protein_coding	THAP3; ENSG00000041988	chr1	22324.2524320881	7979
ENSG00000007923	ENSG00000007923	HAVANA	gene	16	DNAJC11	protein_coding	DNAJC11; ENSG00000007923	chr1	31552.8774640013	5768
ENSG00000228750	ENSG00000228750	HAVANA	gene	7	LINC01672	lncRNA	LINC01672; ENSG00000228750	chr1	406.697685240611	21402
ENSG00000284744	ENSG00000284744	HAVANA	gene	1	AL591163.1	lncRNA	AL591163.1; ENSG00000284744	chr1	408.131359020161	21398
ENSG00000237436	ENSG00000237436	HAVANA	gene	1	CAMTA1-DT	lncRNA	CAMTA1-DT; ENSG00000237436	chr1	3005.43741195323	15734
ENSG00000171735	ENSG00000171735	HAVANA	gene	19	CAMTA1	protein_coding	CAMTA1; ENSG00000171735	chr1	92548.875269508	640
ENSG00000237402	ENSG00000237402	HAVANA	gene	1	CAMTA1-IT1	lncRNA	CAMTA1-IT1; ENSG00000237402	chr1	1072.61646398235	18623
ENSG00000225126	ENSG00000225126	HAVANA	gene	1	AL365194.1	lncRNA	AL365194.1; ENSG00000225126	chr1	63.4109569096988	26354
ENSG00000270171	ENSG00000270171	HAVANA	gene	1	AL359881.3	lncRNA	AL359881.3; ENSG00000270171	chr1	1032.50686062714	18730
ENSG00000270035	ENSG00000270035	HAVANA	gene	1	AL359881.2	lncRNA	AL359881.2; ENSG00000270035	chr1	558.436605300202	20457
ENSG00000269978	ENSG00000269978	HAVANA	gene	1	AL359881.1	lncRNA	AL359881.1; ENSG00000269978	chr1	1470.82670216987	17697
ENSG00000049245	ENSG00000049245	HAVANA	gene	13	VAMP3	protein_coding	VAMP3; ENSG00000049245	chr1	48844.8519855869	2920
ENSG00000269925	ENSG00000269925	HAVANA	gene	1	Z98884.2	lncRNA	Z98884.2; ENSG00000269925	chr1	1594.54966668704	17474
ENSG00000049246	ENSG00000049246	HAVANA	gene	14	PER3	protein_coding	PER3; ENSG00000049246	chr1	32187.8366096722	5616
ENSG00000236266	ENSG00000236266	HAVANA	gene	1	Z98884.1	lncRNA	Z98884.1; ENSG00000236266	chr1	183.575657627909	23644
ENSG00000049247	ENSG00000049247	HAVANA	gene	13	UTS2	protein_coding	UTS2; ENSG00000049247	chr1	1777.99065608025	17146
ENSG00000049249	ENSG00000049249	HAVANA	gene	8	TNFRSF9	protein_coding	TNFRSF9; ENSG00000049249	chr1	513.761103272943	20718
ENSG00000116288	ENSG00000116288	HAVANA	gene	13	PARK7	protein_coding	PARK7; ENSG00000116288	chr1	96245.9581278343	567
ENSG00000284747	ENSG00000284747	HAVANA	gene	1	AL034417.4	lncRNA	AL034417.4; ENSG00000284747	chr1	385.524453634287	21552
ENSG00000284716	ENSG00000284716	HAVANA	gene	1	AL034417.3	lncRNA	AL034417.3; ENSG00000284716	chr1	783.736852319365	19519
ENSG00000116285	ENSG00000116285	HAVANA	gene	13	ERRFI1	protein_coding	ERRFI1; ENSG00000116285	chr1	25567.8497148104	7150
ENSG00000238290	ENSG00000238290	HAVANA	gene	1	AL034417.2	lncRNA	AL034417.2; ENSG00000238290	chr1	398.201908908554	21467
ENSG00000162426	ENSG00000162426	HAVANA	gene	14	SLC45A1	protein_coding	SLC45A1; ENSG00000162426	chr1	30583.7777116273	5980
ENSG00000142599	ENSG00000142599	HAVANA	gene	19	RERE	protein_coding	RERE; ENSG00000142599	chr1	58373.4325119837	2016
ENSG00000232912	ENSG00000232912	HAVANA	gene	6	RERE-AS1	lncRNA	RERE-AS1; ENSG00000232912	chr1	166.040937304541	23899
ENSG00000228423	ENSG00000228423	HAVANA	gene	2	AL357552.2	lncRNA	AL357552.2; ENSG00000228423	chr1	382.058973093719	21577
ENSG00000074800	ENSG00000074800	HAVANA	gene	16	ENO1	protein_coding	ENO1; ENSG00000074800	chr1	125131.564937209	241
ENSG00000230679	ENSG00000230679	HAVANA	gene	1	ENO1-AS1	lncRNA	ENO1-AS1; ENSG00000230679	chr1	1054.89905262487	18669
