Gene Symbol	Gene for PCA, Harmony, Clustering	Rank (n=85 sections)	Deviance (n=85 sections)	Ensembl Gene ID
RTN3	Yes	104	173787.85	ENSG00000133318
RPL21	Yes	105	173552.63	ENSG00000122026
RPS29	Yes	106	172280.46	ENSG00000213741
RPL32	Yes	107	172192.33	ENSG00000144713
RPS24	Yes	108	172184.06	ENSG00000138326
CALY	Yes	109	171535.15	ENSG00000130643
QKI	Yes	110	170858.71	ENSG00000112531
APLP1	Yes	111	170589.77	ENSG00000105290
SARAF	Yes	112	170175.53	ENSG00000133872
RPS23	Yes	113	169409.03	ENSG00000186468
NDUFA4	Yes	114	169188.36	ENSG00000189043
PSAP	Yes	115	168898.05	ENSG00000197746
MT1E	Yes	116	168788.25	ENSG00000169715
ALDOC	Yes	117	168576.95	ENSG00000109107
ATP6V0C	Yes	118	168226.51	ENSG00000185883
MTURN	Yes	119	167997.26	ENSG00000180354
RPL13	Yes	120	167089.05	ENSG00000167526
RPS27A	Yes	121	166896.01	ENSG00000143947
RPS6	Yes	122	166076.21	ENSG00000137154
RPL38	Yes	123	165923.03	ENSG00000172809
SLC6A4	Yes	124	164878.43	ENSG00000108576
RPS28	Yes	125	164563.11	ENSG00000233927
NDRG4	Yes	126	164560.04	ENSG00000103034
GAP43	Yes	127	164139.32	ENSG00000172020
CALM1	Yes	128	163923.43	ENSG00000198668
GJA1	Yes	129	163603.5	ENSG00000152661
CKB	Yes	130	163132.38	ENSG00000166165
RPL30	Yes	131	162898.26	ENSG00000156482
RPL13A	Yes	132	162199.03	ENSG00000142541
RPS18	Yes	133	161755.08	ENSG00000231500
CARTPT	Yes	134	161411.89	ENSG00000164326
SLC1A2	Yes	135	161219.72	ENSG00000110436
ATP1A2	Yes	136	161055.62	ENSG00000018625
DBNDD2	Yes	137	160615.08	ENSG00000244274
PEG3	Yes	138	160208.85	ENSG00000198300
BEX1	Yes	139	160172.72	ENSG00000133169
RPS8	Yes	140	160131.76	ENSG00000142937
AGT	Yes	141	159129.25	ENSG00000135744
LGALS1	Yes	142	158794.48	ENSG00000100097
RPL26	Yes	143	158699.93	ENSG00000161970
STMN1	Yes	144	158557.95	ENSG00000117632
ATP5F1E	Yes	145	158490.58	ENSG00000124172
YWHAH	Yes	146	158374.88	ENSG00000128245
UBC	Yes	147	157471.53	ENSG00000150991
CALM3	Yes	148	157403.99	ENSG00000160014
SLC22A17	Yes	149	157259.16	ENSG00000092096
MEG3	Yes	150	157141.59	ENSG00000214548
RPL39	Yes	151	155967.61	ENSG00000198918
ITM2B	Yes	152	154245.11	ENSG00000136156
SNCG	Yes	153	154148.36	ENSG00000173267
THY1	Yes	154	154046.23	ENSG00000154096
BASP1	Yes	155	154020.26	ENSG00000176788
PLEKHB1	Yes	156	153630.65	ENSG00000021300
RPL9	Yes	157	153570.93	ENSG00000163682
UQCRB	Yes	158	153412.41	ENSG00000156467
RPS25	Yes	159	153339.18	ENSG00000118181
MDH1	Yes	160	153110.23	ENSG00000014641
RPS3A	Yes	161	152625.4	ENSG00000145425
MIF	Yes	162	152575.14	ENSG00000240972
RPL17	Yes	163	152522.84	ENSG00000265681
PEBP1	Yes	164	152500.9	ENSG00000089220
RPS15	Yes	165	152457.71	ENSG00000115268
ITM2C	Yes	166	152155.78	ENSG00000135916
RPS21	Yes	167	151942.34	ENSG00000171858
RPL10	Yes	168	151808.44	ENSG00000147403
SERINC1	Yes	169	151756.97	ENSG00000111897
RPL31	Yes	170	151616.57	ENSG00000071082
LINC00632	Yes	171	151451.14	ENSG00000203930
PEA15	Yes	172	151411.53	ENSG00000162734
TUBB	Yes	173	151324.77	ENSG00000196230
LDHB	Yes	174	151082.12	ENSG00000111716
RPL28	Yes	175	151074.8	ENSG00000108107
YWHAZ	Yes	176	150741.55	ENSG00000164924
DPYSL2	Yes	177	149988.93	ENSG00000092964
COX7C	Yes	178	149963.77	ENSG00000127184
QDPR	Yes	179	149907.6	ENSG00000151552
MARCKSL1	Yes	180	149725.01	ENSG00000175130
RPL23A	Yes	181	149494.46	ENSG00000198242
RPL36	Yes	182	148586.71	ENSG00000130255
COX6C	Yes	183	148499.9	ENSG00000164919
SELENOW	Yes	184	148453.02	ENSG00000178980
RPS14	Yes	185	148423.49	ENSG00000164587
COX6A1	Yes	186	148108.16	ENSG00000111775
PAQR6	Yes	187	148059.68	ENSG00000160781
DKK3	Yes	188	147916.41	ENSG00000050165
PKM	Yes	189	147449.32	ENSG00000067225
BSCL2	Yes	190	147430.83	ENSG00000168000
BEX3	Yes	191	147056.15	ENSG00000166681
KLC1	Yes	192	146966.73	ENSG00000126214
ENO2	Yes	193	146860.11	ENSG00000111674
COX4I1	Yes	194	146528.42	ENSG00000131143
RPLP2	Yes	195	146440.09	ENSG00000177600
PCSK1N	Yes	196	146295.66	ENSG00000102109
YWHAB	Yes	197	145811.23	ENSG00000166913
SNHG14	Yes	198	145737.52	ENSG00000224078
MAP1A	Yes	199	145358.82	ENSG00000166963
CD81	Yes	200	144934.73	ENSG00000110651
AHCYL1	Yes	201	144906.92	ENSG00000168710
ATP5F1B	Yes	202	144580.83	ENSG00000110955
SOX2-OT	Yes	203	144234.95	ENSG00000242808
RPL11	Yes	204	144165.54	ENSG00000142676
NTRK2	Yes	205	144133.77	ENSG00000148053
CD74	Yes	206	143669.62	ENSG00000019582
RPS26	Yes	207	143569.44	ENSG00000197728
NSF	Yes	208	143453.21	ENSG00000073969
RPS13	Yes	209	143181.75	ENSG00000110700
DYNLL1	Yes	210	143150.12	ENSG00000088986
PGAM1	Yes	211	142811.6	ENSG00000171314
RPL19	Yes	212	142509.91	ENSG00000108298
MAG	Yes	213	142340.06	ENSG00000105695
VAT1	Yes	214	142318.56	ENSG00000108828
ATP1B2	Yes	215	141764.08	ENSG00000129244
ATP1A3	Yes	216	141219.02	ENSG00000105409
RHBDD2	Yes	217	141213.14	ENSG00000005486
RPS11	Yes	218	140616.92	ENSG00000142534
MORF4L1	Yes	219	140559.5	ENSG00000185787
RPL35	Yes	220	140302.91	ENSG00000136942
LDHA	Yes	221	140248.22	ENSG00000134333
RPL3	Yes	222	140130.81	ENSG00000100316
SLC1A3	Yes	223	140041.38	ENSG00000079215
VGF	Yes	224	139765.65	ENSG00000128564
MAP2	Yes	225	138992.96	ENSG00000078018
IDS	Yes	226	138779.86	ENSG00000010404
RPL15	Yes	227	138729.83	ENSG00000174748
RPL24	Yes	228	138216.5	ENSG00000114391
RPS19	Yes	229	138202.84	ENSG00000105372
CALB2	Yes	230	138003.06	ENSG00000172137
IFI27	Yes	231	137917.93	ENSG00000165949
SEC62	Yes	232	137623.96	ENSG00000008952
TPI1	Yes	233	136983.61	ENSG00000111669
ERMN	Yes	234	136224.49	ENSG00000136541
PEG10	Yes	235	136204.31	ENSG00000242265
NORAD	Yes	236	136123.64	ENSG00000260032
RPL35A	Yes	237	136051.5	ENSG00000182899
RPL6	Yes	238	135915.14	ENSG00000089009
PREPL	Yes	239	135914.96	ENSG00000138078
ENO1	Yes	240	135714.22	ENSG00000074800
EIF1	Yes	241	135515.42	ENSG00000173812
PGRMC1	Yes	242	135485.87	ENSG00000101856
ATP5ME	Yes	243	135464	ENSG00000169020
MTCH1	Yes	244	135240.99	ENSG00000137409
RPL7	Yes	245	134803.43	ENSG00000147604
EEF1A2	Yes	246	134787.29	ENSG00000101210
CFL1	Yes	247	134741.47	ENSG00000172757
YWHAE	Yes	248	134555.17	ENSG00000108953
COX5B	Yes	249	134355.66	ENSG00000135940
HIPK2	Yes	250	134349.37	ENSG00000064393
PRNP	Yes	251	133870.04	ENSG00000171867
PLD3	Yes	252	133800.81	ENSG00000105223
SCD5	Yes	253	133654.35	ENSG00000145284
FAU	Yes	254	133632.79	ENSG00000149806
VAMP2	Yes	255	133380.43	ENSG00000220205
TUBB4B	Yes	256	133188.79	ENSG00000188229
SKP1	Yes	257	132998.44	ENSG00000113558
SNRPN	Yes	258	132940.94	ENSG00000128739
APP	Yes	259	132806.61	ENSG00000142192
TUBB4A	Yes	260	132646	ENSG00000104833
SYT4	Yes	261	132170.05	ENSG00000132872
RPS4X	Yes	262	131883.73	ENSG00000198034
CTSD	Yes	263	131762.58	ENSG00000117984
PRDX2	Yes	264	131745.11	ENSG00000167815
RPS16	Yes	265	131654.67	ENSG00000105193
RPL36A	Yes	266	131517.06	ENSG00000241343
DST	Yes	267	131363.86	ENSG00000151914
KIF21A	Yes	268	131234.53	ENSG00000139116
DHCR24	Yes	269	131224.08	ENSG00000116133
PENK	Yes	270	131215.29	ENSG00000181195
RPL4	Yes	271	131113.44	ENSG00000174444
NDFIP1	Yes	272	131107.25	ENSG00000131507
TSC22D4	Yes	273	131092.44	ENSG00000166925
PRDX1	Yes	274	130966	ENSG00000117450
RPS9	Yes	275	130891.48	ENSG00000170889
MT1X	Yes	276	130837.8	ENSG00000187193
TMBIM6	Yes	277	130729.32	ENSG00000139644
GPRC5B	Yes	278	130668.88	ENSG00000167191
ANK2	Yes	279	130561.41	ENSG00000145362
PPP1R14A	Yes	280	130035.49	ENSG00000167641
PRDX5	Yes	281	130024.75	ENSG00000126432
HINT1	Yes	282	129835.36	ENSG00000169567
RPL22	Yes	283	129790.93	ENSG00000116251
ACOT7	Yes	284	129388.2	ENSG00000097021
VSNL1	Yes	285	129351.84	ENSG00000163032
DYNLL2	Yes	286	129237.84	ENSG00000264364
NUCKS1	Yes	287	129230.34	ENSG00000069275
OAZ1	Yes	288	129060.17	ENSG00000104904
RPL29	Yes	289	129005.79	ENSG00000162244
CYB561	Yes	290	128979.31	ENSG00000008283
SRP14	Yes	291	128942.5	ENSG00000140319
ARL6IP1	Yes	292	128910	ENSG00000170540
RPL7A	Yes	293	128759.37	ENSG00000148303
ATP5F1A	Yes	294	128729.29	ENSG00000152234
RPL18A	Yes	295	128701.61	ENSG00000105640
EIF4A2	Yes	296	128582.02	ENSG00000156976
HTRA1	Yes	297	128451.27	ENSG00000166033
ATP6V1B2	Yes	298	128153.64	ENSG00000147416
TUBB2B	Yes	299	128037.23	ENSG00000137285
DSTN	Yes	300	128009.79	ENSG00000125868
TOMM7	Yes	301	128006.29	ENSG00000196683
RPL27A	Yes	302	128002.09	ENSG00000166441
STXBP1	Yes	303	127906.96	ENSG00000136854
NEAT1	Yes	304	127901.97	ENSG00000245532
ATP5MD	Yes	305	127898.77	ENSG00000173915
RPL12	Yes	306	127607.39	ENSG00000197958
UBA52	Yes	307	127426.27	ENSG00000221983
NACA	Yes	308	127277.2	ENSG00000196531
TTYH1	Yes	309	127110.53	ENSG00000167614
PGK1	Yes	310	126997.59	ENSG00000102144
GPX4	Yes	311	126968.57	ENSG00000167468
RPL18	Yes	312	126964.26	ENSG00000063177
CSRP1	Yes	313	126760.4	ENSG00000159176
RPL27	Yes	314	126568.89	ENSG00000131469
ATP6V0B	Yes	315	126482.41	ENSG00000117410
CANX	Yes	316	126396.42	ENSG00000127022
FEZ1	Yes	317	126102.66	ENSG00000149557
MARCKS	Yes	318	126048.27	ENSG00000277443
CHCHD2	Yes	319	125986.71	ENSG00000106153
HLA-B	Yes	320	125977.58	ENSG00000234745
ARHGAP36	Yes	321	125939.95	ENSG00000147256
B4GAT1	Yes	322	125732.18	ENSG00000174684
RPL8	Yes	323	125526.87	ENSG00000161016
MYL6	Yes	324	125244.54	ENSG00000092841
EDIL3	Yes	325	125200.85	ENSG00000164176
RPS15A	Yes	326	125173.65	ENSG00000134419
RPS2	Yes	327	124883.22	ENSG00000140988
CLTC	Yes	328	124755.63	ENSG00000141367
S100A6	Yes	329	124685.86	ENSG00000197956
FAIM2	Yes	330	124661.25	ENSG00000135472
RPS20	Yes	331	124444.36	ENSG00000008988
HMGB1	Yes	332	124316.67	ENSG00000189403
SERF2	Yes	333	124252.08	ENSG00000140264
GHITM	Yes	334	124240.47	ENSG00000165678
RPS7	Yes	335	123952.15	ENSG00000171863
RPL14	Yes	336	123559.42	ENSG00000188846
RPL23	Yes	337	123227.31	ENSG00000125691
GPX3	Yes	338	122937.3	ENSG00000211445
KIF1A	Yes	339	122888.03	ENSG00000130294
TSPAN3	Yes	340	122876.69	ENSG00000140391
NAPB	Yes	341	122845.71	ENSG00000125814
FXYD6	Yes	342	122831.23	ENSG00000137726
TERF2IP	Yes	343	122728.32	ENSG00000166848
SEPTIN7	Yes	344	122429.19	ENSG00000122545
RNASEK	Yes	345	121877.96	ENSG00000219200
RPL5	Yes	346	121843.24	ENSG00000122406
MAP4	Yes	347	121652.09	ENSG00000047849
NAP1L1	Yes	348	121618.44	ENSG00000187109
SERPINI1	Yes	349	121608.22	ENSG00000163536
UQCRQ	Yes	350	121529.32	ENSG00000164405
INPP5F	Yes	351	121512.51	ENSG00000198825
RPS3	Yes	352	121442.49	ENSG00000149273
GSN	Yes	353	121396.37	ENSG00000148180
SYT11	Yes	354	121321.73	ENSG00000132718
SPOCK2	Yes	355	120742.48	ENSG00000107742
AP2M1	Yes	356	120282.44	ENSG00000161203
CELF4	Yes	357	120226.53	ENSG00000101489
NDUFA13	Yes	358	119833.83	ENSG00000186010
CAMK2N1	Yes	359	119770.51	ENSG00000162545
FAM107A	Yes	360	119651.34	ENSG00000168309
PCDH9	Yes	361	119622.24	ENSG00000184226
PPP2R1A	Yes	362	119479.44	ENSG00000105568
RPSA	Yes	363	119417.41	ENSG00000168028
RAC1	Yes	364	119370.38	ENSG00000136238
TSPYL1	Yes	365	119281.57	ENSG00000189241
PABPC1	Yes	366	119279.43	ENSG00000070756
GPI	Yes	367	119199.65	ENSG00000105220
MLLT11	Yes	368	119119.45	ENSG00000213190
METRN	Yes	369	118962.11	ENSG00000103260
GTF2I	Yes	370	118949.76	ENSG00000263001
DNAJC6	Yes	371	118846.94	ENSG00000116675
ENHO	Yes	372	118766.49	ENSG00000168913
SCOC	Yes	373	118737.12	ENSG00000153130
DBI	Yes	374	118571.46	ENSG00000155368
SPTBN1	Yes	375	118548.4	ENSG00000115306
TMA7	Yes	376	118479.52	ENSG00000232112
PRKAR1A	Yes	377	118384.38	ENSG00000108946
C4orf48	Yes	378	118296.97	ENSG00000243449
UQCR11	Yes	379	118235.64	ENSG00000127540
ATP5MC3	Yes	380	118219.09	ENSG00000154518
YWHAQ	Yes	381	118095.83	ENSG00000134308
RTL8C	Yes	382	118040.83	ENSG00000134590
PFDN5	Yes	383	117986.35	ENSG00000123349
DNM1	Yes	384	117971.01	ENSG00000106976
DNER	Yes	385	117969.86	ENSG00000187957
WBP2	Yes	386	117969.74	ENSG00000132471
DYNC1H1	Yes	387	117937.68	ENSG00000197102
RPS17	Yes	388	117474.63	ENSG00000182774
ATP5IF1	Yes	389	117234.91	ENSG00000130770
RAB6B	Yes	390	117125.55	ENSG00000154917
EIF4G2	Yes	391	117078.1	ENSG00000110321
SNHG6	Yes	392	117050.73	ENSG00000245910
EEF2	Yes	393	116966.11	ENSG00000167658
MTRNR2L10	No	394	116773.9	ENSG00000256045
STMN3	Yes	395	116660.9	ENSG00000197457
GDI1	Yes	396	116501.12	ENSG00000203879
ELAVL3	Yes	397	116481.92	ENSG00000196361
RAB3C	Yes	398	116333.58	ENSG00000152932
A2M	No	399	116282.49	ENSG00000175899
DLK1	Yes	400	116165.8	ENSG00000185559
AQP1	Yes	401	115979.82	ENSG00000240583
TLE5	Yes	402	115971.55	ENSG00000104964
RPS10	Yes	403	115845.86	ENSG00000124614
ATP5MPL	Yes	404	115768.23	ENSG00000156411
MORF4L2	Yes	405	115744.09	ENSG00000123562
SLC25A3	Yes	406	115706.91	ENSG00000075415
UQCRH	Yes	407	115687.53	ENSG00000173660
HSP90B1	Yes	408	115560.95	ENSG00000166598
NDUFS5	Yes	409	115551.12	ENSG00000168653
TMEM59L	Yes	410	115415.86	ENSG00000105696
ABAT	Yes	411	115287.64	ENSG00000183044
MRFAP1	Yes	412	115207.38	ENSG00000179010
TSPAN7	Yes	413	115112.65	ENSG00000156298
NCAM1	Yes	414	115020.53	ENSG00000149294
RHOB	No	415	115005.07	ENSG00000143878
RPL10A	Yes	416	114813.32	ENSG00000198755
CLDN11	Yes	417	114735.06	ENSG00000013297
NSG1	Yes	418	114733.26	ENSG00000168824
NSG2	Yes	419	114582.93	ENSG00000170091
TP53INP2	No	420	114493.75	ENSG00000078804
PJA2	Yes	421	114409.14	ENSG00000198961
IGFBP7	No	422	114346.96	ENSG00000163453
ELOB	Yes	423	114131.5	ENSG00000103363
COX8A	Yes	424	113996.78	ENSG00000176340
PRKAR1B	Yes	425	113789.81	ENSG00000188191
BAALC	Yes	426	113757.67	ENSG00000164929
CCDC88A	Yes	427	113649.91	ENSG00000115355
H3F3B	Yes	428	113240.01	ENSG00000132475
PPA1	Yes	429	113217.49	ENSG00000180817
RPS5	Yes	430	113070.09	ENSG00000083845
VIM	No	431	113022.81	ENSG00000026025
GABARAP	Yes	432	112985.92	ENSG00000170296
INA	Yes	433	112985.56	ENSG00000148798
SYNGR3	Yes	434	112925.24	ENSG00000127561
SEPTIN4	Yes	435	112912.15	ENSG00000108387
COX7A2	Yes	436	112878	ENSG00000112695
SYP	Yes	437	112447.62	ENSG00000102003
TIMP2	Yes	438	112238.17	ENSG00000035862
EIF5B	No	439	112236.87	ENSG00000158417
CLIP3	Yes	440	112218.34	ENSG00000105270
CD63	Yes	441	112005.36	ENSG00000135404
ARPP19	Yes	442	111896.65	ENSG00000128989
TMEM130	Yes	443	111844.73	ENSG00000166448
GNAO1	Yes	444	111782.97	ENSG00000087258
MAP1LC3A	Yes	445	111620.54	ENSG00000101460
SV2A	Yes	446	111603.75	ENSG00000159164
NDUFB2	No	447	111319.87	ENSG00000090266
SPTAN1	Yes	448	111145.3	ENSG00000197694
ATP6V1E1	Yes	449	111139.66	ENSG00000131100
IFITM3	No	450	111131.66	ENSG00000142089
ATP6V0E2	Yes	451	111085.37	ENSG00000171130
PTGES3	Yes	452	111020.07	ENSG00000110958
SEZ6L2	Yes	453	110862.65	ENSG00000174938
GABARAPL2	Yes	454	110831.44	ENSG00000034713
VAT1L	Yes	455	110618.63	ENSG00000171724
PTPRN	Yes	456	110610.41	ENSG00000054356
DYNC1I2	Yes	457	110437.87	ENSG00000077380
MAP1LC3B	Yes	458	110195.93	ENSG00000140941
REEP5	Yes	459	110147.05	ENSG00000129625
MOAP1	Yes	460	110095.86	ENSG00000165943
RNASE1	No	461	110088.42	ENSG00000129538
VPS35	Yes	462	110025.45	ENSG00000069329
CD59	Yes	463	110003.51	ENSG00000085063
GNG3	Yes	464	109826.38	ENSG00000162188
ATP6V0D1	Yes	465	109325.47	ENSG00000159720
DCLK1	Yes	466	109247.58	ENSG00000133083
NGRN	Yes	467	109224.24	ENSG00000182768
CAPS	No	468	109218.58	ENSG00000105519
PRKACB	Yes	469	109216.31	ENSG00000142875
MAGED1	Yes	470	109120.08	ENSG00000179222
BEX4	Yes	471	109056.85	ENSG00000102409
EEF1B2	No	472	109034.95	ENSG00000114942
KIF5B	Yes	473	109006.1	ENSG00000170759
UBL5	Yes	474	108992.72	ENSG00000198258
JUND	Yes	475	108847.17	ENSG00000130522
METTL7A	Yes	476	108835.55	ENSG00000185432
H3F3A	Yes	477	108719.95	ENSG00000163041
CCNI	No	478	108654.18	ENSG00000118816
KIF5C	No	479	108485.99	ENSG00000168280
NAP1L5	Yes	480	108468.44	ENSG00000177432
SNX10	Yes	481	108453.53	ENSG00000086300
GABRA1	Yes	482	108283.62	ENSG00000022355
BSG	Yes	483	108229.49	ENSG00000172270
ATP5PF	No	484	108222.08	ENSG00000154723
NDUFA3	Yes	485	108220.67	ENSG00000170906
EID1	Yes	486	108074.59	ENSG00000255302
COX6B1	Yes	487	108064.84	ENSG00000126267
HSPB1	Yes	488	108051.33	ENSG00000106211
PFKP	Yes	489	108012.45	ENSG00000067057
WNK1	No	490	107984.52	ENSG00000060237
TUBA4A	Yes	491	107953.13	ENSG00000127824
TBCA	Yes	492	107915.27	ENSG00000171530
APBB1	Yes	493	107909.8	ENSG00000166313
LY6H	Yes	494	107908.13	ENSG00000176956
RNF187	Yes	495	107887.23	ENSG00000168159
MGST3	Yes	496	107831.25	ENSG00000143198
MAPT	Yes	497	107802.45	ENSG00000186868
COPS9	Yes	498	107783.98	ENSG00000172428
APLP2	Yes	499	107744.28	ENSG00000084234
GSTP1	Yes	500	107724.15	ENSG00000084207
PINK1	Yes	501	107613.95	ENSG00000158828
GLUD1	Yes	502	107604.9	ENSG00000148672
CAPNS1	Yes	503	107574.59	ENSG00000126247
HNRNPK	Yes	504	107537.26	ENSG00000165119
PNMA2	Yes	505	107432.25	ENSG00000240694
ANXA6	Yes	506	107356.31	ENSG00000197043
TSC22D1	Yes	507	107332.8	ENSG00000102804
CLDN5	No	508	107285.51	ENSG00000184113
KIF3A	Yes	509	107236.94	ENSG00000131437
NDUFA1	Yes	510	107110.2	ENSG00000125356
PAM	Yes	511	107021.28	ENSG00000145730
DDX24	Yes	512	106983.94	ENSG00000089737
SLC44A1	Yes	513	106851.57	ENSG00000070214
SIRT2	Yes	514	106780.95	ENSG00000068903
EEF1G	Yes	515	106758.61	ENSG00000254772
HNRNPA1	No	516	106720.73	ENSG00000135486
PCBP2	Yes	517	106556.25	ENSG00000197111
ATP5MG	Yes	518	106418.77	ENSG00000167283
ANKRD12	No	519	106399.1	ENSG00000101745
NDUFB9	Yes	520	106067.28	ENSG00000147684
CSDE1	Yes	521	106036.45	ENSG00000009307
NDUFB1	Yes	522	105923.21	ENSG00000183648
G3BP2	Yes	523	105770.04	ENSG00000138757
UQCR10	Yes	524	105728.04	ENSG00000184076
MAOA	Yes	525	105678.75	ENSG00000189221
DDX5	Yes	526	105643.04	ENSG00000108654
HNRNPA2B1	Yes	527	105628.18	ENSG00000122566
COX7B	Yes	528	105590.43	ENSG00000131174
CTSB	Yes	529	105537.01	ENSG00000164733
PLEKHB2	Yes	530	105377.86	ENSG00000115762
CLSTN1	Yes	531	105361.68	ENSG00000171603
SEPTIN8	No	532	105299.13	ENSG00000164402
RHOA	Yes	533	105173.82	ENSG00000067560
SUB1	Yes	534	105126.35	ENSG00000113387
NDUFB8	Yes	535	105126.25	ENSG00000166136
DTNA	Yes	536	105124.67	ENSG00000134769
PTP4A2	No	537	105087.74	ENSG00000184007
ENPP2	No	538	105016.6	ENSG00000136960
MAP4K4	No	539	104938.25	ENSG00000071054
USP11	Yes	540	104937.85	ENSG00000102226
