gene_id	gene_name	nsigsamps	meanrank	V13M06-331_A1s2	V13M06-331_A1s1	V13M06-331_B1s2	V13M06-331_B1s1	V13M06-331_C1s2	V13M06-331_C1s1	V13M06-331_D1s2	V13M06-333_A1s1	V13M06-333_A1s2	V13M06-333_B1s2	V13M06-333_B1s1	V13M06-333_C1s1	V13M06-333_C1s2	V13M06-333_D1s1	V13M06-333_D1s2	V13M06-332_A1s1	V13M06-332_A1s2	V13M06-332_B1s1	V13M06-332_B1s2	V13M06-332_D1s2	V13M06-332_D1s1	V13M06-404_A1s1	V13M06-404_A1s2	V13M06-404_B1s2	V13M06-404_B1s1	V13M06-404_C1s1	V13M06-404_C1s2	V13M06-404_D1s1	V13M06-404_D1s2	V13M06-403_D1s2	V13M06-403_D1s1	V13M06-402_A1s1	V13M06-402_A1s2	V13M06-402_B1s2	V13M06-402_B1s1	V13M06-402_C1s2	V13M06-402_C1s1	V13M06-402_D1s2	V13M06-402_D1s1	V13M06-401_A1s2	V13M06-401_A1s1	V13M06-401_C1s1	V13M06-401_D1s1	V13M06-401_D1s2	V13M06-386_A1s2	V13M06-386_A1s1	V13M06-386_C1s1	V13M06-386_D1s1	V13M06-386_D1s2	V13B23-366_A1s1	V13B23-284_A1s1	V13B23-284_A1s2	V13B23-284_C1s2	V13B23-284_C1s1	V13B23-284_D1s2	V13B23-284_D1s1	V13F27-339_A1s1	V13F27-339_A1s2	V13F27-339_B1s2	V13F27-339_B1s1	V13F27-339_C1s1	V13B23-286_A1s1	V13B23-286_A1s2	V13M06-331_D1s1	V13M06-401_B1s2	V13M06-401_B1s1	V13B23-284_B1s1	V13F27-339_C1s2
ENSG00000025156	HSF2	1	37						37																																																														
ENSG00000025293	PHF20	1	12				12																																																																
ENSG00000025770	NCAPH2	1	223																			223																																																	
ENSG00000025772	TOMM34	2	146					137														155																																																	
ENSG00000025800	KPNA6	1	121																																																																			121	
ENSG00000026025	VIM	2	77																		143																																																11		
ENSG00000026652	AGPAT4	1	83																																													83																							
ENSG00000027697	IFNGR1	1	178																																																																178				
ENSG00000028203	VEZT	2	103																					143																									63																						
ENSG00000028528	SNX1	2	213.5																			312																																																	115
ENSG00000028839	TBPL1	1	30																																																																	30			
ENSG00000029363	BCLAF1	1	91																																																									91											
ENSG00000029364	SLC39A9	3	90.3333333333333																																												147						95								29										
ENSG00000029534	ANK1	1	149					149																																																															
ENSG00000029639	TFB1M	1	185															185																																																					
ENSG00000029725	RABEP1	1	162																					162																																															
ENSG00000030582	GRN	4	156.75	157																				179																																														140	151
ENSG00000031003	FAM13B	1	11									11																																																											
ENSG00000031698	SARS	2	146		164													128																																																					
ENSG00000031823	RANBP3	1	219																																																																	219			
ENSG00000032219	ARID4A	1	6																																6																																				
ENSG00000032389	EIPR1	3	111						151																																																				101								81		
ENSG00000033011	ALG1	1	65										65																																																										
ENSG00000033627	ATP6V0A1	2	150.5														44							257																																															
ENSG00000034510	TMSB10	14	112.357142857143										45				99					146						34									29	252									99	78		110	22									57							139	337		126	
ENSG00000034677	RNF19A	1	195																																																														195						
ENSG00000034713	GABARAPL2	4	128																																13			258									226																	15							
ENSG00000035141	FAM136A	2	262.5																							127																																										398			
ENSG00000035862	TIMP2	3	89.6666666666667												16																						58	195																																	
ENSG00000035928	RFC1	1	43																																			43																																	
ENSG00000036257	CUL3	1	28																																									28																											
ENSG00000036530	CYP46A1	1	140																									140																																											
ENSG00000037241	RPL26L1	1	20																							20																																													
ENSG00000037637	FBXO42	1	4																																																																			4	
ENSG00000038219	BOD1L1	3	82		39																																													99																				108	
ENSG00000038274	MAT2B	1	24																																																											24									
ENSG00000039123	MTREX	1	224																				224																																																
ENSG00000039523	RIPOR1	1	208										208																																																										
ENSG00000040199	PHLPP2	1	402																																																																	402			
ENSG00000040341	STAU2	1	90																																																																		90		
ENSG00000040633	PHF23	2	134	253																																																																			15
ENSG00000040731	CDH10	1	62																																												62																								
ENSG00000040933	INPP4A	2	215																			202																									228																								
ENSG00000041357	PSMA4	2	226					216													236																																																		
ENSG00000041982	TNC	1	94												94																																																								
ENSG00000042753	AP2S1	1	76															76																																																					
ENSG00000043093	DCUN1D1	1	56																	56																																																			
ENSG00000043143	JADE2	1	232										232																																																										
ENSG00000044090	CUL7	1	311																																																														311						
ENSG00000044115	CTNNA1	1	473																																																																			473	
ENSG00000044574	HSPA5	5	114																				70															91		61														30														318			
ENSG00000046653	GPM6B	7	72.4285714285714								12												221				50	37																					23												71				93						
ENSG00000046889	PREX2	1	50									50																																																											
ENSG00000047056	WDR37	1	23																																																																				23
ENSG00000047315	POLR2B	1	10									10																																																											
ENSG00000047579	DTNBP1	1	118																																																													118							
ENSG00000047849	MAP4	4	109.5									40																										178			29												191																		
ENSG00000047932	GOPC	1	102																																																		102																		
ENSG00000048140	TSPAN17	1	219																																			219																																	
ENSG00000048342	CC2D2A	1	50												50																																																								
ENSG00000048392	RRM2B	2	166.5							153																																											180																		
ENSG00000048540	LMO3	1	47																																								47																												
ENSG00000048544	MRPS10	1	97																																																		97																		
ENSG00000048707	VPS13D	1	55																																																																	55			
ENSG00000049618	ARID1B	1	313																					313																																															
ENSG00000049656	CLPTM1L	3	193.666666666667																																																														166	102		313			
ENSG00000049769	PPP1R3F	2	314.5																																																																	350		279	
ENSG00000049860	HEXB	1	53								53																																																												
ENSG00000050130	JKAMP	1	30																																																30																				
ENSG00000050165	DKK3	1	80																																																																			80	
ENSG00000050393	MCUR1	1	104																																													104																							
ENSG00000050426	LETMD1	1	36												36																																																								
ENSG00000050438	SLC4A8	2	101					187												15																																																			
ENSG00000050748	MAPK9	1	180																																																															180					
ENSG00000051108	HERPUD1	1	104																																																		104																		
ENSG00000051382	PIK3CB	2	331.5																																																																204			459	
ENSG00000051620	HEBP2	1	146										146																																																										
ENSG00000052802	MSMO1	7	221					125					147					179																																										52					314			357		373	
ENSG00000053254	FOXN3	1	12																																															12																					
ENSG00000053371	AKR7A2	1	2																																																									2											
ENSG00000053438	NNAT	8	100.25							44								103				293						98										17					9																								75	163			
ENSG00000053770	AP5M1	1	58													58																																																							
ENSG00000054116	TRAPPC3	1	27																		27																																																		
ENSG00000054148	PHPT1	2	259						152																																																													366	
ENSG00000054267	ARID4B	2	140												157																																																					123			
ENSG00000054282	SDCCAG8	1	191	191																																																																			
ENSG00000054356	PTPRN	1	118																							118																																													
ENSG00000054523	KIF1B	1	42																					42																																															
ENSG00000054611	TBC1D22A	1	163																									163																																											
ENSG00000054803	CBLN4	1	3																																																		3																		
ENSG00000054983	GALC	1	109																																															109																					
ENSG00000055070	SZRD1	1	55																																																															55					
ENSG00000055118	KCNH2	1	25																						25																																														
ENSG00000055130	CUL1	1	94	94																																																																			
ENSG00000055163	CYFIP2	1	341																																																																			341	
ENSG00000055208	TAB2	1	185																					185																																															
ENSG00000055211	GINM1	2	52																								27																																					77							
ENSG00000055917	PUM2	1	126																																															126																					
ENSG00000056050	HPF1	2	261													33																																																						489	
ENSG00000056998	GYG2	1	6																																																																	6			
ENSG00000057019	DCBLD2	4	140.25															197						146																													192												26						
ENSG00000057608	GDI2	2	228																			326																																																130	
ENSG00000057757	PITHD1	1	120																																													120																							
ENSG00000057935	MTA3	1	30															30																																																					
ENSG00000058091	CDK14	2	137.5																					141																							134																								
ENSG00000058262	SEC61A1	4	67.25		128																												8							19																									114						
ENSG00000058272	PPP1R12A	1	115																																													115																							
ENSG00000058404	CAMK2B	4	80.5							147						43																																													84	48									
ENSG00000058668	ATP2B4	2	167.5																																								48																						287						
ENSG00000058799	YIPF1	1	239																																			239																																	
ENSG00000059122	FLYWCH1	1	33																																																																		33		
ENSG00000059758	CDK17	3	44.3333333333333																							8		119					6																																						
ENSG00000059804	SLC2A3	2	148																				237																				59																												
ENSG00000059915	PSD	1	16				16																																																																
ENSG00000060237	WNK1	1	109																																																													109							
ENSG00000060656	PTPRU	1	173																		173																																																		
ENSG00000060709	RIMBP2	2	258																					275																																										241					
ENSG00000060982	BCAT1	1	99										99																																																										
ENSG00000061918	GUCY1B1	3	55																																							55				69										41															
ENSG00000062194	GPBP1	1	20														20																																																						
ENSG00000062485	CS	1	100		100																																																																		
ENSG00000062716	VMP1	1	31																																											31																									
ENSG00000062725	APPBP2	1	54								54																																																												
ENSG00000063015	SEZ6	10	84.6	25						91								23			137		41	61																									35	92															294	47					
ENSG00000063176	SPHK2	1	47																																		47																																		
ENSG00000063177	RPL18	2	78.5												62																																																							95	
ENSG00000063244	U2AF2	2	51.5												69																																							34																	
ENSG00000063322	MED29	1	23																																																											23									
ENSG00000063587	ZNF275	1	277																																																																	277			
ENSG00000063978	RNF4	2	91.5											20										163																																															
ENSG00000064115	TM7SF3	2	168.5	301																																																											36								
ENSG00000064313	TAF2	1	38																																																																	38			
ENSG00000064419	TNPO3	1	252																				252																																																
ENSG00000064601	CTSA	1	60																																											60																									
ENSG00000064607	SUGP2	1	210																																																																	210			
ENSG00000064687	ABCA7	1	185																																																														185						
ENSG00000064787	BCAS1	6	88.5																		43																	211															126			29					40								82		
ENSG00000064999	ANKS1A	1	60																									60																																											
ENSG00000065154	OAT	3	228	341											89									254																																															
ENSG00000065268	WDR18	1	86																						86																																														
ENSG00000065427	KARS	1	197						197																																																														
ENSG00000065518	NDUFB4	4	106.5												32							221										2						171																																	
ENSG00000065559	MAP2K4	1	299																					299																																															
ENSG00000065609	SNAP91	2	23.5																											36														11																											
ENSG00000065613	SLK	3	148.333333333333		182								117																																																						146				
ENSG00000065883	CDK13	1	267																		267																																																		
ENSG00000065923	SLC9A7	1	104																																											104																									
ENSG00000065978	YBX1	2	99.5																		39																																															160			
ENSG00000065989	PDE4A	1	41										41																																																										
ENSG00000066032	CTNNA2	1	224																																												224																								
ENSG00000066044	ELAVL1	1	76																																																										76										
ENSG00000066135	KDM4A	1	95																																																														95						
ENSG00000066322	ELOVL1	1	115							115																																																													
ENSG00000066933	MYO9A	3	152.333333333333														117																																																	235	105				
ENSG00000067057	PFKP	6	78										211											135								20									2												43													57					
ENSG00000067064	IDI1	3	97							30															87																																											174			
ENSG00000067167	TRAM1	1	85														85																																																						
ENSG00000067191	CACNB1	1	176		176																																																																		
ENSG00000067208	EVI5	2	124																																																												41					207			
ENSG00000067225	PKM	3	170.333333333333																							105																																									124			282	
ENSG00000067334	DNTTIP2	1	8																																																												8								
ENSG00000067369	TP53BP1	3	76.3333333333333							152																														36										41																					
ENSG00000067445	TRO	1	107																																																																	107			
ENSG00000067560	RHOA	1	188										188																																																										
ENSG00000067715	SYT1	17	85.6470588235294	72	24			7	78				184				102	233				29	33	123				29															42										26							53					81		156			184	
ENSG00000067842	ATP2B3	1	138																																																																138				
ENSG00000067992	PDK3	1	490																																																																			490	
ENSG00000068078	FGFR3	3	92		102																				85																																				89										
ENSG00000068120	COASY	1	55																																																													55							
ENSG00000068305	MEF2A	1	61															61																																																					
ENSG00000068323	TFE3	1	39																																																										39										
ENSG00000068366	ACSL4	3	202									38																																																					188			380			
ENSG00000068400	GRIPAP1	4	98																																				1											69																		245		77	
ENSG00000068615	REEP1	5	135.8															68			241	322																			24																								24						
ENSG00000068697	LAPTM4A	3	159								103		203																																																										171
ENSG00000068796	KIF2A	2	187							63																																																										311			
ENSG00000068885	IFT80	1	135										135																																																										
ENSG00000068912	ERLEC1	4	139															218									143																				183								12																
ENSG00000068971	PPP2R5B	4	104																				125																														175	44															72		
ENSG00000069275	NUCKS1	1	182																																																																				182
ENSG00000069329	VPS35	3	180.333333333333																			10																												73																				458	
ENSG00000069345	DNAJA2	1	141																																																														141						
ENSG00000069424	KCNAB2	1	37																																																				37																
ENSG00000069482	GAL	7	32.4285714285714			21					36												67				24																																				21	8							50
ENSG00000069509	FUNDC1	1	208																		208																																																		
ENSG00000069535	MAOB	6	51							22	21																									59	28													128			48																		
ENSG00000069849	ATP1B3	2	92																															5				179																																	
ENSG00000069956	MAPK6	2	193															159																																															227						
ENSG00000069966	GNB5	2	75.5							53																																											98																		
ENSG00000070010	UFD1	1	443																																																																			443	
ENSG00000070061	ELP1	1	39																																													39																							
ENSG00000070081	NUCB2	1	387																																																																			387	
ENSG00000070087	PFN2	1	30																								30																																												
ENSG00000070214	SLC44A1	2	175																							64																																												286	
ENSG00000070367	EXOC5	2	82.5																																	70										95																									
ENSG00000070371	CLTCL1	1	120																																																																120				
ENSG00000070413	DGCR2	1	265																																																															265					
ENSG00000070610	GBA2	3	61.3333333333333																								38																	22																											124
ENSG00000070756	PABPC1	2	57										34																																																						80				
ENSG00000070761	CFAP20	2	181.5																					307																																					56										
ENSG00000070831	CDC42	2	27.5											34																					21																																				
ENSG00000070961	ATP2B1	1	27																																																										27										
ENSG00000071054	MAP4K4	2	45.5															85																																												6									
ENSG00000071082	RPL31	7	84.7142857142857																								95												81			43										66			25											32				251	
ENSG00000071127	WDR1	1	95																																															95																					
ENSG00000071242	RPS6KA2	5	95.4						169															111			140															8	49																												
ENSG00000071462	BUD23	5	69.4																	21		138																																31														124		33	
ENSG00000071553	ATP6AP1	2	262	283																																																																		241	
ENSG00000071575	TRIB2	1	65														65																																																						
ENSG00000071794	HLTF	2	248																																																													125				371			
ENSG00000071859	FAM50A	1	493																																																																			493	
ENSG00000071889	FAM3A	1	260																					260																																															
ENSG00000071994	PDCD2	1	211					211																																																															
ENSG00000072041	SLC6A15	2	98.5										116																																															81											
ENSG00000072042	RDH11	3	96													9							276																	3																															
ENSG00000072062	PRKACA	2	107																																34			180																																	
ENSG00000072071	ADGRL1	2	89.5																	61																														118																					
ENSG00000072134	EPN2	3	155.666666666667	276										66	125																																																								
ENSG00000072201	LNX1	1	61																																																													61							
ENSG00000072274	TFRC	4	71.75																									91							53																													26			117				
ENSG00000072310	SREBF1	2	119.5												114																																																								125
ENSG00000072364	AFF4	1	147																		147																																																		
ENSG00000072401	UBE2D1	2	116.5																																																											54			179						
ENSG00000072415	MPP5	2	175.5																			286																																																65	
ENSG00000072506	HSD17B10	2	85.5							139																																																											32		
ENSG00000072778	ACADVL	1	107																																																																				107
ENSG00000072832	CRMP1	3	183.333333333333						17																																						205																							328	
ENSG00000072958	AP1M1	2	115																			216																		14																															
ENSG00000073008	PVR	2	126																																																									31					221						
ENSG00000073464	CLCN4	1	83																																												83																								
ENSG00000073578	SDHA	1	46											46																																																									
ENSG00000073803	MAP3K13	1	131														131																																																						
ENSG00000073910	FRY	2	164.5																			141	188																																																
ENSG00000073969	NSF	3	135						131														27	247																																															
ENSG00000074054	CLASP1	2	176.5										179																																																									174	
ENSG00000074071	MRPS34	3	91.6666666666667															45			165																			65																															
ENSG00000074317	SNCB	2	124	243															5																																																				
ENSG00000074319	TSG101	2	40	6																																																74																			
ENSG00000074582	BCS1L	1	148														148																																																						
ENSG00000074590	NUAK1	1	5							5																																																													
ENSG00000074603	DPP8	2	261																																																															41				481	
ENSG00000074657	ZNF532	1	238																					238																																															
ENSG00000074695	LMAN1	2	134.5											157	112																																																								
ENSG00000074696	HACD3	1	273	273																																																																			
ENSG00000074800	ENO1	4	160.5	67										63																								115																																397	
ENSG00000075142	SRI	1	16																																																						16														
ENSG00000075292	ZNF638	1	116											116																																																									
ENSG00000075303	SLC25A40	1	107																																													107																							
ENSG00000075336	TIMM21	1	63													63																																																							
ENSG00000075340	ADD2	1	134																			134																																																	
ENSG00000075413	MARK3	1	372																																																																	372			
ENSG00000075415	SLC25A3	2	182.5																																		62																												303						
ENSG00000075420	FNDC3B	1	223	223																																																																			
ENSG00000075461	CACNG4	1	119																																																		119																		
ENSG00000075624	ACTB	2	147.5	250																																											45																								
ENSG00000075711	DLG1	2	173																																								52																											294	
ENSG00000075785	RAB7A	3	61.3333333333333																				4																																					112						68					
ENSG00000075856	SART3	1	305																																																														305						
ENSG00000075914	EXOSC7	3	96.3333333333333							89					123						77																																																		
ENSG00000075945	KIFAP3	4	61		114			27														63																																											40						
ENSG00000076043	REXO2	1	180																									180																																											
ENSG00000076242	MLH1	2	38																																																													60				16			
ENSG00000076248	UNG	1	139																					139																																															
ENSG00000076356	PLXNA2	2	29.5								6																									53																																			
ENSG00000076554	TPD52	2	59.5								50																69																																												
ENSG00000076685	NT5C2	1	13																																																										13										
ENSG00000076826	CAMSAP3	2	43.5	1																	86																																																		
ENSG00000076864	RAP1GAP	2	41.5					58																																				25																											
ENSG00000077147	TM9SF3	1	138																								138																																												
ENSG00000077152	UBE2T	1	198																																																															198					
ENSG00000077232	DNAJC10	2	107																																			177																																37	
ENSG00000077264	PAK3	1	57																																											57																									
ENSG00000077279	DCX	1	47																						47																																														
ENSG00000077380	DYNC1I2	2	115.5																																			181				50																													
ENSG00000077549	CAPZB	1	14																																																	14																			
ENSG00000077721	UBE2A	3	48.3333333333333		28																					56																																													61
ENSG00000077782	FGFR1	4	133																										20	4																			61																					447	
ENSG00000078018	MAP2	3	164	310														123																													59																								
ENSG00000078043	PIAS2	1	188																		188																																																		
ENSG00000078070	MCCC1	1	94																																																																	94			
ENSG00000078124	ACER3	1	191																		191																																																		
ENSG00000078140	UBE2K	2	68	98																																													38																						
ENSG00000078295	ADCY2	1	218																				218																																																
ENSG00000078328	RBFOX1	1	43												43																																																								
ENSG00000078369	GNB1	1	30																30																																																				
ENSG00000078549	ADCYAP1R1	2	39.5				42										37																																																						
ENSG00000078596	ITM2A	1	85																																																																				85
ENSG00000078618	NRDC	2	393																					311																																														475	
ENSG00000078668	VDAC3	5	121.2																			59																146																						46								68		287	
ENSG00000078674	PCM1	2	218																																																																		91	345	
ENSG00000078725	BRINP1	1	29																																												29																								
ENSG00000078804	TP53INP2	3	95																																																					15	6											264			
ENSG00000078808	SDF4	1	295																			295																																																	
ENSG00000078902	TOLLIP	2	224.5	320																																											129																								
ENSG00000079215	SLC1A3	7	127.571428571429												131	79						123					78											46																											128					308	
ENSG00000079246	XRCC5	1	115																																																																			115	
ENSG00000079308	TNS1	1	109																								109																																												
ENSG00000079459	FDFT1	5	138.6	136									169																								36										74																		278						
ENSG00000079462	PAFAH1B3	2	149.5																																												231																						68		
ENSG00000079616	KIF22	1	11																																								11																												
ENSG00000079841	RIMS1	1	57	57																																																																			
ENSG00000079950	STX7	2	144.5																			21		268																																															
ENSG00000080189	SLC35C2	1	67																																																																		67		
ENSG00000080371	RAB21	2	47												90																											4																													
ENSG00000080493	SLC4A4	1	297	297																																																																			
ENSG00000080644	CHRNA3	4	89.5					26	137													94			101																																														
ENSG00000080802	CNOT4	1	302																					302																																															
ENSG00000080824	HSP90AA1	26	46.7307692307692		29	24				50							16	205		30	15	9	19	96		15	10	54						2	28		38	23			5	37											44												14	19	27	170		113	123
ENSG00000080845	DLGAP4	1	189																																																		189																		
ENSG00000081087	OSTM1	1	96																				96																																																
ENSG00000081154	PCNP	2	57																																																								14									100			
ENSG00000081803	CADPS2	1	202						202																																																														
ENSG00000081870	HSPB11	2	230												237									223																																															
