gene_name	logFC	P.Value	adj.P.Val	t	B	gene_id	chr
PTMA	-0.404076901416317	8.43265532687058e-24	1.09251536417552e-21	-11.6538642817191	43.2987664663048	ENSG00000187514	chr2
MT1M	-0.932983652939061	9.99072927228206e-24	1.26995364353517e-21	-11.7446728607174	43.2877894801601	ENSG00000205364	chr16
GLUL	-0.793062378747072	1.07650881431136e-23	1.34304442259548e-21	-12.1762384644341	43.1862847223893	ENSG00000135821	chr1
CD9	-0.92435720292097	1.40708825313425e-23	1.72355519297554e-21	-11.5776341016785	42.8069888123713	ENSG00000010278	chr12
BCAN	-0.837364667780705	1.83636644535683e-23	2.20921441828018e-21	-11.5379631737673	42.6499129429653	ENSG00000132692	chr1
TF	-1.0374350525892	2.01151940037365e-23	2.36985975228038e-21	-12.1056835115703	42.6472141090973	ENSG00000091513	chr3
FTH1	-0.479886038427084	2.04025331204189e-23	2.36985975228038e-21	-12.0391615612532	42.2381908512112	ENSG00000167996	chr11
PMP22	-0.941151098816709	2.36043121768451e-23	2.69529239212552e-21	-11.5005409765194	42.3170974336135	ENSG00000109099	chr17
ATP1A2	-0.893917042338175	3.2653164678385e-23	3.66640617397133e-21	-11.9989444549296	42.1365164028723	ENSG00000018625	chr1
RPS12	-0.526926331250659	4.07458094957246e-23	4.50007407496224e-21	-11.5026481569345	41.7390971965251	ENSG00000112306	chr6
VAT1	0.430415519411701	5.93868796420114e-23	6.45305497013275e-21	11.4438741858783	41.2316584031189	ENSG00000108828	chr17
CRYAB	-0.867062009489951	7.26318150344061e-23	7.76699266486974e-21	-11.7819531133268	41.3598534455005	ENSG00000109846	chr11
HEPACAM	-0.893292673921274	7.99583688652267e-23	8.41686767257863e-21	-11.3184198128652	41.1369334405709	ENSG00000165478	chr11
S100B	-0.532474827889955	9.70905758632355e-23	1.00630647629326e-20	-11.5354886509628	40.8654554900197	ENSG00000160307	chr21
H3F3A	-0.630304904815077	3.35909122955203e-22	3.42881782022607e-20	-11.1035664157921	39.8127805360184	ENSG00000163041	chr1
RPL13A	-0.427735531211775	3.99010288280534e-22	4.01213777932233e-20	-11.0777504176078	39.4614291189528	ENSG00000142541	chr19
PTN	-0.806518217879103	4.75953392792608e-22	4.71543824594677e-20	-11.0512954873139	39.4698299409704	ENSG00000105894	chr7
AIF1L	-0.997857323103896	4.88945462317454e-22	4.77395011540969e-20	-11.0472540633666	39.2445519758994	ENSG00000126878	chr9
MYBPC1	-1.05768907823905	6.44066748757813e-22	6.19868240911626e-20	-11.0058877207081	38.8914170551864	ENSG00000196091	chr12
NFIX	-0.982671009360725	7.16686333380066e-22	6.80044482814297e-20	-10.9898416022866	38.9033334108539	ENSG00000008441	chr19
NKAIN4	-0.913251758658681	7.69313862192324e-22	7.19842706887456e-20	-10.979196335052	38.8705775383781	ENSG00000101198	chr20
RPL11	-0.481630427876837	8.15814911573632e-22	7.52896583461858e-20	-10.9703782239167	38.8463980416178	ENSG00000142676	chr1
RPL27A	-0.419022778117262	1.14116332684593e-21	1.03892126121095e-19	-10.9199251953945	38.5091154545472	ENSG00000166441	chr11
SYNGR3	0.356435965234139	1.1630404966747e-21	1.04472051014633e-19	10.9170691854273	38.3669765027238	ENSG00000127561	chr16
S100A13	-0.705870832252502	1.23012705567141e-21	1.09044289132346e-19	-10.9086339764368	38.5366940324409	ENSG00000189171	chr1
CNDP1	-1.02119110386676	1.27771270293477e-21	1.11791564671059e-19	-10.9029244213751	38.4183593736782	ENSG00000150656	chr18
IGFBP7	-0.916076433186125	1.9656344544846e-21	1.69775375895676e-19	-10.9969158964428	38.1016317376323	ENSG00000163453	chr4
AGT	-0.847423821579798	2.78355719188684e-21	2.3737752913597e-19	-11.1351822662158	37.7654175403559	ENSG00000135744	chr1
PPP1R14A	-0.895623679584619	3.18214576597722e-21	2.67976450317357e-19	-10.7654779403167	37.5669853284566	ENSG00000167641	chr19
APOD	-0.84228101387822	3.46358565426668e-21	2.88076253738205e-19	-11.0567149449275	37.5510077732783	ENSG00000189058	chr3
RPLP2	-0.416514403796722	3.87111311772388e-21	3.16312374534754e-19	-10.7359105699957	37.2240622106786	ENSG00000177600	chr11
OLIG1	-0.86469999469309	3.89697596651099e-21	3.16312374534754e-19	-10.7349057033611	37.3908961612395	ENSG00000184221	chr21
SOX2-OT	-0.944103949057857	5.10255456266166e-21	4.092370248649e-19	-10.7666379264705	37.1408024343361	ENSG00000242808	chr3
TP53INP2	-0.744038500186125	6.82534626124172e-21	5.40968914846888e-19	-10.6502589172621	36.8501638088123	ENSG00000078804	chr20
PLP1	-0.953247953809067	7.11472423102226e-21	5.57347641213918e-19	-11.1325022310042	36.5641781832318	ENSG00000123560	chrX
SCD	-0.605503861933837	1.59952699012635e-20	1.23862222212428e-18	-10.9553679418241	35.8135324052781	ENSG00000099194	chr10
S100A1	-0.961014395333554	1.89319993968164e-20	1.44937363564037e-18	-10.4957940767641	35.8236637073529	ENSG00000160678	chr1
AL627171.2	-1.00132791773738	2.48374847655253e-20	1.8801138748915e-18	-10.9119579658433	35.6020530964037	ENSG00000282885	chr14
PADI2	-0.908687127069141	3.23439812384007e-20	2.42112668447895e-18	-10.4144996779805	35.2722552986412	ENSG00000117115	chr1
ENHO	-0.584875715769611	3.47793129126413e-20	2.57481572629082e-18	-10.4034691950168	35.213200541466	ENSG00000168913	chr9
MYO10	-0.865081153024759	3.69735358862442e-20	2.70750773114812e-18	-10.3941710507928	35.1087485637914	ENSG00000145555	chr5
PPP1R1B	-1.1262074736871	4.04668823727289e-20	2.93145576930188e-18	-10.3804463726504	34.7305734106443	ENSG00000131771	chr17
SLC6A1	-0.791003742997142	4.40129052206006e-20	3.15441428160836e-18	-10.3676728881463	35.0116915151142	ENSG00000157103	chr3
SLC44A1	-0.723188780768923	5.41770473646309e-20	3.84200808521598e-18	-10.3360609780013	34.8115268608429	ENSG00000070214	chr9
ADIRF	-1.00254556122265	5.967870441757e-20	4.18807741313718e-18	-10.3899566230466	34.7086027830524	ENSG00000148671	chr10
PCDH7	-0.904441207356286	6.14027795176237e-20	4.2646445939199e-18	-10.3170014358706	34.6248720211713	ENSG00000169851	chr4
SELENOP	-0.76426048060773	6.38054699698475e-20	4.38630052231492e-18	-10.3111563402347	34.6555731129695	ENSG00000250722	chr5
ZFP36L1	-0.991344953422103	7.86263866318136e-20	5.35056532059119e-18	-10.2793355640273	34.399138281011	ENSG00000185650	chr14
H3F3B	-0.544555814169611	8.16907209530726e-20	5.5035038706085e-18	-10.2735081900746	34.3749792494158	ENSG00000132475	chr17
GPRC5B	-0.514918557553264	8.55229192495135e-20	5.70463274241557e-18	-10.2665197038091	34.2922384899805	ENSG00000167191	chr16
PABPC1	-0.608886569671938	8.90989543998985e-20	5.88489858619722e-18	-10.2602742483805	34.3065212396159	ENSG00000070756	chr8
MGST1	-0.885558238684921	1.03433947663774e-19	6.76538354767808e-18	-10.3018967869769	34.1945103183946	ENSG00000008394	chr12
RPS16	-0.467320595304735	1.52742791323759e-19	9.83393236066024e-18	-10.1780051918957	33.683301450107	ENSG00000105193	chr19
MLC1	-0.801378822393999	1.53267462946315e-19	9.83393236066024e-18	-10.1774812655784	33.7976032730302	ENSG00000100427	chr22
PHGDH	-0.990681128444874	1.59492548378568e-19	1.01368047021359e-17	-10.1713978741485	33.6629989404649	ENSG00000092621	chr1
NTM	-0.689421022499285	1.62183330529461e-19	1.0211486895112e-17	-10.1688412212761	33.7432122367	ENSG00000182667	chr11
MT2A	-0.865238417986246	1.66531666200285e-19	1.03881836591789e-17	-10.5952006131034	33.4763787929031	ENSG00000125148	chr16
RPL13	-0.279517659863897	2.03557428717289e-19	1.25813430942053e-17	-10.1341015980212	33.1679681941506	ENSG00000167526	chr16
MT-ND6	-0.875902748969689	2.63869816986161e-19	1.61608268821434e-17	-10.4858235519254	33.266945330197	ENSG00000198695	chrMT
BAALC	-0.528633753683217	2.79475580205443e-19	1.69624052598565e-17	-10.0855889456944	33.1200732845336	ENSG00000164929	chr8
PGRMC1	0.293778825897075	3.09387992968711e-19	1.841520596006e-17	10.070013351392	32.720030921768	ENSG00000101856	chrX
RPL22	-0.44091534703519	3.1096008421584e-19	1.841520596006e-17	-10.0692367994076	32.9789066798113	ENSG00000116251	chr1
MARCKSL1	-0.646735714550875	3.1377689039876e-19	1.841520596006e-17	-10.0678551357039	33.0754610655843	ENSG00000175130	chr1
ITM2C	-0.492993036346003	3.14345953006813e-19	1.841520596006e-17	-10.1278158579613	32.8952656196636	ENSG00000135916	chr2
NFIB	-1.01949235268857	3.52513750910369e-19	2.03046899985282e-17	-10.0500148936409	32.8678185390297	ENSG00000147862	chr9
RPL32	-0.399659639719266	3.55475975473884e-19	2.03046899985282e-17	-10.0487321091966	32.6724664369648	ENSG00000144713	chr3
EZR	-0.956607338981678	3.55641000419524e-19	2.03046899985282e-17	-10.0486609589344	32.9066838988377	ENSG00000092820	chr6
MTRNR2L10	-0.779761412759489	3.6969136053256e-19	2.09295016462845e-17	-10.17191811049	32.9420325659855	ENSG00000256045	chrX
FGF13	0.457669044145995	3.89180767131963e-19	2.18492569014003e-17	10.1469649687165	32.6206872918525	ENSG00000129682	chrX
OIP5-AS1	-0.787233121908718	4.33798162546866e-19	2.41528778601507e-17	-10.0181946265116	32.7777131470382	ENSG00000247556	chr15
AQP1	-0.806202855621882	6.65454316308921e-19	3.67472600735509e-17	-10.1704881185589	32.3741286697917	ENSG00000240583	chr7
KCNJ10	-0.836130050908544	7.25968175994075e-19	3.97038312557795e-17	-9.93910747631025	32.2185842429021	ENSG00000177807	chr1
ZEB2	-0.988770063056065	7.30781516359901e-19	3.97038312557795e-17	-9.93809138429164	32.2152264930464	ENSG00000169554	chr2
EPAS1	-0.901889585321752	7.57991320151437e-19	4.08527001908819e-17	-9.93246984363619	32.2026033364358	ENSG00000116016	chr2
GATM	-0.84207896678787	7.82682147542345e-19	4.18486478412126e-17	-9.92753996480927	32.1770469276907	ENSG00000171766	chr15
RPS29	-0.520036629222213	9.44204360743382e-19	4.99218639145069e-17	-10.116174969112	31.8075806759158	ENSG00000213741	chr14
HMGB1	-0.348536685587487	9.4849318406663e-19	4.99218639145069e-17	-9.89797413034933	31.8461371967394	ENSG00000189403	chr13
MT-ND4L	-0.678290449362933	9.69211031683656e-19	5.06168582980837e-17	-10.2942414347189	31.530196774245	ENSG00000212907	chrMT
SLC9A3R1	-0.807199749142255	1.21314731434854e-18	6.28690265905087e-17	-9.86007061242555	31.719458326098	ENSG00000109062	chr17
DTNA	-0.560316554101724	1.33231511545776e-18	6.85176101743427e-17	-9.84562831965638	31.6352038011621	ENSG00000134769	chr18
NACC2	-0.735909358333377	1.35765550181841e-18	6.92918569375046e-17	-9.842723536001	31.6496279060878	ENSG00000148411	chr9
PHOX2B	0.568757080767242	1.45580841032027e-18	7.37427162430649e-17	9.8319598873887	31.5336440712897	ENSG00000109132	chr4
GPX3	0.423955431259014	1.47089971583013e-18	7.39511297428922e-17	9.93645187164087	31.2589907831635	ENSG00000211445	chr5
EFHD1	-0.922486545392881	1.53923481853381e-18	7.68135183145352e-17	-9.82336467509209	31.4525437468686	ENSG00000115468	chr2
LMO4	-0.882875995376583	1.7473974421302e-18	8.65604159384646e-17	-9.80379172880252	31.3554356352508	ENSG00000143013	chr1
MTRNR2L12	-0.80980161492567	2.15997013175108e-18	1.06216925383993e-16	-10.1570304266968	30.2872799634057	ENSG00000269028	chr3
MT1E	-0.858119978972788	2.33945220798774e-18	1.13684941931299e-16	-10.1410568442886	31.0261039887741	ENSG00000169715	chr16
RPL37	-0.591464478136132	2.34558511629072e-18	1.13684941931299e-16	-10.1041465724845	30.9111194289717	ENSG00000145592	chr5
RASSF2	-0.905334174446836	2.48793259927537e-18	1.19722870866558e-16	-9.74921049758613	31.0302266391683	ENSG00000101265	chr20
GABRG1	-0.880422102372197	3.02115262442487e-18	1.44351100927308e-16	-9.71917465280977	30.8154856332376	ENSG00000163285	chr4
ATP1B2	-0.924158355070002	3.17709568334784e-18	1.50733053652918e-16	-10.0724210974998	30.8354167731444	ENSG00000129244	chr17
RPS25	-0.484318979482968	3.27855159146217e-18	1.54458755746019e-16	-9.74828281085968	30.5887267229602	ENSG00000118181	chr11
OPALIN	-1.12798101640496	3.77168391020232e-18	1.76457184048841e-16	-9.68482106990942	30.3142032255453	ENSG00000197430	chr10
METRN	-0.619526184737051	4.175353933013e-18	1.93995582391093e-16	-9.66906643209431	30.5004858031413	ENSG00000103260	chr16
NTSR2	-0.610723492838896	4.24970811487068e-18	1.96097832670437e-16	-9.66633064981231	30.5384083971011	ENSG00000169006	chr2
GJB6	-1.02367435930794	4.49729740534746e-18	2.06110834148475e-16	-9.65755247207223	30.388960941493	ENSG00000121742	chr13
IFITM3	-0.899408183798663	5.0689926872562e-18	2.30741917121926e-16	-9.84329311642097	30.4030993993264	ENSG00000142089	chr11
KCNQ2	-1.16878617204859	7.23639005628246e-18	3.27191676571644e-16	-9.58372212114525	29.7565633304554	ENSG00000075043	chr20
SLC6A11	-0.889301203383978	7.48096431550255e-18	3.35995043956938e-16	-9.57855618154404	29.9798495696985	ENSG00000132164	chr3
FMNL2	-0.832282496814168	9.57184545298933e-18	4.27056442495292e-16	-9.54022446746353	29.7338062749094	ENSG00000157827	chr2
AQP4	-0.904212584765753	1.05758090665113e-17	4.6728388707866e-16	-9.88331003359281	29.5523015336429	ENSG00000171885	chr18
TRIL	-0.868700720837526	1.06420249119583e-17	4.6728388707866e-16	-9.5237262823263	29.6377307179539	ENSG00000255690	chr7
RGS5	-0.955650437201877	1.06815672569562e-17	4.6728388707866e-16	-9.52314878866461	29.5636691608998	ENSG00000143248	chr1
ZFP36L2	-1.00830297204921	1.30576619110507e-17	5.67544956740312e-16	-9.4918572206264	29.3181343630881	ENSG00000152518	chr2
UCHL1	0.208508586081701	1.34885750278529e-17	5.80698263765131e-16	9.60116696122349	28.4594199965816	ENSG00000154277	chr4
MAG	-0.91275429423807	1.35326743967828e-17	5.80698263765131e-16	-9.53860609116995	29.4138141092217	ENSG00000105695	chr19
LHPP	-0.729206504087619	1.5069451423525e-17	6.42549963546128e-16	-9.46951320788907	29.3031526905104	ENSG00000107902	chr10
KCTD12	-0.912482030989031	1.72511110656427e-17	7.30948020435441e-16	-9.44841488993313	29.1250136296503	ENSG00000178695	chr13
RHOB	-0.510502037346098	2.26548066591246e-17	9.53908952890764e-16	-9.40584737578005	28.8257314178634	ENSG00000143878	chr2
SLC4A4	-0.862614585799186	2.8511995063877e-17	1.19307646425676e-15	-9.36987698612965	28.6703537171415	ENSG00000080493	chr4
EPB41L2	-0.987505300764633	2.90293650745618e-17	1.20722736115631e-15	-9.36706209031502	28.5798307777783	ENSG00000079819	chr6
RPL21	-0.408648098851472	3.30741363502418e-17	1.36699666620601e-15	-9.38065723911197	28.2067745341073	ENSG00000122026	chr13
GASK1B	-1.1167314813061	3.6260795634752e-17	1.48956695238613e-15	-9.33222205651884	28.1895158349935	ENSG00000164125	chr4
CXCL14	-1.00393390986278	3.68624291849757e-17	1.50510415405565e-15	-9.32964282639291	28.2967589215813	ENSG00000145824	chr5
RND2	-0.556879691738841	3.79931558964345e-17	1.54192705586915e-15	-9.3249066655783	28.3774841893865	ENSG00000108830	chr17
C3	-1.0220017301292	4.05277656455599e-17	1.6349434560128e-15	-9.31478035178306	28.2286256299523	ENSG00000125730	chr19
TNR	-0.862687044479867	4.25849054421572e-17	1.70770540454651e-15	-9.30701432947593	28.2758281578812	ENSG00000116147	chr1
HLA-B	-0.634591040712285	4.63352745311236e-17	1.84710499713716e-15	-9.29454149696499	28.1500729845251	ENSG00000234745	chr6
NUPR1	-0.829592263404038	4.69068671405596e-17	1.85889155250559e-15	-9.29184635703914	28.1856377179022	ENSG00000176046	chr16
RPL30	-0.472403156269039	5.36668023201834e-17	2.11434647503553e-15	-9.3411153886556	27.8229608680213	ENSG00000156482	chr8
HSPA2	-0.794213032833512	5.45250608176891e-17	2.13567055074867e-15	-9.26821485961531	28.0273241704256	ENSG00000126803	chr14
SLC14A1	-1.05294844044637	7.97727611732309e-17	3.09216213262276e-15	-9.20837290032201	27.484096433956	ENSG00000141469	chr18
NR2F1	-0.950183664938367	7.98628782954372e-17	3.09216213262276e-15	-9.20819514838078	27.6389093709762	ENSG00000175745	chr5
LITAF	-1.00355778303668	8.95750550044817e-17	3.44838368894396e-15	-9.190120636261	27.4422482133539	ENSG00000189067	chr16
SOX8	-0.922807826503943	9.33856316898997e-17	3.57465341303895e-15	-9.18355646661816	27.4394969210962	ENSG00000005513	chr16
SNHG6	-0.531476283170277	9.73540181192051e-17	3.70550293824342e-15	-9.17699763475828	27.3697759321384	ENSG00000245910	chr8
SOX2	-0.956030195441298	9.96112559677854e-17	3.77011815424141e-15	-9.27397245308425	27.470824047322	ENSG00000181449	chr3
PHLPP1	-0.909266055045927	1.00961493944805e-16	3.79375356982062e-15	-9.17126194336324	27.3534159862952	ENSG00000081913	chr18
SLC18A2	0.465988153947253	1.01361977522297e-16	3.79375356982062e-15	9.48116302536593	26.9736006904846	ENSG00000165646	chr10
RPS18	-0.445413063126962	1.12384130321299e-16	4.18304909378227e-15	-9.20181277740337	27.0669049241898	ENSG00000231500	chr6
DAAM2	-0.807762313411946	1.18290905190403e-16	4.37871334213045e-15	-9.14627638285217	27.2810542321253	ENSG00000146122	chr6
B3GAT1	-0.838964561841596	1.20943510064658e-16	4.45243949347323e-15	-9.14277657723063	27.2210773742961	ENSG00000109956	chr11
HHATL	-0.812047359483201	1.27107986527067e-16	4.65394839800463e-15	-9.13492937626693	27.1764022719841	ENSG00000010282	chr3
TTYH2	-0.797870636634989	1.29959324036086e-16	4.73262684341143e-15	-9.13142682455625	27.1587979885127	ENSG00000141540	chr17
ELAVL4	0.357903717572514	1.67692886029215e-16	6.07390845795067e-15	9.09114665620735	26.6703638459999	ENSG00000162374	chr1
BHLHE41	-0.658395006579828	1.85119902475935e-16	6.66926621914638e-15	-9.0755068490328	26.8519862755754	ENSG00000123095	chr12
GJA1	-0.900967122187956	1.9405008592919e-16	6.95380547289867e-15	-9.3687526271925	26.7918853423672	ENSG00000152661	chr6
CCDC80	-0.934502724046419	2.01092575981227e-16	7.12600139805544e-15	-9.06240774967269	26.6219383249103	ENSG00000091986	chr3
MRVI1	-1.00510598443759	2.01346568802088e-16	7.12600139805544e-15	-9.06220791236561	26.6159015827588	ENSG00000072952	chr11
EPDR1	0.326701349419613	2.02028538968174e-16	7.12600139805544e-15	9.06167258648893	26.4634695611671	ENSG00000086289	chr7
SLC25A18	-0.802374881878201	2.03766969395409e-16	7.14988579592121e-15	-9.06031605344792	26.7374024823453	ENSG00000182902	chr22
RPL36	-0.374012751322342	2.85779273417055e-16	9.97562158036632e-15	-9.00670591782701	26.1082567288494	ENSG00000130255	chr19
RPL37A	-0.451889123238221	2.93426847262431e-16	1.01897766495206e-14	-9.27220806092585	25.984373423578	ENSG00000197756	chr2
PNMA8A	0.293425536615162	3.12498197807824e-16	1.07964120955452e-14	8.99252058562014	26.1040974512358	ENSG00000182013	chr19
MT-ND2	-0.548445219408709	3.73203409386715e-16	1.28279151481546e-14	-9.26811248432189	24.6975029328973	ENSG00000198763	chrMT
WLS	-0.931363879142998	3.87618013804581e-16	1.32557490304643e-14	-8.95829767988551	26.0759577566872	ENSG00000116729	chr1
PDLIM5	-0.827576271718602	4.04132696106512e-16	1.37507170387352e-14	-8.95166388584346	26.0718801272008	ENSG00000163110	chr4
RPS13	-0.419864909633867	4.07838936167444e-16	1.38070900148747e-14	-8.95021216045413	25.8319648740248	ENSG00000110700	chr11
MT-ND5	-0.574846183261903	4.25087883986978e-16	1.43190853721013e-14	-9.2454615693646	25.2000487836175	ENSG00000198786	chrMT
KLC1	0.242574467348243	4.58230538202702e-16	1.53587021685154e-14	8.9316784493973	25.4325480217956	ENSG00000126214	chr14
ACBD7	-0.856932702328601	4.61150903841417e-16	1.53800675206912e-14	-8.93066737520146	25.9244393385954	ENSG00000176244	chr10
KIF3C	0.29200291426498	4.63655608234008e-16	1.53874277471552e-14	8.92980526370228	25.6417607463192	ENSG00000084731	chr2
ETNPPL	-0.906207451403088	4.69273547021187e-16	1.54975288543222e-14	-9.07868043997659	25.9724014147316	ENSG00000164089	chr4
FGFR2	-0.905512064698723	4.86873598288523e-16	1.60003289349745e-14	-8.92202705689773	25.8319230573991	ENSG00000066468	chr10
LIMCH1	-0.500583595718096	5.39885027818996e-16	1.76563370505659e-14	-8.90556672750534	25.7482220187141	ENSG00000064042	chr4
ERMN	-1.02504240264779	5.98331597021401e-16	1.94732365658608e-14	-9.05963004494289	25.7348883825098	ENSG00000136541	chr2
SEZ6	0.429622844267405	6.21528642389419e-16	2.01309541527765e-14	8.88311996851204	25.4629971093795	ENSG00000063015	chr17
NTRK2	-0.396276717046449	6.8693561902477e-16	2.21429917003343e-14	-8.86715845867474	25.3037691277928	ENSG00000148053	chr9
