gene_id	gene_name	V13M06-331_A1s2	V13M06-331_A1s1	V13M06-331_B1s1	V13M06-331_B1s2	V13M06-331_C1s2	V13M06-331_C1s1	V13M06-331_D1s1	V13M06-331_D1s2	V13M06-333_A1s2	V13M06-333_A1s1	V13M06-333_B1s1	V13M06-333_B1s2	V13M06-333_C1s2	V13M06-333_C1s1	V13M06-333_D1s1	V13M06-333_D1s2	V13M06-332_A1s2	V13M06-332_A1s1	V13M06-332_B1s1	V13M06-332_B1s2	V13M06-332_C1s1	V13M06-332_C1s2	V13M06-332_D1s2	V13M06-332_D1s1	V13M06-404_A1s1	V13M06-404_A1s2	V13M06-404_B1s2	V13M06-404_B1s1	V13M06-404_C1s1	V13M06-404_C1s2	V13M06-404_D1s1	V13M06-404_D1s2	V13M06-403_A1s1	V13M06-403_A1s2	V13M06-403_B1s2	V13M06-403_B1s1	V13M06-403_C1s1	V13M06-403_C1s2	V13M06-403_D1s1	V13M06-403_D1s2	V13M06-402_A1s1	V13M06-402_A1s2	V13M06-402_B1s1	V13M06-402_B1s2	V13M06-402_C1s2	V13M06-402_C1s1	V13M06-402_D1s1	V13M06-402_D1s2	V13M06-401_A1s1	V13M06-401_A1s2	V13M06-401_B1s1	V13M06-401_B1s2	V13M06-401_C1s1	V13M06-401_C1s2	V13M06-401_D1s1	V13M06-401_D1s2	V13M06-386_A1s2	V13M06-386_A1s1	V13M06-386_B1s2	V13M06-386_B1s1	V13M06-386_C1s1	V13M06-386_C1s2	V13M06-386_D1s2	V13M06-386_D1s1	V13B23-366_A1s1	V13B23-284_A1s2	V13B23-284_A1s1	V13B23-284_B1s2	V13B23-284_B1s1	V13B23-284_C1s2	V13B23-284_C1s1	V13B23-284_D1s1	V13B23-284_D1s2	V13F27-339_A1s1	V13F27-339_A1s2	V13F27-339_B1s1	V13F27-339_B1s2	V13F27-339_C1s2	V13F27-339_C1s1	V13F27-339_D1s2	V13F27-339_D1s1	V13B23-286_A1s1	V13B23-286_A1s2	V13B23-286_B1s2	V13B23-286_B1s1	meanrank	samples_signif	Gene for PCA, Harmony, Clustering
ENSG00000004779	NDUFAB1	629				727	477			1099	1015	439	851	759	520	393	1374	523		894	1211			1158	1065	1798	1566	1078	1151			1481	777									674		754	439			570					487					511				927	625					1025	1092	484					910		1230	469	882	749			1637				883.333333333333	39	No
ENSG00000004838	ZMYND10								62		46			64																																																																									57.3333333333333	3	No
ENSG00000004897	CDC27						747						1202	1905	2840	1480				1584					1241				1475															1449									779			1084																							1362	1545			1365	1251			1420.6	15	No
ENSG00000005007	UPF1											1146																																																																											1146	1	No
ENSG00000005020	SKAP2										2027			1678	2371						1517																																																																		1898.25	4	No
ENSG00000005022	SLC25A5	627				700				1586			1084	2486	1027			561	298										1918			1456										1855		1034									1434															967																			1216.64285714286	14	No
ENSG00000005075	POLR2J						1537				2259															2097	1454	1640	1690													1689	1371																																												1717.125	8	No
ENSG00000005175	RPAP3																			1884																																																																			1884	1	No
ENSG00000005194	CIAPIN1													2221																																																																									2221	1	No
ENSG00000005238	FAM214B																1562			1788	1057																																																																		1469	3	No
ENSG00000005249	PRKAR2B													1901							1584				774	2070																											672			778																								1116							1270.71428571429	7	No
ENSG00000005448	WDR54													1735	663																																																																								1199	2	No
ENSG00000005483	KMT2E											654	1873	2234				1071						1213								1342	738																																															1697							1352.75	8	No
ENSG00000005486	RHBDD2	178	436	66	125	71	63	156	154	209	279	244	457	290	253	276	87	166	207	212	210	55	157	300	333	90	142	238	614	53	88	332	816			103	116			115	286	185	196	184	183	278	558	262		96	228	152	507	524	606	37	58	64	156	83		149	207	251	28	63	37	334	446	255	99	83	253	70	189	67	124	272	319	204	18	65	200	93	219	101	208.607594936709	79	Yes
ENSG00000005513	SOX8											235	2307		1340																															445	342									624	870											1099											1444								967.333333333333	9	No
ENSG00000005810	MYCBP2		278				1335				2599			1142	1276	871		1173								1848			1624													1294														562																			673				1411	1522				869	1073		1221.875	16	No
ENSG00000005812	FBXL3																			1765																																																																			1765	1	No
ENSG00000005882	PDK2													2085			1007																																																																						1546	2	No
ENSG00000005884	ITGA3																																																																																		1676				1676	1	No
ENSG00000005893	LAMP2							1211	1132	584	774	375	834		1358			1095							782	1183		1516	1149			930			172							1677				210	205	497								734											151	720									376	1011	1036	263		400					783.653846153846	26	No
ENSG00000006007	GDE1						1726						1723													1924																		1293																																			1292	1322			1051				1475.85714285714	7	No
ENSG00000006015	REX1BD						1366				1364	1336	2214		2073	1341	797			1997	1794					1820	1713	1206	2135																796											1083												839	781											1434							1449.38888888889	18	No
ENSG00000006016	CRLF1								96		65			57											33																																																														62.75	4	No
ENSG00000006116	CACNG3									1187	1910			1442	1462		1611																																																																						1522.4	5	No
ENSG00000006118	TMEM132A		502				914			1538	1558		1900	1599	811					1275	1004					1197	1477		1071													1471	1281	1361									1320																						1040				1420					1164			1258.05263157895	19	No
ENSG00000006125	AP2B1				603	957				1135			1087	2243			1156	770		753	739					829	1769	1059	1003	459	175	1203								616		912	939	1563																			1090			723			537						1062			1202	1046				1135	1272	898	389	977.466666666667	30	No
ENSG00000006128	TAC1	597				221	162	676	508	119	107	537	812	34	60	33	66	114	22			29			253	358	195	1086	1022	343	488			107	136							155	122	1289		103	188	245	54	54	140		442	175	143	31	100							162	89				31	302	54	248	97						233	138			1232	471			287.66	50	Yes
ENSG00000006210	CX3CL1									1613		1641									1684																					1698																																													1659	4	No
ENSG00000006432	MAP3K9						2204																																																																																2204	1	No
ENSG00000006451	RALA																1132																																				1603																																		1367.5	2	No
ENSG00000006611	USH1C																																																																			154																			154	1	No
ENSG00000006625	GGCT																1321																																																																						1321	1	No
ENSG00000006715	VPS41							1009		1273		936								1571								1272																		584							1466																1048											1711			1526				1239.6	10	No
ENSG00000006740	ARHGAP44																	1307																																																																					1307	1	No
ENSG00000006831	ADIPOR2											457																																																								1123																			790	2	No
ENSG00000007047	MARK4														2802																																																																								2802	1	No
ENSG00000007080	CCDC124						2166	1562									1484																																																																						1737.33333333333	3	No
ENSG00000007168	PAFAH1B1	396		431	496	818	417	989		978	950		728	758	673	929	807			337	434			671	1321	412	692	542	316	808		1350								90		1275	305	933	487			454	152		894	448	461	214	507	719	336		416			873	227			429		1086	736	539		567			1303	265	955	712	1091	608			517	478			647.735849056604	53	Yes
ENSG00000007202	KIAA0100									1534	1744																																																																					1555							1611	3	No
ENSG00000007237	GAS7											969			2339																	1533															406									942	551											417									663		876	935			1394				1002.27272727273	11	No
ENSG00000007402	CACNA2D2					814		818	974					1752						1948						1127																									791		777																														736	862			1059.9	10	No
ENSG00000007516	BAIAP3	343	313	518	241	159	393	197	256	505	188	279	1703	417	709	544	139	371	129	1465	1287			559	447	227	385	442	599	136	376									501		424	406	557	266	431	867	409		152	68	298	707	686		153	112		519			361	808	665		227		471	406			313			562	318	791	665	759	684			1245	1047	86		488.183333333333	60	Yes
ENSG00000007520	TSR3																	878																																																																					878	1	No
ENSG00000007541	PIGQ							1483									1882																																																																						1682.5	2	No
ENSG00000008018	PSMB1	669			387		661			1321	2654	756	1987	1276	2063	446	761			655	536			948	839	447	1931	987	665				1153								282	1739	1284	868	342				376				647									760	738			329		1120				559			503		641		452	665			1406	292			898.552631578948	38	No
ENSG00000008056	SYN1	638		406	373	505	474	384	217	439	509	643	1349	501	554	792	1018	546		1665	487	199		578	483	1108	709	808	2176	244	309											505	336	1110		514	746		319	532	233	589	1201	810		224	367		669			991	1015	627		263		393	409						669		742	826		1101			241	718	692	537	645.327272727273	55	Yes
ENSG00000008118	CAMK1G										2370			1746	1024	1551	203																																																																						1378.8	5	No
ENSG00000008196	TFAP2B					120		536	643					1140		184	598			1126																																					128																										250	256			498.1	10	No
ENSG00000008277	ADAM22						997	1296						2395			1298				1744					2182																															636																										679				1403.375	8	No
ENSG00000008282	SYPL1					1062				1054	1285	228	550		774													1412				771	974													97	172									472	473											282									1082	457	683	379							678.166666666667	18	No
ENSG00000008283	CYB561	22	13	23	45	12	29	14	65	401	494	17	13	140	256	11	8			14	9			25	41	20	19	7	30			74	163							3	16	191	148	11	16	317	608		74		221	9	7			18	9	17	15			22	20	293	63	9	119	68	13	15	17	61			4	16	3	8	11	10		29	15	24	173	58	73.375	64	Yes
ENSG00000008294	SPAG9							1113				1080	2287		2511		1392									1272		1695	1518			469	1224														152				927																	1278							563		870	1089		1837					577		1214.11111111111	18	No
ENSG00000008394	MGST1						1332	1139	851	166	245	1216	607	473	896	1486		603	186	1784	1222			735	546	1678	1021	593	384	66		450	356									624	301									500	1401	506	245							304	599	598					824						1069	477		1246	1603	1336			852	1120	777		790.658536585366	41	No
ENSG00000008441	NFIX			138			1933	345	515	1046	941	971	623	448	922					1538	928				325	690	606	499	799			244	435									600	357							511	196																	1440							804	240	920	310	1190	1753	265	259	215	298	243		672.771428571429	35	No
ENSG00000008710	PKD1														2790											2126																1501																																										751	398		1513.2	5	No
ENSG00000008735	MAPK8IP2		386			903	361		1157	901	865	632	915	618	1088	1411	691	443		1608	1494				896	1111	1173	1395	929	279	255	1557								316		408	740	1429				530					1386	670	574	302	694	596				1072				419			673		298	294			456	620	1128		496	1713			386	953	920	452	804.020833333333	48	Yes
ENSG00000008952	SEC62	496	303	156	223	1181		570		576	1649	252	207	778	344	99	312	239	123	908	1661		80	573	478	418	558	220	604	289	172	416	861	287	167	64	200		30	66		312	1027	374		444	401					663	1558	291	163				409	174	82	404	850	648		394									638	135	324	335	100	227	154	87	83	230	163	78	417.587301587302	63	Yes
ENSG00000008988	RPS20			728	561				694	413	830	623	612	837	503	1151	628	735		462	603			252	941	213	336	240	213	910		208	303		269		97			138			1154	472	602	520	250	361	93			357	365	408	587				781	288	133	284	557	220	250	709	199	203	726	106		253			892		255	251	394	1391		333	1477	1074	394	445	504.733333333333	60	Yes
ENSG00000009307	CSDE1		363	397		1185	1853	992		1475		1731	998	1699	1744		947			837	892			994		940	738	337	735	793		576	390							296		675	728	1061			530						1267	654									600	574		539		1515					271		501	626	542	1006	676	823			561	412	369	512	822.186046511628	43	Yes
ENSG00000009335	UBE3C												1935																																																																										1935	1	No
ENSG00000009694	TENM1						833					914		1710	2766		1600	1296																																																																					1519.83333333333	6	No
ENSG00000009954	BAZ1B									1539		1648	2288		1584										1190																	1532																																											1038		1545.57142857143	7	No
ENSG00000010017	RANBP9						2114	1223			1507			2120		1326		1076		1150																																																												1745							1532.625	8	No
ENSG00000010244	ZNF207														2508					1664						1627	1579		1760																						720																																	1318			1596.57142857143	7	No
ENSG00000010256	UQCRC1	427	652	765		565	379	869	1198	697	1037		1464	585		872	1055	207		432	856			1002		1552	1170	792	732	364	608			298							552	709	910	1185			495						1177	713		465			498			485	920	715		736				563		216					630	742					1305	647	969		754.772727272727	44	Yes
ENSG00000010270	STARD3NL					834	986		689		1215		740		1303	664	928			621	1596					1074	1892		1803													1922		652									471			889			472										1052										870				1727	376			1035.27272727273	22	No
ENSG00000010278	CD9				356			699	636			1447	1461		1785			587						911	1028				1756			803	756											900												1130												239									867	265	1560	537							932.789473684211	19	No
ENSG00000010282	HHATL									840		199	715		936											1934	1490					824											991			91	302						1524															314									876	253	795	536					296		759.764705882353	17	No
ENSG00000010322	NISCH		494				1345	1524	836	1329	1569		853	1131	1596	525	1790	506		1635	1163					767	932	1176	946	692												1225	973	1085	713	399	886						1633			800	645					901															367		1149				1683	1229			1045.36363636364	33	No
ENSG00000010404	IDS	228	74	117	109	450	108	460	931	356	185	380	342	308	445	613	557	514	171	424	580	236		452	699	316	268	616	368	121	176	1383	943	195	282					401	303	38	75	180	140	505	520	509	41	132	84	493	312	21	82	148	183	386	221	25		150	363	367	229	152	154	266	642	218	357	85	80		267	207	312	432	331	343	121	410	941	686	113	150	327.974358974359	78	Yes
ENSG00000010626	LRRC23								249		340				1067										234			408																																																											459.6	5	No
ENSG00000010810	FYN									1089				1608	2807					1723	1461							816														800	702																																								1418	1526			1395	10	No
ENSG00000011021	CLCN6						1734	566	520		1917			1645	1080		1270			920	1049					1830	1568	931	974	728												1608	682	1096													899	634	702				470												1038								761				1070.52173913043	23	No
ENSG00000011201	ANOS1					284		694		705	2033		601	922	1082	77	1070			1575					625	1885			1114																								689				299																										1332				936.6875	16	No
ENSG00000011243	AKAP8L										2142						1778																																																																						1960	2	No
ENSG00000011295	TTC19					1190	2251				1461		2237												1362																																																														1700.2	5	No
ENSG00000011347	SYT7																			1798																																																															1085				1441.5	2	No
ENSG00000011426	ANLN					767			1096	292	171	46	396	2056	596	1583		541						1165								269	718		223											64	69				179	490	279			309											361	235	465	84			214				157	324	560	501							490	29	No
ENSG00000011454	RABGAP1													2593						1468						1969			1919																																														1217												1833.2	5	No
ENSG00000011465	DCN					1076			473		2210		1982	2339	1207			745											1977			61	74																		141											791		72																			690	1078			994.4	15	No
ENSG00000011485	PPP5C					1215	1377	1235	1083									1146		1669									2019													1573											1550																														1879				1474.6	10	No
ENSG00000011600	TYROBP													1375	1413										599							655	359																																																						880.2	5	No
ENSG00000011677	GABRA3														2117																																										682																														1399.5	2	No
ENSG00000012061	ERCC1													1807																																																																									1807	1	No
ENSG00000012171	SEMA3B									1277	668	482	1652		1312			335																												406	321																					455									215		753	1239							759.583333333333	12	No
ENSG00000012660	ELOVL5				594	966	1961	1361			1537	582	438	1368	1588	1615				671	708			646	641	1568	1267	650	682				1060											576	639		667						1745	868			699	444				471	229	693				428	751								1179		1442	834			707	448			908.972222222222	36	No
ENSG00000013016	EHD3					498	1469				1714			974	2104											820	1530															1242		1046								610	1686			770																											1935				1261.38461538462	13	No
ENSG00000013275	PSMC4						1626				2044		1057	2170		1309				1189	628				1209	2154	1690		1489															507																																											1422.66666666667	12	No
ENSG00000013288	MAN2B2										2597																																																																												2597	1	No
ENSG00000013293	SLC7A14					566	769	874	949		1153		1434	439	954		1049			831	983			416	579	1555	1228	1218	1959														947	696								746	927			374		657	827			854	426	700					538	431					761		1033		1041				516	368			847	34	No
ENSG00000013297	CLDN11			503	231	279	1062		351	91	141	44	189	1629	238			848	257					1160	1099							632	387	26	141					638			291		689	51	50	216			901	189	642			296	384		677			875	489				202	244	283			595		76			99	85	199	143	159	414					413.522727272727	44	Yes
ENSG00000013306	SLC25A39																			2108																																																																			2108	1	No
ENSG00000013392	RWDD2A													1894																																																																									1894	1	No
ENSG00000013441	CLK1							1393	1222					2594		1281																																			748																																1299				1422.83333333333	6	No
ENSG00000013561	RNF14							840						2252	2390	1294				873	1633																																1221																																		1500.42857142857	7	No
ENSG00000014216	CAPN1						2187			1552	2011		1537				1636			2081	1458					2057																																																									479	795			1579.3	10	No
ENSG00000014641	MDH1	20	70	478	238	119	105	364	500	509	388	1645	192	240	223	296	212	168	241	245	158			201	352	574	271	228	240	671		774	734							230	203	333	227	171	255	283	790	230	140	284	127	276	341	78	132	290	203	209	187			164	230	734	232	298	244	919	186	271	182	77		221	170	446	568	784	203	162			332	240	445		322.185714285714	70	Yes
ENSG00000014824	SLC30A9						1483				1916		1756			1571	1252											1603	1469																																								758											1244							1450.22222222222	9	No
ENSG00000015171	ZMYND11									1289			2295														1685					1370																																																							1659.75	4	No
ENSG00000015592	STMN4	609			198				1257	678	981	80	247	1643	730											2192	1780		1388	535		441	1032								308	1749		1228		147	154									551	394		856			946		319				161							520		373	266	1138	871	451	324	1265				759.176470588235	34	No
ENSG00000015676	NUDCD3				595	691							1885		2855		1741			1720	815					1236			1445													1843	1262										1306																											1061			648	911			1334.26666666667	15	No
ENSG00000016864	GLT8D1													2103																																																																									2103	1	No
ENSG00000017260	ATP2C1					826	2252				1420			1838	2431	1334				933	1138			859	551	1412			1316	690												1775		1201									1308									852	830					1159	438						1216		888	1180		1396			1037	594			1187.46153846154	26	No
ENSG00000017797	RALBP1											1116		2138	2555			1373								1883		1617	2187			1402										1391																																			808							1170	996		1553	12	No
ENSG00000018189	RUFY3		174	592	400	461	387	442	699	1210	1279	881	522	2596	784	1353	1175		454	545	1290			1284	443	673	942	1085	611		494	1385	937	275						532	419	1395	1038	1149	711				290				934	873	195	1061	925		632			561	503			365	227	1112			331	609			379	482	846	908		451			310	194	697	571	738.122807017544	57	Yes
ENSG00000018236	CNTN1			416		592	575	1044	1209	682	337	1159	501	351	647	917	742	648	272	647	624				603	440	459	360	688	188	200	1147	358							611	410	307	431	529	576	591	877			253	211	449	584	583	498	469	199	528	668			506	678			217		755	490	354					649	435	810	736	994	825			1187		634		583.620689655172	58	Yes
ENSG00000018408	WWTR1										243			485																		1278																																																							668.666666666667	3	No
ENSG00000018625	ATP1A2	681		178	435	416	511	1021	469	106	88	160	221	100	87	1022	384	227	86	356	449		55	292	606	42	256	313	218	47	180	521	468	194	177		162		33	677	141	98	277	497	434	150	725	566		231	174	360	165	60	77	867	607			183	169	326	512	191	163	122	231	1308	171	134	185	187	74	62	250	78	424	349	542	520	335	265	209	326	286	231	314.102564102564	78	Yes
ENSG00000019144	PHLDB1														1272																																																																1482								1377	2	No
ENSG00000019505	SYT13	582				504	708	393	428	743	367	1264	1377	1057	1295	676	1405	483		1135	1346				1063	667	1120	1671	1164	625												630	683				400				541		1276			434	463	696	726			1078	706						395						821												826.342857142857	35	No
ENSG00000019582	CD74	125		588		994			293	374	373	105	1027	69	99		1348	1021	320	33	74			38	42	109	106	54	57			195	132									905	731	61	23			396	221	75	109	331	1207			452			474			24	37	148				907	295	489							1044	416	854	402			1212	573	38		395.833333333333	48	Yes
ENSG00000020129	NCDN	631	450	340	305	267	339	299	180	493	407	1134	927	414	479	565	546	681	455	1000	680				299	743	442	1528	1988	515	626	906								590	351	420	274	560	777	474				559	319	538		820	601	258	256	601	629			582	592		113	418		1110	894			264			1087		492	514	771				493	666	909		596.051724137931	58	Yes
ENSG00000020577	SAMD4A											1627		1928																																	696									682												1097									1227	1012	1132								1175.125	8	No
ENSG00000021300	PLEKHB1	370		573	176	627	579	389	271	76	1092	230	211	575	625		1232	101	279	323	320	86		491	986	336	441	563	364		616	225	338	222	306			102		349	232	474	278	509	301	107	78	75			424	318	787	154	389	213	359	427	454	293	179	589	715	497		642		149	216	248		432		176	386	266	80	682	129	80	189	177	185	120	231	185	359.708333333333	72	Yes
ENSG00000021645	NRXN3	583				225	143	188	1050	1406	897	1127	978	1252	1329	574	832	289		499	491			848	749	990	651		1731											259	331	502	525	903	480	264	727				815	362				701	759	325				838	1070			471			787						816	656	699	843		1312			119	167			701.4	45	Yes
ENSG00000022267	FHL1			571		1077	1162	598	259	160	218		902	310	495	847	1575		329	1137	1804			1018	301	328	657	500	573	181	141										415	342	346	1334	258						93	567	552	655		616			625			923	1136						998						474	103	917	548	1088				1752	1155	392		676.266666666667	45	Yes
ENSG00000022277	RTF2										2341									1766						1690	1883					764																					1299															797							1294								1608		1036		1447.8	10	No
ENSG00000022355	GABRA1	462				375	729	667	472	310	268		1122	131	271	631	747	136		1391	1577			1074	507	650	708	1185	1698	541				212	120							244	508			353				290	266	375	1503	260	210	127	377							428					896			341			385				1070	677			1514	1257			629.418604651163	43	Yes
ENSG00000022840	RNF10													2219																																																																									2219	1	No
ENSG00000023171	GRAMD1B						1481			1489			1914					786																																																																					1417.5	4	No
ENSG00000023191	RNH1																	277										1639																																								294																			736.666666666667	3	No
ENSG00000023228	NDUFS1	887					2016			1370			1523	951					277	1712	1623					2111			1415			1290												1549										704								1008		439				1474				361					1201							1310			1222.15789473684	19	No
ENSG00000023287	RB1CC1							1432					1021		2530					2276						1815	1252		2170													1880													570																						1138		1608				1038	1145			1528.84615384615	13	No
ENSG00000023330	ALAS1														2706																																																																								2706	1	No
ENSG00000023516	AKAP11						2103					975	1228	2335	2625					1864	1475					812		1637																		482	439						1108	658	123													1266												1073			1776	902			1271.16666666667	18	No
ENSG00000023572	GLRX2										2523				1978																																																																1137								1879.33333333333	3	No
ENSG00000023734	STRAP	374	199		566	605	245	388	963	1019	772	517	541	532	848	882	391			438	540			1068	615	581	794	1441	618				973							605	575			603	533	585					840		525				841	336	441			588	525			381		622	1058		285				113	636		986	385	277			1014	586			622.340425531915	47	Yes
ENSG00000023909	GCLM												1381				1580			2033	757																																																														1794				1509	5	No
ENSG00000024862	CCDC28A						930						1158	1177	1541	1323	854				1465								1324																																																		1415				1831	851			1260.81818181818	11	No
ENSG00000025293	PHF20													2004																																																																									2004	1	No
ENSG00000025796	SEC63																							1176								1501																																																							1338.5	2	No
ENSG00000025800	KPNA6														2391																																																																				1917				2154	2	No
ENSG00000026025	VIM							53	23	69	54		920	13	86		1100				541			31	6	1554	654	14	76	75	67	136	138					171			74	363	216	432	326					14	24					782					130	503	300	6											372						313	184	85	185	215	197	269.282051282051	39	No
ENSG00000026297	RNASET2													1108	1766										1323								906																																																						1275.75	4	No
ENSG00000026508	CD44									141	48	538	769	571	575									121	108	633		741	1088			194	180																													446	774																								461.8	15	No
ENSG00000026652	AGPAT4									1171	2234	455	2109		1319		1824	622																												196	173									855												593											485	864							992.307692307692	13	No
ENSG00000027697	IFNGR1												2125		1995																																																					636																			1585.33333333333	3	No
ENSG00000027847	B4GALT7										2121					1216																																																																							1668.5	2	No
ENSG00000028528	SNX1										2143																																																																					1631							1887	2	No
ENSG00000028839	TBPL1															1355																																																																							1355	1	No
ENSG00000029363	BCLAF1												1829	2197		1357	860	1370								1845	1860	1375	2047			817	1163									1823																	467																559					1455				1144			1385.5	16	No
ENSG00000029725	RABEP1										2624	1200	2120			1535				1027						1455	1364		1710			710	595										1222		862																																										1368.66666666667	12	No
ENSG00000030582	GRN								1211	1316			1522	1918	2327	1005								1143	951		1712		2121				1194											817	781																																						1575				1399.5	14	No
ENSG00000031003	FAM13B										1879																																																																												1879	1	No
ENSG00000031698	SARS	435	54			947	580	1467			2346	1647	379	1088	1398	1618	582	671			735			818		1408			950	738		1562									298	778		875									1485					348	891				387			410		1532	1032						537				1185	539			662	353	844	354	887.027777777778	36	No
ENSG00000031823	RANBP3										2646		1603																																																																										2124.5	2	No
ENSG00000032219	ARID4A														2885																											1723																																						1829							2145.66666666667	3	No
ENSG00000032389	EIPR1															1234					1769																																																																		1501.5	2	No
ENSG00000032444	PNPLA6						1411					1377	1608	2412	2141	1672																																																																							1770.16666666667	6	No
ENSG00000033050	ABCF2						1436																																																																																1436	1	No
ENSG00000033170	FUT8																																																																			1007																			1007	1	No
ENSG00000033627	ATP6V0A1		458	372		511	432	561	598	450	867	735	575	754	785	1509	576	545	274	460	498		92	710	342	520	590	977	529		406	926	922							569	492	729	476	1241	776			482		438		533		770		274	769	713				527	315		139	284		1328	942						887	362		899	1097	856	250		450	852	621	446	622.649122807018	57	Yes
ENSG00000034053	APBA2					1202	2102				1895		1274					1314																								1506	1123																																				1414								1478.75	8	No
ENSG00000034239	EFCAB1								34		35			98																																																																									55.6666666666667	3	No
ENSG00000034510	TMSB10	47	154	189	342	42	56	344	462	70	97	107	163	170	66	21	47	232	442	31	78	240	154	150	125	58	58	120	101	115	106	83	45			126	180	100		113	193	190	87	43	31	423	296	115	126	172	251	50	34	677		72	39	15	31	281		51	57	94	173	82	315	346	51	20	97	67	262	132	154	119	130	400	47	45	165		69	63	459	303	150.139240506329	79	Yes
ENSG00000034677	RNF19A																															545																																																							545	1	No
ENSG00000034713	GABARAPL2	461	97	732	545		297			567	398	1339	1062	382	610	160	377	1278		483	558				545	253	286	509	165	450	355	643	506								569	275	584	200	802	487		440			336	410	485	209	173	595	941	571				508	328	650		446		976	964	320					444		653		316	467			1241		624	464	528.444444444444	54	Yes
ENSG00000035141	FAM136A										1674			2074	2690																																																																								2146	3	No
ENSG00000035403	VCL														2482										1064																																																														1773	2	No
