Domain	Domains Compared to	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACSL1	0	0.994	0	7.089	ENSG00000151726
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACSL3	0.33	0.093	0.251	1.15	ENSG00000123983
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTB	0	0.612	0	13.319	ENSG00000075624
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTG1	0	0.378	0	9.964	ENSG00000184009
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTN4	0.004	0.337	0.002	3.208	ENSG00000130402
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTR10	0.84	0.033	0.792	0.265	ENSG00000131966
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTR1A	0.068	0.221	0.04	2.065	ENSG00000138107
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTR2	0.608	0.058	0.525	0.637	ENSG00000138071
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACTR3	0.264	0.159	0.195	1.299	ENSG00000115091
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ACYP2	0	0.526	0	4.675	ENSG00000170634
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADAM10	0	0.569	0	4.144	ENSG00000137845
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADAMTS4	0	1.512	0	10.515	ENSG00000158859
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADAP1	0	0.607	0	6.003	ENSG00000105963
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADAR	0.82	-0.024	0.766	-0.298	ENSG00000160710
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADCYAP1R1	0	-0.828	0	-6.301	ENSG00000078549
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADD1	0.125	-0.174	0.082	-1.749	ENSG00000087274
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADD3	0	-0.449	0	-4.426	ENSG00000148700
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADGRG1	0	-0.757	0	-5.704	ENSG00000205336
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADGRL1	0.193	-0.16	0.135	-1.499	ENSG00000072071
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADI1	0	0.651	0	4.973	ENSG00000182551
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADIPOR2	0	0.743	0	5.693	ENSG00000006831
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ADIRF	0.055	-0.301	0.031	-2.167	ENSG00000148671
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AGAP1	0.703	0.057	0.628	0.485	ENSG00000157985
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AGAP3	0.006	-0.284	0.002	-3.064	ENSG00000133612
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AGPAT3	0.38	-0.124	0.295	-1.05	ENSG00000160216
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AGPAT4	0	0.945	0	6.682	ENSG00000026652
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AGT	0	-0.773	0	-7.237	ENSG00000135744
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AHCYL1	0	-0.728	0	-9.24	ENSG00000168710
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AHNAK	0	-0.79	0	-6.73	ENSG00000124942
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AIF1L	0	0.406	0	4.303	ENSG00000126878
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AIG1	0.008	0.277	0.003	2.971	ENSG00000146416
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AK1	0.069	-0.214	0.041	-2.058	ENSG00000106992
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AK3	0.004	-0.341	0.001	-3.222	ENSG00000147853
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKAP11	0.003	0.352	0.001	3.299	ENSG00000023516
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKAP12	0	-0.698	0	-7.805	ENSG00000131016
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKAP6	0.949	-0.007	0.936	-0.08	ENSG00000151320
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKAP9	0.006	-0.33	0.002	-3.062	ENSG00000127914
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKIRIN1	0	0.479	0	3.84	ENSG00000174574
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKR1B1	0.165	-0.174	0.113	-1.591	ENSG00000085662
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AKTIP	0.182	0.2	0.127	1.532	ENSG00000166971
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AL359091.1	0	1.036	0	7.97	ENSG00000207955
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AL627171.2	0	-0.873	0	-10.442	ENSG00000282885
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALAD	0.755	0.049	0.685	0.407	ENSG00000148218
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALCAM	0	0.45	0	4.517	ENSG00000170017
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALDH2	0	-0.601	0	-5.594	ENSG00000111275
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALDH6A1	0.939	-0.011	0.921	-0.099	ENSG00000119711
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALDOC	0	-0.491	0	-7.781	ENSG00000109107
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALKBH5	0.824	-0.037	0.772	-0.291	ENSG00000091542
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ALKBH7	0.146	0.184	0.098	1.663	ENSG00000125652
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AMD1	0	0.486	0	4.636	ENSG00000123505
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AMER2	0.391	-0.11	0.307	-1.025	ENSG00000165566
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AMFR	0	0.447	0	4.63	ENSG00000159461
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANAPC11	0.117	0.166	0.076	1.785	ENSG00000141552
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANAPC5	0	0.659	0	4.908	ENSG00000089053
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANK2	0	-0.385	0	-6.495	ENSG00000145362
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANK3	0.046	-0.214	0.025	-2.251	ENSG00000151150
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKH	0.001	0.409	0	3.796	ENSG00000154122
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKHD1	0.397	-0.147	0.312	-1.014	ENSG00000131503
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKIB1	0.611	0.081	0.528	0.631	ENSG00000001629
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKRD11	0.093	-0.242	0.058	-1.906	ENSG00000167522
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKRD12	0.025	-0.292	0.013	-2.517	ENSG00000101745
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKRD17	0.004	-0.377	0.001	-3.237	ENSG00000132466
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKRD40	0.066	-0.2	0.039	-2.081	ENSG00000154945
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANKS1B	0	0.574	0	5.687	ENSG00000185046
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANLN	0	1.183	0	9.807	ENSG00000011426
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANP32A	0.784	-0.044	0.718	-0.361	ENSG00000140350
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANP32B	0	-0.489	0	-3.984	ENSG00000136938
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANP32E	0	-0.602	0	-4.773	ENSG00000143401
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANXA5	0	0.436	0	4.145	ENSG00000164111
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANXA6	0.004	-0.384	0.001	-3.221	ENSG00000197043
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ANXA7	0.017	0.253	0.008	2.673	ENSG00000138279
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AP1S2	0.012	-0.274	0.005	-2.814	ENSG00000182287
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AP2A2	0.71	-0.058	0.636	-0.474	ENSG00000183020
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AP2B1	0.387	0.112	0.302	1.034	ENSG00000006125
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AP2M1	0.438	-0.052	0.349	-0.938	ENSG00000161203
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AP2S1	0.127	-0.174	0.083	-1.742	ENSG00000042753
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AP3D1	0.005	-0.377	0.002	-3.109	ENSG00000065000
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APBA2	0.009	0.319	0.004	2.918	ENSG00000034053
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APBB1	0	0.613	0	5.869	ENSG00000166313
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APBB2	0	0.597	0	4.901	ENSG00000163697
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APC	0	-0.473	0	-4.286	ENSG00000134982
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APC2	0.483	0.092	0.394	0.855	ENSG00000115266
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APLP1	0	1.377	0	19.075	ENSG00000105290
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APLP2	0.13	-0.132	0.086	-1.725	ENSG00000084234
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APOC1	0.002	-0.546	0.001	-3.462	ENSG00000130208
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APOD	0	0.838	0	12.02	ENSG00000189058
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APOE	0	-0.812	0	-9.848	ENSG00000130203
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	APP	0	0.284	0	5.893	ENSG00000142192
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AQP1	0	-0.858	0	-6.964	ENSG00000240583
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AQP4	0	-0.867	0	-8.697	ENSG00000171885
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARF1	0.38	0.113	0.295	1.051	ENSG00000143761
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARF3	0.635	-0.046	0.554	-0.593	ENSG00000134287
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARFGAP2	0.148	-0.198	0.1	-1.654	ENSG00000149182
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARFGEF3	0.894	0.022	0.859	0.178	ENSG00000112379
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARGLU1	0.057	-0.298	0.033	-2.149	ENSG00000134884
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGAP12	0	0.539	0	4.696	ENSG00000165322
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGAP21	0.105	0.152	0.067	1.841	ENSG00000107863
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGAP23	0	0.679	0	6.213	ENSG00000275832
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGAP35	0.005	-0.305	0.002	-3.144	ENSG00000160007
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGAP5	0.001	-0.291	0	-3.622	ENSG00000100852
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGDIA	0.872	0.019	0.831	0.213	ENSG00000141522
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGDIG	0.513	-0.082	0.426	-0.797	ENSG00000242173
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARHGEF2	0	0.96	0	6.497	ENSG00000116584
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARID4B	0.01	-0.291	0.005	-2.865	ENSG00000054267
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARL2	0.02	0.23	0.009	2.619	ENSG00000213465
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARL6IP1	0.004	-0.183	0.001	-3.217	ENSG00000170540
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARL6IP4	0.061	-0.202	0.035	-2.122	ENSG00000182196
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARL6IP5	0.003	0.278	0.001	3.309	ENSG00000144746
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARL8A	0	0.7	0	7.288	ENSG00000143862
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARL8B	0.195	0.137	0.137	1.492	ENSG00000134108
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARMCX3	0.047	-0.257	0.026	-2.243	ENSG00000102401
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARNT2	0.202	-0.162	0.142	-1.473	ENSG00000172379
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARPC1A	0.604	-0.064	0.519	-0.646	ENSG00000241685
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARPC2	0.476	-0.102	0.387	-0.867	ENSG00000163466
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARPC3	0.025	0.278	0.013	2.517	ENSG00000111229
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARPC4	0.034	-0.253	0.018	-2.382	ENSG00000241553
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARPC5	0	0.726	0	5.903	ENSG00000162704
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARPP19	0.002	0.187	0.001	3.469	ENSG00000128989
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ARRB1	0	-0.72	0	-6.343	ENSG00000137486
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ASAH1	0.827	0.03	0.777	0.284	ENSG00000104763
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ASH1L	0.022	-0.294	0.011	-2.574	ENSG00000116539
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ASPH	0	-0.463	0	-3.915	ENSG00000198363
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ASRGL1	0.002	-0.382	0.001	-3.463	ENSG00000162174
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATCAY	0	-0.458	0	-4.256	ENSG00000167654
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATF4	0.001	0.37	0	3.654	ENSG00000128272
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATG3	0.001	0.452	0	3.55	ENSG00000144848
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATL1	0.585	0.083	0.497	0.68	ENSG00000198513
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATN1	0.077	-0.239	0.047	-2.001	ENSG00000111676
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATOX1	0.229	0.149	0.166	1.388	ENSG00000177556
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP13A2	0.013	-0.299	0.006	-2.774	ENSG00000159363
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP1A1	0.009	0.262	0.004	2.909	ENSG00000163399
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP1A2	0	-0.992	0	-12.549	ENSG00000018625
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP1A3	0.002	-0.381	0.001	-3.463	ENSG00000105409
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP1B1	0	0.346	0	7.241	ENSG00000143153
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP1B2	0	-0.887	0	-8.496	ENSG00000129244
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP1B3	0.718	-0.053	0.646	-0.46	ENSG00000069849
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP2A2	0.275	-0.132	0.205	-1.271	ENSG00000174437
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP2B1	0	-0.609	0	-5.04	ENSG00000070961
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP2B4	0	-0.577	0	-5.061	ENSG00000058668
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP2C1	0.001	0.347	0.001	3.52	ENSG00000017260
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5F1A	0.025	-0.161	0.013	-2.515	ENSG00000152234
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5F1B	0.344	-0.059	0.264	-1.12	ENSG00000110955
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5F1C	0.004	0.383	0.002	3.162	ENSG00000165629
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5F1D	0.212	-0.114	0.151	-1.44	ENSG00000099624
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5F1E	0.326	0.059	0.248	1.157	ENSG00000124172
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5IF1	0.974	-0.004	0.967	-0.041	ENSG00000130770
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MC1	0.457	-0.112	0.369	-0.901	ENSG00000159199
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MC2	0	0.353	0	3.974	ENSG00000135390
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MC3	0.364	0.115	0.28	1.083	ENSG00000154518
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MD	0.942	-0.007	0.926	-0.092	ENSG00000173915
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5ME	0.031	0.186	0.016	2.422	ENSG00000169020
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MF	0.625	-0.052	0.544	-0.607	ENSG00000241468
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MG	0.164	-0.127	0.112	-1.595	ENSG00000167283
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5MPL	0.176	0.099	0.121	1.555	ENSG00000156411
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5PB	0.588	0.064	0.501	0.674	ENSG00000116459
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5PD	0.221	0.114	0.159	1.413	ENSG00000167863
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5PF	0.402	-0.083	0.316	-1.004	ENSG00000154723
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP5PO	0.63	-0.052	0.55	-0.599	ENSG00000241837
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6AP1	0.01	0.277	0.005	2.869	ENSG00000071553
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6AP2	0.214	0.124	0.153	1.433	ENSG00000182220
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V0A1	0.685	0.038	0.607	0.515	ENSG00000033627
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V0B	0.044	0.17	0.024	2.276	ENSG00000117410
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V0C	0.904	0.009	0.874	0.159	ENSG00000185883
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V0D1	0.3	0.101	0.227	1.212	ENSG00000159720
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V0E1	0.014	0.334	0.006	2.756	ENSG00000113732
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V0E2	0.948	-0.005	0.935	-0.082	ENSG00000171130
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1A	0.76	-0.043	0.691	-0.397	ENSG00000114573
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1B2	0.379	-0.117	0.293	-1.054	ENSG00000147416
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1C1	0.031	-0.259	0.016	-2.431	ENSG00000155097
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1D	0.69	-0.06	0.615	-0.504	ENSG00000100554
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1E1	0	0.336	0	5.857	ENSG00000131100
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1F	0.801	-0.027	0.741	-0.332	ENSG00000128524
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1G1	0.731	-0.049	0.66	-0.441	ENSG00000136888
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1G2	0.14	-0.199	0.093	-1.688	ENSG00000213760
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP6V1H	0.893	0.019	0.856	0.182	ENSG00000047249
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP8A1	0	0.634	0	6.329	ENSG00000124406
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATP9A	0.002	-0.218	0.001	-3.468	ENSG00000054793
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATPAF1	0.69	-0.058	0.614	-0.505	ENSG00000123472
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATRX	0	-0.431	0	-4.9	ENSG00000085224
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATXN10	0.108	0.18	0.069	1.83	ENSG00000130638
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATXN2	0.843	-0.032	0.795	-0.26	ENSG00000204842
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ATXN7L3B	0.07	-0.212	0.041	-2.051	ENSG00000253719
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AURKAIP1	0.922	-0.013	0.901	-0.125	ENSG00000175756
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AUXG01000058.1	0	-0.548	0	-5.133	ENSG00000286214
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	AZIN1	0.243	0.176	0.178	1.353	ENSG00000155096
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	B2M	0.342	-0.063	0.262	-1.125	ENSG00000166710
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	B3GAT1	0	0.927	0	10.488	ENSG00000109956
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	B4GAT1	0.042	-0.165	0.023	-2.294	ENSG00000174684
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAALC	0	-0.797	0	-11.029	ENSG00000164929
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BACE1	0	0.863	0	8.593	ENSG00000186318
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAD	0.912	-0.018	0.885	-0.144	ENSG00000002330
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAG1	0.035	-0.27	0.018	-2.376	ENSG00000107262
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAG6	0.453	0.111	0.364	0.909	ENSG00000204463
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAIAP3	0.063	-0.258	0.037	-2.103	ENSG00000007516
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BANF1	0.014	0.324	0.007	2.739	ENSG00000175334
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BASP1	0	-0.459	0	-5.973	ENSG00000176788
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAZ1B	0.002	-0.433	0.001	-3.456	ENSG00000009954
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BAZ2B	0	-0.53	0	-4.381	ENSG00000123636
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BBX	0.002	0.437	0.001	3.477	ENSG00000114439
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BCAN	0	-0.645	0	-5.85	ENSG00000132692
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BCAP31	0.147	-0.135	0.098	-1.659	ENSG00000185825
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	BCAS1	0	-0.577	0	-6.701	ENSG00000064787
