Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000078369,GNB1,154,-0.8983,323,0.27976,179,-0.7409,406,0.66456,249,-0.1636,357,0.52114
ENSG00000067606,PRKCZ,154,0.05709,73,-1.1029,102,-0.6678,218,0.63397,209,0.67232,135,-0.1732
ENSG00000162585,FAAP20,154,1.50646,90,0.53857,36,-1.0016,54,-0.3009,34,-1.1112,73,0.22593
ENSG00000157933,SKI,154,2.76205,63,0.89070,19,-1.1389,9,-2.0820,8,-2.3716,26,-0.6157
ENSG00000157916,RER1,154,1.33469,103,0.62170,41,-0.9591,61,-0.2507,61,-0.2702,59,-0.3390
ENSG00000157911,PEX10,154,2.41689,41,-0.0601,28,-0.7019,26,-0.7639,23,-1.0283,29,-0.6748
ENSG00000197921,HES5,154,2.17715,14,-1.7835,38,-0.3950,9,-2.4105,40,-0.3021,45,-0.0677
ENSG00000157870,PRXL2B,154,0.73005,76,-0.4195,81,-0.3672,115,0.24177,127,0.46501,67,-0.6967
ENSG00000158109,TPRG1L,154,0.09314,84,-0.8552,85,-0.9332,274,1.08347,184,0.45238,129,-0.2190
ENSG00000130764,LRRC47,154,1.06141,64,-0.3973,71,-0.2799,102,0.34930,58,-0.6114,82,-0.0100
ENSG00000069424,KCNAB2,154,0.83111,43,-1.1957,47,-1.1834,100,0.10024,129,0.62257,98,0.07162
ENSG00000116254,CHD5,154,0.40694,35,-1.8910,76,-0.8037,98,-0.3318,117,-0.0552,205,1.09222
ENSG00000116251,RPL22,154,-1.0479,525,0.94397,473,0.91325,191,-0.7179,121,-1.5376,323,0.13701
ENSG00000116237,ICMT,154,2.06176,28,-0.9105,23,-1.3258,55,0.15507,30,-0.8765,53,0.10920
ENSG00000097021,ACOT7,154,-0.8895,72,-2.0275,124,-1.3300,698,1.67818,447,1.01452,187,-0.6581
ENSG00000162408,NOL9,154,2.05296,45,-0.1771,42,-0.3194,29,-0.8547,39,-0.4334,30,-0.8932
ENSG00000162413,KLHL21,154,1.93550,61,0.23185,35,-0.7008,45,-0.2466,32,-0.8357,39,-0.5244
ENSG00000007923,DNAJC11,154,2.15960,29,-0.7552,34,-0.5868,34,-0.5154,40,-0.2940,30,-0.7704
ENSG00000171735,CAMTA1,154,-0.5137,146,-0.6008,213,0.00327,204,-0.0653,157,-0.5374,335,0.91138
ENSG00000049245,VAMP3,154,1.98194,106,1.23742,37,-0.5697,31,-0.8119,29,-0.9929,20,-1.5591
ENSG00000049246,PER3,154,2.02813,92,1.01309,17,-1.8201,4,-3.5139,34,-0.6845,51,0.01683
ENSG00000116288,PARK7,154,-0.5813,359,0.80605,171,-0.4717,337,0.69784,158,-0.6066,246,0.19258
ENSG00000162426,SLC45A1,154,2.04274,8,-2.7679,34,-0.6674,84,0.86598,45,-0.1725,23,-1.3343
ENSG00000142599,RERE,154,0.81990,112,0.27289,76,-0.3880,80,-0.2564,37,-1.5660,139,0.75996
ENSG00000074800,ENO1,154,-2.0383,848,0.63174,389,-0.7083,901,0.73674,775,0.56146,497,-0.2808
ENSG00000171612,SLC25A33,154,1.60688,76,0.33623,33,-1.0613,38,-0.7542,33,-1.0803,78,0.44120
ENSG00000171603,CLSTN1,154,-1.1982,449,0.50156,182,-1.0401,424,0.40474,321,-0.0606,476,0.71303
ENSG00000178585,CTNNBIP1,154,2.06879,35,-0.5413,38,-0.4854,33,-0.6296,24,-1.2452,50,0.02387
ENSG00000162441,LZIC,154,2.19456,46,-0.0213,41,-0.2277,24,-1.0166,16,-1.7237,40,-0.2616
ENSG00000130939,UBE4B,154,1.90287,32,-0.8224,48,-0.2106,33,-0.7650,38,-0.5830,45,-0.2964
ENSG00000054523,KIF1B,154,-0.9061,393,0.60071,227,-0.3416,264,-0.0584,299,0.16568,301,0.17787
ENSG00000142657,PGD,154,0.91074,69,-0.4072,43,-1.2358,125,0.54524,108,0.34961,78,-0.2453
ENSG00000160049,DFFA,154,1.82747,73,0.46559,42,-0.4729,37,-0.6256,29,-1.1255,46,-0.3411
ENSG00000142655,PEX14,154,2.43321,25,-0.8156,17,-1.5304,23,-0.9569,36,-0.2686,36,-0.2990
ENSG00000120948,TARDBP,154,1.43452,108,0.78400,34,-1.1766,65,-0.0660,44,-0.7614,63,-0.1283
ENSG00000116649,SRM,154,0.79398,64,-0.6412,70,-0.5646,103,0.12261,101,0.09706,100,0.07973
ENSG00000198793,MTOR,154,1.94186,35,-0.6556,23,-1.3974,79,0.67685,50,-0.1025,30,-0.9676
ENSG00000116661,FBXO2,154,-0.6848,332,0.55418,158,-0.7213,382,0.80067,245,0.06143,231,-0.0473
ENSG00000132879,FBXO44,154,0.36099,79,-0.7148,54,-1.4014,200,0.80505,163,0.53085,123,-0.0030
ENSG00000011021,CLCN6,154,0.32972,81,-0.7047,60,-1.2600,187,0.65505,183,0.73950,113,-0.2017
ENSG00000116685,KIAA2013,154,2.15102,78,0.83009,16,-1.8036,23,-1.1119,29,-0.8652,42,-0.2355
ENSG00000083444,PLOD1,154,1.80151,54,-0.0655,35,-0.7974,63,0.18522,42,-0.4914,39,-0.6362
ENSG00000116688,MFN2,154,0.50367,66,-0.8526,85,-0.5087,157,0.53490,128,0.22839,109,-0.0749
ENSG00000048707,VPS13D,154,2.00862,60,0.26293,23,-1.3531,39,-0.3988,34,-0.7037,45,-0.2063
ENSG00000162496,DHRS3,154,2.40836,89,1.26401,22,-1.1460,5,-2.9994,12,-2.0900,34,-0.4038
ENSG00000116731,PRDM2,154,2.11102,44,-0.1614,35,-0.5877,13,-2.0315,37,-0.4796,41,-0.2905
ENSG00000189337,KAZN,154,1.69307,72,0.32899,24,-1.5014,46,-0.4009,59,-0.0069,47,-0.4107
ENSG00000142634,EFHD2,154,1.69621,50,-0.2554,45,-0.4877,64,0.12469,43,-0.5701,44,-0.5179
ENSG00000116786,PLEKHM2,154,1.41031,36,-0.9843,46,-0.6890,80,0.25693,70,0.05753,56,-0.3656
ENSG00000065526,SPEN,154,1.76640,36,-0.7227,85,0.77647,32,-0.8974,12,-2.4559,49,-0.2823
ENSG00000055070,SZRD1,154,2.15072,65,0.50725,42,-0.2196,21,-1.2530,32,-0.6761,20,-1.4671
ENSG00000159363,ATP13A2,154,-0.6257,84,-1.5404,135,-0.9130,352,0.72220,404,1.17788,194,-0.2983
ENSG00000117118,SDHB,154,1.12009,42,-1.0000,45,-0.9709,78,-0.0309,89,0.19523,88,0.18217
ENSG00000117115,PADI2,154,0.94219,243,1.81772,94,0.13011,14,-2.7952,25,-2.0720,72,-0.3710
ENSG00000074964,ARHGEF10L,154,2.26311,30,-0.6697,21,-1.2953,15,-1.6675,30,-0.6928,53,0.29686
ENSG00000117154,IGSF21,154,2.41905,26,-0.7605,15,-1.6614,6,-2.9742,3,-3.9085,79,1.30283
ENSG00000159423,ALDH4A1,154,2.15219,30,-0.7175,21,-1.3696,17,-1.5399,47,-0.0294,45,-0.0807
ENSG00000127463,EMC1,154,1.86120,36,-0.6677,28,-1.1547,63,0.24751,43,-0.4102,48,-0.2395
ENSG00000053372,MRTO4,154,2.18137,21,-1.2493,25,-1.0623,37,-0.3735,40,-0.3073,41,-0.2631
ENSG00000053371,AKR7A2,154,1.31011,154,1.31534,35,-1.2201,56,-0.3975,42,-0.9269,65,-0.1966
ENSG00000077549,CAPZB,154,-0.3542,229,0.28983,140,-0.5636,270,0.56613,227,0.31963,171,-0.2166
ENSG00000173436,MICOS10,154,-0.0552,193,0.31059,159,-0.0080,217,0.51135,81,-1.1665,196,0.39431
ENSG00000158747,NBL1,154,-0.0219,91,-0.8512,156,0.00283,316,1.21177,93,-0.8934,172,0.18515
ENSG00000162545,CAMK2N1,154,-1.2978,249,-0.5615,420,0.32350,350,-0.0213,179,-1.1775,619,1.15206
ENSG00000090432,MUL1,154,2.40871,43,0.03193,28,-0.7548,35,-0.3255,31,-0.5435,17,-1.5600
ENSG00000183114,FAM43B,154,1.92856,13,-2.0701,13,-2.2653,77,0.62285,38,-0.5849,64,0.38090
ENSG00000158828,PINK1,154,-0.9371,173,-0.7619,274,-0.0358,439,0.75717,323,0.27449,278,-0.0114
ENSG00000127483,HP1BP3,154,0.00552,209,0.51413,122,-0.4133,147,-0.0745,80,-1.1103,233,0.83375
ENSG00000075151,EIF4G3,154,0.46131,84,-0.5140,68,-0.9303,183,0.75446,134,0.27007,111,-0.0875
ENSG00000117298,ECE1,154,2.45865,51,0.31639,26,-0.8309,30,-0.5262,20,-1.2029,24,-0.9431
ENSG00000076864,RAP1GAP,154,0.50723,39,-1.6282,75,-0.7295,126,0.16954,150,0.54406,125,0.19102
ENSG00000090686,USP48,154,1.81016,40,-0.5425,62,0.20796,62,0.16957,20,-1.7266,41,-0.5283
ENSG00000070831,CDC42,154,-0.6875,278,0.25348,155,-0.7508,387,0.81797,238,0.00318,268,0.22218
ENSG00000004487,KDM1A,154,1.84172,36,-0.6682,24,-1.3984,74,0.49692,43,-0.4445,49,-0.2252
ENSG00000169641,LUZP1,154,1.99578,11,-2.3648,39,-0.4774,20,-1.4699,17,-1.8272,82,0.95004
ENSG00000125944,HNRNPR,154,1.01760,105,0.35778,57,-0.6821,70,-0.2902,52,-0.8392,106,0.43320
ENSG00000117318,ID3,154,1.07883,199,1.56452,142,1.12766,1,-5.6469,10,-3.2840,39,-1.2710
ENSG00000142676,RPL11,154,-1.4412,824,1.29532,590,0.82894,259,-0.6482,190,-1.2333,355,-0.1716
ENSG00000057757,PITHD1,154,-0.8519,150,-0.8940,120,-1.3394,521,1.16400,391,0.77278,266,0.01406
ENSG00000011009,LYPLA2,154,2.10644,88,1.01011,16,-1.8319,34,-0.5803,41,-0.2942,23,-1.2306
ENSG00000117305,HMGCL,154,2.59478,39,-0.0328,28,-0.5879,36,-0.1622,15,-1.5929,20,-1.1487
ENSG00000189266,PNRC2,154,1.86344,74,0.50745,43,-0.4239,53,-0.0505,23,-1.4445,39,-0.6043
ENSG00000188529,SRSF10,154,1.50569,59,-0.1631,51,-0.4416,73,0.19489,48,-0.5262,51,-0.4489
ENSG00000001461,NIPAL3,154,0.70279,66,-0.6765,80,-0.4067,119,0.26341,84,-0.3300,121,0.33881
ENSG00000117602,RCAN3,154,2.21611,30,-0.6711,10,-2.4164,50,0.12730,65,0.66391,16,-1.7709
ENSG00000133226,SRRM1,154,1.53794,72,0.19059,54,-0.2994,41,-0.6899,40,-0.8166,60,-0.1133
ENSG00000169504,CLIC4,154,1.12138,176,1.37501,106,0.55847,32,-1.4249,10,-3.2461,61,-0.4650
ENSG00000117614,SYF2,154,1.31794,78,0.14484,74,0.04979,66,-0.1435,34,-1.2864,67,-0.1370
ENSG00000117616,RSRP1,154,1.80763,89,0.77476,52,-0.1420,61,0.13376,9,-2.8482,39,-0.6394
ENSG00000183726,TMEM50A,154,1.41396,95,0.53952,65,-0.0931,31,-1.2222,35,-1.1482,68,-0.0178
ENSG00000204178,MACO1,154,2.36277,26,-0.8181,24,-0.9803,41,-0.1072,22,-1.1659,39,-0.2013
ENSG00000162430,SELENON,154,1.96385,124,1.52559,35,-0.6797,22,-1.3338,16,-1.9277,32,-0.8222
ENSG00000117640,MTFR1L,154,1.12743,85,0.11112,46,-0.9507,83,0.06581,63,-0.4271,88,0.19770
ENSG00000117632,STMN1,154,-1.8005,582,0.26479,337,-0.6793,1069,1.33580,423,-0.2857,565,0.25044
ENSG00000142669,SH3BGRL3,154,-0.5523,278,0.40286,185,-0.2940,465,1.31062,262,0.35198,85,-1.5888
ENSG00000198830,HMGN2,154,0.27622,338,1.69314,131,0.01366,74,-0.8896,40,-1.9611,132,0.02512
ENSG00000117713,ARID1A,154,1.19876,80,0.07415,63,-0.3364,40,-0.9942,65,-0.3032,79,0.05732
ENSG00000204160,ZDHHC18,154,2.10403,20,-1.3441,14,-2.0450,71,0.61495,74,0.84106,8,-2.7944
ENSG00000090273,NUDC,154,0.21181,244,1.00482,67,-1.1901,118,-0.2125,112,-0.3411,171,0.44704
ENSG00000253368,TRNP1,154,1.62872,22,-1.5644,30,-1.2324,130,1.30511,44,-0.5662,48,-0.4346
ENSG00000142784,WDTC1,154,2.31686,48,0.13234,10,-2.4419,29,-0.6491,29,-0.7537,45,0.03995
ENSG00000186501,TMEM222,154,0.84339,82,-0.2081,74,-0.4102,135,0.61413,72,-0.4648,88,-0.1032
ENSG00000158195,WASF2,154,1.97235,96,1.04880,42,-0.3559,7,-3.0192,30,-0.9394,32,-0.8345
ENSG00000126705,AHDC1,154,1.88023,73,0.50414,22,-1.4956,31,-0.8688,30,-1.0148,62,0.25546
ENSG00000126709,IFI6,154,-0.0754,206,0.40341,141,-0.2461,126,-0.4000,180,0.20601,162,0.01094
ENSG00000117758,STX12,154,0.48428,78,-0.6116,116,0.01380,185,0.80020,99,-0.2731,94,-0.3638
ENSG00000117751,PPP1R8,154,2.71538,43,0.22416,11,-2.0157,20,-0.9861,9,-2.2524,41,0.14308
ENSG00000117748,RPA2,154,2.22443,72,0.73398,16,-1.7448,47,0.02431,9,-2.5944,46,0.00335
ENSG00000126698,DNAJC8,154,0.26819,110,-0.2714,152,0.28534,157,0.29569,87,-0.7203,139,0.11447
ENSG00000130770,ATP5IF1,154,-0.8470,238,-0.1663,161,-0.8634,543,1.24641,168,-0.7870,390,0.77448
ENSG00000198492,YTHDF2,154,1.23113,49,-0.6610,31,-1.5002,88,0.25067,72,-0.0884,90,0.34943
ENSG00000116350,SRSF4,154,2.08687,60,0.31918,24,-1.1989,49,-0.0118,15,-1.9457,50,0.04954
ENSG00000116353,MECR,154,2.35305,16,-1.5052,31,-0.5838,27,-0.7378,34,-0.4311,32,-0.5486
ENSG00000060656,PTPRU,154,1.99798,17,-1.6336,28,-1.0225,89,0.94067,33,-0.7475,38,-0.5213
ENSG00000162512,SDC3,154,-0.0075,181,0.25413,120,-0.4591,130,-0.2766,156,0.02009,188,0.36815
ENSG00000134644,PUM1,154,-0.0908,104,-0.7045,94,-0.9475,217,0.47445,169,0.07229,232,0.69134
ENSG00000121766,ZCCHC17,154,0.62697,81,-0.4233,87,-0.3538,177,0.86906,68,-0.7806,115,0.15811
ENSG00000121769,FABP3,154,1.29587,27,-1.5218,39,-1.0787,203,1.83954,87,0.33552,9,-3.1968
ENSG00000162517,PEF1,154,1.13575,49,-0.7447,49,-0.8182,103,0.42599,98,0.41343,55,-0.6257
ENSG00000084636,COL16A1,154,1.97216,175,2.26047,7,-3.0466,12,-2.1941,15,-1.9964,39,-0.4850
ENSG00000121753,ADGRB2,154,0.73111,97,-0.0440,62,-0.8188,110,0.16430,53,-1.0804,152,0.84236
ENSG00000184007,PTP4A2,154,0.06149,205,0.53420,201,0.59102,118,-0.3649,80,-1.0643,148,-0.0037
ENSG00000121774,KHDRBS1,154,0.56872,119,0.13606,71,-0.7440,108,-0.0175,48,-1.3899,182,1.03252
ENSG00000025800,KPNA6,154,1.32307,44,-0.7498,36,-1.1679,68,-0.0837,74,0.05019,79,0.19108
ENSG00000084652,TXLNA,154,1.94338,47,-0.1569,29,-1.0329,44,-0.2679,72,0.62469,12,-2.3772
ENSG00000084623,EIF3I,154,0.44557,112,-0.0759,99,-0.3151,150,0.40006,102,-0.2607,120,0.04454
ENSG00000175130,MARCKSL1,154,-0.3394,506,1.74229,208,0.16847,66,-1.6255,70,-1.6749,215,0.23074
ENSG00000160058,BSDC1,154,1.31081,72,0.00654,28,-1.5696,67,-0.1212,88,0.38322,61,-0.2903
ENSG00000176261,ZBTB8OS,154,2.52509,40,-0.0183,16,-1.5338,19,-1.1393,10,-2.2133,49,0.37354
ENSG00000162521,RBBP4,154,1.10121,126,0.73959,49,-0.8516,80,-0.0134,38,-1.2634,95,0.31798
ENSG00000134684,YARS,154,0.69727,52,-1.0503,49,-1.2367,142,0.55885,112,0.18447,121,0.34168
ENSG00000116497,S100PBP,154,2.39140,17,-1.4232,27,-0.7938,45,0.06456,25,-0.9086,33,-0.4781
ENSG00000160097,FNDC5,154,2.14341,24,-1.0904,14,-1.9847,16,-1.6275,38,-0.4260,66,0.63410
ENSG00000121905,HPCA,154,2.27249,20,-1.2794,33,-0.5611,11,-2.0822,12,-2.1005,65,0.72738
ENSG00000121900,TMEM54,154,1.89145,102,1.09051,35,-0.7684,31,-0.8410,31,-0.9285,32,-0.8901
ENSG00000004455,AK2,154,2.25995,85,1.06140,30,-0.7077,28,-0.7312,26,-0.9504,14,-1.9049
ENSG00000134686,PHC2,154,1.65295,78,0.41930,32,-1.0942,44,-0.5146,63,0.06744,39,-0.7442
ENSG00000163866,SMIM12,154,1.83713,60,0.15131,17,-1.9043,45,-0.3288,37,-0.6815,64,0.27374
ENSG00000116560,SFPQ,154,0.63278,170,0.80079,74,-0.6249,98,-0.1131,59,-1.0122,130,0.40773
ENSG00000146463,ZMYM4,154,1.90277,38,-0.5163,41,-0.4787,45,-0.2745,21,-1.5422,60,0.20666
ENSG00000142687,KIAA0319L,154,1.23688,29,-1.4534,57,-0.4840,83,0.16782,57,-0.4758,90,0.34005
ENSG00000020129,NCDN,154,-1.0126,115,-1.4588,162,-1.0342,492,0.87174,380,0.49544,400,0.60179
ENSG00000126067,PSMB2,154,0.35562,107,-0.2359,77,-0.8343,204,0.84080,174,0.66235,74,-0.8881
ENSG00000142686,C1orf216,154,1.44811,12,-2.5352,38,-0.9784,118,0.95539,67,-0.0091,55,-0.3636
ENSG00000092847,AGO1,154,2.21694,37,-0.3592,36,-0.4551,3,-4.0871,20,-1.3734,55,0.33248
ENSG00000126070,AGO3,154,2.25339,29,-0.6952,23,-1.1611,25,-0.9380,53,0.28682,25,-1.0413
ENSG00000054116,TRAPPC3,154,1.23593,59,-0.3880,58,-0.4451,64,-0.2642,47,-0.8299,94,0.43878
ENSG00000116871,MAP7D1,154,-0.1855,126,-0.5060,162,-0.1213,233,0.49065,191,0.19059,169,-0.0460
ENSG00000054118,THRAP3,154,1.09789,125,0.72811,67,-0.3496,45,-0.9101,64,-0.4108,71,-0.2384
ENSG00000181817,LSM10,154,2.25378,22,-1.1526,23,-1.1431,65,0.59379,17,-1.6022,44,-0.0695
ENSG00000116898,MRPS15,154,1.49596,41,-0.7306,60,-0.1419,79,0.30353,60,-0.1586,37,-0.9848
ENSG00000163875,MEAF6,154,0.44848,100,-0.2600,71,-0.8695,191,0.81530,77,-0.7369,157,0.57043
ENSG00000185090,MANEAL,154,1.82130,32,-0.8525,18,-1.8653,111,1.17807,53,-0.0679,30,-1.0470
ENSG00000197982,C1orf122,154,-0.2777,234,0.40386,197,0.13628,247,0.49458,110,-0.8953,200,0.16600
ENSG00000183431,SF3A3,154,2.21093,61,0.43870,23,-1.2209,35,-0.4367,25,-1.0651,36,-0.4330
ENSG00000183520,UTP11,154,2.56156,24,-0.7692,21,-1.0572,28,-0.5831,25,-0.8058,30,-0.4920
ENSG00000116954,RRAGC,154,1.32709,50,-0.5684,46,-0.7797,97,0.50618,79,0.18315,46,-0.7509
ENSG00000174574,AKIRIN1,154,0.58485,131,0.31466,67,-0.8333,167,0.72120,107,-0.0144,87,-0.3996
ENSG00000168653,NDUFS5,154,-0.9679,313,0.15258,256,-0.1979,533,1.06650,182,-0.7915,346,0.36779
ENSG00000127603,MACF1,154,-0.4394,303,0.66705,258,0.46302,110,-0.9536,159,-0.4395,213,0.08680
ENSG00000090621,PABPC4,154,1.45140,71,0.09809,62,-0.1266,40,-0.8094,43,-0.7577,63,-0.1155
ENSG00000116983,HPCAL4,154,0.00138,92,-0.8070,89,-0.9448,228,0.65600,204,0.55110,161,0.09023
ENSG00000084072,PPIE,154,2.06998,67,0.49173,14,-2.0255,27,-0.9366,28,-0.9997,57,0.25616
ENSG00000131236,CAP1,154,0.08238,152,0.06300,124,-0.3007,192,0.45196,211,0.71546,75,-1.1510
ENSG00000131238,PPT1,154,0.32520,169,0.48336,74,-0.9336,166,0.44783,96,-0.4900,154,0.37987
ENSG00000084073,ZMPSTE24,154,1.63934,62,0.03334,29,-1.2303,31,-1.0244,67,0.17681,53,-0.2313
ENSG00000084070,SMAP2,154,0.95756,37,-1.3335,62,-0.5974,171,1.14534,76,-0.2415,74,-0.3097
ENSG00000117016,RIMS3,154,0.72631,41,-1.3774,49,-1.2104,122,0.33342,111,0.20785,130,0.50612
ENSG00000198815,FOXJ3,154,1.58882,51,-0.3183,31,-1.1918,45,-0.5250,70,0.23080,54,-0.2525
ENSG00000177181,RIMKLA,154,2.01001,21,-1.3484,23,-1.3009,38,-0.4602,44,-0.2629,55,0.13499
ENSG00000127125,PPCS,154,2.04370,67,0.47272,40,-0.4128,33,-0.6583,23,-1.3038,35,-0.6035
ENSG00000065978,YBX1,154,0.76896,160,0.83325,151,0.88079,47,-1.1313,45,-1.3082,61,-0.8104
ENSG00000117394,SLC2A1,154,0.77789,210,1.33737,170,1.16511,19,-2.4639,16,-2.8730,58,-0.8940
ENSG00000117395,EBNA1BP2,154,1.95695,60,0.23750,31,-0.8844,48,-0.1298,26,-1.2025,46,-0.2122
ENSG00000066322,ELOVL1,154,1.47160,169,1.65658,78,0.31516,31,-1.1798,5,-3.9003,37,-0.9793
ENSG00000142949,PTPRF,154,0.25749,241,1.03231,58,-1.3738,154,0.25580,103,-0.4420,156,0.32415
ENSG00000126091,ST3GAL3,154,1.87420,25,-1.2078,20,-1.6491,54,-0.0128,38,-0.6241,69,0.47552
ENSG00000117408,IPO13,154,1.73711,99,0.89682,35,-0.8884,26,-1.2164,47,-0.3538,39,-0.6999
ENSG00000117410,ATP6V0B,154,-1.4914,321,-0.3622,247,-0.8526,824,1.23459,585,0.73874,330,-0.3602
ENSG00000117411,B4GALT2,154,1.44556,55,-0.3089,32,-1.2650,81,0.31745,85,0.46396,39,-0.9269
ENSG00000196517,SLC6A9,154,2.02418,123,1.56759,26,-1.1051,14,-1.9013,8,-2.8364,46,-0.1524
ENSG00000178028,DMAP1,154,2.13030,55,0.21773,26,-1.0334,32,-0.6283,10,-2.5488,60,0.41267
ENSG00000117419,ERI3,154,-0.1530,136,-0.3547,80,-1.2729,217,0.40603,334,1.44771,94,-1.0122
ENSG00000187147,RNF220,154,0.33877,93,-0.4663,66,-1.0903,101,-0.3378,180,0.70788,143,0.25318
ENSG00000142937,RPS8,154,-1.8024,929,1.07368,684,0.63153,408,-0.3098,313,-0.8089,487,-0.0315
ENSG00000126088,UROD,154,1.32262,74,0.04714,43,-0.8882,148,1.25178,47,-0.7456,44,-0.8267
ENSG00000117450,PRDX1,154,-1.7707,755,0.74194,383,-0.4227,679,0.55759,540,0.20206,466,-0.0755
ENSG00000117448,AKR1A1,154,2.17216,82,0.92377,17,-1.6981,61,0.43457,18,-1.5618,28,-0.8813
ENSG00000132780,NASP,154,2.56668,58,0.60918,26,-0.7538,15,-1.4483,13,-1.8606,27,-0.6640
ENSG00000159592,GPBP1L1,154,2.12117,48,0.00274,25,-1.1364,37,-0.4230,29,-0.8997,44,-0.1625
ENSG00000086015,MAST2,154,2.15770,23,-1.1057,17,-1.6941,99,1.26431,33,-0.6374,25,-1.0696
ENSG00000117461,PIK3R3,154,2.36098,25,-0.8616,22,-1.1711,33,-0.4332,21,-1.2353,47,0.13685
ENSG00000085998,POMGNT1,154,1.33447,87,0.32273,42,-0.8917,51,-0.5117,54,-0.4920,78,0.16204
ENSG00000132128,LRRC41,154,1.83364,39,-0.5667,24,-1.3932,64,0.24690,46,-0.3392,50,-0.1706
ENSG00000173660,UQCRH,154,-1.0838,244,-0.3716,219,-0.6041,497,0.80457,280,-0.1704,438,0.69540
ENSG00000117480,FAAH,154,2.13219,53,0.14983,34,-0.6287,50,0.07862,13,-2.1589,41,-0.2704
ENSG00000123472,ATPAF1,154,0.58033,123,0.20057,71,-0.7513,158,0.62777,85,-0.4437,115,0.11538
ENSG00000159658,EFCAB14,154,1.05897,147,0.97521,70,-0.3022,50,-0.7808,39,-1.2551,87,0.09063
ENSG00000162368,CMPK1,154,0.05485,142,-0.0813,148,-0.0052,211,0.57611,141,-0.0951,127,-0.2873
ENSG00000162374,ELAVL4,154,-0.4196,23,-3.2409,113,-0.9988,258,0.41698,398,1.46764,173,-0.2661
ENSG00000185104,FAF1,154,2.02019,42,-0.2871,19,-1.6555,42,-0.2970,51,0.03308,38,-0.4912
ENSG00000123091,RNF11,154,-1.1654,241,-0.4735,195,-0.8895,462,0.58572,426,0.52784,411,0.45399
ENSG00000085832,EPS15,154,0.36573,99,-0.3495,92,-0.5277,171,0.54551,148,0.34831,103,-0.3269
ENSG00000117859,OSBPL9,154,1.88747,46,-0.2376,50,-0.1198,53,-0.0152,40,-0.5287,25,-1.2943
ENSG00000078618,NRDC,154,0.97925,78,-0.1651,46,-1.0768,111,0.41589,94,0.16086,77,-0.2136
ENSG00000169213,RAB3B,154,-0.0916,35,-2.3314,92,-0.9922,145,-0.1828,319,1.42462,155,-0.0874
ENSG00000117862,TXNDC12,154,2.03467,54,0.10494,13,-2.1361,36,-0.5128,28,-1.0131,63,0.42483
